"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","5.200","5.170","5.200","5.140","756.36K","0.00%"
"Oct 24, 2019","5.200","5.200","5.220","5.180","569.11K","0.39%"
"Oct 23, 2019","5.180","5.160","5.190","5.060","595.98K","0.97%"
"Oct 22, 2019","5.130","5.130","5.180","5.110","646.95K","0.00%"
"Oct 21, 2019","5.130","5.090","5.150","5.090","791.27K","1.79%"
"Oct 18, 2019","5.040","5.060","5.060","5.010","1.54M","-0.40%"
"Oct 17, 2019","5.060","5.050","5.060","5.040","677.42K","0.00%"
"Oct 16, 2019","5.060","5.080","5.090","5.055","950.76K","0.00%"
"Oct 15, 2019","5.060","5.030","5.090","5.000","979.06K","1.20%"
"Oct 14, 2019","5.000","4.980","5.020","4.970","532.32K","-0.60%"
"Oct 11, 2019","5.030","5.010","5.050","4.985","934.15K","1.41%"
"Oct 10, 2019","4.960","4.930","4.970","4.910","930.75K","0.40%"
"Oct 09, 2019","4.940","4.890","4.970","4.890","895.63K","0.20%"
"Oct 08, 2019","4.930","4.940","4.960","4.910","775.43K","-1.00%"
"Oct 07, 2019","4.980","4.980","5.000","4.955","1.03M","-0.60%"
"Oct 04, 2019","5.010","4.970","5.030","4.970","655.13K","-0.20%"
"Oct 03, 2019","5.020","5.040","5.040","4.965","976.60K","-0.20%"
"Oct 02, 2019","5.030","5.050","5.060","5.019","1.88M","-0.40%"
"Oct 01, 2019","5.050","5.140","5.140","5.040","677.06K","-0.59%"
"Sep 30, 2019","5.080","5.060","5.110","5.050","977.62K","-0.39%"
"Sep 27, 2019","5.100","5.170","5.180","5.065","1.41M","-2.30%"
"Sep 26, 2019","5.220","5.250","5.260","5.200","1.14M","-0.57%"
"Sep 25, 2019","5.250","5.220","5.275","5.190","576.49K","0.96%"
"Sep 24, 2019","5.200","5.260","5.270","5.180","677.66K","-0.76%"
"Sep 23, 2019","5.240","5.220","5.240","5.200","625.82K","0.00%"
"Sep 20, 2019","5.240","5.230","5.280","5.230","572.02K","0.19%"
"Sep 19, 2019","5.230","5.240","5.250","5.210","458.50K","0.19%"
"Sep 18, 2019","5.220","5.230","5.240","5.183","703.82K","-0.19%"
"Sep 17, 2019","5.230","5.250","5.290","5.230","1.36M","-0.19%"
"Sep 16, 2019","5.240","5.260","5.290","5.230","727.13K","-0.95%"
"Sep 13, 2019","5.290","5.230","5.300","5.220","773.89K","1.15%"
"Sep 12, 2019","5.230","5.260","5.260","5.190","1.82M","-1.13%"
"Sep 11, 2019","5.290","5.270","5.290","5.240","662.83K","3.52%"
"Sep 10, 2019","5.110","5.100","5.125","5.070","1.37M","3.23%"
"Sep 09, 2019","4.950","4.930","4.960","4.890","980.33K","1.23%"
"Sep 06, 2019","4.890","4.900","4.920","4.880","524.29K","0.00%"
"Sep 05, 2019","4.890","4.850","4.910","4.840","1.41M","0.82%"
"Sep 04, 2019","4.850","4.800","4.875","4.800","1.85M","0.83%"
"Sep 03, 2019","4.810","4.790","4.830","4.780","844.23K","-0.21%"
"Aug 30, 2019","4.820","4.830","4.850","4.800","909.57K","0.84%"
"Aug 29, 2019","4.780","4.760","4.795","4.755","713.69K","1.27%"
"Aug 28, 2019","4.720","4.690","4.755","4.670","977.37K","0.43%"
"Aug 27, 2019","4.700","4.730","4.750","4.690","2.45M","-0.63%"
"Aug 26, 2019","4.730","4.690","4.755","4.640","994.66K","2.16%"
"Aug 23, 2019","4.630","4.680","4.720","4.620","818.88K","-1.70%"
"Aug 22, 2019","4.710","4.670","4.720","4.670","609.35K","0.43%"
"Aug 21, 2019","4.690","4.750","4.765","4.680","1.44M","-1.47%"
"Aug 20, 2019","4.760","4.770","4.790","4.730","1.87M","-0.42%"
"Aug 19, 2019","4.780","4.750","4.820","4.750","672.69K","0.21%"
"Aug 16, 2019","4.770","4.710","4.780","4.710","1.39M","1.71%"
"Aug 15, 2019","4.690","4.660","4.705","4.660","1.46M","0.86%"
"Aug 14, 2019","4.650","4.700","4.710","4.630","1.16M","-2.92%"
"Aug 13, 2019","4.790","4.750","4.830","4.750","1.10M","0.42%"
"Aug 12, 2019","4.770","4.790","4.810","4.750","752.27K","-1.04%"
"Aug 09, 2019","4.820","4.810","4.830","4.780","1.18M","-0.82%"
"Aug 08, 2019","4.860","4.790","4.860","4.790","1.05M","0.83%"
"Aug 07, 2019","4.820","4.790","4.820","4.740","1.41M","-0.21%"
"Aug 06, 2019","4.830","4.830","4.840","4.720","1.76M","1.68%"
"Aug 05, 2019","4.750","4.780","4.830","4.705","1.60M","-1.66%"
"Aug 02, 2019","4.830","4.870","4.900","4.800","857.52K","-1.83%"
"Aug 01, 2019","4.920","4.930","4.980","4.880","2.18M","-1.01%"
"Jul 31, 2019","4.970","4.820","5.000","4.805","2.63M","3.97%"
"Jul 30, 2019","4.780","4.800","4.810","4.780","681.44K","-1.04%"
"Jul 29, 2019","4.830","4.850","4.860","4.830","590.15K","-0.41%"
"Jul 26, 2019","4.850","4.860","4.870","4.840","690.77K","0.62%"
"Jul 25, 2019","4.820","4.840","4.870","4.820","441.84K","-1.43%"
"Jul 24, 2019","4.890","4.860","4.900","4.860","609.39K","-0.20%"
"Jul 23, 2019","4.900","4.840","4.900","4.840","585.60K","1.45%"
"Jul 22, 2019","4.830","4.820","4.850","4.810","614.81K","0.84%"
"Jul 19, 2019","4.790","4.790","4.830","4.785","795.95K","-0.21%"
"Jul 18, 2019","4.800","4.770","4.820","4.770","692.28K","0.00%"
"Jul 17, 2019","4.800","4.810","4.840","4.790","800.65K","0.42%"
