"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","19.03","18.10","19.58","18.10","-","5.14%"
"May 15, 2020","18.10","18.17","18.92","18.04","5.89M","-3.05%"
"May 14, 2020","18.67","17.67","18.67","17.26","8.16M","2.58%"
"May 13, 2020","18.20","18.10","18.24","17.50","7.22M","1.17%"
"May 12, 2020","17.99","18.21","18.85","17.97","4.12M","-2.12%"
"May 11, 2020","18.38","19.00","19.09","18.00","6.85M","-2.44%"
"May 08, 2020","18.84","18.80","19.14","18.28","4.06M","2.17%"
"May 07, 2020","18.44","19.33","19.56","17.91","10.20M","-4.46%"
"May 06, 2020","19.30","19.85","19.92","18.83","3.87M","-1.98%"
"May 05, 2020","19.69","20.17","20.49","19.37","2.38M","-1.45%"
"May 04, 2020","19.98","20.00","20.28","19.41","4.35M","-4.36%"
"Apr 30, 2020","20.89","22.68","22.68","20.42","8.45M","-6.62%"
"Apr 29, 2020","22.37","21.99","22.83","21.50","6.08M","2.80%"
"Apr 28, 2020","21.76","21.62","22.02","20.77","7.64M","3.32%"
"Apr 27, 2020","21.06","21.14","21.36","20.52","4.25M","2.33%"
"Apr 24, 2020","20.58","22.27","22.49","19.85","9.39M","-10.44%"
"Apr 23, 2020","22.98","23.51","24.15","22.56","9.84M","-0.95%"
"Apr 22, 2020","23.20","22.00","23.51","21.71","12.12M","7.41%"
"Apr 20, 2020","21.60","20.44","21.83","20.25","7.57M","3.10%"
"Apr 17, 2020","20.95","19.44","20.95","19.41","17.75M","11.44%"
"Apr 16, 2020","18.80","19.30","19.68","18.71","9.96M","-1.26%"
"Apr 15, 2020","19.04","19.02","19.61","18.78","10.29M","-2.86%"
"Apr 14, 2020","19.60","20.12","20.35","19.37","16.36M","-0.51%"
"Apr 13, 2020","19.70","19.56","20.00","18.71","6.97M","0.72%"
"Apr 09, 2020","19.56","20.40","21.00","19.48","9.63M","-3.02%"
"Apr 08, 2020","20.17","20.42","20.66","19.74","6.66M","0.25%"
"Apr 07, 2020","20.12","22.33","22.33","20.12","7.37M","2.24%"
"Apr 06, 2020","19.68","19.21","20.81","19.16","4.38M","8.49%"
"Apr 03, 2020","18.14","18.60","18.68","17.59","9.57M","-2.58%"
"Apr 02, 2020","18.62","18.58","19.51","18.34","5.05M","0.49%"
"Apr 01, 2020","18.53","18.42","19.28","18.03","9.24M","-2.88%"
"Mar 31, 2020","19.08","20.74","21.08","19.08","7.21M","-8.93%"
"Mar 30, 2020","20.95","21.31","22.30","20.63","8.41M","-1.69%"
"Mar 27, 2020","21.31","22.92","22.92","21.13","8.06M","-10.50%"
"Mar 26, 2020","23.81","23.60","25.72","23.36","12.34M","3.12%"
"Mar 25, 2020","23.09","20.12","24.46","19.75","11.93M","12.41%"
"Mar 24, 2020","20.54","18.28","22.20","18.28","13.89M","17.30%"
"Mar 23, 2020","17.51","18.63","18.99","16.83","7.08M","-7.99%"
"Mar 20, 2020","19.03","20.82","20.89","18.33","8.53M","-4.75%"
"Mar 19, 2020","19.98","16.64","20.86","15.95","12.27M","16.16%"
"Mar 18, 2020","17.20","17.11","18.45","14.67","14.46M","-11.79%"
"Mar 17, 2020","19.50","18.91","21.21","17.58","11.93M","5.35%"
"Mar 16, 2020","18.51","21.00","21.02","18.51","6.10M","-22.39%"
"Mar 13, 2020","23.85","24.31","25.73","21.54","7.02M","6.28%"
"Mar 12, 2020","22.44","22.00","24.21","21.95","5.65M","-13.59%"
"Mar 11, 2020","25.97","26.93","27.75","24.05","6.50M","-7.35%"
"Mar 10, 2020","28.03","27.00","28.20","26.72","7.41M","4.24%"
"Mar 09, 2020","26.89","28.33","28.35","26.59","8.73M","-8.72%"
"Mar 06, 2020","29.46","28.50","29.74","28.30","4.53M","-2.51%"
"Mar 05, 2020","30.22","32.11","32.38","29.61","4.05M","-6.27%"
"Mar 04, 2020","32.24","31.72","32.48","31.25","4.30M","3.27%"
"Mar 03, 2020","31.22","31.81","33.00","30.92","4.20M","-1.45%"
"Mar 02, 2020","31.68","30.40","31.99","30.34","5.17M","3.80%"
"Feb 28, 2020","30.52","30.74","30.85","29.17","7.42M","-0.55%"
"Feb 27, 2020","30.69","30.97","31.26","30.12","8.34M","-1.82%"
"Feb 26, 2020","31.26","31.53","32.23","30.86","5.63M","-7.51%"
"Feb 21, 2020","33.80","33.46","33.86","33.05","2.89M","0.60%"
