"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","0.040","0.041","0.041","0.039","11.05M","0.00%"
"Oct 24, 2019","0.040","0.041","0.041","0.040","5.88M","-2.44%"
"Oct 23, 2019","0.041","0.041","0.041","0.040","6.77M","0.00%"
"Oct 22, 2019","0.041","0.042","0.042","0.039","9.34M","0.00%"
"Oct 21, 2019","0.041","0.042","0.043","0.040","10.42M","-2.38%"
"Oct 18, 2019","0.042","0.042","0.043","0.041","9.96M","0.00%"
"Oct 17, 2019","0.042","0.044","0.044","0.040","12.94M","-2.33%"
"Oct 16, 2019","0.043","0.042","0.045","0.041","12.97M","2.38%"
"Oct 15, 2019","0.042","0.043","0.044","0.040","11.37M","-2.33%"
"Oct 14, 2019","0.043","0.046","0.048","0.042","17.82M","-8.51%"
"Oct 11, 2019","0.047","0.040","0.050","0.038","52.70M","17.50%"
"Oct 10, 2019","0.040","0.038","0.042","0.038","14.98M","2.56%"
"Oct 09, 2019","0.039","0.042","0.045","0.034","30.10M","-7.14%"
"Oct 08, 2019","0.042","0.047","0.048","0.037","22.98M","-8.70%"
"Oct 07, 2019","0.046","0.045","0.052","0.041","31.59M","-4.17%"
"Oct 04, 2019","0.048","0.050","0.054","0.046","30.18M","-5.88%"
"Oct 03, 2019","0.051","0.060","0.065","0.046","55.11M","-10.53%"
"Oct 02, 2019","0.057","0.058","0.070","0.052","168.04M","11.76%"
"Oct 01, 2019","0.051","0.034","0.056","0.030","111.62M","50.00%"
"Sep 30, 2019","0.034","0.036","0.036","0.033","12.36M","-2.86%"
"Sep 27, 2019","0.035","0.038","0.038","0.035","9.22M","-2.78%"
"Sep 26, 2019","0.036","0.036","0.039","0.035","13.14M","0.00%"
"Sep 25, 2019","0.036","0.036","0.037","0.034","10.66M","-2.70%"
"Sep 24, 2019","0.037","0.040","0.040","0.036","9.97M","-7.50%"
"Sep 23, 2019","0.040","0.035","0.040","0.034","13.67M","14.29%"
"Sep 20, 2019","0.035","0.037","0.037","0.031","12.27M","-5.41%"
"Sep 19, 2019","0.037","0.040","0.040","0.036","12.99M","-7.50%"
"Sep 18, 2019","0.040","0.041","0.041","0.040","10.78M","0.00%"
"Sep 17, 2019","0.040","0.042","0.042","0.040","8.52M","-4.76%"
"Sep 16, 2019","0.042","0.041","0.043","0.040","10.36M","5.00%"
"Sep 13, 2019","0.040","0.041","0.041","0.040","6.70M","-2.44%"
"Sep 12, 2019","0.041","0.041","0.042","0.039","13.57M","0.00%"
"Sep 11, 2019","0.041","0.043","0.043","0.041","9.83M","-2.38%"
"Sep 10, 2019","0.042","0.043","0.043","0.041","10.02M","-2.33%"
"Sep 09, 2019","0.043","0.045","0.045","0.042","10.71M","-2.27%"
"Sep 06, 2019","0.044","0.043","0.044","0.041","12.74M","2.33%"
"Sep 05, 2019","0.043","0.045","0.045","0.043","15.09M","-4.44%"
"Sep 04, 2019","0.045","0.043","0.052","0.041","28.66M","4.65%"
"Sep 03, 2019","0.043","0.047","0.047","0.040","28.53M","-8.51%"
"Aug 30, 2019","0.047","0.047","0.048","0.045","18.54M","-2.08%"
"Aug 29, 2019","0.048","0.048","0.049","0.047","12.41M","0.00%"
"Aug 28, 2019","0.048","0.049","0.050","0.047","25.15M","-2.04%"
"Aug 27, 2019","0.049","0.051","0.051","0.047","23.97M","-3.92%"
"Aug 26, 2019","0.051","0.051","0.052","0.046","26.19M","0.00%"
"Aug 23, 2019","0.051","0.055","0.057","0.050","31.00M","-1.92%"
"Aug 22, 2019","0.052","0.050","0.058","0.049","34.14M","4.00%"
"Aug 21, 2019","0.050","0.051","0.051","0.045","43.06M","-3.85%"
"Aug 20, 2019","0.052","0.054","0.054","0.050","32.35M","-3.70%"
"Aug 19, 2019","0.054","0.059","0.060","0.050","29.76M","-5.26%"
"Aug 16, 2019","0.057","0.058","0.060","0.052","25.94M","-5.00%"
"Aug 15, 2019","0.060","0.067","0.067","0.057","34.14M","-23.08%"
"Aug 14, 2019","0.078","0.080","0.084","0.075","16.69M","-1.27%"
"Aug 13, 2019","0.079","0.082","0.082","0.070","17.47M","2.60%"
"Aug 12, 2019","0.077","0.090","0.092","0.072","27.08M","-15.38%"
"Aug 09, 2019","0.091","0.092","0.092","0.087","14.96M","-2.15%"
"Aug 08, 2019","0.093","0.093","0.099","0.086","29.48M","8.14%"
"Aug 07, 2019","0.086","0.086","0.109","0.085","91.87M","17.81%"
"Aug 06, 2019","0.073","0.075","0.077","0.070","22.53M","-1.35%"
"Aug 05, 2019","0.074","0.077","0.077","0.070","10.45M","-1.33%"
"Aug 02, 2019","0.075","0.079","0.085","0.065","24.02M","4.17%"
"Aug 01, 2019","0.072","0.088","0.089","0.061","53.26M","-14.29%"
"Jul 31, 2019","0.084","0.092","0.095","0.081","25.47M","-9.68%"
"Jul 30, 2019","0.093","0.095","0.095","0.088","18.97M","2.20%"
"Jul 29, 2019","0.091","0.096","0.096","0.090","11.20M","-5.21%"
"Jul 26, 2019","0.096","0.104","0.105","0.095","18.22M","-9.43%"
"Jul 25, 2019","0.106","0.098","0.108","0.090","20.47M","11.58%"
"Jul 24, 2019","0.095","0.097","0.107","0.090","10.64M","-5.00%"
"Jul 23, 2019","0.100","0.103","0.103","0.097","8.87M","-2.91%"
"Jul 22, 2019","0.103","0.098","0.109","0.088","35.49M","-27.46%"
"Jul 19, 2019","0.142","0.131","0.148","0.128","5.59M","7.58%"
"Jul 18, 2019","0.132","0.150","0.152","0.122","7.37M","-11.41%"
"Jul 17, 2019","0.149","0.154","0.154","0.146","2.57M","-0.67%"
"Jul 16, 2019","0.150","0.152","0.160","0.140","6.57M","-1.32%"
"Jul 15, 2019","0.152","0.159","0.165","0.150","4.75M","-3.80%"
"Jul 12, 2019","0.158","0.164","0.170","0.155","4.63M","-5.39%"
"Jul 11, 2019","0.167","0.160","0.170","0.152","13.45M","9.87%"
"Jul 10, 2019","0.152","0.187","0.187","0.140","34.96M","-15.56%"
"Jul 09, 2019","0.180","0.221","0.222","0.172","11.56M","-31.82%"
"Jul 08, 2019","0.264","0.215","0.279","0.190","31.43M","73.68%"
"Jul 05, 2019","0.152","0.150","0.155","0.135","4.98M","-3.80%"
"Jul 03, 2019","0.158","0.145","0.160","0.135","3.43M","13.67%"
"Jul 02, 2019","0.139","0.144","0.149","0.130","1.06M","-4.14%"
"Jul 01, 2019","0.145","0.149","0.159","0.130","2.16M","6.62%"
"Jun 28, 2019","0.136","0.157","0.160","0.130","2.38M","-5.56%"
"Jun 27, 2019","0.144","0.211","0.223","0.128","6.51M","-32.08%"
"Jun 26, 2019","0.212","0.229","0.237","0.201","2.43M","-9.79%"
"Jun 25, 2019","0.235","0.242","0.254","0.229","180.76K","-2.49%"
