"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 04, 2019","31.16","31.81","31.82","31.16","-","-2.01%"
"Nov 01, 2019","31.80","31.15","32.00","31.05","4.43M","2.05%"
"Oct 31, 2019","31.16","31.00","31.65","30.62","5.25M","0.48%"
"Oct 30, 2019","31.01","30.31","31.12","30.05","7.15M","2.24%"
"Oct 29, 2019","30.33","31.33","31.41","30.31","4.18M","-2.79%"
"Oct 28, 2019","31.20","31.94","32.13","31.11","5.42M","-2.35%"
"Oct 25, 2019","31.95","31.21","32.10","30.96","3.29M","2.34%"
"Oct 24, 2019","31.22","32.20","32.23","30.88","4.62M","-2.22%"
"Oct 23, 2019","31.93","32.69","32.77","31.69","3.28M","-2.27%"
"Oct 22, 2019","32.67","32.17","32.85","32.17","1.89M","1.37%"
"Oct 21, 2019","32.23","32.44","32.69","31.81","2.57M","-0.15%"
"Oct 18, 2019","32.28","32.60","32.92","32.03","2.24M","-0.65%"
"Oct 17, 2019","32.49","32.16","32.87","31.96","2.71M","1.21%"
"Oct 16, 2019","32.10","31.89","32.40","31.55","1.94M","0.85%"
"Oct 15, 2019","31.83","31.95","32.47","31.62","6.52M","-0.22%"
"Oct 14, 2019","31.90","31.84","32.31","31.47","2.52M","0.19%"
"Oct 11, 2019","31.84","32.21","32.45","31.72","2.54M","0.06%"
"Oct 10, 2019","31.82","32.05","32.19","31.60","2.10M","-0.16%"
"Oct 09, 2019","31.87","32.74","32.98","31.87","17.40M","-1.79%"
"Oct 08, 2019","32.45","33.30","33.59","32.45","2.86M","-2.23%"
"Oct 07, 2019","33.19","34.61","35.09","33.19","3.38M","-3.94%"
"Oct 04, 2019","34.55","33.69","34.73","33.69","2.23M","2.77%"
"Oct 03, 2019","33.62","33.27","34.03","32.46","3.03M","1.27%"
"Oct 02, 2019","33.20","33.66","33.83","32.92","3.33M","-1.63%"
"Oct 01, 2019","33.75","34.08","34.26","33.62","4.27M","-0.32%"
"Sep 30, 2019","33.86","35.00","35.13","33.86","5.41M","-2.84%"
"Sep 27, 2019","34.85","35.34","35.64","34.83","3.99M","-1.41%"
"Sep 26, 2019","35.35","35.82","36.44","35.30","1.94M","-0.70%"
"Sep 25, 2019","35.60","36.45","36.98","35.60","3.32M","-2.25%"
"Sep 24, 2019","36.42","36.03","37.37","35.79","7.18M","1.00%"
"Sep 23, 2019","36.06","35.90","36.44","35.20","3.63M","0.53%"
"Sep 20, 2019","35.87","36.70","37.23","35.87","8.72M","-1.86%"
"Sep 19, 2019","36.55","36.25","37.10","36.21","6.00M","1.11%"
"Sep 18, 2019","36.15","36.47","37.56","35.84","3.37M","-0.06%"
"Sep 17, 2019","36.17","35.41","36.29","35.36","5.84M","1.17%"
"Sep 16, 2019","35.75","34.80","35.75","34.31","3.42M","3.23%"
"Sep 13, 2019","34.63","34.63","35.00","34.02","4.86M","0.52%"
"Sep 12, 2019","34.45","34.08","34.86","33.92","3.47M","2.01%"
"Sep 11, 2019","33.77","32.05","33.84","31.89","4.62M","5.37%"
"Sep 10, 2019","32.05","32.18","32.48","31.79","3.10M","-1.05%"
"Sep 09, 2019","32.39","32.44","32.80","32.20","2.86M","-0.34%"
"Sep 06, 2019","32.50","32.50","32.56","31.88","3.42M","0.43%"
"Sep 05, 2019","32.36","32.51","32.98","32.05","2.24M","-0.22%"
"Sep 04, 2019","32.43","32.65","32.80","32.12","2.41M","0.71%"
"Sep 03, 2019","32.20","33.05","33.51","32.20","1.67M","-2.81%"
"Sep 02, 2019","33.13","33.45","33.45","32.45","1.31M","0.42%"
"Aug 30, 2019","32.99","33.70","34.06","32.90","5.74M","-1.43%"
"Aug 29, 2019","33.47","33.05","33.54","32.70","2.62M","1.79%"
"Aug 28, 2019","32.88","31.44","33.07","31.12","4.11M","4.31%"
"Aug 27, 2019","31.52","30.38","32.01","30.38","6.51M","4.20%"
"Aug 26, 2019","30.25","30.55","30.69","30.05","2.02M","-0.98%"
"Aug 23, 2019","30.55","30.67","31.14","29.90","3.24M","-0.65%"
"Aug 22, 2019","30.75","31.49","31.91","30.61","2.76M","-2.16%"
"Aug 21, 2019","31.43","31.27","31.75","30.95","2.35M","0.80%"
"Aug 20, 2019","31.18","31.57","31.78","30.70","2.97M","-1.48%"
"Aug 19, 2019","31.65","31.73","32.28","31.51","2.83M","-0.31%"
"Aug 16, 2019","31.75","32.43","32.91","31.27","4.47M","-1.06%"
"Aug 15, 2019","32.09","33.03","33.06","31.63","7.06M","0.28%"
"Aug 14, 2019","32.00","33.05","33.16","32.00","4.07M","-3.18%"
"Aug 13, 2019","33.05","31.94","33.08","31.55","3.56M","3.15%"
"Aug 12, 2019","32.04","32.35","32.77","32.04","2.60M","-2.67%"
"Aug 09, 2019","32.92","32.56","33.33","32.33","2.15M","1.11%"
"Aug 08, 2019","32.56","33.00","33.54","32.45","4.03M","-0.61%"
"Aug 07, 2019","32.76","32.90","32.90","31.99","5.89M","-0.91%"
"Aug 06, 2019","33.06","31.80","33.16","31.80","4.04M","4.26%"
"Aug 05, 2019","31.71","31.48","31.84","31.30","3.22M","-0.63%"
"Aug 02, 2019","31.91","31.45","32.20","31.16","3.43M","1.08%"
