"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","1.86","1.87","1.88","1.84","441.63K","-1.06%"
"Oct 24, 2019","1.88","1.91","1.91","1.84","358.86K","-1.57%"
"Oct 23, 2019","1.91","1.93","1.93","1.85","395.83K","0.00%"
"Oct 22, 2019","1.91","1.93","1.93","1.86","475.56K","0.00%"
"Oct 21, 2019","1.91","1.99","2.00","1.86","899.58K","-4.02%"
"Oct 18, 2019","1.99","2.07","2.09","1.98","593.08K","-2.93%"
"Oct 17, 2019","2.05","2.03","2.09","2.03","791.32K","1.99%"
"Oct 16, 2019","2.01","1.95","2.04","1.92","812.15K","3.08%"
"Oct 15, 2019","1.95","1.94","2.03","1.92","799.37K","2.09%"
"Oct 14, 2019","1.91","1.80","1.91","1.78","796.95K","7.30%"
"Oct 11, 2019","1.78","1.78","1.85","1.74","773.06K","2.30%"
"Oct 10, 2019","1.74","1.71","1.81","1.62","1.32M","-0.57%"
"Oct 09, 2019","1.75","1.87","1.87","1.73","998.26K","-5.41%"
"Oct 08, 2019","1.85","1.85","1.87","1.76","677.62K","0.00%"
"Oct 07, 2019","1.85","1.89","1.91","1.84","433.76K","-2.12%"
"Oct 04, 2019","1.89","1.89","1.92","1.82","819.33K","1.07%"
"Oct 03, 2019","1.87","1.91","1.91","1.81","992.78K","-1.06%"
"Oct 02, 2019","1.89","1.88","1.92","1.81","985.98K","-1.05%"
"Oct 01, 2019","1.91","2.01","2.04","1.86","867.07K","-4.50%"
"Sep 30, 2019","2.00","2.01","2.04","1.96","516.75K","-0.99%"
"Sep 27, 2019","2.02","2.05","2.10","1.99","784.90K","-0.98%"
"Sep 26, 2019","2.04","2.10","2.10","1.99","747.94K","-2.39%"
"Sep 25, 2019","2.09","2.15","2.16","2.07","664.39K","-3.24%"
"Sep 24, 2019","2.16","2.23","2.27","2.06","968.19K","-2.70%"
"Sep 23, 2019","2.22","2.19","2.23","2.16","618.85K","0.91%"
"Sep 20, 2019","2.20","2.22","2.27","2.15","1.04M","-0.45%"
"Sep 19, 2019","2.21","2.29","2.35","2.18","954.99K","-2.21%"
"Sep 18, 2019","2.26","2.35","2.40","2.23","1.20M","-3.83%"
"Sep 17, 2019","2.35","2.50","2.50","2.32","1.78M","-7.48%"
"Sep 16, 2019","2.54","2.63","2.65","2.53","1.35M","-1.55%"
"Sep 13, 2019","2.58","2.58","2.65","2.50","1.24M","1.57%"
"Sep 12, 2019","2.54","2.46","2.69","2.44","2.96M","4.96%"
"Sep 11, 2019","2.42","2.33","2.47","2.33","2.35M","4.31%"
