"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","15.77","15.73","16.00","15.48","3.79M","3.27%"
"May 15, 2020","15.27","15.86","16.15","14.99","14.12M","-4.50%"
"May 14, 2020","15.99","15.39","15.99","14.92","2.97M","1.98%"
"May 13, 2020","15.68","15.96","16.16","15.16","3.04M","-1.45%"
"May 12, 2020","15.91","16.17","16.40","15.84","2.87M","-1.06%"
"May 11, 2020","16.08","16.14","16.44","15.77","4.12M","-0.74%"
"May 08, 2020","16.20","16.19","16.61","15.65","5.45M","1.50%"
"May 07, 2020","15.96","17.54","17.54","15.84","4.24M","-7.48%"
"May 06, 2020","17.25","17.70","17.78","16.77","4.11M","-2.54%"
"May 05, 2020","17.70","18.10","18.19","17.52","1.86M","-0.90%"
"May 04, 2020","17.86","17.61","17.98","17.40","2.52M","-2.24%"
"Apr 30, 2020","18.27","18.58","18.80","17.66","2.08M","-2.72%"
"Apr 29, 2020","18.78","18.78","18.93","18.26","3.21M","1.40%"
"Apr 28, 2020","18.52","19.00","19.29","18.17","4.31M","2.04%"
"Apr 27, 2020","18.15","17.79","18.30","17.37","2.99M","2.48%"
"Apr 24, 2020","17.71","18.19","18.26","16.61","2.76M","-5.45%"
"Apr 23, 2020","18.73","19.09","19.22","18.12","2.85M","-1.00%"
"Apr 22, 2020","18.92","17.49","19.09","17.19","3.67M","8.11%"
"Apr 20, 2020","17.50","16.74","17.64","16.65","5.33M","1.10%"
"Apr 17, 2020","17.31","17.46","17.46","16.60","6.31M","1.29%"
"Apr 16, 2020","17.09","17.50","17.60","16.51","3.26M","-1.67%"
"Apr 15, 2020","17.38","17.15","17.65","16.95","1.85M","-0.57%"
"Apr 14, 2020","17.48","17.90","18.08","17.30","2.73M","-1.52%"
"Apr 13, 2020","17.75","17.04","17.95","16.71","3.07M","3.20%"
"Apr 09, 2020","17.20","17.22","17.66","17.01","3.96M","0.88%"
"Apr 08, 2020","17.05","16.40","17.37","15.50","4.55M","4.60%"
"Apr 07, 2020","16.30","16.65","17.10","16.06","4.93M","0.56%"
"Apr 06, 2020","16.21","15.44","16.21","15.02","12.13M","8.79%"
"Apr 03, 2020","14.90","15.95","15.95","14.62","5.21M","-6.05%"
"Apr 02, 2020","15.86","16.18","16.35","15.41","4.27M","-2.64%"
"Apr 01, 2020","16.29","16.40","16.88","15.80","4.48M","-5.24%"
"Mar 31, 2020","17.19","17.21","17.60","16.88","4.24M","1.78%"
"Mar 30, 2020","16.89","16.70","17.40","16.30","2.64M","1.14%"
"Mar 27, 2020","16.70","16.60","17.45","16.32","3.20M","-5.38%"
"Mar 26, 2020","17.65","16.30","17.78","16.30","4.22M","8.28%"
"Mar 25, 2020","16.30","15.93","16.63","14.71","10.57M","3.16%"
"Mar 24, 2020","15.80","16.69","16.77","15.77","3.43M","-0.94%"
"Mar 23, 2020","15.95","16.70","16.90","14.57","3.49M","-5.62%"
"Mar 20, 2020","16.90","17.99","18.10","16.09","4.95M","-0.59%"
"Mar 19, 2020","17.00","16.37","17.38","15.40","4.12M","-2.58%"
"Mar 18, 2020","17.45","18.01","18.02","14.21","5.13M","-11.65%"
"Mar 17, 2020","19.75","18.61","20.34","17.30","5.79M","8.52%"
"Mar 16, 2020","18.20","16.02","18.99","15.97","3.17M","-5.70%"
"Mar 13, 2020","19.30","18.99","19.30","17.10","10.78M","11.88%"
"Mar 12, 2020","17.25","18.90","18.95","16.80","7.19M","-18.36%"
"Mar 11, 2020","21.13","21.68","21.89","19.49","3.03M","-4.82%"
"Mar 10, 2020","22.20","22.49","23.16","21.18","3.57M","1.37%"
"Mar 09, 2020","21.90","22.09","22.41","21.14","3.33M","-6.85%"
"Mar 06, 2020","23.51","24.01","24.05","23.01","2.11M","-5.28%"
