"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","1.42","1.38","1.44","1.31","1.94M","3.65%"
"Oct 28, 2019","1.37","1.40","1.44","1.37","3.20M","-1.44%"
"Oct 25, 2019","1.39","1.38","1.41","1.34","3.09M","0.00%"
"Oct 24, 2019","1.39","1.43","1.46","1.36","3.59M","-2.80%"
"Oct 23, 2019","1.43","1.38","1.45","1.33","4.09M","2.14%"
"Oct 22, 2019","1.40","1.34","1.42","1.27","3.89M","6.06%"
"Oct 21, 2019","1.32","1.25","1.35","1.25","3.39M","1.54%"
"Oct 18, 2019","1.30","1.29","1.33","1.25","2.87M","0.00%"
"Oct 17, 2019","1.30","1.33","1.36","1.26","2.34M","-2.99%"
"Oct 16, 2019","1.34","1.33","1.43","1.32","4.58M","0.00%"
"Oct 15, 2019","1.34","1.34","1.43","1.32","3.38M","-0.74%"
"Oct 14, 2019","1.35","1.31","1.37","1.23","2.41M","1.50%"
"Oct 11, 2019","1.33","1.23","1.35","1.22","6.14M","11.76%"
"Oct 10, 2019","1.19","1.20","1.22","1.15","3.02M","1.71%"
"Oct 09, 2019","1.17","1.19","1.21","1.14","2.83M","1.74%"
"Oct 08, 2019","1.15","1.13","1.21","1.10","3.43M","-0.86%"
"Oct 07, 2019","1.16","1.19","1.27","1.15","4.07M","-1.69%"
"Oct 04, 2019","1.18","1.19","1.23","1.15","2.40M","0.00%"
"Oct 03, 2019","1.18","1.15","1.22","1.12","4.79M","1.72%"
"Oct 02, 2019","1.16","1.19","1.22","1.12","3.79M","-2.52%"
"Oct 01, 2019","1.19","1.28","1.35","1.18","2.88M","-6.30%"
"Sep 30, 2019","1.27","1.30","1.33","1.18","5.63M","-3.79%"
"Sep 27, 2019","1.32","1.34","1.39","1.31","3.74M","-3.65%"
"Sep 26, 2019","1.37","1.50","1.50","1.35","5.29M","-9.27%"
"Sep 25, 2019","1.51","1.57","1.65","1.50","3.76M","-7.36%"
"Sep 24, 2019","1.63","1.86","1.86","1.63","4.91M","-13.76%"
"Sep 23, 2019","1.89","1.80","1.93","1.77","5.01M","1.07%"
"Sep 20, 2019","1.87","1.89","1.92","1.83","8.96M","0.54%"
"Sep 19, 2019","1.86","1.84","1.91","1.75","5.56M","3.33%"
"Sep 18, 2019","1.80","1.78","1.86","1.73","4.68M","-1.10%"
"Sep 17, 2019","1.82","1.86","1.92","1.71","7.50M","-2.67%"
"Sep 16, 2019","1.87","2.08","2.15","1.84","13.99M","-1.06%"
"Sep 13, 2019","1.89","1.95","2.04","1.86","3.71M","-3.57%"
"Sep 12, 2019","1.96","1.95","1.97","1.77","6.18M","-3.45%"
"Sep 11, 2019","2.03","1.99","2.13","1.89","7.86M","3.57%"
"Sep 10, 2019","1.96","2.00","2.08","1.93","10.43M","-1.01%"
"Sep 09, 2019","1.98","1.79","2.00","1.75","6.52M","13.14%"
"Sep 06, 2019","1.75","1.83","1.94","1.70","8.92M","-7.41%"
"Sep 05, 2019","1.89","1.69","1.90","1.66","7.15M","14.55%"
