"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 27, 2019","1.000","1.000","1.000","1.000","-","0.00%"
"Oct 26, 2019","1.000","1.000","1.000","1.000","-","0.00%"
"Oct 25, 2019","1.000","0.986","1.010","0.986","3.26M","1.42%"
"Oct 24, 2019","0.986","0.992","1.015","0.986","2.07M","-0.40%"
"Oct 23, 2019","0.990","0.992","1.010","0.990","1.89M","-0.20%"
"Oct 22, 2019","0.992","0.980","0.995","0.961","2.43M","1.22%"
"Oct 21, 2019","0.980","1.000","1.010","0.970","2.66M","-2.00%"
"Oct 20, 2019","1.000","1.000","1.000","1.000","-","0.00%"
"Oct 19, 2019","1.000","1.000","1.000","1.000","-","0.00%"
"Oct 18, 2019","1.000","0.984","1.030","0.984","3.46M","1.63%"
"Oct 17, 2019","0.984","0.921","1.010","0.920","2.48M","6.84%"
"Oct 16, 2019","0.921","0.920","0.935","0.910","1.77M","0.11%"
"Oct 15, 2019","0.920","0.940","0.960","0.914","2.22M","-2.34%"
"Oct 14, 2019","0.942","0.940","0.970","0.930","1.46M","0.21%"
"Oct 13, 2019","0.940","0.940","0.940","0.940","-","0.00%"
"Oct 12, 2019","0.940","0.940","0.940","0.940","-","0.00%"
"Oct 11, 2019","0.940","0.970","0.987","0.940","2.88M","-4.76%"
"Oct 10, 2019","0.987","1.010","1.020","0.950","3.64M","-2.28%"
"Oct 09, 2019","1.010","1.070","1.070","1.000","2.48M","-2.88%"
"Oct 08, 2019","1.040","1.020","1.060","1.010","4.14M","4.00%"
"Oct 07, 2019","1.000","1.010","1.050","1.000","2.29M","-1.96%"
"Oct 06, 2019","1.020","1.020","1.020","1.020","-","0.00%"
"Oct 05, 2019","1.020","1.020","1.020","1.020","-","0.00%"
"Oct 04, 2019","1.020","1.030","1.030","0.999","4.63M","-0.97%"
"Oct 03, 2019","1.030","1.030","1.085","1.020","4.17M","0.00%"
"Oct 02, 2019","1.030","1.030","1.040","1.000","7.31M","1.98%"
"Oct 01, 2019","1.010","1.000","1.050","0.991","6.03M","0.00%"
"Sep 30, 2019","1.010","1.040","1.080","0.990","8.57M","-5.61%"
"Sep 29, 2019","1.070","1.070","1.070","1.070","-","0.00%"
"Sep 28, 2019","1.070","1.070","1.070","1.070","-","0.00%"
"Sep 27, 2019","1.070","1.150","1.180","1.050","9.67M","-7.76%"
"Sep 26, 2019","1.160","1.230","1.240","1.140","4.97M","-5.69%"
"Sep 25, 2019","1.230","1.320","1.335","1.205","7.47M","-8.21%"
"Sep 24, 2019","1.340","1.280","1.350","1.260","13.01M","3.08%"
"Sep 23, 2019","1.300","1.220","1.300","1.220","13.26M","11.11%"
"Sep 22, 2019","1.170","1.170","1.170","1.170","-","0.00%"
"Sep 21, 2019","1.170","1.170","1.170","1.170","-","0.00%"
"Sep 20, 2019","1.170","1.240","1.330","1.160","79.11M","-4.88%"
"Sep 19, 2019","1.230","1.240","1.245","1.200","7.47M","0.00%"
"Sep 18, 2019","1.230","1.260","1.260","1.170","9.22M","-0.81%"
"Sep 17, 2019","1.240","1.250","1.270","1.220","9.20M","0.00%"
"Sep 16, 2019","1.240","1.240","1.280","1.170","17.95M","3.33%"
"Sep 15, 2019","1.200","1.200","1.200","1.200","-","0.00%"
"Sep 14, 2019","1.200","1.200","1.200","1.200","-","0.00%"
"Sep 13, 2019","1.200","1.200","1.240","1.170","7.76M","0.00%"
"Sep 12, 2019","1.200","1.230","1.300","1.200","10.73M","-0.83%"
"Sep 11, 2019","1.210","1.170","1.230","1.170","4.89M","2.54%"
"Sep 10, 2019","1.180","1.140","1.210","1.140","5.19M","1.72%"
"Sep 09, 2019","1.160","1.220","1.240","1.110","7.53M","-4.92%"
"Sep 08, 2019","1.220","1.220","1.220","1.220","-","0.00%"
"Sep 07, 2019","1.220","1.220","1.220","1.220","-","0.00%"
"Sep 06, 2019","1.220","1.220","1.280","1.200","4.94M","-2.40%"
"Sep 05, 2019","1.250","1.240","1.260","1.190","6.53M","-0.79%"
"Sep 04, 2019","1.260","1.190","1.276","1.190","5.60M","5.00%"
"Sep 03, 2019","1.200","1.170","1.200","1.140","6.70M","7.14%"
"Sep 02, 2019","1.120","1.120","1.120","1.120","-","0.00%"
"Sep 01, 2019","1.120","1.120","1.120","1.120","-","0.00%"
"Aug 31, 2019","1.120","1.120","1.120","1.120","-","0.00%"
"Aug 30, 2019","1.120","1.160","1.170","1.120","3.10M","-3.45%"
"Aug 29, 2019","1.160","1.230","1.238","1.120","5.62M","-5.69%"
"Aug 28, 2019","1.230","1.270","1.280","1.210","4.30M","-0.81%"
"Aug 27, 2019","1.240","1.200","1.270","1.200","5.57M","1.64%"
"Aug 26, 2019","1.220","1.220","1.240","1.190","3.63M","1.67%"
"Aug 23, 2019","1.200","1.170","1.250","1.170","8.44M","2.56%"
