"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","28.86","28.85","29.09","28.83","892.03K","0.31%"
"Oct 25, 2019","28.77","28.53","28.81","28.48","881.71K","-1.91%"
"Oct 24, 2019","29.33","29.59","29.66","29.30","444.84K","0.20%"
"Oct 23, 2019","29.27","29.17","29.45","29.05","646.54K","-4.87%"
"Oct 22, 2019","30.77","31.02","31.13","30.70","438.69K","-0.23%"
"Oct 21, 2019","30.84","31.07","31.08","30.72","749.22K","-0.23%"
"Oct 18, 2019","30.91","31.14","31.23","30.75","357.03K","-0.64%"
"Oct 17, 2019","31.11","31.55","31.62","30.95","833.19K","1.70%"
"Oct 16, 2019","30.59","30.57","30.78","30.45","367.60K","0.33%"
"Oct 15, 2019","30.49","30.61","30.61","30.36","376.51K","-0.46%"
"Oct 14, 2019","30.63","30.65","30.81","30.58","281.46K","0.16%"
"Oct 11, 2019","30.58","30.52","30.83","30.45","499.31K","3.00%"
"Oct 10, 2019","29.69","29.81","30.02","29.62","1.58M","0.88%"
"Oct 09, 2019","29.43","29.31","29.48","29.31","411.52K","-0.10%"
"Oct 08, 2019","29.46","29.51","29.64","29.38","280.52K","-0.87%"
"Oct 07, 2019","29.72","29.92","29.97","29.63","213.39K","-1.16%"
"Oct 04, 2019","30.07","29.87","30.12","29.82","302.14K","0.70%"
"Oct 03, 2019","29.86","29.62","29.99","29.54","423.52K","1.88%"
"Oct 02, 2019","29.31","29.70","29.77","29.18","1.18M","-2.07%"
"Oct 01, 2019","29.93","30.05","30.12","29.93","200.90K","-0.10%"
"Sep 30, 2019","29.96","30.18","30.37","29.96","406.06K","0.23%"
"Sep 27, 2019","29.89","30.67","30.79","29.63","495.11K","-3.24%"
"Sep 26, 2019","30.89","31.39","31.43","30.86","509.98K","-1.15%"
"Sep 25, 2019","31.25","30.95","31.35","30.81","884.13K","-0.57%"
"Sep 24, 2019","31.43","31.61","31.69","31.27","852.03K","-1.72%"
"Sep 23, 2019","31.98","32.12","32.30","31.94","1.72M","-1.39%"
"Sep 20, 2019","32.43","32.48","32.74","32.31","2.15M","1.41%"
"Sep 19, 2019","31.98","32.47","32.76","31.96","628.58K","-1.87%"
"Sep 18, 2019","32.59","32.66","32.89","32.28","786.72K","-3.15%"
"Sep 17, 2019","33.65","33.58","33.75","33.44","1.04M","-32.74%"
"Sep 16, 2019","50.03","50.28","50.60","49.85","462.57K","-0.75%"
"Sep 13, 2019","50.41","50.82","50.82","50.30","703.62K","0.72%"
"Sep 12, 2019","50.05","50.22","50.55","49.79","902.98K","1.48%"
"Sep 11, 2019","49.32","49.36","49.60","49.22","1.27M","3.07%"
"Sep 10, 2019","47.85","47.65","47.87","47.36","739.21K","0.82%"
"Sep 09, 2019","47.46","47.96","47.96","47.23","640.62K","-1.10%"
"Sep 06, 2019","47.99","48.63","48.75","47.73","979.28K","-1.05%"
"Sep 05, 2019","48.50","48.55","48.68","48.08","364.21K","-0.02%"
"Sep 04, 2019","48.51","48.21","48.72","48.21","906.23K","3.99%"
"Sep 03, 2019","46.65","46.05","46.65","46.05","216.73K","3.09%"
"Aug 30, 2019","45.25","45.37","45.41","44.93","301.59K","1.66%"
"Aug 29, 2019","44.51","44.92","45.10","44.27","514.84K","1.83%"
"Aug 28, 2019","43.71","43.81","44.14","43.63","265.83K","-1.22%"
"Aug 27, 2019","44.25","44.53","44.80","44.25","249.25K","0.05%"
"Aug 26, 2019","44.23","44.68","44.70","44.22","289.15K","0.64%"
"Aug 23, 2019","43.95","44.83","45.38","43.95","325.66K","-2.03%"
"Aug 22, 2019","44.86","45.21","45.35","44.62","293.81K","-0.64%"
"Aug 21, 2019","45.15","45.32","45.33","44.93","292.64K","1.57%"
"Aug 20, 2019","44.45","44.48","44.74","44.39","132.68K","0.34%"
"Aug 19, 2019","44.30","44.70","44.80","44.15","362.73K","0.18%"
"Aug 16, 2019","44.22","44.03","44.39","43.91","173.35K","0.55%"
"Aug 15, 2019","43.98","43.91","44.24","43.64","108.29K","0.62%"
"Aug 14, 2019","43.71","44.03","44.19","43.50","248.33K","-4.87%"
"Aug 13, 2019","45.95","44.88","46.71","44.66","373.94K","1.88%"
"Aug 12, 2019","45.10","45.04","45.25","44.74","175.66K","-0.11%"
"Aug 09, 2019","45.15","45.40","45.90","45.01","157.55K","-2.10%"
"Aug 08, 2019","46.12","45.81","46.22","45.59","353.69K","1.88%"
"Aug 07, 2019","45.27","44.68","45.40","44.48","245.00K","0.49%"
"Aug 06, 2019","45.05","45.42","45.53","44.65","338.30K","0.47%"
"Aug 05, 2019","44.84","45.13","45.30","44.29","342.37K","-5.92%"
"Aug 02, 2019","47.66","48.18","48.30","47.40","197.80K","-1.22%"
"Aug 01, 2019","48.25","49.73","50.30","48.15","485.51K","-1.71%"
"Jul 31, 2019","49.09","49.43","49.84","48.35","291.29K","-2.11%"
"Jul 30, 2019","50.15","50.19","50.33","49.97","352.71K","-1.57%"
"Jul 29, 2019","50.95","51.05","51.05","50.53","256.34K","1.05%"
"Jul 26, 2019","50.42","50.74","50.88","50.30","233.14K","-0.67%"
"Jul 25, 2019","50.76","50.56","50.94","50.14","602.08K","0.04%"
"Jul 24, 2019","50.74","50.41","50.80","50.36","135.49K","1.10%"
"Jul 23, 2019","50.19","50.30","50.42","49.88","224.63K","0.84%"
"Jul 22, 2019","49.77","50.05","50.10","49.77","214.75K","0.34%"
"Jul 19, 2019","49.60","49.91","50.03","49.46","188.40K","0.47%"
"Jul 18, 2019","49.37","48.94","49.50","48.90","140.10K","0.10%"
"Jul 17, 2019","49.32","49.38","49.66","49.22","363.85K","-1.40%"
"Jul 16, 2019","50.02","50.12","50.25","49.92","244.60K","-0.18%"
"Jul 15, 2019","50.11","49.94","50.17","49.70","772.39K","2.52%"
"Jul 12, 2019","48.88","48.80","49.00","48.52","312.93K","-1.29%"
"Jul 11, 2019","49.52","49.77","49.85","49.30","214.31K","0.12%"
"Jul 10, 2019","49.46","49.44","49.77","49.26","272.50K","1.98%"
"Jul 09, 2019","48.50","48.02","48.50","47.84","116.30K","-0.59%"
"Jul 08, 2019","48.79","48.98","48.98","48.62","196.30K","-0.73%"
"Jul 05, 2019","49.15","49.67","49.67","48.82","124.98K","-1.21%"
"Jul 03, 2019","49.75","49.38","49.82","49.27","126.61K","0.14%"
"Jul 02, 2019","49.68","49.61","49.70","49.20","247.26K","-1.04%"
"Jul 01, 2019","50.20","50.08","50.34","49.78","293.54K","3.65%"
"Jun 28, 2019","48.43","48.25","48.68","48.20","210.44K","0.60%"
"Jun 27, 2019","48.14","47.70","48.14","47.65","228.57K","0.59%"
"Jun 26, 2019","47.86","47.85","48.13","47.80","149.36K","2.48%"
"Jun 25, 2019","46.70","47.11","47.28","46.63","252.95K","-2.34%"
"Jun 24, 2019","47.82","47.67","48.20","47.47","348.99K","-0.89%"
"Jun 21, 2019","48.25","48.01","48.87","47.82","256.66K","-0.31%"
"Jun 20, 2019","48.40","48.93","49.25","48.20","373.67K","-0.84%"
"Jun 19, 2019","48.81","48.15","48.91","47.44","291.71K","1.54%"
"Jun 18, 2019","48.07","47.33","48.50","47.22","223.40K","3.85%"
"Jun 17, 2019","46.29","46.45","46.72","46.29","159.19K","0.24%"
"Jun 14, 2019","46.18","46.41","46.71","46.10","326.64K","-0.47%"
"Jun 13, 2019","46.40","46.60","46.75","46.40","303.97K","-0.39%"
"Jun 12, 2019","46.58","46.80","48.30","46.33","523.24K","-2.12%"
"Jun 11, 2019","47.59","47.52","47.75","47.10","348.59K","1.08%"
"Jun 10, 2019","47.08","47.25","47.54","46.93","316.91K","2.50%"
"Jun 07, 2019","45.93","45.70","46.50","45.70","293.60K","1.35%"
"Jun 06, 2019","45.32","44.95","45.60","44.88","798.17K","-0.26%"
"Jun 05, 2019","45.44","46.22","46.26","45.33","949.59K","-1.45%"
"Jun 04, 2019","46.11","45.56","46.42","45.36","616.50K","-0.56%"
"Jun 03, 2019","46.37","45.98","46.42","45.93","176.25K","3.11%"
"May 31, 2019","44.97","44.21","45.02","44.18","269.37K","0.76%"
"May 30, 2019","44.63","44.41","44.83","44.20","481.65K","1.41%"
"May 29, 2019","44.01","43.41","44.17","43.18","749.97K","4.99%"
"May 28, 2019","41.92","42.83","42.87","41.81","297.64K","-2.06%"
"May 24, 2019","42.80","43.51","43.55","42.80","513.36K","0.68%"
"May 23, 2019","42.51","43.13","43.13","42.39","493.27K","-3.87%"
"May 22, 2019","44.22","44.47","44.63","43.98","294.74K","-0.45%"
"May 21, 2019","44.42","44.32","44.75","44.10","214.12K","0.05%"
"May 20, 2019","44.40","44.70","44.70","44.25","363.15K","-2.48%"
"May 17, 2019","45.53","46.06","46.29","45.41","226.43K","-3.27%"
"May 16, 2019","47.07","47.29","47.97","46.95","251.55K","0.51%"
"May 15, 2019","46.83","46.51","47.02","46.27","223.49K","-0.99%"
"May 14, 2019","47.30","47.38","47.64","47.05","201.23K","1.11%"
"May 13, 2019","46.78","46.81","46.95","46.40","397.49K","-4.61%"
"May 10, 2019","49.04","48.46","49.26","48.01","354.62K","1.51%"
"May 09, 2019","48.31","47.87","48.54","47.09","322.68K","-2.03%"
"May 08, 2019","49.31","49.22","50.10","49.22","462.07K","1.94%"
"May 07, 2019","48.37","49.35","49.61","48.07","449.84K","-3.84%"
"May 06, 2019","50.30","49.02","50.35","49.02","520.62K","-3.29%"
"May 03, 2019","52.01","51.58","52.08","51.34","563.01K","2.58%"
"May 02, 2019","50.70","50.69","51.03","50.40","835.54K","-0.53%"
"May 01, 2019","50.97","51.38","51.92","50.97","248.76K","-0.93%"
"Apr 30, 2019","51.45","51.27","51.65","50.91","561.53K","-0.17%"
"Apr 29, 2019","51.54","51.65","52.02","51.06","208.71K","0.31%"
"Apr 26, 2019","51.38","51.20","51.45","50.80","376.12K","1.54%"
"Apr 25, 2019","50.60","50.33","50.79","50.14","773.54K","-1.13%"
"Apr 24, 2019","51.18","51.38","51.51","51.00","1.00M","-0.60%"
"Apr 23, 2019","51.49","50.90","51.56","50.80","305.21K","0.45%"
"Apr 22, 2019","51.26","51.60","51.69","51.16","96.28K","-1.06%"
"Apr 18, 2019","51.81","51.04","51.89","51.04","97.04K","0.27%"
"Apr 17, 2019","51.67","51.96","51.96","51.54","163.83K","0.94%"
"Apr 16, 2019","51.19","50.69","51.19","50.54","140.28K","1.79%"
"Apr 15, 2019","50.29","50.38","50.38","49.90","189.45K","-2.14%"
"Apr 12, 2019","51.39","51.40","51.66","51.23","683.10K","1.22%"
"Apr 11, 2019","50.77","51.02","51.19","50.44","205.90K","-2.14%"
"Apr 10, 2019","51.88","51.03","51.99","50.89","735.24K","4.07%"
"Apr 09, 2019","49.85","49.84","50.29","49.64","354.97K","0.71%"
"Apr 08, 2019","49.50","49.79","49.80","49.35","307.60K","-0.58%"
"Apr 05, 2019","49.79","49.47","49.87","49.28","234.58K","1.63%"
"Apr 04, 2019","48.99","48.71","49.20","48.70","251.05K","0.41%"
"Apr 03, 2019","48.79","48.68","49.04","48.51","405.16K","2.11%"
"Apr 02, 2019","47.78","47.50","47.78","47.37","252.77K","0.08%"
"Apr 01, 2019","47.74","47.49","47.78","47.17","670.07K","2.82%"
"Mar 29, 2019","46.43","46.34","46.49","45.88","417.50K","2.70%"
"Mar 28, 2019","45.21","45.12","45.39","44.86","302.53K","0.22%"
"Mar 27, 2019","45.11","45.50","45.72","45.03","681.92K","0.24%"
"Mar 26, 2019","45.00","44.40","45.18","44.39","1.36M","0.02%"
"Mar 25, 2019","44.99","44.49","45.44","44.47","402.19K","1.35%"
"Mar 22, 2019","44.39","45.04","45.10","44.20","443.43K","-1.79%"
"Mar 21, 2019","45.20","44.19","45.26","43.94","341.75K","-0.15%"
"Mar 20, 2019","45.27","45.53","45.84","44.50","229.03K","0.24%"
"Mar 19, 2019","45.16","45.07","45.55","45.00","161.91K","0.31%"
"Mar 18, 2019","45.02","44.90","45.04","44.68","249.89K","1.74%"
"Mar 15, 2019","44.25","43.89","44.40","43.89","706.76K","1.54%"
"Mar 14, 2019","43.58","43.86","43.86","43.40","158.78K","-0.95%"
"Mar 13, 2019","44.00","44.05","44.38","43.95","228.67K","-0.34%"
"Mar 12, 2019","44.15","43.77","44.30","43.75","1.34M","-0.67%"
"Mar 11, 2019","44.45","43.77","44.45","43.46","640.81K","4.27%"
"Mar 08, 2019","42.63","42.62","42.79","42.31","424.31K","-1.64%"
"Mar 07, 2019","43.34","44.15","44.15","43.20","577.59K","-4.75%"
