"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","105.19","105.15","105.60","104.94","835.55K","-0.19%"
"Oct 25, 2019","105.39","105.07","105.46","104.97","407.55K","0.41%"
"Oct 24, 2019","104.96","104.76","105.07","104.60","508.79K","1.26%"
"Oct 23, 2019","103.65","103.47","103.72","103.27","176.30K","0.37%"
"Oct 22, 2019","103.27","103.38","103.82","103.24","536.64K","-0.02%"
"Oct 21, 2019","103.29","103.70","103.90","103.25","909.71K","-1.24%"
"Oct 18, 2019","104.59","105.00","105.07","104.50","3.24M","-0.49%"
"Oct 17, 2019","105.11","105.30","105.87","104.85","1.56M","-1.11%"
"Oct 16, 2019","106.29","106.25","106.48","106.00","225.54K","0.11%"
"Oct 15, 2019","106.17","106.30","106.56","105.95","286.26K","0.12%"
"Oct 14, 2019","106.04","106.99","107.09","106.04","153.66K","-0.62%"
"Oct 11, 2019","106.70","106.77","107.29","106.58","356.12K","-0.87%"
"Oct 10, 2019","107.64","107.20","108.02","107.08","267.96K","-0.63%"
"Oct 09, 2019","108.32","107.98","108.36","107.80","351.45K","0.69%"
"Oct 08, 2019","107.58","108.51","108.59","107.46","656.18K","-0.81%"
"Oct 07, 2019","108.46","108.28","108.88","108.27","277.58K","0.61%"
"Oct 04, 2019","107.80","107.20","107.85","107.18","280.95K","1.18%"
"Oct 03, 2019","106.54","105.57","106.71","105.57","374.06K","0.93%"
"Oct 02, 2019","105.56","106.68","106.90","105.26","637.20K","-1.49%"
"Oct 01, 2019","107.16","107.20","107.30","106.35","600.07K","-1.14%"
"Sep 30, 2019","108.40","107.97","108.73","107.97","218.77K","-0.14%"
"Sep 27, 2019","108.55","109.05","109.10","108.08","418.05K","-0.03%"
"Sep 26, 2019","108.58","108.90","109.27","108.36","373.76K","0.91%"
"Sep 25, 2019","107.60","108.69","108.69","107.53","485.72K","-1.66%"
"Sep 24, 2019","109.42","108.87","109.74","108.82","418.73K","1.11%"
"Sep 23, 2019","108.22","108.66","108.78","108.15","413.28K","0.53%"
"Sep 20, 2019","107.65","107.99","108.22","107.04","544.92K","-0.09%"
"Sep 19, 2019","107.75","107.53","108.18","107.52","270.90K","0.68%"
"Sep 18, 2019","107.02","107.63","107.81","106.77","292.74K","-0.45%"
"Sep 17, 2019","107.50","106.91","107.96","106.87","225.76K","1.52%"
"Sep 16, 2019","105.89","106.62","106.67","105.85","231.69K","-1.18%"
"Sep 13, 2019","107.15","108.13","108.60","107.13","687.91K","-3.39%"
"Sep 12, 2019","110.91","110.30","111.19","110.08","549.06K","1.06%"
"Sep 11, 2019","109.75","108.40","110.38","108.33","442.81K","0.23%"
"Sep 10, 2019","109.50","109.47","110.30","108.89","1.05M","-1.98%"
"Sep 09, 2019","111.71","112.83","112.90","111.69","336.33K","-2.56%"
"Sep 06, 2019","114.65","113.48","114.87","113.45","228.37K","1.26%"
"Sep 05, 2019","113.22","114.39","114.39","113.20","206.81K","-0.99%"
"Sep 04, 2019","114.35","113.23","114.50","113.11","253.81K","1.76%"
"Sep 03, 2019","112.37","112.38","112.75","112.13","484.03K","-0.02%"
"Aug 30, 2019","112.39","112.52","112.86","111.90","199.99K","0.56%"
"Aug 29, 2019","111.76","112.11","112.20","111.60","292.47K","0.54%"
"Aug 28, 2019","111.16","111.00","111.44","110.68","446.90K","0.33%"
"Aug 27, 2019","110.79","110.45","111.15","110.24","372.33K","0.33%"
"Aug 26, 2019","110.43","110.42","110.71","110.15","311.28K","0.40%"
"Aug 23, 2019","109.99","110.51","110.98","109.79","253.06K","-0.35%"
"Aug 22, 2019","110.38","109.86","110.40","109.73","254.55K","-0.13%"
"Aug 21, 2019","110.52","111.15","111.19","110.51","513.08K","0.31%"
"Aug 20, 2019","110.18","111.14","111.14","110.02","180.82K","-0.69%"
"Aug 19, 2019","110.95","110.76","111.42","110.70","252.95K","0.83%"
"Aug 16, 2019","110.04","109.55","110.49","109.55","281.79K","1.09%"
"Aug 15, 2019","108.85","108.89","109.28","108.35","641.27K","0.22%"
"Aug 14, 2019","108.61","109.02","109.32","108.44","309.22K","-0.68%"
"Aug 13, 2019","109.35","109.39","109.70","109.11","264.16K","-0.26%"
"Aug 12, 2019","109.63","110.21","110.60","109.35","202.19K","-0.15%"
"Aug 09, 2019","109.79","109.50","110.00","109.05","299.17K","1.10%"
"Aug 08, 2019","108.60","107.62","108.80","107.41","292.00K","1.22%"
"Aug 07, 2019","107.29","106.07","107.51","106.04","223.91K","1.71%"
"Aug 06, 2019","105.49","105.71","105.93","104.74","341.39K","0.43%"
"Aug 05, 2019","105.04","106.11","106.16","104.78","374.06K","-1.96%"
"Aug 02, 2019","107.14","107.50","107.50","106.28","994.15K","0.02%"
"Aug 01, 2019","107.12","105.82","107.60","105.82","540.99K","0.98%"
"Jul 31, 2019","106.08","106.28","107.10","105.37","297.16K","-0.23%"
"Jul 30, 2019","106.32","106.06","106.33","105.81","498.06K","0.10%"
"Jul 29, 2019","106.21","106.53","106.59","105.86","372.92K","1.35%"
"Jul 26, 2019","104.80","105.42","105.50","104.63","338.75K","1.51%"
"Jul 25, 2019","103.24","104.03","104.08","102.51","309.41K","-0.98%"
"Jul 24, 2019","104.26","104.02","104.55","103.81","288.90K","-0.35%"
"Jul 23, 2019","104.63","105.02","105.19","104.59","262.98K","0.04%"
