"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","32.88","32.18","33.66","32.18","-","2.18%"
"May 15, 2020","32.18","32.32","32.96","31.54","7.98M","-3.19%"
"May 14, 2020","33.24","31.90","33.24","31.46","6.24M","2.50%"
"May 13, 2020","32.43","32.27","33.70","31.67","6.53M","1.19%"
"May 12, 2020","32.05","34.14","34.22","32.00","10.99M","-6.15%"
"May 11, 2020","34.15","34.83","35.77","33.50","7.42M","-4.34%"
"May 08, 2020","35.70","36.60","37.50","34.85","12.16M","-2.06%"
"May 07, 2020","36.45","37.00","37.31","35.40","12.13M","-0.14%"
"May 06, 2020","36.50","34.61","36.66","33.61","7.05M","5.74%"
"May 05, 2020","34.52","34.79","35.47","34.10","5.97M","0.35%"
"May 04, 2020","34.40","34.40","34.40","33.00","9.42M","-3.15%"
"Apr 30, 2020","35.52","35.70","36.86","34.97","20.48M","-2.20%"
"Apr 29, 2020","36.32","35.48","36.57","34.51","7.68M","3.59%"
"Apr 28, 2020","35.06","35.99","36.35","34.62","9.95M","-0.96%"
"Apr 27, 2020","35.40","33.94","35.45","33.35","7.60M","6.53%"
"Apr 24, 2020","33.23","34.00","34.35","30.10","9.51M","-3.96%"
"Apr 23, 2020","34.60","35.10","35.70","33.25","5.77M","-1.14%"
"Apr 22, 2020","35.00","33.59","35.58","33.09","6.91M","4.60%"
"Apr 20, 2020","33.46","32.50","34.51","32.00","5.96M","0.36%"
"Apr 17, 2020","33.34","33.41","34.32","32.00","10.43M","3.12%"
"Apr 16, 2020","32.33","32.10","33.78","31.51","10.46M","1.67%"
"Apr 15, 2020","31.80","28.85","32.63","28.80","11.18M","6.78%"
"Apr 14, 2020","29.78","28.88","30.55","28.75","7.76M","5.38%"
"Apr 13, 2020","28.26","28.81","29.30","27.05","10.28M","-2.48%"
"Apr 09, 2020","28.98","30.15","30.99","28.75","10.02M","-3.75%"
"Apr 08, 2020","30.11","28.96","30.38","27.84","6.46M","3.97%"
"Apr 07, 2020","28.96","28.02","29.60","28.02","8.91M","9.53%"
"Apr 06, 2020","26.44","25.61","27.83","24.82","8.61M","11.66%"
"Apr 03, 2020","23.68","23.65","24.40","21.82","8.49M","-0.84%"
"Apr 02, 2020","23.88","23.33","24.74","22.70","8.30M","2.98%"
"Apr 01, 2020","23.19","24.00","24.78","22.33","14.48M","-9.91%"
"Mar 31, 2020","25.74","27.50","27.50","24.80","9.09M","-6.16%"
"Mar 30, 2020","27.43","28.81","29.29","26.63","8.64M","-3.93%"
"Mar 27, 2020","28.55","27.30","29.14","27.21","6.04M","-1.55%"
"Mar 26, 2020","29.00","28.32","30.17","27.48","8.75M","0.35%"
"Mar 25, 2020","28.90","24.25","30.66","23.62","10.45M","16.06%"
"Mar 24, 2020","24.90","22.70","25.70","22.42","10.98M","17.18%"
"Mar 23, 2020","21.25","24.95","24.98","20.44","14.83M","-15.57%"
"Mar 20, 2020","25.17","27.00","28.22","24.80","10.72M","-2.78%"
"Mar 19, 2020","25.89","24.10","26.16","21.51","12.07M","2.74%"
"Mar 18, 2020","25.20","25.75","26.36","20.85","13.26M","-9.48%"
"Mar 17, 2020","27.84","26.35","27.89","25.05","11.33M","11.36%"
"Mar 16, 2020","25.00","27.00","27.94","24.31","15.53M","-24.24%"
"Mar 13, 2020","33.00","34.50","35.99","29.40","13.09M","15.75%"
"Mar 12, 2020","28.51","30.05","33.75","28.00","9.06M","-20.61%"
"Mar 11, 2020","35.91","37.50","37.50","32.99","15.14M","-8.16%"
"Mar 10, 2020","39.10","37.67","39.10","35.65","11.76M","8.61%"
"Mar 09, 2020","36.00","36.74","37.81","35.40","15.94M","-9.55%"
"Mar 06, 2020","39.80","40.27","40.80","39.40","15.63M","-3.52%"
"Mar 05, 2020","41.25","44.64","44.64","40.85","8.39M","-6.61%"
"Mar 04, 2020","44.17","44.75","45.10","43.30","8.97M","-0.74%"
"Mar 03, 2020","44.50","45.30","45.96","43.53","17.64M","-0.69%"
"Mar 02, 2020","44.81","44.65","45.81","44.03","6.11M","-1.54%"
"Feb 28, 2020","45.51","44.42","45.51","42.27","12.44M","-0.04%"
"Feb 27, 2020","45.53","46.18","46.72","44.51","9.29M","-1.75%"
"Feb 26, 2020","46.34","45.61","46.79","45.00","9.36M","-4.45%"
"Feb 21, 2020","48.50","49.90","49.90","48.01","5.55M","-3.00%"
"Feb 20, 2020","50.00","50.40","50.89","49.10","4.59M","-0.70%"
"Feb 19, 2020","50.35","50.15","50.79","48.51","3.82M","0.98%"
"Feb 18, 2020","49.86","50.15","50.28","49.15","4.23M","-1.50%"
"Feb 17, 2020","50.62","50.78","51.29","49.48","2.63M","-0.53%"
"Feb 14, 2020","50.89","49.06","50.94","48.50","4.53M","3.50%"
"Feb 13, 2020","49.17","48.00","49.17","47.83","2.55M","-0.22%"
"Feb 12, 2020","49.28","47.93","50.23","47.70","7.28M","3.10%"
"Feb 11, 2020","47.80","45.30","47.90","45.04","6.15M","6.27%"
"Feb 10, 2020","44.98","45.46","46.35","43.52","8.62M","-1.29%"
"Feb 07, 2020","45.57","46.76","47.27","45.02","7.47M","-3.13%"
"Feb 06, 2020","47.04","48.90","49.15","46.70","4.36M","-3.01%"
"Feb 05, 2020","48.50","49.20","49.60","47.56","4.13M","-0.04%"
"Feb 04, 2020","48.52","48.42","49.55","48.09","4.46M","1.53%"
"Feb 03, 2020","47.79","47.98","49.10","47.64","4.03M","0.44%"
"Jan 31, 2020","47.58","48.23","48.93","46.90","6.29M","-2.80%"
"Jan 30, 2020","48.95","48.00","48.95","46.12","8.11M","1.24%"
"Jan 29, 2020","48.35","49.49","49.68","48.02","6.01M","-1.41%"
"Jan 28, 2020","49.04","47.62","49.44","47.51","4.03M","3.31%"
"Jan 27, 2020","47.47","48.21","48.59","46.18","7.02M","-3.48%"
"Jan 24, 2020","49.18","49.60","50.15","48.80","3.81M","-0.41%"
"Jan 23, 2020","49.38","47.74","49.38","46.72","5.32M","3.41%"
"Jan 22, 2020","47.75","46.50","48.16","46.20","4.61M","3.92%"
"Jan 21, 2020","45.95","46.38","47.19","45.95","6.22M","-1.18%"
"Jan 20, 2020","46.50","45.90","46.58","45.69","3.06M","1.35%"
"Jan 17, 2020","45.88","45.44","46.67","45.01","4.79M","1.04%"
"Jan 16, 2020","45.41","44.80","45.42","43.92","5.14M","1.86%"
"Jan 15, 2020","44.58","44.00","44.94","43.50","3.57M","0.72%"
