"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","54.19","53.63","54.23","53.63","736.29K","-0.24%"
"Oct 24, 2019","54.32","53.98","54.37","53.81","1.13M","1.53%"
"Oct 23, 2019","53.50","53.30","53.64","53.12","2.48M","0.39%"
"Oct 22, 2019","53.29","53.39","53.79","53.13","1.16M","1.31%"
"Oct 21, 2019","52.60","52.69","52.92","52.39","1.49M","0.15%"
"Oct 18, 2019","52.52","52.62","52.62","52.17","780.99K","-0.30%"
"Oct 17, 2019","52.68","52.86","52.89","52.60","1.21M","0.75%"
"Oct 16, 2019","52.29","52.08","52.64","51.96","828.35K","-0.34%"
"Oct 15, 2019","52.47","52.22","52.58","52.12","809.45K","0.85%"
"Oct 14, 2019","52.03","52.00","52.26","51.88","1.16M","1.56%"
"Oct 11, 2019","51.23","51.25","51.62","51.11","1.22M","-0.81%"
"Oct 10, 2019","51.65","50.97","51.73","50.93","1.16M","0.16%"
"Oct 09, 2019","51.57","51.29","51.68","51.26","679.19K","0.14%"
"Oct 08, 2019","51.50","51.89","51.89","51.31","962.43K","-0.83%"
"Oct 07, 2019","51.93","51.75","52.22","51.61","914.48K","1.19%"
"Oct 04, 2019","51.32","51.24","51.38","50.97","987.49K","1.85%"
"Oct 03, 2019","50.39","49.63","50.59","49.62","1.94M","1.06%"
"Oct 02, 2019","49.86","50.11","50.15","49.50","2.03M","-1.36%"
"Oct 01, 2019","50.55","51.04","51.11","50.47","1.56M","-2.22%"
"Sep 30, 2019","51.70","51.57","51.91","51.39","1.69M","0.14%"
"Sep 27, 2019","51.63","51.76","52.22","51.55","1.32M","-1.07%"
"Sep 26, 2019","52.19","52.53","52.73","51.95","1.29M","-0.70%"
"Sep 25, 2019","52.56","52.77","52.86","52.46","1.09M","-0.70%"
"Sep 24, 2019","52.93","52.75","53.05","52.59","1.17M","-0.08%"
"Sep 23, 2019","52.97","53.31","53.47","52.83","1.04M","0.06%"
"Sep 20, 2019","52.94","51.79","53.37","51.74","3.22M","2.04%"
"Sep 19, 2019","51.88","51.75","52.03","51.58","1.82M","1.79%"
"Sep 18, 2019","50.97","51.03","51.20","50.78","1.35M","0.00%"
"Sep 17, 2019","50.97","50.74","51.09","50.58","1.78M","3.01%"
"Sep 16, 2019","49.48","49.53","49.80","49.17","965.42K","-0.04%"
"Sep 13, 2019","49.50","49.63","50.03","49.34","1.56M","-0.34%"
"Sep 12, 2019","49.67","50.34","50.70","49.50","2.48M","-2.30%"
"Sep 11, 2019","50.84","49.95","50.89","49.82","1.62M","2.50%"
"Sep 10, 2019","49.60","48.96","49.60","48.60","2.21M","-2.09%"
"Sep 09, 2019","50.66","51.40","51.40","50.56","1.69M","-3.60%"
"Sep 06, 2019","52.55","52.37","53.01","52.37","1.26M","-0.38%"
"Sep 05, 2019","52.75","53.00","53.06","52.54","1.10M","-1.27%"
"Sep 04, 2019","53.43","53.42","53.55","53.25","1.81M","1.00%"
"Sep 03, 2019","52.90","52.95","53.13","52.67","1.21M","1.52%"
"Aug 30, 2019","52.11","52.11","52.32","51.87","865.88K","-0.99%"
"Aug 29, 2019","52.63","52.73","52.80","52.55","1.19M","0.63%"
"Aug 28, 2019","52.30","52.38","52.49","52.13","922.84K","0.29%"
"Aug 27, 2019","52.15","52.49","52.59","52.12","1.34M","-0.04%"
"Aug 26, 2019","52.17","52.53","52.59","52.05","1.19M","-0.19%"
"Aug 23, 2019","52.27","52.42","52.81","52.14","1.19M","-0.82%"
"Aug 22, 2019","52.70","52.67","52.84","52.47","1.92M","1.70%"
"Aug 21, 2019","51.82","52.05","52.10","51.75","1.54M","1.05%"
"Aug 20, 2019","51.28","51.46","51.46","51.12","1.05M","0.12%"
"Aug 19, 2019","51.22","51.12","51.30","51.02","1.14M","-0.85%"
"Aug 16, 2019","51.66","51.30","51.68","51.11","1.69M","1.81%"
"Aug 15, 2019","50.74","50.51","51.20","50.44","1.41M","0.81%"
"Aug 14, 2019","50.33","50.79","51.15","50.32","1.39M","-2.95%"
"Aug 13, 2019","51.86","51.30","52.13","51.27","1.74M","3.02%"
"Aug 12, 2019","50.34","50.59","50.70","50.14","928.25K","0.14%"
"Aug 09, 2019","50.27","50.39","50.41","49.73","1.95M","-0.79%"
"Aug 08, 2019","50.67","50.06","50.76","50.01","1.50M","2.38%"
"Aug 07, 2019","49.49","49.03","49.85","48.75","2.31M","1.27%"
"Aug 06, 2019","48.87","48.67","48.89","48.44","1.40M","2.03%"
"Aug 05, 2019","47.90","48.47","48.66","47.72","872.35K","-1.68%"
"Aug 02, 2019","48.72","48.84","48.92","48.37","1.29M","0.31%"
"Aug 01, 2019","48.57","48.55","48.93","48.30","1.92M","1.36%"
"Jul 31, 2019","47.92","47.66","48.59","47.62","1.22M","-1.03%"
"Jul 30, 2019","48.42","48.43","48.47","48.15","1.29M","-1.43%"
"Jul 29, 2019","49.12","49.62","49.62","48.88","1.40M","0.57%"
"Jul 26, 2019","48.84","48.97","49.16","48.75","1.09M","-0.08%"
"Jul 25, 2019","48.88","49.12","49.37","48.70","1.04M","-1.31%"
"Jul 24, 2019","49.53","49.28","49.73","49.08","1.87M","0.57%"
"Jul 23, 2019","49.25","48.01","49.84","47.57","4.39M","1.76%"
"Jul 22, 2019","48.40","48.37","48.63","48.22","890.17K","0.85%"
"Jul 19, 2019","47.99","47.88","48.17","47.58","2.18M","-0.60%"
"Jul 18, 2019","48.28","48.32","48.39","47.82","1.56M","-0.06%"
"Jul 17, 2019","48.31","48.40","48.46","48.15","1.98M","1.24%"
"Jul 16, 2019","47.72","48.08","48.11","47.64","2.04M","0.15%"
"Jul 15, 2019","47.65","47.79","47.90","47.51","1.63M","0.23%"
"Jul 12, 2019","47.54","48.39","48.40","47.24","3.32M","-2.86%"
"Jul 11, 2019","48.94","50.04","50.10","48.77","4.05M","-3.03%"
