"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","86.92","87.21","87.58","86.89","1.74M","-0.45%"
"Oct 25, 2019","87.31","87.17","87.77","86.97","1.57M","0.08%"
"Oct 24, 2019","87.24","86.91","87.33","86.71","1.79M","0.70%"
"Oct 23, 2019","86.63","86.79","86.87","86.24","2.03M","-0.39%"
"Oct 22, 2019","86.97","85.93","87.38","85.92","4.07M","0.47%"
"Oct 21, 2019","86.56","86.51","86.83","85.92","2.34M","-0.37%"
"Oct 18, 2019","86.88","86.54","86.92","86.36","1.02M","-0.40%"
"Oct 17, 2019","87.23","87.60","87.65","87.07","1.36M","0.26%"
"Oct 16, 2019","87.00","86.53","87.11","86.45","2.01M","0.35%"
"Oct 15, 2019","86.70","86.03","86.81","85.89","1.39M","0.90%"
"Oct 14, 2019","85.93","85.82","86.51","85.60","1.24M","-0.77%"
"Oct 11, 2019","86.60","86.72","87.18","86.52","1.12M","0.78%"
"Oct 10, 2019","85.93","85.02","86.06","85.01","1.93M","0.28%"
"Oct 09, 2019","85.69","85.67","85.94","85.32","1.36M","0.43%"
"Oct 08, 2019","85.32","85.48","85.87","85.05","1.58M","-1.04%"
"Oct 07, 2019","86.22","86.30","86.86","86.21","1.93M","0.33%"
"Oct 04, 2019","85.94","85.70","85.95","85.42","1.83M","0.88%"
"Oct 03, 2019","85.19","84.51","85.23","84.23","1.92M","1.00%"
"Oct 02, 2019","84.35","84.44","84.69","83.97","2.24M","-1.96%"
"Oct 01, 2019","86.04","86.39","86.53","85.68","2.34M","-0.99%"
"Sep 30, 2019","86.90","86.53","87.19","86.45","1.46M","-0.57%"
"Sep 27, 2019","87.40","86.98","87.40","86.88","2.33M","0.60%"
"Sep 26, 2019","86.88","86.62","87.58","86.46","2.43M","1.57%"
"Sep 25, 2019","85.54","85.84","85.94","85.36","1.34M","-1.05%"
"Sep 24, 2019","86.45","86.85","87.09","86.22","1.37M","-0.18%"
"Sep 23, 2019","86.61","86.72","87.00","86.28","1.95M","-0.53%"
"Sep 20, 2019","87.07","87.64","87.80","86.77","1.92M","0.83%"
"Sep 19, 2019","86.35","86.47","86.73","86.34","909.35K","0.08%"
"Sep 18, 2019","86.28","86.29","86.63","85.85","1.43M","-0.29%"
"Sep 17, 2019","86.53","86.38","86.81","86.15","2.38M","0.45%"
"Sep 16, 2019","86.14","86.65","87.03","86.07","1.15M","-0.98%"
"Sep 13, 2019","86.99","87.65","87.84","86.90","2.52M","-2.79%"
"Sep 12, 2019","89.49","88.70","89.56","88.61","2.56M","0.69%"
"Sep 11, 2019","88.88","88.04","88.94","88.00","1.18M","0.38%"
"Sep 10, 2019","88.54","87.69","88.81","87.08","2.15M","-1.21%"
"Sep 09, 2019","89.62","89.39","89.82","88.86","2.16M","-0.10%"
"Sep 06, 2019","89.71","89.80","90.20","89.63","1.22M","0.20%"
"Sep 05, 2019","89.53","89.63","89.85","89.27","1.16M","0.37%"
"Sep 04, 2019","89.20","89.97","90.04","89.16","1.36M","-0.76%"
"Sep 03, 2019","89.88","88.87","90.01","88.84","2.02M","-0.26%"
"Aug 30, 2019","90.11","90.70","90.96","89.64","1.54M","1.24%"
"Aug 29, 2019","89.01","89.36","89.47","88.92","976.28K","0.03%"
"Aug 28, 2019","88.98","88.84","89.41","88.61","975.11K","-0.44%"
"Aug 27, 2019","89.37","89.23","89.91","89.00","1.18M","0.96%"
"Aug 26, 2019","88.52","88.01","88.55","87.97","860.21K","0.09%"
"Aug 23, 2019","88.44","89.45","89.92","88.21","2.12M","-0.63%"
"Aug 22, 2019","89.00","89.25","89.64","88.88","1.53M","-1.24%"
"Aug 21, 2019","90.12","90.08","90.53","89.96","2.14M","1.17%"
"Aug 20, 2019","89.08","89.70","89.80","89.06","1.75M","-0.45%"
"Aug 19, 2019","89.48","90.17","90.17","89.26","1.12M","0.01%"
"Aug 16, 2019","89.47","88.85","89.56","88.81","1.26M","1.00%"
"Aug 15, 2019","88.58","88.24","89.04","88.11","1.48M","-0.48%"
"Aug 14, 2019","89.01","90.54","90.78","88.97","1.46M","-2.32%"
"Aug 13, 2019","91.12","90.69","91.38","90.57","1.99M","0.02%"
"Aug 12, 2019","91.10","91.55","91.79","90.78","1.47M","0.31%"
"Aug 09, 2019","90.82","91.38","91.54","90.44","1.43M","-0.45%"
"Aug 08, 2019","91.23","90.10","91.79","89.91","1.97M","2.74%"
"Aug 07, 2019","88.80","88.71","89.01","87.57","6.02M","0.66%"
"Aug 06, 2019","88.22","91.08","91.61","86.74","6.75M","-2.76%"
"Aug 05, 2019","90.72","91.61","91.82","89.96","1.17M","-1.58%"
"Aug 02, 2019","92.18","92.51","92.58","91.60","1.31M","-0.14%"
"Aug 01, 2019","92.31","91.70","92.47","91.45","1.11M","0.80%"
"Jul 31, 2019","91.58","91.02","92.52","90.90","1.30M","-0.07%"
"Jul 30, 2019","91.64","91.57","91.68","91.24","1.58M","-0.53%"
"Jul 29, 2019","92.13","92.36","92.53","91.97","1.53M","-1.14%"
"Jul 26, 2019","93.19","93.14","93.22","92.91","1.68M","1.30%"
"Jul 25, 2019","91.99","92.91","92.98","91.87","1.57M","-1.43%"
"Jul 24, 2019","93.32","92.57","93.34","92.17","1.73M","-0.38%"
"Jul 23, 2019","93.68","94.33","94.38","93.45","2.88M","-0.38%"
"Jul 22, 2019","94.04","94.46","94.58","93.85","2.62M","0.51%"
"Jul 19, 2019","93.56","94.80","94.87","93.37","3.48M","-0.74%"
"Jul 18, 2019","94.26","94.82","95.00","93.35","5.45M","4.47%"
"Jul 17, 2019","90.23","90.88","91.07","90.09","3.83M","1.20%"
"Jul 16, 2019","89.16","89.36","89.36","88.65","1.73M","-0.12%"
"Jul 15, 2019","89.27","88.76","89.42","88.66","3.05M","1.22%"
"Jul 12, 2019","88.19","89.63","89.69","88.03","3.65M","-2.38%"
"Jul 11, 2019","90.34","92.02","92.08","89.78","2.82M","-1.15%"
"Jul 10, 2019","91.39","91.80","91.86","91.18","1.49M","0.36%"
"Jul 09, 2019","91.06","90.95","91.65","90.91","1.18M","0.35%"
"Jul 08, 2019","90.74","90.17","90.90","90.10","1.09M","0.33%"
"Jul 05, 2019","90.44","90.85","90.92","90.31","1.37M","-2.23%"
"Jul 03, 2019","92.50","92.35","92.66","92.23","1.06M","0.43%"
"Jul 02, 2019","92.10","91.86","92.31","91.79","1.11M","0.26%"
"Jul 01, 2019","91.86","91.82","91.99","91.50","935.82K","0.60%"
"Jun 28, 2019","91.31","91.43","91.58","91.05","997.72K","0.41%"
"Jun 27, 2019","90.94","91.10","91.44","90.84","1.52M","-0.29%"
"Jun 26, 2019","91.20","91.57","91.67","90.94","1.61M","-1.27%"
"Jun 25, 2019","92.37","93.60","93.65","92.36","1.46M","-0.46%"
"Jun 24, 2019","92.80","92.43","92.99","92.23","1.09M","0.34%"
"Jun 21, 2019","92.49","92.56","92.69","91.76","2.32M","0.13%"
"Jun 20, 2019","92.37","93.25","93.34","92.13","1.76M","0.50%"
"Jun 19, 2019","91.91","91.01","91.98","90.97","1.41M","0.67%"
"Jun 18, 2019","91.30","91.31","91.63","90.98","2.30M","1.72%"
"Jun 17, 2019","89.76","89.18","90.00","89.18","860.29K","0.27%"
"Jun 14, 2019","89.52","89.80","90.12","89.39","1.25M","-0.08%"
"Jun 13, 2019","89.59","90.13","90.20","89.26","1.77M","0.69%"
"Jun 12, 2019","88.98","88.38","89.18","88.32","1.41M","1.00%"
"Jun 11, 2019","88.10","88.87","88.99","87.98","4.04M","-0.14%"
"Jun 10, 2019","88.22","88.11","88.36","87.70","1.00M","0.18%"
"Jun 07, 2019","88.06","88.01","88.60","87.96","3.82M","0.46%"
"Jun 06, 2019","87.66","88.09","88.61","87.65","2.11M","0.14%"
"Jun 05, 2019","87.54","87.56","88.04","87.49","1.01M","0.14%"
"Jun 04, 2019","87.42","87.62","87.71","87.06","1.26M","-0.27%"
"Jun 03, 2019","87.66","87.26","87.81","86.98","2.26M","2.36%"
"May 31, 2019","85.64","85.67","85.85","85.33","2.02M","-0.19%"
"May 30, 2019","85.80","85.78","86.23","85.41","1.77M","-0.01%"
"May 29, 2019","85.81","86.78","86.81","85.73","3.68M","-1.28%"
"May 28, 2019","86.92","87.71","88.02","86.89","2.13M","-0.69%"
"May 24, 2019","87.52","86.49","88.44","86.32","4.73M","3.65%"
"May 23, 2019","84.44","84.25","84.54","83.93","2.07M","0.63%"
"May 22, 2019","83.91","82.78","84.06","82.64","2.35M","1.84%"
"May 21, 2019","82.39","82.68","82.92","82.21","2.15M","0.46%"
"May 20, 2019","82.01","82.37","82.51","81.68","2.87M","-0.83%"
"May 17, 2019","82.70","82.99","83.32","82.70","1.56M","0.30%"
"May 16, 2019","82.45","82.61","83.04","82.37","1.30M","1.10%"
"May 15, 2019","81.55","80.65","81.82","80.60","1.03M","1.02%"
"May 14, 2019","80.73","80.45","81.18","80.42","1.08M","0.27%"
"May 13, 2019","80.51","80.18","80.69","80.02","2.35M","-1.67%"
"May 10, 2019","81.88","81.68","82.02","81.05","2.05M","1.11%"
"May 09, 2019","80.98","81.13","81.28","80.56","2.28M","-1.09%"
"May 08, 2019","81.87","81.45","82.19","81.21","1.19M","0.99%"
"May 07, 2019","81.07","82.06","82.15","80.72","1.35M","-2.05%"
"May 06, 2019","82.77","82.05","83.03","82.02","1.12M","0.19%"
"May 03, 2019","82.61","82.65","82.72","82.17","1.33M","0.83%"
"May 02, 2019","81.93","81.90","82.15","81.42","1.44M","0.02%"
"May 01, 2019","81.91","82.10","82.80","81.74","1.14M","-0.39%"
"Apr 30, 2019","82.23","81.89","82.55","81.54","2.05M","1.36%"
"Apr 29, 2019","81.13","80.98","81.21","80.83","1.54M","-0.20%"
"Apr 26, 2019","81.29","80.85","81.37","80.59","2.68M","0.86%"
"Apr 25, 2019","80.60","79.50","80.80","79.34","3.57M","3.57%"
"Apr 24, 2019","77.82","78.48","78.85","77.76","4.64M","2.53%"
"Apr 23, 2019","75.90","75.79","76.68","75.57","8.82M","0.66%"
"Apr 22, 2019","75.40","75.60","76.00","74.97","8.19M","-1.32%"
