"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","7.580","7.680","7.705","7.550","2.10M","-1.69%"
"Oct 25, 2019","7.710","7.595","7.710","7.590","1.49M","2.12%"
"Oct 24, 2019","7.550","7.500","7.560","7.490","961.92K","2.30%"
"Oct 23, 2019","7.380","7.275","7.400","7.270","684.18K","0.96%"
"Oct 22, 2019","7.310","7.250","7.360","7.240","424.28K","2.55%"
"Oct 21, 2019","7.128","7.090","7.130","7.080","241.69K","0.82%"
"Oct 18, 2019","7.070","7.060","7.090","7.030","422.29K","0.14%"
"Oct 17, 2019","7.060","7.040","7.080","7.020","290.23K","0.43%"
"Oct 16, 2019","7.030","7.000","7.060","7.000","434.14K","1.01%"
"Oct 15, 2019","6.960","6.940","7.000","6.900","272.09K","0.14%"
"Oct 14, 2019","6.950","7.000","7.000","6.940","319.16K","-1.28%"
"Oct 11, 2019","7.040","7.010","7.060","7.000","110.00K","2.03%"
"Oct 10, 2019","6.900","6.870","6.920","6.860","143.87K","1.47%"
"Oct 09, 2019","6.800","6.820","6.850","6.800","432.16K","0.27%"
"Oct 08, 2019","6.782","6.780","6.820","6.750","468.24K","-1.85%"
"Oct 07, 2019","6.910","6.900","6.950","6.890","193.38K","1.47%"
"Oct 04, 2019","6.810","6.830","6.840","6.790","126.51K","0.00%"
"Oct 03, 2019","6.810","6.760","6.850","6.750","377.89K","0.15%"
"Oct 02, 2019","6.800","6.840","6.850","6.760","108.53K","-0.58%"
"Oct 01, 2019","6.840","6.900","6.900","6.820","195.57K","-0.87%"
"Sep 30, 2019","6.900","6.950","6.960","6.900","427.17K","-1.43%"
"Sep 27, 2019","7.000","7.085","7.100","7.000","279.20K","-2.23%"
"Sep 26, 2019","7.160","7.150","7.160","7.097","174.68K","1.56%"
"Sep 25, 2019","7.050","7.010","7.060","6.970","169.09K","0.00%"
"Sep 24, 2019","7.050","7.148","7.150","7.050","214.96K","-1.26%"
"Sep 23, 2019","7.140","7.100","7.200","7.100","253.02K","0.28%"
"Sep 20, 2019","7.120","7.110","7.170","7.090","395.99K","-0.56%"
"Sep 19, 2019","7.160","7.173","7.200","7.140","82.67K","-0.31%"
"Sep 18, 2019","7.182","7.180","7.220","7.140","260.32K","0.11%"
"Sep 17, 2019","7.174","7.240","7.240","7.160","116.81K","-1.59%"
"Sep 16, 2019","7.290","7.240","7.310","7.220","358.26K","2.10%"
"Sep 13, 2019","7.140","7.150","7.170","7.130","229.88K","0.28%"
"Sep 12, 2019","7.120","7.130","7.150","7.100","75.88K","-0.14%"
"Sep 11, 2019","7.130","7.099","7.150","7.090","557.50K","1.13%"
"Sep 10, 2019","7.050","7.090","7.150","7.050","152.36K","-0.56%"
"Sep 09, 2019","7.090","7.081","7.100","7.070","344.84K","0.21%"
"Sep 06, 2019","7.075","7.020","7.100","7.020","120.57K","0.30%"
"Sep 05, 2019","7.054","7.100","7.110","7.050","177.51K","0.20%"
"Sep 04, 2019","7.040","7.000","7.040","6.980","139.96K","2.47%"
"Sep 03, 2019","6.870","6.830","6.880","6.820","104.88K","-0.29%"
