"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","0.60","0.61","0.64","0.58","112.02M","-1.64%"
"May 14, 2020","0.61","0.59","0.64","0.56","155.58M","1.67%"
"May 13, 2020","0.60","0.63","0.64","0.59","88.70M","-4.76%"
"May 12, 2020","0.63","0.65","0.66","0.63","81.42M","-3.08%"
"May 11, 2020","0.65","0.68","0.69","0.65","135.38M","-5.80%"
"May 08, 2020","0.69","0.68","0.70","0.67","75.58M","2.99%"
"May 07, 2020","0.67","0.71","0.72","0.67","127.23M","-4.29%"
"May 06, 2020","0.70","0.69","0.71","0.67","157.38M","0.00%"
"May 05, 2020","0.70","0.72","0.74","0.68","227.22M","2.94%"
"May 04, 2020","0.68","0.60","0.74","0.59","462.22M","9.68%"
"Apr 30, 2020","0.62","0.62","0.63","0.60","94.71M","-1.59%"
"Apr 29, 2020","0.63","0.63","0.65","0.61","176.35M","1.61%"
"Apr 28, 2020","0.62","0.63","0.64","0.60","130.04M","1.64%"
"Apr 27, 2020","0.61","0.62","0.63","0.58","108.77M","1.67%"
"Apr 24, 2020","0.60","0.64","0.64","0.54","321.44M","-7.69%"
"Apr 23, 2020","0.65","0.68","0.71","0.63","224.68M","-2.99%"
"Apr 22, 2020","0.67","0.67","0.68","0.66","66.02M","3.08%"
"Apr 20, 2020","0.65","0.64","0.68","0.63","128.68M","-1.52%"
"Apr 17, 2020","0.66","0.66","0.67","0.64","138.86M","3.13%"
"Apr 16, 2020","0.64","0.65","0.69","0.61","328.64M","4.92%"
"Apr 15, 2020","0.61","0.53","0.74","0.52","504.99M","10.91%"
"Apr 14, 2020","0.55","0.51","0.56","0.51","159.11M","7.84%"
"Apr 13, 2020","0.51","0.50","0.52","0.49","54.04M","0.00%"
"Apr 09, 2020","0.51","0.52","0.55","0.49","128.56M","0.00%"
"Apr 08, 2020","0.51","0.50","0.52","0.49","92.51M","0.00%"
"Apr 07, 2020","0.51","0.49","0.52","0.49","166.99M","6.25%"
"Apr 06, 2020","0.48","0.49","0.50","0.47","78.54M","2.13%"
"Apr 03, 2020","0.47","0.48","0.49","0.46","64.70M","-4.08%"
"Apr 02, 2020","0.49","0.50","0.51","0.48","75.20M","0.00%"
"Apr 01, 2020","0.49","0.48","0.49","0.46","87.61M","-2.00%"
"Mar 31, 2020","0.50","0.52","0.52","0.49","64.82M","-3.85%"
"Mar 30, 2020","0.52","0.51","0.54","0.49","94.40M","4.00%"
"Mar 27, 2020","0.50","0.47","0.51","0.46","110.08M","0.00%"
"Mar 26, 2020","0.50","0.51","0.57","0.49","224.93M","-3.85%"
"Mar 25, 2020","0.52","0.46","0.54","0.45","227.86M","13.04%"
"Mar 24, 2020","0.46","0.47","0.48","0.45","90.02M","4.55%"
"Mar 23, 2020","0.44","0.47","0.48","0.43","148.61M","-12.00%"
"Mar 20, 2020","0.50","0.50","0.52","0.46","222.31M","8.70%"
"Mar 19, 2020","0.46","0.48","0.52","0.43","368.06M","-16.36%"
"Mar 18, 2020","0.55","0.63","0.64","0.43","262.11M","-20.29%"
"Mar 17, 2020","0.69","0.73","0.74","0.68","114.28M","-2.82%"
"Mar 16, 2020","0.71","0.71","0.75","0.69","167.86M","-11.25%"
"Mar 13, 2020","0.80","0.89","0.89","0.76","232.67M","3.90%"
"Mar 12, 2020","0.77","0.82","0.85","0.75","245.84M","-17.20%"
"Mar 11, 2020","0.93","1.04","1.09","0.84","720.62M","4.49%"
"Mar 10, 2020","0.89","0.86","0.89","0.82","200.30M","11.25%"
"Mar 09, 2020","0.80","0.82","0.85","0.79","193.06M","-10.11%"
"Mar 06, 2020","0.89","0.93","0.94","0.89","208.07M","-6.32%"
"Mar 05, 2020","0.95","1.01","1.02","0.94","156.99M","-5.94%"
"Mar 04, 2020","1.01","1.04","1.05","0.99","126.15M","0.00%"
"Mar 03, 2020","1.01","1.02","1.07","0.99","249.15M","0.00%"
"Mar 02, 2020","1.01","1.02","1.04","1.00","142.72M","1.00%"
"Feb 28, 2020","1.00","0.99","1.01","0.94","247.02M","2.04%"
"Feb 27, 2020","0.98","1.00","1.02","0.98","261.42M","-3.92%"
"Feb 26, 2020","1.02","1.05","1.06","1.00","224.05M","-8.93%"
"Feb 21, 2020","1.12","1.06","1.13","1.04","275.46M","5.66%"
"Feb 20, 2020","1.06","1.04","1.08","1.03","146.61M","1.92%"
"Feb 19, 2020","1.04","1.00","1.05","0.99","113.89M","4.00%"
"Feb 18, 2020","1.00","1.03","1.04","0.97","133.25M","-2.91%"
"Feb 17, 2020","1.03","1.02","1.09","1.02","281.18M","0.98%"
"Feb 14, 2020","1.02","1.00","1.02","0.99","65.86M","2.00%"
"Feb 13, 2020","1.00","0.99","1.00","0.98","63.87M","0.00%"
"Feb 12, 2020","1.00","0.94","1.02","0.93","247.72M","6.38%"
"Feb 11, 2020","0.94","0.94","0.95","0.93","55.14M","0.00%"
"Feb 10, 2020","0.94","0.96","0.97","0.92","124.29M","-3.09%"
"Feb 07, 2020","0.97","0.97","0.98","0.96","79.82M","0.00%"
"Feb 06, 2020","0.97","0.98","0.99","0.97","68.61M","-1.02%"
"Feb 05, 2020","0.98","0.98","0.99","0.97","49.44M","0.00%"
"Feb 04, 2020","0.98","0.98","0.99","0.97","80.67M","1.03%"
"Feb 03, 2020","0.97","0.99","0.99","0.97","72.96M","-1.02%"
"Jan 31, 2020","0.98","0.98","1.00","0.97","73.14M","0.00%"
"Jan 30, 2020","0.98","0.98","0.98","0.95","108.14M","-1.01%"
"Jan 29, 2020","0.99","0.97","0.99","0.95","125.83M","3.13%"
"Jan 28, 2020","0.96","1.00","1.02","0.96","125.60M","-2.04%"
"Jan 27, 2020","0.98","0.97","1.04","0.95","364.13M","2.08%"
"Jan 24, 2020","0.96","1.09","1.09","0.94","651.38M","-10.28%"
"Jan 23, 2020","1.07","0.99","1.08","0.97","394.20M","9.18%"
"Jan 22, 2020","0.98","1.06","1.08","0.96","306.60M","-5.77%"
"Jan 21, 2020","1.04","0.98","1.07","0.97","354.46M","8.33%"
"Jan 20, 2020","0.96","0.93","0.97","0.93","193.64M","5.49%"
"Jan 17, 2020","0.91","0.90","0.91","0.90","34.04M","1.11%"
"Jan 16, 2020","0.90","0.89","0.92","0.88","96.53M","1.12%"
"Jan 15, 2020","0.89","0.91","0.91","0.89","39.84M","-1.11%"
"Jan 14, 2020","0.90","0.88","0.90","0.88","37.40M","2.27%"
"Jan 13, 2020","0.88","0.89","0.90","0.88","77.34M","-1.12%"
"Jan 10, 2020","0.89","0.90","0.91","0.89","93.72M","-1.11%"
"Jan 09, 2020","0.90","0.92","0.92","0.90","47.75M","-2.17%"
"Jan 08, 2020","0.92","0.95","0.96","0.90","153.56M","-2.13%"
"Jan 07, 2020","0.94","0.93","0.95","0.92","133.70M","2.17%"
"Jan 06, 2020","0.92","0.87","0.92","0.86","230.22M","6.98%"
"Jan 03, 2020","0.86","0.85","0.87","0.85","30.92M","0.00%"
"Jan 02, 2020","0.86","0.87","0.88","0.85","100.12M","0.00%"
"Dec 30, 2019","0.86","0.86","0.87","0.84","69.27M","0.00%"
"Dec 27, 2019","0.86","0.85","0.87","0.85","43.96M","1.18%"
"Dec 26, 2019","0.85","0.88","0.89","0.84","119.78M","-2.30%"
"Dec 23, 2019","0.87","0.89","0.90","0.86","111.89M","-2.25%"
"Dec 20, 2019","0.89","0.89","0.90","0.87","131.10M","1.14%"
"Dec 19, 2019","0.88","0.92","0.93","0.87","288.41M","-5.38%"
"Dec 18, 2019","0.93","0.92","0.93","0.90","120.96M","0.00%"
"Dec 17, 2019","0.93","0.93","0.94","0.92","34.77M","0.00%"
"Dec 16, 2019","0.93","0.98","0.98","0.93","121.19M","-3.12%"
"Dec 13, 2019","0.96","0.96","1.00","0.95","169.74M","1.05%"
"Dec 12, 2019","0.95","0.93","0.95","0.93","114.61M","2.15%"
"Dec 11, 2019","0.93","0.94","0.95","0.91","135.73M","-1.06%"
"Dec 10, 2019","0.94","0.89","0.94","0.88","164.14M","1.08%"
"Dec 09, 2019","0.93","0.95","0.96","0.92","91.95M","-2.11%"
"Dec 06, 2019","0.95","0.91","0.96","0.91","187.52M","5.56%"
"Dec 05, 2019","0.90","0.93","0.94","0.90","160.74M","-3.23%"
"Dec 04, 2019","0.93","0.93","0.94","0.91","74.09M","0.00%"
"Dec 03, 2019","0.93","0.93","0.94","0.91","65.44M","1.09%"
"Dec 02, 2019","0.92","0.84","0.94","0.82","300.80M","0.00%"
"Nov 29, 2019","0.92","0.92","0.93","0.90","150.15M","-1.08%"
"Nov 28, 2019","0.93","0.94","0.94","0.92","74.14M","-1.06%"
"Nov 27, 2019","0.94","0.95","0.97","0.93","109.62M","-1.05%"
"Nov 26, 2019","0.95","0.97","0.98","0.95","44.00M","-2.06%"
"Nov 25, 2019","0.97","0.99","1.00","0.97","64.11M","0.00%"
"Nov 22, 2019","0.97","0.99","1.00","0.96","82.96M","-3.00%"
"Nov 21, 2019","1.00","1.00","1.00","0.98","44.72M","0.00%"
"Nov 19, 2019","1.00","1.00","1.01","0.98","63.67M","0.00%"
"Nov 18, 2019","1.00","1.01","1.01","0.98","85.11M","0.00%"
"Nov 14, 2019","1.00","1.01","1.02","0.98","140.24M","-0.99%"
"Nov 13, 2019","1.01","1.02","1.04","1.00","125.26M","0.00%"
"Nov 12, 2019","1.01","0.98","1.03","0.97","167.58M","4.12%"
"Nov 11, 2019","0.97","0.98","0.99","0.95","97.42M","0.00%"
"Nov 08, 2019","0.97","0.99","1.04","0.97","166.69M","-2.02%"
"Nov 07, 2019","0.99","0.96","1.01","0.96","138.75M","4.21%"
"Nov 06, 2019","0.95","0.95","1.02","0.94","171.23M","1.06%"
"Nov 05, 2019","0.94","0.97","0.98","0.93","94.56M","-3.09%"
"Nov 04, 2019","0.97","0.97","0.98","0.95","55.58M","1.04%"
"Nov 01, 2019","0.96","0.95","0.96","0.93","78.12M","1.05%"
"Oct 31, 2019","0.95","0.94","0.97","0.93","76.76M","1.06%"
"Oct 30, 2019","0.94","0.94","0.95","0.93","37.76M","1.08%"
"Oct 29, 2019","0.93","0.90","0.97","0.89","98.17M","3.33%"
"Oct 28, 2019","0.90","0.92","0.92","0.90","51.52M","-3.23%"
"Oct 25, 2019","0.93","0.92","0.93","0.92","23.19M","0.00%"
"Oct 24, 2019","0.93","0.94","0.95","0.92","34.49M","-2.11%"
"Oct 23, 2019","0.95","0.95","0.95","0.93","45.86M","0.00%"
"Oct 22, 2019","0.95","0.95","0.96","0.94","60.74M","-1.04%"
"Oct 21, 2019","0.96","0.98","0.99","0.94","64.01M","-1.03%"
