"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","17.02","16.78","17.38","16.66","4.14M","4.67%"
"Oct 24, 2019","16.26","16.07","16.39","16.01","3.42M","2.20%"
"Oct 23, 2019","15.91","15.98","16.10","15.80","1.49M","0.32%"
"Oct 22, 2019","15.86","15.93","15.98","15.50","1.87M","-0.38%"
"Oct 21, 2019","15.92","16.48","16.52","15.80","2.33M","-2.93%"
"Oct 18, 2019","16.40","16.28","16.57","16.28","1.83M","0.24%"
"Oct 17, 2019","16.36","15.83","16.41","15.82","1.84M","3.09%"
"Oct 16, 2019","15.87","15.64","15.87","15.44","1.75M","2.12%"
"Oct 15, 2019","15.54","16.00","16.09","15.49","3.01M","-3.60%"
"Oct 14, 2019","16.12","16.21","16.39","16.07","2.36M","-0.68%"
"Oct 11, 2019","16.23","16.22","16.39","16.04","5.76M","-1.10%"
"Oct 10, 2019","16.41","16.11","16.46","15.85","2.53M","1.86%"
"Oct 09, 2019","16.11","16.47","16.55","16.09","1.64M","-2.13%"
"Oct 08, 2019","16.46","16.52","16.55","16.14","1.79M","2.05%"
"Oct 07, 2019","16.13","16.05","16.32","16.00","1.50M","-0.74%"
"Oct 04, 2019","16.25","15.82","16.31","15.75","1.69M","2.01%"
"Oct 03, 2019","15.93","15.93","16.42","15.84","2.62M","0.13%"
"Oct 02, 2019","15.91","15.92","16.09","15.65","2.53M","1.53%"
"Oct 01, 2019","15.67","15.59","16.02","15.54","2.85M","-0.06%"
"Sep 30, 2019","15.68","15.79","16.05","15.40","3.83M","-2.91%"
"Sep 27, 2019","16.15","16.25","16.44","15.94","3.81M","-3.00%"
"Sep 26, 2019","16.65","17.07","17.23","16.64","2.36M","-1.94%"
"Sep 25, 2019","16.98","17.61","17.73","16.72","3.05M","-4.77%"
"Sep 24, 2019","17.83","17.37","17.90","17.15","3.60M","1.08%"
"Sep 23, 2019","17.64","17.15","17.73","17.10","5.05M","5.00%"
"Sep 20, 2019","16.80","16.72","16.86","16.42","4.27M","0.42%"
"Sep 19, 2019","16.73","16.62","16.82","16.51","1.98M","1.33%"
"Sep 18, 2019","16.51","16.91","16.99","16.16","3.89M","-3.00%"
"Sep 17, 2019","17.02","16.67","17.11","16.54","3.18M","2.65%"
"Sep 16, 2019","16.58","16.72","16.84","16.17","4.32M","2.16%"
"Sep 13, 2019","16.23","16.90","17.07","16.19","4.91M","-3.28%"
"Sep 12, 2019","16.78","17.69","17.80","16.70","4.58M","-2.50%"
"Sep 11, 2019","17.21","17.34","17.76","17.15","3.89M","-0.64%"
"Sep 10, 2019","17.32","17.12","17.68","17.06","2.84M","0.29%"
"Sep 09, 2019","17.27","17.78","17.78","16.96","3.99M","-2.70%"
"Sep 06, 2019","17.75","18.00","18.57","17.73","4.11M","-1.50%"
"Sep 05, 2019","18.02","18.56","18.60","17.80","4.57M","-4.45%"
"Sep 04, 2019","18.86","18.83","19.05","18.58","4.13M","0.21%"
"Sep 03, 2019","18.82","18.74","19.48","18.62","4.85M","2.01%"
"Aug 30, 2019","18.45","18.30","18.62","18.15","2.55M","1.49%"
"Aug 29, 2019","18.18","18.80","18.88","17.93","4.02M","-2.83%"
"Aug 28, 2019","18.71","18.91","19.06","18.36","4.22M","-0.74%"
"Aug 27, 2019","18.85","17.85","19.02","17.78","7.16M","7.47%"
"Aug 26, 2019","17.54","17.59","17.95","17.44","3.43M","0.52%"
"Aug 23, 2019","17.45","16.86","17.50","16.80","3.63M","4.49%"
"Aug 22, 2019","16.70","16.78","16.90","16.67","1.47M","-1.12%"
"Aug 21, 2019","16.89","16.66","17.00","16.58","2.16M","0.60%"
"Aug 20, 2019","16.79","16.38","16.94","16.35","1.98M","3.26%"
"Aug 19, 2019","16.26","16.07","16.54","15.88","3.21M","-1.45%"
"Aug 16, 2019","16.50","16.71","16.96","16.40","3.07M","-2.88%"
"Aug 15, 2019","16.99","16.70","17.10","16.55","2.32M","1.37%"
"Aug 14, 2019","16.76","17.17","17.26","16.74","3.54M","0.24%"
"Aug 13, 2019","16.72","17.28","17.39","16.28","5.01M","-1.65%"
"Aug 12, 2019","17.00","17.22","17.49","16.93","4.20M","-0.35%"
"Aug 09, 2019","17.06","17.29","17.36","17.05","2.28M","-1.44%"
"Aug 08, 2019","17.31","16.66","17.45","16.36","3.83M","2.00%"
"Aug 07, 2019","16.97","17.34","17.44","16.82","6.29M","1.80%"
"Aug 06, 2019","16.67","16.61","16.91","16.32","4.19M","-0.06%"
"Aug 05, 2019","16.68","16.66","17.23","16.57","4.79M","3.60%"
"Aug 02, 2019","16.10","16.41","16.55","16.01","3.90M","-3.25%"
"Aug 01, 2019","16.64","14.91","16.75","14.65","8.25M","9.55%"
"Jul 31, 2019","15.19","15.86","15.97","15.10","4.09M","-5.36%"
"Jul 30, 2019","16.05","16.01","16.17","15.87","2.37M","0.94%"
"Jul 29, 2019","15.90","15.81","15.94","15.60","1.84M","1.34%"
"Jul 26, 2019","15.69","15.78","15.94","15.59","1.94M","-0.06%"
"Jul 25, 2019","15.70","16.22","16.54","15.56","4.60M","-4.21%"
"Jul 24, 2019","16.39","15.81","16.42","15.69","4.49M","5.00%"
"Jul 23, 2019","15.61","15.76","16.01","15.45","3.40M","-0.57%"
"Jul 22, 2019","15.70","15.51","15.79","15.28","3.13M","2.28%"
"Jul 19, 2019","15.35","15.46","15.73","15.15","5.34M","-0.65%"
"Jul 18, 2019","15.45","15.18","15.52","14.79","7.75M","3.28%"
"Jul 17, 2019","14.96","14.42","15.05","14.11","7.67M","6.78%"
"Jul 16, 2019","14.01","13.19","14.15","13.12","7.79M","6.22%"
"Jul 15, 2019","13.19","13.18","13.21","12.95","1.95M","0.84%"
"Jul 12, 2019","13.08","12.85","13.10","12.77","1.86M","1.79%"
"Jul 11, 2019","12.85","13.23","13.31","12.77","3.19M","-3.17%"
"Jul 10, 2019","13.27","13.20","13.27","12.98","2.53M","1.92%"
"Jul 09, 2019","13.02","12.63","13.02","12.62","2.03M","2.60%"
"Jul 08, 2019","12.69","12.99","13.05","12.69","1.95M","-1.70%"
"Jul 05, 2019","12.91","12.83","12.97","12.49","2.68M","-0.31%"
"Jul 03, 2019","12.95","13.10","13.16","12.79","1.60M","-0.69%"
"Jul 02, 2019","13.04","12.65","13.12","12.44","3.31M","4.07%"
"Jul 01, 2019","12.53","12.68","12.81","12.39","2.53M","-2.94%"
"Jun 28, 2019","12.91","12.92","12.95","12.71","1.92M","0.08%"
"Jun 27, 2019","12.90","12.94","13.01","12.83","1.57M","-1.07%"
"Jun 26, 2019","13.04","12.89","13.28","12.86","2.47M","-0.76%"
"Jun 25, 2019","13.14","13.50","13.62","12.94","4.67M","-1.50%"
"Jun 24, 2019","13.34","13.09","13.38","12.95","4.68M","3.81%"
"Jun 21, 2019","12.85","12.65","12.87","12.42","5.20M","2.23%"
"Jun 20, 2019","12.57","12.32","12.63","12.23","6.95M","6.71%"
"Jun 19, 2019","11.78","11.72","11.90","11.61","2.79M","-0.17%"
"Jun 18, 2019","11.80","11.96","12.01","11.59","2.31M","0.17%"
"Jun 17, 2019","11.78","11.61","11.81","11.59","1.83M","1.29%"
"Jun 14, 2019","11.63","11.80","11.84","11.48","2.82M","-0.51%"
"Jun 13, 2019","11.69","11.49","11.70","11.43","1.80M","1.56%"
"Jun 12, 2019","11.51","11.40","11.60","11.35","1.32M","1.68%"
"Jun 11, 2019","11.32","11.08","11.46","11.05","1.77M","2.35%"
"Jun 10, 2019","11.06","11.36","11.39","11.05","2.45M","-4.57%"
"Jun 07, 2019","11.59","11.59","11.78","11.51","2.25M","1.13%"
"Jun 06, 2019","11.46","11.61","11.67","11.35","2.25M","-0.78%"
"Jun 05, 2019","11.55","11.65","11.77","11.27","4.19M","0.87%"
"Jun 04, 2019","11.45","11.37","11.48","11.26","2.25M","-0.09%"
"Jun 03, 2019","11.46","11.08","11.48","11.04","4.17M","5.43%"
"May 31, 2019","10.87","10.58","10.92","10.51","2.91M","3.92%"
"May 30, 2019","10.46","10.27","10.48","10.26","1.53M","1.55%"
"May 29, 2019","10.30","10.43","10.53","10.27","1.62M","-0.58%"
"May 28, 2019","10.36","10.35","10.49","10.32","2.44M","-1.24%"
"May 24, 2019","10.49","10.38","10.55","10.31","2.00M","1.55%"
"May 23, 2019","10.33","10.39","10.62","10.31","2.51M","-0.10%"
"May 22, 2019","10.34","10.71","10.78","10.29","2.02M","-3.27%"
"May 21, 2019","10.69","10.58","10.74","10.35","3.45M","1.71%"
"May 20, 2019","10.51","10.87","10.88","10.51","1.93M","-3.67%"
"May 17, 2019","10.91","10.78","10.96","10.71","3.16M","0.65%"
"May 16, 2019","10.84","11.02","11.10","10.72","2.52M","-2.34%"
"May 15, 2019","11.10","11.40","11.50","11.09","1.90M","-2.37%"
"May 14, 2019","11.37","11.65","11.70","11.29","1.53M","-2.65%"
"May 13, 2019","11.68","11.64","11.69","11.42","2.16M","2.10%"
"May 10, 2019","11.44","11.83","11.88","11.43","2.43M","-3.13%"
"May 09, 2019","11.81","12.00","12.38","11.81","2.06M","-1.58%"
"May 08, 2019","12.00","12.34","12.45","11.97","1.88M","-2.20%"
"May 07, 2019","12.27","11.93","12.33","11.84","2.32M","2.59%"
"May 06, 2019","11.96","11.95","12.10","11.88","1.08M","-0.08%"
"May 03, 2019","11.97","12.07","12.23","11.91","2.23M","1.10%"
"May 02, 2019","11.84","12.32","12.33","11.80","3.28M","-4.75%"
"May 01, 2019","12.43","12.64","12.84","12.39","2.08M","-2.20%"
"Apr 30, 2019","12.71","12.71","12.87","12.66","1.38M","0.08%"
"Apr 29, 2019","12.70","12.86","12.86","12.61","1.16M","-2.08%"
"Apr 26, 2019","12.97","12.77","12.99","12.69","1.80M","2.77%"
"Apr 25, 2019","12.62","12.57","12.73","12.48","1.47M","0.32%"
"Apr 24, 2019","12.58","12.34","12.72","12.31","1.22M","1.86%"
"Apr 23, 2019","12.35","12.40","12.44","12.28","1.59M","-1.04%"
"Apr 22, 2019","12.48","12.65","12.71","12.46","1.65M","-1.42%"
"Apr 18, 2019","12.66","12.87","13.01","12.64","2.28M","-1.71%"
"Apr 17, 2019","12.88","13.05","13.08","12.82","1.53M","-1.30%"
"Apr 16, 2019","13.05","13.20","13.25","13.02","1.23M","-2.32%"
"Apr 15, 2019","13.36","13.10","13.41","13.07","1.19M","0.75%"
"Apr 12, 2019","13.26","13.32","13.40","13.17","1.07M","-0.08%"
"Apr 11, 2019","13.27","13.26","13.50","13.22","1.32M","-1.41%"
"Apr 10, 2019","13.46","13.48","13.69","13.45","1.56M","-0.15%"
"Apr 09, 2019","13.48","13.51","13.57","13.34","1.30M","0.37%"
"Apr 08, 2019","13.43","13.42","13.52","13.35","1.44M","1.28%"
"Apr 05, 2019","13.26","13.32","13.34","13.14","1.07M","-0.53%"
"Apr 04, 2019","13.33","12.94","13.33","12.88","1.56M","2.07%"
"Apr 03, 2019","13.06","12.98","13.14","12.92","1.93M","0.93%"
"Apr 02, 2019","12.94","12.92","13.01","12.86","1.37M","0.08%"
"Apr 01, 2019","12.93","13.32","13.32","12.82","2.23M","-2.42%"
"Mar 29, 2019","13.25","13.34","13.56","13.25","1.62M","-0.45%"
"Mar 28, 2019","13.31","13.42","13.46","13.17","1.83M","-2.13%"
"Mar 27, 2019","13.60","13.72","13.86","13.59","1.42M","-1.23%"
"Mar 26, 2019","13.77","13.62","13.80","13.48","1.73M","0.29%"
"Mar 25, 2019","13.73","13.46","13.80","13.39","2.72M","2.77%"
"Mar 22, 2019","13.36","13.12","13.53","13.12","2.05M","0.07%"
"Mar 21, 2019","13.35","13.29","13.43","13.02","2.76M","0.45%"
"Mar 20, 2019","13.29","12.93","13.34","12.79","2.96M","3.10%"
"Mar 19, 2019","12.89","13.07","13.10","12.88","1.61M","-0.08%"
"Mar 18, 2019","12.90","13.17","13.26","12.86","2.89M","-3.01%"
"Mar 15, 2019","13.30","12.94","13.34","12.82","8.46M","3.91%"
"Mar 14, 2019","12.80","13.00","13.00","12.79","1.95M","-3.03%"
"Mar 13, 2019","13.20","13.20","13.43","13.13","2.08M","0.76%"
"Mar 12, 2019","13.10","12.90","13.19","12.88","1.69M","2.18%"
"Mar 11, 2019","12.82","13.17","13.18","12.72","2.09M","-2.51%"
"Mar 08, 2019","13.15","13.09","13.38","12.87","2.84M","3.22%"
"Mar 07, 2019","12.74","12.46","12.82","12.43","2.27M","2.00%"
"Mar 06, 2019","12.49","12.87","12.90","12.47","1.95M","-2.80%"
"Mar 05, 2019","12.85","12.80","12.90","12.64","2.16M","0.47%"
"Mar 04, 2019","12.79","12.68","12.83","12.52","2.42M","0.79%"
"Mar 01, 2019","12.69","13.14","13.26","12.66","4.04M","-5.01%"
"Feb 28, 2019","13.36","13.68","13.71","13.29","2.46M","-2.27%"
"Feb 27, 2019","13.67","14.08","14.20","13.65","2.78M","-2.77%"
"Feb 26, 2019","14.06","14.02","14.15","13.73","2.16M","0.36%"
"Feb 25, 2019","14.01","14.27","14.35","13.95","3.36M","-1.96%"
"Feb 22, 2019","14.29","14.30","14.79","14.23","4.92M","0.56%"
"Feb 21, 2019","14.21","14.12","14.44","13.95","7.14M","-3.33%"
"Feb 20, 2019","14.70","15.24","15.24","14.54","5.99M","-2.52%"
"Feb 19, 2019","15.08","14.70","15.17","14.47","2.83M","4.22%"
"Feb 15, 2019","14.47","14.45","14.55","14.21","1.52M","0.84%"
"Feb 14, 2019","14.35","14.11","14.41","14.10","919.30K","1.20%"
"Feb 13, 2019","14.18","14.30","14.48","14.15","928.81K","-0.91%"
"Feb 12, 2019","14.31","14.52","14.56","14.08","994.27K","-0.83%"
"Feb 11, 2019","14.43","14.61","14.73","14.42","1.19M","-2.30%"
"Feb 08, 2019","14.77","14.66","14.88","14.61","1.09M","1.44%"
"Feb 07, 2019","14.56","14.91","14.94","14.52","952.67K","-1.75%"
"Feb 06, 2019","14.82","14.77","15.13","14.76","1.15M","-0.74%"
"Feb 05, 2019","14.93","14.85","14.94","14.72","815.46K","0.54%"
"Feb 04, 2019","14.85","14.60","14.88","14.53","913.27K","0.61%"
"Feb 01, 2019","14.76","14.80","14.89","14.61","1.20M","-1.01%"
"Jan 31, 2019","14.91","14.87","14.94","14.75","1.16M","1.29%"
"Jan 30, 2019","14.72","14.40","14.90","14.28","1.87M","2.08%"
"Jan 29, 2019","14.42","14.27","14.47","14.02","2.37M","1.76%"
"Jan 28, 2019","14.17","13.84","14.17","13.84","1.82M","2.53%"
"Jan 25, 2019","13.82","13.47","13.90","13.47","1.41M","4.07%"
"Jan 24, 2019","13.28","13.27","13.41","13.21","1.17M","-0.38%"
"Jan 23, 2019","13.33","13.20","13.40","13.06","1.80M","1.06%"
"Jan 22, 2019","13.19","14.02","14.05","13.01","3.92M","-6.98%"
"Jan 18, 2019","14.18","14.38","14.45","14.15","1.66M","-2.14%"
"Jan 17, 2019","14.49","14.56","14.69","14.46","1.18M","-0.69%"
"Jan 16, 2019","14.59","14.54","14.66","14.42","1.29M","0.27%"
"Jan 15, 2019","14.55","14.91","14.99","14.41","1.41M","-2.68%"
"Jan 14, 2019","14.95","15.04","15.12","14.77","1.18M","-0.33%"
"Jan 11, 2019","15.00","15.15","15.23","14.92","1.58M","-0.40%"
"Jan 10, 2019","15.06","15.41","15.53","14.98","1.39M","-2.52%"
"Jan 09, 2019","15.45","15.20","15.52","15.16","1.18M","2.12%"
"Jan 08, 2019","15.13","15.05","15.21","14.92","1.56M","0.07%"
"Jan 07, 2019","15.12","15.17","15.25","15.01","1.49M","1.07%"
"Jan 04, 2019","14.96","14.64","15.07","14.42","1.89M","1.01%"
"Jan 03, 2019","14.81","14.76","14.88","14.56","1.69M","1.16%"
"Jan 02, 2019","14.64","14.58","14.82","14.32","1.26M","0.27%"
"Dec 31, 2018","14.60","14.42","14.60","14.23","1.33M","0.97%"
"Dec 28, 2018","14.46","14.56","14.70","14.28","1.28M","-0.89%"
"Dec 27, 2018","14.59","14.52","14.66","14.24","2.14M","1.18%"
"Dec 26, 2018","14.42","14.59","14.74","14.18","1.36M","-0.28%"
"Dec 24, 2018","14.46","14.29","14.53","14.17","1.26M","2.99%"
"Dec 21, 2018","14.04","14.31","14.40","13.89","3.31M","-2.43%"
"Dec 20, 2018","14.39","14.34","14.54","13.96","2.43M","4.50%"
"Dec 19, 2018","13.77","14.68","14.89","13.76","2.99M","-5.81%"
"Dec 18, 2018","14.62","14.40","14.68","14.28","1.96M","1.60%"
"Dec 17, 2018","14.39","14.11","14.54","14.06","2.33M","2.49%"
"Dec 14, 2018","14.04","13.95","14.30","13.81","1.35M","-1.06%"
"Dec 13, 2018","14.19","14.11","14.26","14.05","904.03K","0.57%"
"Dec 12, 2018","14.11","13.73","14.14","13.69","1.17M","3.60%"
"Dec 11, 2018","13.62","13.84","13.90","13.56","841.01K","-0.51%"
"Dec 10, 2018","13.69","13.77","13.98","13.50","1.25M","-1.08%"
"Dec 07, 2018","13.84","13.45","13.96","13.35","1.60M","3.44%"
"Dec 06, 2018","13.38","13.28","13.56","13.12","1.69M","1.06%"
"Dec 04, 2018","13.24","13.40","13.56","13.16","1.66M","-0.15%"
"Dec 03, 2018","13.26","13.26","13.34","13.04","1.42M","2.79%"
"Nov 30, 2018","12.90","12.78","12.95","12.57","1.18M","0.16%"
"Nov 29, 2018","12.88","13.11","13.24","12.87","881.48K","-1.38%"
"Nov 28, 2018","13.06","12.50","13.12","12.42","1.53M","4.15%"
"Nov 27, 2018","12.54","13.05","13.05","12.44","1.47M","-2.18%"
"Nov 26, 2018","12.82","13.20","13.48","12.78","2.42M","-2.73%"
"Nov 23, 2018","13.18","13.65","13.73","13.11","1.39M","-4.22%"
"Nov 21, 2018","13.76","13.31","13.85","13.20","1.93M","4.08%"
"Nov 20, 2018","13.22","13.31","13.39","12.86","1.64M","-0.30%"
"Nov 19, 2018","13.26","12.90","13.29","12.82","2.50M","2.00%"
"Nov 16, 2018","13.00","13.16","13.23","12.90","2.24M","0.78%"
"Nov 15, 2018","12.90","12.96","13.10","12.58","2.49M","1.90%"
"Nov 14, 2018","12.66","12.40","13.13","12.12","9.17M","-10.40%"
"Nov 13, 2018","14.13","14.28","14.41","13.95","1.24M","-0.91%"
"Nov 12, 2018","14.26","14.36","14.47","14.17","1.78M","-1.93%"
"Nov 09, 2018","14.54","14.12","14.59","13.97","2.24M","1.32%"
"Nov 08, 2018","14.35","13.96","14.48","13.91","2.10M","2.43%"
"Nov 07, 2018","14.01","14.84","15.00","13.95","4.40M","-7.03%"
"Nov 06, 2018","15.07","15.39","15.53","15.04","989.09K","-2.33%"
"Nov 05, 2018","15.43","15.40","15.71","15.22","1.79M","-0.06%"
"Nov 02, 2018","15.44","15.36","15.48","15.10","1.44M","0.59%"
"Nov 01, 2018","15.35","14.94","15.46","14.90","2.00M","4.56%"
"Oct 31, 2018","14.68","14.76","14.89","14.51","3.21M","-1.48%"
"Oct 30, 2018","14.90","14.75","15.05","14.59","1.72M","0.68%"
"Oct 29, 2018","14.80","14.94","15.04","14.61","1.63M","-1.14%"
"Oct 26, 2018","14.97","14.80","15.38","14.62","1.86M","2.60%"
"Oct 25, 2018","14.59","15.32","15.50","14.54","2.16M","-4.27%"
"Oct 24, 2018","15.24","15.14","15.67","15.14","1.77M","0.99%"
"Oct 23, 2018","15.09","15.56","15.75","14.99","1.91M","-1.24%"
"Oct 22, 2018","15.28","15.56","15.56","15.14","1.30M","-1.42%"
"Oct 19, 2018","15.50","15.67","15.70","15.36","1.33M","-0.06%"
"Oct 18, 2018","15.51","15.37","15.70","15.26","1.21M","0.58%"
"Oct 17, 2018","15.42","15.48","15.60","15.24","1.38M","-0.06%"
"Oct 16, 2018","15.43","15.57","15.68","15.24","1.10M","0.13%"
"Oct 15, 2018","15.41","15.39","15.74","15.29","1.63M","1.25%"
"Oct 12, 2018","15.22","15.42","15.45","14.84","1.78M","-1.74%"
"Oct 11, 2018","15.49","14.92","15.57","14.62","2.99M","5.59%"
"Oct 10, 2018","14.67","14.69","14.71","14.36","1.03M","-0.07%"
"Oct 09, 2018","14.68","14.67","14.80","14.42","1.18M","-0.74%"
"Oct 08, 2018","14.79","14.30","14.80","14.17","1.25M","1.65%"
"Oct 05, 2018","14.55","14.69","14.82","14.49","1.21M","-0.27%"
"Oct 04, 2018","14.59","14.67","14.94","14.50","955.09K","-0.41%"
"Oct 03, 2018","14.65","14.99","15.12","14.58","1.51M","-2.27%"
"Oct 02, 2018","14.99","14.92","15.16","14.91","1.48M","1.77%"
"Oct 01, 2018","14.73","14.68","14.94","14.55","972.46K","-0.20%"
"Sep 28, 2018","14.76","14.53","14.87","14.46","1.62M","2.79%"
"Sep 27, 2018","14.36","14.49","14.53","14.08","1.67M","-1.64%"
"Sep 26, 2018","14.60","14.69","14.93","14.48","1.48M","-1.42%"
"Sep 25, 2018","14.81","14.98","15.11","14.75","1.21M","-0.54%"
"Sep 24, 2018","14.89","15.06","15.20","14.85","1.49M","-0.07%"
"Sep 21, 2018","14.90","15.04","15.21","14.84","2.59M","-2.17%"
"Sep 20, 2018","15.23","15.42","15.43","14.97","1.35M","0.40%"
"Sep 19, 2018","15.17","15.17","15.34","15.06","1.16M","1.00%"
"Sep 18, 2018","15.02","14.89","15.14","14.77","1.24M","1.28%"
"Sep 17, 2018","14.83","14.51","14.99","14.31","1.77M","2.42%"
"Sep 14, 2018","14.48","14.81","14.84","14.48","1.23M","-1.90%"
"Sep 13, 2018","14.76","14.96","15.06","14.64","1.22M","-0.54%"
"Sep 12, 2018","14.84","14.55","15.06","14.40","1.89M","2.70%"
"Sep 11, 2018","14.45","14.21","14.51","13.97","1.49M","0.49%"
"Sep 10, 2018","14.38","14.94","14.99","14.36","1.55M","-3.88%"
"Sep 07, 2018","14.96","14.76","15.12","14.67","1.22M","0.13%"
"Sep 06, 2018","14.94","14.88","15.16","14.74","1.13M","1.22%"
"Sep 05, 2018","14.76","14.81","14.92","14.56","919.96K","-0.27%"
"Sep 04, 2018","14.80","15.29","15.46","14.69","2.03M","-5.07%"
"Aug 31, 2018","15.59","15.70","15.82","15.58","704.39K","-0.45%"
"Aug 30, 2018","15.66","15.72","15.76","15.55","903.84K","-1.51%"
"Aug 29, 2018","15.90","15.88","15.98","15.75","609.78K","0.63%"
"Aug 28, 2018","15.80","16.22","16.36","15.70","997.78K","-2.23%"
"Aug 27, 2018","16.16","15.89","16.21","15.86","887.89K","2.15%"
"Aug 24, 2018","15.82","15.32","16.14","15.32","1.75M","4.22%"
"Aug 23, 2018","15.18","15.65","15.75","15.11","1.82M","-4.47%"
"Aug 22, 2018","15.89","15.89","15.98","15.79","634.86K","0.44%"
"Aug 21, 2018","15.82","15.87","15.92","15.72","763.97K","-0.50%"
"Aug 20, 2018","15.90","15.98","16.10","15.77","957.40K","0.51%"
"Aug 17, 2018","15.82","15.48","15.98","15.44","2.04M","2.99%"
"Aug 16, 2018","15.36","15.90","16.10","15.31","1.93M","-2.35%"
"Aug 15, 2018","15.73","16.37","16.40","15.62","2.37M","-5.18%"
"Aug 14, 2018","16.59","16.44","16.74","16.37","994.25K","0.97%"
