"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","15.58","15.18","16.19","15.11","998.76K","2.50%"
"Oct 24, 2019","15.20","15.32","15.48","15.00","748.85K","0.33%"
"Oct 23, 2019","15.15","15.28","15.52","14.73","714.65K","-1.62%"
"Oct 22, 2019","15.40","15.40","15.84","15.34","569.11K","-2.35%"
"Oct 21, 2019","15.77","15.40","15.80","15.36","627.72K","2.54%"
"Oct 18, 2019","15.38","15.75","15.81","15.32","463.62K","-2.16%"
"Oct 17, 2019","15.72","16.18","16.30","15.63","536.52K","-2.84%"
"Oct 16, 2019","16.18","16.74","16.88","16.13","485.29K","-3.58%"
"Oct 15, 2019","16.78","16.45","16.96","16.39","196.15K","2.38%"
"Oct 14, 2019","16.39","16.84","17.25","16.26","397.71K","-3.59%"
"Oct 11, 2019","17.00","17.43","17.83","16.97","551.70K","-1.16%"
"Oct 10, 2019","17.20","16.41","17.39","16.13","651.23K","5.26%"
"Oct 09, 2019","16.34","16.85","16.95","15.97","727.42K","-2.51%"
"Oct 08, 2019","16.76","17.95","18.00","16.76","644.39K","-6.37%"
"Oct 07, 2019","17.90","18.50","19.10","17.90","801.71K","-3.35%"
"Oct 04, 2019","18.52","18.02","18.67","17.86","394.36K","3.70%"
"Oct 03, 2019","17.86","18.09","18.11","17.31","352.09K","1.82%"
"Oct 02, 2019","17.54","17.03","17.67","16.19","382.74K","2.04%"
"Oct 01, 2019","17.19","17.50","17.86","17.07","706.55K","-0.98%"
"Sep 30, 2019","17.36","16.85","17.40","16.17","485.87K","3.95%"
"Sep 27, 2019","16.70","16.08","16.85","15.92","312.35K","3.60%"
"Sep 26, 2019","16.12","16.22","16.34","15.85","273.60K","-0.31%"
"Sep 25, 2019","16.17","15.53","16.21","15.29","203.67K","3.39%"
"Sep 24, 2019","15.64","15.80","15.97","15.51","194.85K","-1.88%"
"Sep 23, 2019","15.94","15.76","16.06","15.41","240.37K","-0.50%"
"Sep 20, 2019","16.02","16.61","16.63","15.88","519.34K","-2.32%"
"Sep 19, 2019","16.40","15.73","16.42","15.31","464.05K","3.02%"
"Sep 18, 2019","15.92","15.80","16.10","15.66","436.17K","-0.25%"
"Sep 17, 2019","15.96","16.14","16.18","15.50","642.37K","-1.78%"
"Sep 16, 2019","16.25","14.86","16.25","14.77","413.20K","9.50%"
"Sep 13, 2019","14.84","15.46","15.66","14.60","486.24K","-3.57%"
"Sep 12, 2019","15.39","15.58","15.59","15.01","504.57K","-1.22%"
"Sep 11, 2019","15.58","15.26","15.63","14.64","537.54K","3.18%"
"Sep 10, 2019","15.10","14.84","15.36","14.75","352.62K","1.41%"
"Sep 09, 2019","14.89","14.66","15.36","14.66","720.14K","-0.40%"
"Sep 06, 2019","14.95","15.27","16.10","14.83","1.44M","-2.42%"
"Sep 05, 2019","15.32","13.50","15.43","13.00","2.30M","18.58%"
"Sep 04, 2019","12.92","12.37","13.61","12.01","2.85M","5.73%"
"Sep 03, 2019","12.22","13.50","13.54","12.06","3.28M","-5.86%"
"Aug 30, 2019","12.98","13.69","13.88","12.87","1.64M","-3.42%"
"Aug 29, 2019","13.44","14.67","14.67","13.38","1.94M","-7.05%"
"Aug 28, 2019","14.46","14.30","14.86","14.14","1.44M","0.07%"
"Aug 27, 2019","14.45","15.31","15.34","14.36","2.07M","-5.74%"
"Aug 26, 2019","15.33","16.38","16.41","15.16","803.20K","-4.96%"
"Aug 23, 2019","16.13","16.80","16.86","15.93","924.26K","-4.33%"
"Aug 22, 2019","16.86","16.55","17.08","16.30","465.81K","2.00%"
"Aug 21, 2019","16.53","16.64","17.36","16.23","891.06K","-0.30%"
"Aug 20, 2019","16.58","16.31","16.95","16.07","834.81K","3.17%"
"Aug 19, 2019","16.07","16.73","16.96","15.60","1.47M","-7.32%"
"Aug 16, 2019","17.34","17.72","18.27","17.27","1.01M","0.46%"
"Aug 15, 2019","17.26","16.31","18.17","15.86","1.66M","12.22%"
"Aug 14, 2019","15.38","15.74","17.20","15.00","1.96M","-5.41%"
"Aug 13, 2019","16.26","16.86","17.30","15.69","2.49M","0.25%"
"Aug 12, 2019","16.22","21.16","21.20","14.32","7.09M","-53.82%"
"Aug 09, 2019","35.12","31.76","35.50","31.40","1.03M","9.72%"
"Aug 08, 2019","32.01","31.16","32.34","31.15","505.82K","2.93%"
"Aug 07, 2019","31.10","31.33","31.75","30.48","403.84K","-1.64%"
"Aug 06, 2019","31.62","31.54","31.84","30.55","316.56K","1.35%"
"Aug 05, 2019","31.20","31.55","31.55","30.15","479.26K","-3.23%"
"Aug 02, 2019","32.24","32.00","32.54","30.90","378.45K","0.66%"
"Aug 01, 2019","32.03","32.98","33.81","31.93","376.93K","-2.64%"
"Jul 31, 2019","32.90","33.63","33.99","32.67","355.11K","-1.73%"
"Jul 30, 2019","33.48","33.62","33.84","33.02","191.84K","-0.95%"
"Jul 29, 2019","33.80","33.36","33.92","32.81","468.27K","0.87%"
"Jul 26, 2019","33.51","32.13","33.55","32.13","373.62K","4.10%"
"Jul 25, 2019","32.19","31.90","32.33","31.63","259.90K","-0.95%"
"Jul 24, 2019","32.50","31.75","32.60","31.47","324.18K","1.88%"
"Jul 23, 2019","31.90","31.80","32.05","31.18","382.70K","1.08%"
"Jul 22, 2019","31.56","33.26","33.40","31.54","650.91K","-5.11%"
"Jul 19, 2019","33.26","33.74","34.14","33.23","217.40K","-0.95%"
"Jul 18, 2019","33.58","34.30","35.23","32.91","272.66K","-2.50%"
"Jul 17, 2019","34.44","34.77","35.48","34.36","275.32K","-0.17%"
"Jul 16, 2019","34.50","33.47","34.56","33.22","532.21K","3.08%"
"Jul 15, 2019","33.47","35.77","36.13","33.43","447.67K","-6.77%"
"Jul 12, 2019","35.90","35.48","36.41","35.11","267.78K","1.79%"
"Jul 11, 2019","35.27","35.77","35.92","35.08","528.60K","-0.34%"
"Jul 10, 2019","35.39","35.57","36.14","34.48","329.34K","0.11%"
"Jul 09, 2019","35.35","34.50","35.37","34.09","263.95K","2.05%"
"Jul 08, 2019","34.64","33.90","34.82","33.28","293.67K","2.12%"
"Jul 05, 2019","33.92","34.22","34.55","33.56","432.36K","-0.56%"
"Jul 03, 2019","34.11","34.39","35.38","34.10","241.52K","-2.10%"
"Jul 02, 2019","34.84","34.55","34.97","34.00","518.99K","0.84%"
"Jul 01, 2019","34.55","34.98","35.72","34.13","599.55K","-0.35%"
"Jun 28, 2019","34.67","35.00","35.56","34.17","720.63K","-0.37%"
"Jun 27, 2019","34.80","32.35","35.10","32.30","996.44K","7.44%"
"Jun 26, 2019","32.39","33.13","33.62","32.14","382.85K","-1.67%"
"Jun 25, 2019","32.94","33.28","33.66","32.89","387.08K","-1.44%"
"Jun 24, 2019","33.42","32.84","33.66","32.34","589.44K","1.58%"
"Jun 21, 2019","32.90","32.90","33.37","32.31","578.07K","0.21%"
"Jun 20, 2019","32.83","32.86","33.51","31.96","722.73K","1.36%"
"Jun 19, 2019","32.39","32.87","33.40","32.15","731.93K","0.47%"
"Jun 18, 2019","32.24","32.82","33.58","32.16","1.01M","0.03%"
"Jun 17, 2019","32.23","31.75","32.78","31.54","645.34K","1.29%"
"Jun 14, 2019","31.82","32.41","33.19","31.82","746.87K","-1.76%"
"Jun 13, 2019","32.39","33.65","33.65","31.11","1.38M","-3.77%"
"Jun 12, 2019","33.66","30.11","33.68","29.38","2.59M","12.58%"
"Jun 11, 2019","29.90","27.30","29.90","27.30","2.02M","10.91%"
"Jun 10, 2019","26.96","26.16","26.97","25.71","1.04M","3.57%"
"Jun 07, 2019","26.03","27.50","27.74","26.03","838.59K","-5.00%"
"Jun 06, 2019","27.40","27.50","27.55","26.71","602.03K","-0.33%"
"Jun 05, 2019","27.49","26.91","27.55","26.18","568.38K","2.80%"
"Jun 04, 2019","26.74","25.52","26.75","25.52","771.93K","4.90%"
"Jun 03, 2019","25.49","25.46","25.97","24.96","968.63K","0.83%"
"May 31, 2019","25.28","25.79","25.95","25.19","959.35K","-3.14%"
"May 30, 2019","26.10","25.94","26.73","25.80","752.77K","0.93%"
"May 29, 2019","25.86","25.97","26.11","25.35","575.58K","-0.84%"
"May 28, 2019","26.08","26.02","26.98","25.11","9.86M","0.23%"
"May 24, 2019","26.02","25.57","26.16","25.16","966.30K","3.09%"
"May 23, 2019","25.24","25.32","25.45","24.64","925.89K","-1.87%"
"May 22, 2019","25.72","25.23","25.90","24.96","925.02K","2.43%"
"May 21, 2019","25.11","23.29","25.20","23.29","681.25K","8.75%"
"May 20, 2019","23.09","22.58","23.25","21.69","766.08K","1.63%"
"May 17, 2019","22.72","22.86","23.54","22.29","506.91K","-3.03%"
"May 16, 2019","23.43","23.00","23.85","22.72","496.89K","1.30%"
"May 15, 2019","23.13","22.40","23.25","22.14","675.49K","1.63%"
"May 14, 2019","22.76","22.28","23.38","21.92","815.55K","2.38%"
"May 13, 2019","22.23","22.92","22.92","21.56","778.53K","-4.14%"
"May 10, 2019","23.19","23.70","24.67","22.92","826.58K","-2.28%"
"May 09, 2019","23.73","23.49","23.97","22.86","651.76K","0.30%"
"May 08, 2019","23.66","22.98","24.16","22.57","1.05M","4.00%"
"May 07, 2019","22.75","23.10","23.24","22.31","821.49K","-3.07%"
"May 06, 2019","23.47","22.79","23.70","22.21","675.05K","1.47%"
"May 03, 2019","23.13","21.83","23.54","21.69","1.23M","6.20%"
"May 02, 2019","21.78","21.08","21.80","20.87","1.03M","3.22%"
"May 01, 2019","21.10","20.95","21.38","20.38","687.79K","0.72%"
"Apr 30, 2019","20.95","20.30","21.09","20.30","514.09K","3.20%"
"Apr 29, 2019","20.30","20.52","21.22","20.22","860.91K","-1.41%"
"Apr 26, 2019","20.59","21.53","22.26","20.48","668.13K","-3.42%"
"Apr 25, 2019","21.32","21.07","21.82","19.50","2.06M","-0.74%"
"Apr 24, 2019","21.48","23.41","23.60","21.44","1.40M","-8.44%"
"Apr 23, 2019","23.46","23.53","24.31","23.35","630.07K","-0.30%"
"Apr 22, 2019","23.53","23.53","23.81","23.09","461.91K","-0.13%"
"Apr 18, 2019","23.56","24.36","24.36","22.72","728.75K","-3.16%"
"Apr 17, 2019","24.33","24.55","25.22","23.99","735.70K","-0.45%"
"Apr 16, 2019","24.44","24.72","25.50","24.36","637.71K","-1.45%"
"Apr 15, 2019","24.80","24.04","24.89","23.61","437.62K","3.68%"
"Apr 12, 2019","23.92","23.98","24.50","23.60","797.34K","-0.08%"
"Apr 11, 2019","23.94","24.70","24.70","23.71","743.59K","-3.08%"
"Apr 10, 2019","24.70","24.73","25.11","24.10","806.14K","0.53%"
"Apr 09, 2019","24.57","25.70","25.90","24.30","752.78K","-4.66%"
"Apr 08, 2019","25.77","25.22","26.25","25.08","798.36K","2.26%"
"Apr 05, 2019","25.20","25.51","25.84","25.13","552.50K","-0.79%"
"Apr 04, 2019","25.40","25.73","26.24","25.13","678.50K","-1.51%"
"Apr 03, 2019","25.79","26.95","27.29","25.51","593.88K","-3.34%"
"Apr 02, 2019","26.68","26.99","27.29","26.41","328.21K","-0.89%"
"Apr 01, 2019","26.92","28.00","28.06","26.80","385.02K","-2.36%"
