"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 04, 2019","84.31","84.76","84.83","83.74","-","-0.53%"
"Nov 01, 2019","84.76","83.44","84.82","82.79","1.25M","2.13%"
"Oct 31, 2019","82.99","83.23","84.50","81.98","1.29M","-0.10%"
"Oct 30, 2019","83.07","81.93","83.19","81.28","838.50K","1.43%"
"Oct 29, 2019","81.90","83.70","84.03","81.57","1.49M","-2.86%"
"Oct 28, 2019","84.31","84.12","84.60","83.46","752.00K","0.26%"
"Oct 25, 2019","84.09","82.39","84.21","81.88","915.40K","2.06%"
"Oct 24, 2019","82.39","82.81","83.51","81.78","1.03M","-0.50%"
"Oct 23, 2019","82.80","84.81","85.08","82.80","1.18M","-2.34%"
"Oct 22, 2019","84.78","84.15","85.73","84.15","1.73M","-0.04%"
"Oct 21, 2019","84.81","82.60","84.81","82.02","1.58M","2.74%"
"Oct 18, 2019","82.55","83.57","83.88","82.19","785.10K","-1.22%"
"Oct 17, 2019","83.57","82.95","84.21","82.60","1.62M","1.06%"
"Oct 16, 2019","82.69","82.20","82.79","81.06","1.38M","1.25%"
"Oct 15, 2019","81.67","81.52","82.45","81.38","1.11M","0.22%"
"Oct 14, 2019","81.49","80.75","81.49","79.81","947.60K","0.87%"
"Oct 11, 2019","80.79","80.37","81.90","79.70","1.49M","1.46%"
"Oct 10, 2019","79.63","79.21","80.73","78.73","1.28M","0.54%"
"Oct 09, 2019","79.20","78.90","79.78","78.50","1.07M","0.32%"
"Oct 08, 2019","78.95","79.89","80.30","78.35","1.48M","-1.29%"
"Oct 07, 2019","79.98","80.52","81.17","79.43","1.46M","-0.68%"
"Oct 04, 2019","80.53","80.12","80.91","79.74","1.93M","1.21%"
"Oct 03, 2019","79.57","79.50","80.40","79.09","2.01M","0.13%"
"Oct 02, 2019","79.47","80.39","80.57","78.50","2.22M","-1.55%"
"Oct 01, 2019","80.72","79.90","80.80","79.41","1.31M","1.15%"
"Sep 30, 2019","79.80","80.20","81.39","79.80","1.42M","-0.87%"
"Sep 27, 2019","80.50","81.70","82.19","79.98","1.80M","-1.24%"
"Sep 26, 2019","81.51","82.88","82.88","80.80","2.50M","-1.20%"
"Sep 25, 2019","82.50","83.63","83.63","82.11","858.10K","-1.43%"
"Sep 24, 2019","83.70","82.90","83.70","82.46","2.39M","1.52%"
"Sep 23, 2019","82.45","83.41","83.77","81.90","1.93M","-0.66%"
"Sep 20, 2019","83.00","84.39","84.67","83.00","2.80M","-0.93%"
"Sep 19, 2019","83.78","85.91","86.42","83.78","2.10M","-1.74%"
"Sep 18, 2019","85.26","85.90","86.16","84.90","1.15M","-0.57%"
"Sep 17, 2019","85.75","85.70","86.89","85.23","2.01M","-1.32%"
