"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","17.15","17.99","18.19","17.15","132.87M","-1.44%"
"May 14, 2020","17.40","17.40","17.47","16.72","118.69M","-1.08%"
"May 13, 2020","17.59","18.26","18.35","17.52","86.70M","-3.03%"
"May 12, 2020","18.14","18.53","18.83","18.13","70.45M","-0.06%"
"May 11, 2020","18.15","18.30","18.93","18.11","64.54M","-1.79%"
"May 08, 2020","18.48","17.74","18.58","17.71","82.59M","5.96%"
"May 07, 2020","17.44","17.75","17.87","17.35","80.91M","0.93%"
"May 06, 2020","17.28","17.87","18.06","17.28","66.94M","-3.68%"
"May 05, 2020","17.94","17.90","18.48","17.87","74.53M","3.22%"
"May 04, 2020","17.38","17.43","17.62","17.18","59.67M","-3.71%"
"Apr 30, 2020","18.05","17.98","18.42","17.70","79.40M","-0.82%"
"Apr 29, 2020","18.20","17.80","18.48","17.53","94.05M","5.51%"
"Apr 28, 2020","17.25","17.04","17.25","16.63","91.14M","4.86%"
"Apr 27, 2020","16.45","16.14","16.53","15.78","85.57M","3.13%"
"Apr 24, 2020","15.95","16.69","16.79","15.28","160.18M","-5.90%"
"Apr 23, 2020","16.95","17.20","17.43","16.62","94.32M","1.19%"
"Apr 22, 2020","16.75","15.85","16.75","15.78","114.26M","5.02%"
"Apr 20, 2020","15.95","15.48","16.33","15.34","132.87M","-1.12%"
"Apr 17, 2020","16.13","15.75","16.13","15.56","116.22M","2.61%"
"Apr 16, 2020","15.72","16.67","16.76","15.53","113.22M","-4.03%"
"Apr 15, 2020","16.38","16.04","16.47","15.86","86.29M","-2.09%"
"Apr 14, 2020","16.73","17.02","17.30","16.61","90.49M","-1.18%"
"Apr 13, 2020","16.93","16.82","17.09","16.33","93.26M","0.65%"
"Apr 09, 2020","16.82","17.94","18.69","16.50","184.87M","-2.89%"
"Apr 08, 2020","17.32","16.50","17.53","16.40","114.58M","5.61%"
"Apr 07, 2020","16.40","16.61","17.07","16.34","139.72M","3.99%"
"Apr 06, 2020","15.77","16.05","16.10","15.18","122.54M","2.80%"
"Apr 03, 2020","15.34","16.30","16.36","14.93","142.01M","-1.10%"
"Apr 02, 2020","15.51","15.40","16.55","15.01","233.81M","8.46%"
"Apr 01, 2020","14.30","13.45","14.55","13.32","113.48M","2.22%"
"Mar 31, 2020","13.99","13.60","14.54","13.60","155.31M","4.56%"
"Mar 30, 2020","13.38","13.15","13.74","12.83","110.53M","0.60%"
"Mar 27, 2020","13.30","13.30","13.69","13.25","100.33M","-7.57%"
"Mar 26, 2020","14.39","14.40","15.19","13.81","129.59M","0.49%"
"Mar 25, 2020","14.32","13.24","14.79","12.83","157.33M","8.08%"
"Mar 24, 2020","13.25","12.57","13.54","12.28","113.40M","15.22%"
"Mar 23, 2020","11.50","12.11","12.18","11.28","106.11M","-4.17%"
"Mar 20, 2020","12.00","13.11","13.50","11.83","148.24M","-1.72%"
"Mar 19, 2020","12.21","11.07","13.07","10.85","155.41M","8.15%"
"Mar 18, 2020","11.29","11.79","12.29","10.87","161.41M","-13.15%"
"Mar 17, 2020","13.00","13.60","13.84","13.00","148.05M","-0.69%"
"Mar 16, 2020","13.09","12.91","14.10","12.55","125.35M","-15.00%"
"Mar 13, 2020","15.40","15.10","15.40","12.70","173.05M","22.22%"
"Mar 12, 2020","12.60","13.66","13.86","11.08","149.99M","-20.50%"
"Mar 11, 2020","15.85","16.70","17.13","15.00","129.76M","-9.74%"
"Mar 10, 2020","17.56","18.65","18.65","16.37","169.49M","9.41%"
"Mar 09, 2020","16.05","17.81","18.23","15.41","252.82M","-29.70%"
"Mar 06, 2020","22.83","24.10","24.13","22.55","138.60M","-9.73%"
"Mar 05, 2020","25.29","26.33","26.67","24.71","69.72M","-5.95%"
"Mar 04, 2020","26.89","26.91","26.94","26.24","42.32M","3.22%"
"Mar 03, 2020","26.05","26.57","27.48","25.76","86.86M","-1.81%"
"Mar 02, 2020","26.53","25.50","26.75","25.48","71.60M","4.70%"
"Feb 28, 2020","25.34","25.16","25.56","24.62","89.10M","0.16%"
"Feb 27, 2020","25.30","25.72","26.53","24.89","100.11M","-3.47%"
"Feb 26, 2020","26.21","27.04","27.39","26.03","89.21M","-10.05%"
"Feb 21, 2020","29.14","29.51","29.68","29.03","47.81M","-2.61%"
"Feb 20, 2020","29.92","30.80","30.89","29.75","73.52M","-2.06%"
"Feb 19, 2020","30.55","29.87","30.55","29.76","44.18M","2.69%"
"Feb 18, 2020","29.75","29.06","29.77","28.95","33.89M","1.33%"
"Feb 17, 2020","29.36","29.63","29.77","29.31","38.68M","-0.20%"
"Feb 14, 2020","29.42","29.86","29.96","29.34","30.40M","-1.01%"
"Feb 13, 2020","29.72","29.77","30.21","29.64","55.28M","-1.36%"
"Feb 12, 2020","30.13","29.64","30.28","29.63","64.85M","2.20%"
"Feb 11, 2020","29.48","29.40","29.63","29.26","37.52M","1.20%"
"Feb 10, 2020","29.13","28.89","29.13","28.64","45.33M","0.69%"
"Feb 07, 2020","28.93","29.00","29.35","28.73","54.51M","-0.86%"
"Feb 06, 2020","29.18","28.70","29.51","28.12","126.11M","2.78%"
"Feb 05, 2020","28.39","29.05","29.22","28.39","67.99M","-0.84%"
"Feb 04, 2020","28.63","28.65","29.04","28.56","57.66M","1.60%"
"Feb 03, 2020","28.18","28.52","28.73","28.16","39.45M","-0.95%"
"Jan 31, 2020","28.45","28.63","28.84","28.31","55.45M","-1.69%"
"Jan 30, 2020","28.94","28.28","29.04","28.18","44.27M","0.31%"
"Jan 29, 2020","28.85","29.00","29.08","28.67","42.30M","0.17%"
"Jan 28, 2020","28.80","28.43","29.14","28.42","47.26M","2.75%"
"Jan 27, 2020","28.03","28.63","28.64","27.67","66.11M","-4.33%"
"Jan 24, 2020","29.30","29.56","29.78","29.14","36.90M","-1.01%"
"Jan 23, 2020","29.60","29.09","29.76","28.82","53.75M","1.06%"
"Jan 22, 2020","29.29","29.73","29.81","29.27","32.49M","-1.11%"
"Jan 21, 2020","29.62","29.80","29.94","29.55","28.58M","-1.27%"
"Jan 20, 2020","30.00","29.70","30.10","29.65","31.24M","0.50%"
"Jan 17, 2020","29.85","29.72","29.85","29.54","34.91M","1.12%"
"Jan 16, 2020","29.52","29.60","29.70","29.33","29.00M","-0.10%"
"Jan 15, 2020","29.55","29.90","29.93","29.54","34.41M","-1.50%"
"Jan 14, 2020","30.00","30.23","30.27","29.77","39.80M","-1.09%"
"Jan 13, 2020","30.33","30.35","30.43","30.21","30.68M","0.20%"
"Jan 10, 2020","30.27","30.39","30.44","30.13","25.40M","-0.43%"
"Jan 09, 2020","30.40","30.47","30.62","30.25","36.10M","-0.33%"
"Jan 08, 2020","30.50","30.69","30.77","30.24","48.22M","-0.62%"
"Jan 07, 2020","30.69","30.82","30.88","30.47","32.82M","-0.39%"
"Jan 06, 2020","30.81","30.43","30.94","29.95","81.84M","1.18%"
"Jan 03, 2020","30.45","30.88","31.24","30.45","71.60M","-0.81%"
"Jan 02, 2020","30.70","30.51","30.70","30.31","37.77M","1.72%"
"Dec 30, 2019","30.18","30.55","30.71","30.15","22.11M","-1.11%"
"Dec 27, 2019","30.52","30.69","30.92","30.29","25.00M","0.10%"
"Dec 26, 2019","30.49","30.17","30.51","30.09","24.81M","1.33%"
"Dec 23, 2019","30.09","29.78","30.09","29.62","21.97M","0.80%"
"Dec 20, 2019","29.85","30.18","30.18","29.61","93.06M","-1.13%"
"Dec 19, 2019","30.19","30.04","30.33","30.01","39.70M","0.23%"
"Dec 18, 2019","30.12","29.35","30.15","29.30","64.20M","2.31%"
"Dec 17, 2019","29.44","29.24","29.49","29.03","40.68M","1.48%"
"Dec 16, 2019","29.01","29.64","29.76","29.01","68.87M","-1.89%"
"Dec 13, 2019","29.57","30.47","30.55","29.46","105.00M","-4.52%"
"Dec 12, 2019","30.97","30.64","31.05","30.48","47.80M","1.87%"
"Dec 11, 2019","30.40","30.51","30.71","30.26","38.46M","-0.13%"
"Dec 10, 2019","30.44","30.10","30.44","29.90","27.53M","0.76%"
"Dec 09, 2019","30.21","30.30","30.48","30.12","34.69M","-0.46%"
"Dec 06, 2019","30.35","30.15","30.59","30.13","44.35M","1.00%"
"Dec 05, 2019","30.05","29.64","30.39","29.52","50.45M","1.31%"
"Dec 04, 2019","29.66","29.26","29.66","29.11","44.96M","2.35%"
"Dec 03, 2019","28.98","29.17","29.19","28.73","29.19M","-0.31%"
"Dec 02, 2019","29.07","29.40","29.50","29.07","31.35M","-0.27%"
"Nov 29, 2019","29.15","29.49","29.56","29.01","37.70M","-1.29%"
"Nov 28, 2019","29.53","29.32","29.54","28.81","46.60M","0.68%"
"Nov 27, 2019","29.33","29.35","29.65","29.14","33.07M","0.48%"
"Nov 26, 2019","29.19","29.62","29.73","29.10","54.15M","-1.82%"
"Nov 25, 2019","29.73","29.92","30.10","29.63","29.87M","-0.83%"
"Nov 22, 2019","29.98","29.76","30.34","29.56","34.79M","0.44%"
"Nov 21, 2019","29.85","28.93","29.85","28.88","53.03M","3.72%"
"Nov 19, 2019","28.78","29.25","29.49","28.73","33.74M","-1.03%"
"Nov 18, 2019","29.08","29.70","29.85","29.07","54.47M","-0.75%"
"Nov 14, 2019","29.30","29.88","30.10","29.27","44.60M","-2.01%"
"Nov 13, 2019","29.90","29.95","30.13","29.61","41.83M","-0.40%"
"Nov 12, 2019","30.02","30.04","30.61","30.01","41.66M","-0.76%"
"Nov 11, 2019","30.25","29.65","30.25","29.59","30.57M","1.44%"
"Nov 08, 2019","29.82","30.25","30.59","29.73","61.57M","-2.87%"
"Nov 07, 2019","30.70","29.80","30.87","29.35","96.33M","4.03%"
"Nov 06, 2019","29.51","29.85","30.50","27.92","154.00M","0.17%"
"Nov 05, 2019","29.46","30.21","30.40","29.39","92.98M","-2.32%"
"Nov 04, 2019","30.16","30.69","31.01","29.76","81.02M","-0.23%"
"Nov 01, 2019","30.23","30.39","31.02","29.64","100.85M","0.13%"
"Oct 31, 2019","30.19","29.66","30.26","29.45","66.62M","1.04%"
"Oct 30, 2019","29.88","29.57","29.89","29.28","62.69M","0.88%"
"Oct 29, 2019","29.62","29.21","29.74","29.07","49.75M","0.07%"
"Oct 28, 2019","29.60","29.22","29.66","29.12","37.25M","1.20%"
"Oct 25, 2019","29.25","29.20","29.55","29.01","74.14M","3.28%"
"Oct 24, 2019","28.32","29.15","29.25","28.23","60.12M","-2.18%"
"Oct 23, 2019","28.95","28.53","29.08","28.45","45.78M","1.33%"
"Oct 22, 2019","28.57","27.80","28.68","27.77","63.74M","2.88%"
"Oct 21, 2019","27.77","27.75","27.81","27.60","43.16M","0.62%"
"Oct 18, 2019","27.60","27.89","27.99","27.60","35.74M","-0.22%"
"Oct 17, 2019","27.66","27.93","28.00","27.59","31.06M","-0.97%"
"Oct 16, 2019","27.93","27.55","27.97","27.36","31.31M","1.20%"
"Oct 15, 2019","27.60","27.31","27.88","27.31","30.11M","1.06%"
"Oct 14, 2019","27.31","27.04","27.33","26.94","20.67M","0.18%"
"Oct 11, 2019","27.26","26.93","27.36","26.93","36.83M","1.94%"
"Oct 10, 2019","26.74","26.59","26.88","26.54","30.71M","0.83%"
"Oct 09, 2019","26.52","26.35","26.71","26.15","34.87M","1.92%"
"Oct 08, 2019","26.02","26.17","26.44","25.95","30.14M","-0.57%"
"Oct 07, 2019","26.17","26.37","26.60","26.10","26.06M","-1.28%"
"Oct 04, 2019","26.51","26.85","26.92","26.27","47.66M","-0.86%"
"Oct 03, 2019","26.74","26.75","26.81","26.28","45.84M","0.07%"
"Oct 02, 2019","26.72","27.22","27.26","26.61","50.90M","-2.87%"
"Oct 01, 2019","27.51","27.60","27.73","27.36","32.22M","-0.15%"
"Sep 30, 2019","27.55","27.56","27.64","27.40","22.98M","-0.40%"
"Sep 27, 2019","27.66","27.55","27.95","27.52","31.82M","-0.14%"
"Sep 26, 2019","27.70","27.40","27.70","27.23","33.47M","1.32%"
"Sep 25, 2019","27.34","27.03","27.35","26.78","28.96M","0.26%"
"Sep 24, 2019","27.27","27.42","27.54","27.15","36.53M","-0.76%"
"Sep 23, 2019","27.48","27.00","27.49","26.92","32.51M","1.78%"
"Sep 20, 2019","27.00","27.35","27.43","27.00","51.58M","-1.06%"
"Sep 19, 2019","27.29","27.83","27.85","27.22","41.98M","0.26%"
"Sep 18, 2019","27.22","27.37","27.49","27.22","40.14M","-1.70%"
"Sep 17, 2019","27.69","27.66","27.75","27.16","67.14M","-1.32%"
