"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","43.43","43.36","43.63","42.99","467.50K","-1.25%"
"Oct 25, 2019","43.98","43.93","44.08","43.83","679.68K","0.39%"
"Oct 24, 2019","43.81","43.77","43.88","43.71","304.69K","0.74%"
"Oct 23, 2019","43.49","43.21","43.65","43.21","804.25K","0.18%"
"Oct 22, 2019","43.41","43.69","43.75","43.25","1.33M","-1.16%"
"Oct 21, 2019","43.92","43.77","43.98","43.69","665.79K","0.90%"
"Oct 18, 2019","43.53","43.38","43.64","43.31","448.12K","0.35%"
"Oct 17, 2019","43.38","43.15","43.58","43.13","326.04K","0.32%"
"Oct 16, 2019","43.24","43.05","43.47","43.05","552.29K","-0.05%"
"Oct 15, 2019","43.26","42.89","43.39","42.87","510.08K","0.19%"
"Oct 14, 2019","43.18","43.41","43.47","43.17","349.66K","0.70%"
"Oct 11, 2019","42.88","43.05","43.14","42.82","763.61K","2.31%"
"Oct 10, 2019","41.91","41.64","42.00","41.32","2.16M","-8.25%"
"Oct 09, 2019","45.68","45.33","45.81","45.27","623.41K","1.56%"
"Oct 08, 2019","44.98","45.47","45.49","44.83","1.28M","-1.38%"
"Oct 07, 2019","45.61","45.52","45.90","45.43","477.25K","0.73%"
"Oct 04, 2019","45.28","45.08","45.29","44.88","408.86K","1.73%"
"Oct 03, 2019","44.51","44.24","44.57","43.93","740.14K","1.46%"
"Oct 02, 2019","43.87","44.53","44.61","43.53","1.15M","-2.84%"
"Oct 01, 2019","45.15","45.65","45.72","44.97","907.44K","-2.12%"
"Sep 30, 2019","46.13","45.88","46.37","45.84","451.44K","1.61%"
"Sep 27, 2019","45.40","45.90","45.95","45.00","1.33M","-5.65%"
"Sep 26, 2019","48.12","48.12","48.34","47.86","628.01K","-1.15%"
"Sep 25, 2019","48.68","48.13","48.77","48.04","628.45K","1.29%"
"Sep 24, 2019","48.06","48.34","48.57","47.89","578.25K","0.61%"
"Sep 23, 2019","47.77","47.74","47.91","47.66","322.80K","-0.35%"
"Sep 20, 2019","47.94","48.30","48.58","47.92","555.23K","-1.40%"
"Sep 19, 2019","48.62","48.50","48.84","48.46","429.06K","0.50%"
"Sep 18, 2019","48.38","48.50","48.73","48.04","535.96K","0.12%"
"Sep 17, 2019","48.32","47.95","48.35","47.90","467.57K","1.79%"
"Sep 16, 2019","47.47","47.56","47.69","47.33","879.56K","-0.63%"
"Sep 13, 2019","47.77","47.57","48.02","47.51","819.34K","0.42%"
"Sep 12, 2019","47.57","47.19","47.65","47.17","561.22K","1.30%"
"Sep 11, 2019","46.96","46.50","47.00","46.48","333.97K","1.10%"
"Sep 10, 2019","46.45","46.06","46.55","45.80","504.90K","0.17%"
"Sep 09, 2019","46.37","47.16","47.16","46.32","592.49K","-2.05%"
"Sep 06, 2019","47.34","47.41","47.54","47.34","309.82K","0.19%"
"Sep 05, 2019","47.25","47.31","47.44","47.16","267.21K","-0.51%"
"Sep 04, 2019","47.49","47.34","47.50","47.23","301.41K","1.17%"
"Sep 03, 2019","46.94","46.92","47.04","46.71","587.49K","-0.30%"
"Aug 30, 2019","47.08","47.36","47.41","46.89","410.61K","0.32%"
"Aug 29, 2019","46.93","47.01","47.05","46.75","444.54K","0.71%"
"Aug 28, 2019","46.60","46.45","46.83","46.23","375.41K","0.65%"
"Aug 27, 2019","46.30","46.27","46.49","46.21","284.57K","0.72%"
"Aug 26, 2019","45.97","46.15","46.17","45.83","561.01K","0.13%"
"Aug 23, 2019","45.91","46.61","46.88","45.86","977.13K","-1.54%"
"Aug 22, 2019","46.63","47.12","47.15","46.59","546.98K","-0.28%"
"Aug 21, 2019","46.76","46.66","46.97","46.59","479.10K","0.80%"
"Aug 20, 2019","46.39","46.62","46.69","46.36","350.63K","-0.15%"
"Aug 19, 2019","46.46","46.62","46.64","46.41","279.23K","1.07%"
"Aug 16, 2019","45.97","45.69","46.25","45.69","631.98K","0.94%"
"Aug 15, 2019","45.54","45.31","45.59","45.23","643.39K","0.89%"
"Aug 14, 2019","45.14","45.58","45.68","45.09","471.94K","-3.07%"
"Aug 13, 2019","46.57","45.96","46.84","45.90","374.13K","0.91%"
"Aug 12, 2019","46.15","46.30","46.55","46.14","330.99K","-0.47%"
"Aug 09, 2019","46.37","46.39","46.55","46.11","380.89K","-0.73%"
"Aug 08, 2019","46.71","46.28","46.87","46.25","573.60K","1.57%"
"Aug 07, 2019","45.99","45.82","46.23","45.58","846.88K","0.37%"
"Aug 06, 2019","45.82","45.49","45.86","45.46","404.04K","0.73%"
"Aug 05, 2019","45.49","45.88","46.01","45.27","694.38K","-2.40%"
"Aug 02, 2019","46.61","47.13","47.16","46.16","872.73K","-2.00%"
"Aug 01, 2019","47.56","47.86","48.27","47.33","905.70K","1.65%"
"Jul 31, 2019","46.79","47.20","47.42","46.50","550.96K","-0.59%"
"Jul 30, 2019","47.07","47.21","47.36","47.00","757.00K","-1.20%"
"Jul 29, 2019","47.64","47.32","47.68","47.06","843.84K","1.23%"
"Jul 26, 2019","47.06","46.92","47.13","46.85","733.38K","0.88%"
"Jul 25, 2019","46.65","46.60","46.81","46.29","753.24K","-0.45%"
"Jul 24, 2019","46.86","46.80","46.91","46.65","846.59K","-0.91%"
"Jul 23, 2019","47.29","46.91","47.40","46.88","1.45M","2.40%"
"Jul 22, 2019","46.18","45.59","46.37","45.57","1.62M","6.14%"
"Jul 19, 2019","43.51","43.63","43.73","43.44","754.20K","-1.45%"
"Jul 18, 2019","44.15","43.92","44.17","43.87","659.95K","-0.25%"
"Jul 17, 2019","44.26","44.41","44.51","44.20","681.20K","-0.63%"
"Jul 16, 2019","44.54","44.61","44.71","44.42","1.54M","0.50%"
"Jul 15, 2019","44.32","44.31","44.49","44.26","409.94K","0.52%"
"Jul 12, 2019","44.09","44.15","44.20","43.92","624.25K","-0.79%"
