"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 14, 2019","26.18","26.75","26.80","26.00","40.90K","0.50%"
"Nov 13, 2019","26.05","27.80","27.94","25.50","62.70K","-0.76%"
"Nov 12, 2019","26.25","29.00","29.00","26.20","131.50K","-5.41%"
"Nov 11, 2019","27.75","29.00","29.00","27.75","91.60K","-4.31%"
"Nov 08, 2019","29.00","28.33","29.88","28.05","83.30K","0.66%"
"Nov 07, 2019","28.81","29.48","29.49","28.01","54.40K","2.13%"
"Nov 06, 2019","28.21","29.48","29.49","28.01","31.40K","-3.72%"
"Nov 05, 2019","29.30","29.30","29.36","28.64","49.20K","0.62%"
"Nov 04, 2019","29.12","28.00","29.12","27.52","43.10K","5.89%"
"Nov 01, 2019","27.50","27.70","28.11","27.21","52.00K","0.00%"
"Oct 31, 2019","27.50","28.50","28.72","27.50","52.90K","-3.20%"
"Oct 30, 2019","28.41","28.72","29.23","28.41","37.90K","-1.08%"
"Oct 29, 2019","28.72","29.12","29.60","28.63","34.80K","-1.34%"
"Oct 28, 2019","29.11","29.85","29.85","29.11","23.00K","-2.41%"
"Oct 25, 2019","29.83","29.90","30.09","29.15","60.50K","0.40%"
"Oct 24, 2019","29.71","29.49","29.95","28.80","46.30K","0.75%"
"Oct 23, 2019","29.49","29.01","29.60","28.55","42.90K","1.24%"
"Oct 22, 2019","29.13","29.47","30.67","28.75","64.30K","-1.09%"
"Oct 21, 2019","29.45","28.20","29.66","28.20","66.20K","4.51%"
"Oct 18, 2019","28.18","27.88","28.47","27.62","39.10K","1.18%"
"Oct 17, 2019","27.85","28.90","29.08","27.80","84.00K","-3.63%"
"Oct 16, 2019","28.90","28.80","28.99","28.35","27.60K","0.98%"
"Oct 15, 2019","28.62","29.08","29.34","28.50","38.80K","-1.99%"
"Oct 14, 2019","29.20","29.60","30.00","29.20","22.30K","-1.32%"
"Oct 11, 2019","29.59","29.14","29.59","29.14","22.30K","1.61%"
"Oct 10, 2019","29.12","29.51","30.17","29.01","37.80K","-2.93%"
"Oct 09, 2019","30.00","29.99","30.33","29.60","23.70K","0.07%"
"Oct 08, 2019","29.98","29.80","30.06","29.00","89.20K","1.87%"
"Oct 07, 2019","29.43","30.70","30.83","29.43","74.90K","-4.14%"
"Oct 04, 2019","30.70","31.56","31.65","30.30","233.70K","-2.54%"
"Oct 03, 2019","31.50","30.10","31.50","29.51","52.00K","4.13%"
"Oct 02, 2019","30.25","30.50","30.60","29.35","160.10K","-1.94%"
"Oct 01, 2019","30.85","31.26","31.60","30.11","106.00K","-1.12%"
"Sep 30, 2019","31.20","30.45","31.20","29.00","263.80K","2.46%"
"Sep 27, 2019","30.45","31.50","31.86","29.71","107.40K","-3.18%"
"Sep 26, 2019","31.45","28.31","31.50","28.26","197.80K","10.35%"
"Sep 25, 2019","28.50","29.65","29.86","28.29","85.90K","-3.88%"
"Sep 24, 2019","29.65","30.61","30.82","29.61","69.90K","-3.36%"
"Sep 23, 2019","30.68","31.11","31.60","30.43","62.00K","-1.45%"
"Sep 20, 2019","31.13","32.30","32.46","31.13","60.00K","-3.65%"
"Sep 19, 2019","32.31","32.95","34.48","31.98","170.20K","-0.86%"
"Sep 18, 2019","32.59","32.00","33.28","30.47","110.20K","2.20%"
"Sep 17, 2019","31.89","32.99","32.99","31.30","90.70K","-3.36%"
"Sep 16, 2019","33.00","33.00","33.36","31.78","63.90K","0.03%"
"Sep 13, 2019","32.99","35.50","35.80","32.51","186.70K","-7.02%"
"Sep 12, 2019","35.48","36.40","37.37","35.21","77.80K","-1.50%"
"Sep 11, 2019","36.02","37.06","37.50","35.78","60.40K","-3.95%"
"Sep 10, 2019","37.50","37.97","37.97","36.70","73.70K","-0.79%"
"Sep 09, 2019","37.80","38.14","38.75","37.73","25.10K","-0.53%"
"Sep 06, 2019","38.00","38.31","38.85","37.73","63.70K","-0.05%"
"Sep 05, 2019","38.02","39.66","39.90","38.02","121.40K","-4.93%"
"Sep 04, 2019","39.99","40.70","41.12","39.09","111.50K","-0.94%"
"Sep 03, 2019","40.37","41.00","41.73","39.60","82.30K","-0.69%"
"Sep 02, 2019","40.65","41.99","42.05","40.52","98.10K","-3.19%"
"Aug 30, 2019","41.99","41.35","42.48","40.00","152.10K","1.30%"
"Aug 29, 2019","41.45","42.00","42.50","40.05","309.70K","-4.71%"
"Aug 28, 2019","43.50","37.96","43.50","37.77","283.70K","16.31%"
"Aug 27, 2019","37.40","37.90","40.00","36.92","137.10K","-1.01%"
"Aug 26, 2019","37.78","37.97","38.00","35.74","88.30K","1.40%"
"Aug 23, 2019","37.26","38.20","38.32","36.40","85.90K","-3.20%"
"Aug 22, 2019","38.49","38.57","39.35","37.17","92.50K","-1.31%"
"Aug 21, 2019","39.00","40.05","41.65","39.00","129.40K","-2.50%"
"Aug 20, 2019","40.00","40.50","40.68","37.50","245.80K","-1.67%"
"Aug 19, 2019","40.68","42.50","44.09","40.63","287.40K","-5.40%"
"Aug 16, 2019","43.00","41.00","44.80","37.20","684.80K","7.50%"
"Aug 15, 2019","40.00","36.00","40.98","34.55","825.40K","11.11%"
"Aug 14, 2019","36.00","36.00","38.00","32.55","1.58M","-6.01%"
"Aug 13, 2019","38.30","28.00","39.43","26.97","1.94M","36.79%"
"Aug 12, 2019","28.00","24.50","28.00","24.50","358.40K","12.45%"
"Aug 09, 2019","24.90","23.40","25.00","23.40","130.90K","7.79%"
"Aug 08, 2019","23.10","22.80","24.00","22.69","78.30K","2.67%"
"Aug 07, 2019","22.50","22.25","22.59","21.45","139.70K","0.72%"
"Aug 06, 2019","22.34","22.80","23.08","22.20","47.60K","-1.15%"
"Aug 05, 2019","22.60","23.00","23.49","22.60","162.20K","-3.00%"
"Aug 02, 2019","23.30","23.20","24.69","22.81","714.40K","5.91%"
"Aug 01, 2019","22.00","22.99","23.20","22.00","62.20K","-4.31%"
"Jul 31, 2019","22.99","23.95","23.95","22.99","30.90K","-4.01%"
"Jul 30, 2019","23.95","23.50","23.95","23.28","29.90K","1.91%"
"Jul 29, 2019","23.50","24.30","24.56","23.23","115.80K","-3.29%"
"Jul 26, 2019","24.30","25.45","25.47","24.30","1.73M","-3.84%"
"Jul 25, 2019","25.27","25.22","25.57","24.71","75.40K","0.20%"
"Jul 24, 2019","25.22","24.96","25.27","24.85","81.50K","1.29%"
"Jul 23, 2019","24.90","24.68","24.97","24.68","45.40K","1.63%"
"Jul 22, 2019","24.50","24.81","24.81","24.29","46.30K","-0.41%"
"Jul 19, 2019","24.60","24.05","24.68","23.75","77.90K","2.37%"
"Jul 18, 2019","24.03","23.84","24.14","23.67","64.40K","0.71%"
"Jul 17, 2019","23.86","24.42","24.42","23.79","135.80K","-2.29%"
"Jul 16, 2019","24.42","23.75","24.42","23.43","50.80K","2.18%"
"Jul 15, 2019","23.90","23.60","23.90","23.43","174.80K","1.27%"
"Jul 12, 2019","23.60","23.80","24.00","23.57","96.70K","-0.76%"
"Jul 11, 2019","23.78","23.99","24.20","23.50","62.60K","1.19%"
"Jul 10, 2019","23.50","23.66","24.18","23.50","213.50K","-0.68%"
"Jul 08, 2019","23.66","23.26","23.96","23.26","41.40K","2.11%"
"Jul 05, 2019","23.17","24.00","24.00","23.17","44.30K","-3.42%"
"Jul 04, 2019","23.99","23.00","23.99","22.53","81.40K","5.27%"
"Jul 03, 2019","22.79","21.75","23.47","21.75","110.60K","4.78%"
"Jul 02, 2019","21.75","21.76","21.85","21.64","30.50K","-0.05%"
"Jul 01, 2019","21.76","21.87","21.87","21.65","15.10K","-0.55%"
"Jun 28, 2019","21.88","21.83","22.07","21.42","40.80K","0.64%"
"Jun 27, 2019","21.74","21.64","21.79","21.36","22.00K","0.46%"
"Jun 26, 2019","21.64","21.44","21.64","21.24","28.10K","0.70%"
"Jun 25, 2019","21.49","21.22","21.59","21.05","32.50K","1.61%"
"Jun 24, 2019","21.15","21.17","21.29","20.97","31.50K","0.00%"
"Jun 21, 2019","21.15","20.94","21.20","20.93","35.70K","1.05%"
"Jun 19, 2019","20.93","20.53","20.96","20.52","19.00K","2.10%"
"Jun 18, 2019","20.50","20.89","21.07","20.50","18.60K","-1.58%"
"Jun 17, 2019","20.83","20.86","20.96","20.70","25.60K","-1.14%"
"Jun 14, 2019","21.07","21.10","21.18","20.85","10.80K","-0.61%"
"Jun 13, 2019","21.20","21.38","21.80","20.95","43.20K","-0.98%"
"Jun 12, 2019","21.41","21.60","21.88","21.41","18.00K","-0.88%"
"Jun 11, 2019","21.60","21.87","21.87","21.44","14.30K","0.61%"
"Jun 10, 2019","21.47","21.70","21.70","21.25","13.00K","-1.60%"
"Jun 07, 2019","21.82","21.87","21.88","21.48","18.10K","1.72%"
"Jun 06, 2019","21.45","21.85","21.85","21.24","17.20K","-1.79%"
"Jun 05, 2019","21.84","21.84","21.84","21.52","17.10K","0.00%"
"Jun 04, 2019","21.84","21.20","21.84","21.20","40.10K","3.07%"
"Jun 03, 2019","21.19","20.67","21.40","20.50","41.40K","2.52%"
"May 31, 2019","20.67","21.60","21.60","20.67","69.90K","-4.31%"
"May 30, 2019","21.60","21.39","21.80","21.39","24.00K","0.98%"
"May 29, 2019","21.39","22.20","22.22","21.39","64.30K","-3.87%"
"May 28, 2019","22.25","22.50","22.50","21.67","23.40K","-0.22%"
"May 27, 2019","22.30","22.20","22.70","21.92","49.10K","0.45%"
"May 24, 2019","22.20","22.18","22.25","21.52","31.30K","0.45%"
"May 23, 2019","22.10","20.95","22.41","20.50","66.80K","5.49%"
"May 22, 2019","20.95","19.81","20.99","19.80","90.10K","5.38%"
"May 21, 2019","19.88","18.97","19.90","18.95","40.50K","4.80%"
"May 20, 2019","18.97","19.15","19.20","18.53","52.90K","-0.16%"
"May 17, 2019","19.00","19.09","19.30","18.31","103.10K","-0.52%"
"May 16, 2019","19.10","19.03","19.10","17.42","171.80K","0.37%"
"May 15, 2019","19.03","20.51","20.68","19.03","173.90K","-7.26%"
"May 14, 2019","20.52","20.92","20.92","20.50","26.20K","-1.91%"
"May 13, 2019","20.92","21.56","21.57","20.89","29.90K","-3.01%"
"May 10, 2019","21.57","22.28","22.29","21.24","28.10K","-0.92%"
"May 09, 2019","21.77","22.12","22.30","21.70","33.20K","-1.54%"
"May 08, 2019","22.11","21.59","22.30","21.53","74.60K","2.74%"
"May 07, 2019","21.52","22.20","22.42","21.50","79.10K","-3.11%"
"May 06, 2019","22.21","22.77","22.86","22.18","48.00K","-2.46%"
"May 03, 2019","22.77","22.26","23.80","22.07","175.30K","3.17%"
"May 02, 2019","22.07","23.78","23.78","21.50","434.60K","-7.27%"
"Apr 30, 2019","23.80","24.48","24.48","23.80","141.99K","-2.78%"
"Apr 29, 2019","24.48","25.16","25.16","23.80","144.75K","-2.04%"
"Apr 26, 2019","24.99","25.16","25.50","24.82","126.95K","-1.34%"
"Apr 25, 2019","25.33","24.65","25.33","24.48","295.31K","2.76%"
"Apr 24, 2019","24.65","24.65","24.82","24.48","73.00K","0.00%"
"Apr 23, 2019","24.65","24.82","24.99","24.31","94.09K","0.00%"
"Apr 22, 2019","24.65","24.82","24.99","24.14","112.37K","-0.68%"
"Apr 18, 2019","24.82","25.16","25.33","24.48","72.99K","0.00%"
"Apr 17, 2019","24.82","25.16","25.84","24.65","216.81K","-1.35%"
"Apr 16, 2019","25.16","23.80","25.33","23.63","393.58K","7.25%"
"Apr 15, 2019","23.46","23.63","23.97","23.46","57.81K","0.00%"
"Apr 12, 2019","23.46","23.80","23.97","23.46","68.16K","-1.43%"
"Apr 11, 2019","23.80","24.31","24.31","23.63","54.87K","-1.41%"
"Apr 10, 2019","24.14","24.48","24.48","23.97","55.45K","-1.39%"
"Apr 09, 2019","24.48","24.31","24.48","23.97","86.85K","1.41%"
"Apr 08, 2019","24.14","24.48","24.48","24.14","61.87K","-1.39%"
"Apr 05, 2019","24.48","23.97","24.48","23.97","81.28K","2.86%"
"Apr 04, 2019","23.80","24.14","24.48","23.29","216.00K","-1.41%"
"Apr 03, 2019","24.14","24.48","24.65","24.14","85.28K","-1.39%"
"Apr 02, 2019","24.48","24.82","24.99","24.31","75.67K","-1.37%"
"Apr 01, 2019","24.82","24.82","24.99","24.48","107.49K","0.00%"
"Mar 29, 2019","24.82","24.82","25.16","24.65","59.80K","0.69%"
"Mar 28, 2019","24.65","24.48","24.65","24.31","64.08K","1.40%"
"Mar 27, 2019","24.31","24.82","24.99","24.14","125.55K","-2.72%"
"Mar 26, 2019","24.99","24.82","25.16","24.82","65.98K","1.38%"
"Mar 25, 2019","24.65","24.82","25.16","24.65","89.91K","-0.68%"
"Mar 22, 2019","24.82","24.99","24.99","24.48","92.50K","-1.35%"
"Mar 21, 2019","25.16","25.33","25.50","24.65","99.61K","-0.67%"
"Mar 20, 2019","25.33","25.33","25.84","25.16","116.65K","0.00%"
"Mar 19, 2019","25.33","24.82","25.50","24.82","115.25K","2.05%"
"Mar 18, 2019","24.82","24.82","24.99","24.48","92.94K","0.69%"
"Mar 15, 2019","24.65","24.48","24.65","24.31","52.90K","1.40%"
"Mar 14, 2019","24.31","24.99","25.16","24.31","90.24K","-2.05%"
"Mar 13, 2019","24.82","25.33","25.50","24.82","65.02K","-2.01%"
"Mar 12, 2019","25.33","25.50","25.67","25.16","70.64K","0.00%"
"Mar 11, 2019","25.33","25.33","25.67","25.16","147.14K","1.36%"
"Mar 08, 2019","24.99","24.99","25.50","24.99","169.04K","-0.68%"
"Mar 07, 2019","25.16","24.99","25.16","24.82","51.45K","0.00%"
"Mar 06, 2019","25.16","24.65","25.16","24.65","89.92K","2.78%"
"Mar 01, 2019","24.48","24.82","24.82","23.80","165.92K","-1.37%"
"Feb 28, 2019","24.82","24.48","25.16","24.14","485.81K","5.80%"
"Feb 27, 2019","23.46","23.29","23.46","22.78","132.72K","1.47%"
"Feb 26, 2019","23.12","23.46","23.46","23.12","66.70K","-0.73%"
"Feb 25, 2019","23.29","23.46","23.80","23.29","106.57K","-0.72%"
"Feb 22, 2019","23.46","23.12","23.46","22.95","69.17K","1.47%"
"Feb 21, 2019","23.12","23.80","23.80","22.95","113.70K","-1.45%"
"Feb 20, 2019","23.46","23.63","23.80","23.46","35.11K","0.00%"
"Feb 19, 2019","23.46","23.80","23.97","23.46","122.79K","-0.72%"
"Feb 18, 2019","23.63","23.80","24.14","23.46","107.07K","-2.11%"
"Feb 15, 2019","24.14","24.99","24.99","23.80","224.33K","-3.40%"
"Feb 14, 2019","24.99","25.33","26.18","24.82","439.71K","2.08%"
"Feb 13, 2019","24.48","23.80","25.16","23.46","324.42K","2.86%"
"Feb 12, 2019","23.80","24.99","25.50","23.63","221.93K","-4.11%"
"Feb 11, 2019","24.82","25.16","26.01","24.65","228.76K","-0.68%"
"Feb 08, 2019","24.99","23.80","25.50","23.63","289.17K","5.00%"
"Feb 07, 2019","23.80","23.12","23.80","23.12","81.37K","2.94%"
"Feb 06, 2019","23.12","23.29","23.46","23.12","56.52K","-0.73%"
"Feb 05, 2019","23.29","23.63","23.63","23.29","42.30K","0.00%"
"Feb 04, 2019","23.29","23.46","23.97","23.12","75.57K","-0.72%"
"Feb 01, 2019","23.46","23.46","23.63","23.29","33.64K","0.00%"
"Jan 31, 2019","23.46","22.95","23.46","22.95","160.99K","2.22%"
"Jan 30, 2019","22.95","23.29","23.46","22.95","44.01K","-0.74%"
"Jan 29, 2019","23.12","22.95","23.46","22.95","42.60K","0.74%"
"Jan 28, 2019","22.95","23.12","23.29","22.78","80.67K","-0.74%"
"Jan 24, 2019","23.12","23.46","23.46","23.12","84.15K","-1.45%"
"Jan 23, 2019","23.46","23.46","23.63","23.12","67.96K","1.47%"
"Jan 22, 2019","23.12","23.80","23.97","23.12","163.14K","-2.16%"
"Jan 21, 2019","23.63","23.97","24.14","23.46","52.78K","-1.42%"
"Jan 18, 2019","23.97","23.63","24.31","23.46","89.10K","2.17%"
"Jan 17, 2019","23.46","23.80","23.80","23.46","45.02K","-1.43%"
"Jan 16, 2019","23.80","23.80","23.80","23.29","54.79K","0.00%"
"Jan 15, 2019","23.80","23.63","23.80","23.46","80.34K","0.72%"
"Jan 14, 2019","23.63","23.46","23.80","23.29","58.56K","0.72%"
"Jan 11, 2019","23.46","23.63","23.63","23.29","25.36K","0.00%"
"Jan 10, 2019","23.46","23.80","23.80","23.46","27.49K","-1.43%"
"Jan 09, 2019","23.80","23.80","23.97","23.29","51.39K","0.00%"
"Jan 08, 2019","23.80","23.97","24.14","23.46","28.94K","-0.71%"
"Jan 07, 2019","23.97","23.80","24.48","23.63","38.38K","1.44%"
"Jan 04, 2019","23.63","23.80","24.48","23.46","123.98K","0.00%"
"Jan 03, 2019","23.63","23.63","24.31","23.46","63.19K","-1.42%"
"Jan 02, 2019","23.97","23.80","24.14","23.46","56.61K","0.71%"
"Dec 28, 2018","23.80","22.78","23.80","22.27","75.32K","5.26%"
"Dec 27, 2018","22.61","22.95","23.12","22.61","19.15K","-0.75%"
"Dec 26, 2018","22.78","23.80","23.80","22.78","55.17K","-4.96%"
"Dec 21, 2018","23.97","23.80","24.14","23.63","20.83K","0.00%"
"Dec 20, 2018","23.97","23.80","23.97","23.12","38.97K","0.00%"
"Dec 19, 2018","23.97","23.12","23.97","22.78","53.51K","4.44%"
"Dec 18, 2018","22.95","22.27","22.95","22.10","66.85K","3.85%"
"Dec 17, 2018","22.10","22.95","23.12","22.10","56.01K","-3.70%"
"Dec 14, 2018","22.95","22.95","22.95","22.61","25.02K","0.75%"
"Dec 13, 2018","22.78","23.12","23.29","22.61","25.91K","-2.19%"
"Dec 12, 2018","23.29","22.95","23.46","22.95","50.17K","0.74%"
"Dec 11, 2018","23.12","22.95","23.29","22.78","29.25K","1.49%"
"Dec 10, 2018","22.78","23.29","23.46","22.78","43.75K","-2.19%"
"Dec 07, 2018","23.29","23.80","23.80","23.29","23.04K","0.00%"
"Dec 06, 2018","23.29","23.46","23.46","22.61","101.22K","-2.14%"
