"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","2.57","2.49","2.58","2.47","5.88M","7.08%"
"May 15, 2020","2.40","2.42","2.51","2.37","8.68M","-1.64%"
"May 14, 2020","2.44","2.27","2.45","2.22","11.02M","6.09%"
"May 13, 2020","2.30","2.48","2.50","2.29","15.31M","-5.35%"
"May 12, 2020","2.43","2.65","2.70","2.42","15.98M","-6.54%"
"May 11, 2020","2.60","2.62","2.67","2.58","10.46M","-1.14%"
"May 08, 2020","2.63","2.62","2.72","2.60","8.04M","2.33%"
"May 07, 2020","2.57","2.79","2.79","2.56","11.77M","-5.51%"
"May 06, 2020","2.72","2.78","2.84","2.71","4.88M","-1.81%"
"May 05, 2020","2.77","2.98","3.01","2.75","8.78M","-4.48%"
"May 04, 2020","2.90","2.79","2.95","2.70","7.51M","1.40%"
"Apr 30, 2020","2.86","2.93","3.14","2.86","12.21M","-3.38%"
"Apr 29, 2020","2.96","2.90","3.04","2.86","8.40M","3.50%"
"Apr 28, 2020","2.86","2.99","3.04","2.85","9.14M","0.00%"
"Apr 27, 2020","2.86","2.84","2.97","2.78","9.89M","4.76%"
"Apr 24, 2020","2.73","2.97","2.97","2.62","10.98M","-8.70%"
"Apr 23, 2020","2.99","3.17","3.20","2.93","6.99M","-3.86%"
"Apr 22, 2020","3.11","3.16","3.27","3.08","9.71M","-1.58%"
"Apr 20, 2020","3.16","2.84","3.25","2.79","10.11M","9.34%"
"Apr 17, 2020","2.89","3.05","3.10","2.84","8.92M","-2.03%"
"Apr 16, 2020","2.95","2.96","3.09","2.89","9.89M","1.72%"
"Apr 15, 2020","2.90","2.60","2.96","2.57","11.04M","8.21%"
"Apr 14, 2020","2.68","2.53","2.70","2.53","7.31M","8.50%"
"Apr 13, 2020","2.47","2.46","2.51","2.41","5.01M","1.65%"
"Apr 09, 2020","2.43","2.52","2.61","2.41","8.34M","-2.41%"
"Apr 08, 2020","2.49","2.44","2.60","2.33","9.95M","2.89%"
"Apr 07, 2020","2.42","2.38","2.56","2.38","14.18M","6.61%"
"Apr 06, 2020","2.27","2.35","2.37","2.24","7.08M","2.25%"
"Apr 03, 2020","2.22","2.36","2.36","2.14","7.10M","-5.93%"
"Apr 02, 2020","2.36","2.47","2.50","2.31","7.44M","-2.48%"
"Apr 01, 2020","2.42","2.40","2.43","2.26","9.22M","-2.02%"
"Mar 31, 2020","2.47","2.69","2.70","2.42","7.24M","-7.14%"
"Mar 30, 2020","2.66","2.74","2.83","2.54","5.05M","0.76%"
"Mar 27, 2020","2.64","2.59","2.72","2.47","6.20M","-0.75%"
"Mar 26, 2020","2.66","2.50","2.93","2.50","9.15M","6.40%"
"Mar 25, 2020","2.50","2.20","2.51","2.17","11.16M","16.28%"
"Mar 24, 2020","2.15","2.37","2.45","2.15","11.33M","-3.37%"
"Mar 23, 2020","2.22","2.33","2.42","2.13","7.67M","-4.66%"
"Mar 20, 2020","2.33","2.55","2.63","2.30","8.42M","2.16%"
"Mar 19, 2020","2.28","2.13","2.44","1.90","11.26M","0.43%"
"Mar 18, 2020","2.27","2.92","2.93","2.17","9.37M","-25.08%"
"Mar 17, 2020","3.04","3.16","3.20","2.92","8.79M","0.33%"
"Mar 16, 2020","3.03","3.26","3.33","3.00","6.10M","-16.39%"
"Mar 13, 2020","3.62","3.76","3.80","3.32","7.72M","8.28%"
"Mar 12, 2020","3.34","3.46","3.59","3.26","5.52M","-17.76%"
"Mar 11, 2020","4.06","4.30","4.39","3.73","9.10M","-8.05%"
"Mar 10, 2020","4.42","4.50","4.91","4.26","10.64M","3.71%"
