"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","3.25","3.31","3.35","3.17","6.09M","3.17%"
"May 15, 2020","3.15","3.29","3.43","3.08","4.97M","-4.55%"
"May 14, 2020","3.30","3.04","3.32","2.96","4.99M","6.11%"
"May 13, 2020","3.11","3.35","3.38","3.02","4.27M","-4.31%"
"May 12, 2020","3.25","3.40","3.56","3.25","4.17M","-4.41%"
"May 11, 2020","3.40","3.66","3.80","3.36","4.65M","-8.11%"
"May 08, 2020","3.70","3.91","3.94","3.61","4.30M","-2.89%"
"May 07, 2020","3.81","4.17","4.22","3.76","5.33M","-6.16%"
"May 06, 2020","4.06","4.26","4.33","3.94","4.78M","-2.64%"
"May 05, 2020","4.17","4.54","4.72","4.10","6.49M","-4.79%"
"May 04, 2020","4.38","4.29","4.57","4.19","5.72M","-4.78%"
"Apr 30, 2020","4.60","4.33","5.15","4.17","21.38M","1.77%"
"Apr 29, 2020","4.52","3.66","4.52","3.57","12.91M","26.61%"
"Apr 28, 2020","3.57","3.64","3.70","3.52","4.68M","1.13%"
"Apr 27, 2020","3.53","3.57","3.69","3.45","2.76M","2.32%"
"Apr 24, 2020","3.45","3.72","3.78","3.32","4.90M","-9.92%"
"Apr 23, 2020","3.83","3.69","4.05","3.63","8.29M","5.80%"
"Apr 22, 2020","3.62","3.57","3.66","3.48","3.15M","2.84%"
"Apr 20, 2020","3.52","3.37","3.58","3.27","2.19M","2.92%"
"Apr 17, 2020","3.42","3.58","3.61","3.42","2.22M","-1.16%"
"Apr 16, 2020","3.46","3.62","3.68","3.40","3.19M","-0.86%"
"Apr 15, 2020","3.49","3.18","3.57","3.12","4.60M","4.18%"
"Apr 14, 2020","3.35","3.50","3.59","3.32","3.89M","0.00%"
"Apr 13, 2020","3.35","3.27","3.36","3.16","3.36M","2.45%"
"Apr 09, 2020","3.27","3.61","3.84","3.21","9.64M","-3.54%"
"Apr 08, 2020","3.39","2.82","3.42","2.76","7.79M","20.21%"
"Apr 07, 2020","2.82","3.00","3.13","2.81","4.58M","0.71%"
"Apr 06, 2020","2.80","3.00","3.05","2.77","3.29M","3.70%"
"Apr 03, 2020","2.70","3.10","3.12","2.67","4.66M","-10.89%"
"Apr 02, 2020","3.03","3.45","3.50","2.90","3.96M","-8.18%"
"Apr 01, 2020","3.30","3.23","3.35","3.15","1.75M","-5.17%"
"Mar 31, 2020","3.48","3.55","3.59","3.34","3.24M","-0.57%"
"Mar 30, 2020","3.50","3.85","3.89","3.34","4.13M","-2.78%"
"Mar 27, 2020","3.60","3.40","3.90","3.14","4.63M","-0.55%"
"Mar 26, 2020","3.62","3.15","3.97","3.15","5.14M","15.65%"
"Mar 25, 2020","3.13","2.45","3.27","2.45","5.57M","26.21%"
"Mar 24, 2020","2.48","2.45","2.58","2.32","3.13M","10.22%"
"Mar 23, 2020","2.25","2.52","2.55","2.17","2.89M","-11.76%"
"Mar 20, 2020","2.55","2.90","3.05","2.55","3.29M","-2.67%"
"Mar 19, 2020","2.62","2.19","2.85","1.93","4.61M","14.41%"
"Mar 18, 2020","2.29","3.12","3.15","2.08","4.43M","-34.57%"
"Mar 17, 2020","3.50","4.25","4.30","3.50","3.91M","-14.22%"
"Mar 16, 2020","4.08","3.69","4.26","3.61","2.18M","-7.27%"
"Mar 13, 2020","4.40","4.65","4.77","3.85","3.29M","10.00%"
"Mar 12, 2020","4.00","4.38","4.50","3.76","2.52M","-20.32%"
"Mar 11, 2020","5.02","4.95","5.31","4.62","3.22M","-0.20%"
"Mar 10, 2020","5.03","4.85","5.45","4.75","4.37M","15.63%"
"Mar 09, 2020","4.35","4.50","4.90","4.35","2.40M","-16.35%"
"Mar 06, 2020","5.20","5.48","5.50","5.15","3.95M","-11.11%"
"Mar 05, 2020","5.85","6.57","6.70","5.85","5.29M","-12.69%"
"Mar 04, 2020","6.70","6.92","6.94","6.51","2.36M","-1.62%"
"Mar 03, 2020","6.81","7.01","7.07","6.61","2.65M","-1.16%"
"Mar 02, 2020","6.89","7.02","7.22","6.74","4.21M","1.77%"
"Feb 28, 2020","6.77","6.08","6.77","5.75","5.43M","8.32%"
"Feb 27, 2020","6.25","6.36","6.48","6.02","4.37M","-3.85%"
"Feb 26, 2020","6.50","6.36","6.51","6.05","2.17M","-3.99%"
"Feb 21, 2020","6.77","6.74","6.80","6.63","1.66M","-0.44%"
"Feb 20, 2020","6.80","6.76","6.88","6.73","2.00M","0.15%"
"Feb 19, 2020","6.79","6.89","6.98","6.71","1.64M","-1.45%"
"Feb 18, 2020","6.89","6.64","6.90","6.58","1.72M","2.53%"
"Feb 17, 2020","6.72","7.07","7.08","6.70","2.46M","-3.31%"
"Feb 14, 2020","6.95","7.00","7.36","6.82","4.56M","0.72%"
"Feb 13, 2020","6.90","6.71","6.91","6.70","1.58M","0.29%"
"Feb 12, 2020","6.88","6.82","6.99","6.68","2.52M","1.62%"
"Feb 11, 2020","6.77","6.76","6.89","6.55","4.04M","1.04%"
"Feb 10, 2020","6.70","6.84","7.11","6.45","9.42M","4.69%"
"Feb 07, 2020","6.40","6.54","6.55","6.32","2.86M","-3.03%"
"Feb 06, 2020","6.60","6.76","6.97","6.45","4.75M","-1.49%"
"Feb 05, 2020","6.70","7.00","7.09","6.70","3.59M","-3.32%"
"Feb 04, 2020","6.93","7.18","7.23","6.85","3.75M","-1.00%"
"Feb 03, 2020","7.00","7.35","7.46","7.00","4.73M","-6.17%"
"Jan 31, 2020","7.46","6.90","7.99","6.85","9.62M","-12.24%"
"Jan 30, 2020","8.50","8.90","8.90","8.40","1.33M","-5.35%"
"Jan 29, 2020","8.98","9.42","9.58","8.86","1.24M","-4.37%"
"Jan 28, 2020","9.39","9.65","9.85","9.25","1.13M","-3.69%"
"Jan 27, 2020","9.75","10.05","10.11","9.43","1.01M","-3.47%"
"Jan 24, 2020","10.10","10.00","10.50","9.96","1.83M","1.41%"
"Jan 23, 2020","9.96","10.46","10.83","9.82","2.95M","-4.69%"
"Jan 22, 2020","10.45","9.22","10.48","8.74","5.08M","13.34%"
"Jan 21, 2020","9.22","9.70","9.75","9.13","1.36M","-4.46%"
"Jan 20, 2020","9.65","9.69","9.79","9.61","663.30K","0.52%"
"Jan 17, 2020","9.60","9.64","9.75","9.55","610.60K","-1.03%"
"Jan 16, 2020","9.70","9.84","9.96","9.66","533.90K","-1.22%"
"Jan 15, 2020","9.82","9.95","9.96","9.75","496.90K","-1.01%"
"Jan 14, 2020","9.92","10.03","10.19","9.92","682.20K","-1.10%"
"Jan 13, 2020","10.03","10.00","10.09","9.90","666.40K","1.62%"
"Jan 10, 2020","9.87","9.83","9.96","9.70","926.50K","1.54%"
"Jan 09, 2020","9.72","9.85","10.14","9.70","1.42M","0.83%"
"Jan 08, 2020","9.64","9.83","10.13","9.61","1.01M","-2.43%"
"Jan 07, 2020","9.88","9.57","10.32","9.57","2.07M","3.67%"
"Jan 06, 2020","9.53","9.90","9.94","9.50","1.12M","-4.12%"
"Jan 03, 2020","9.94","10.14","10.14","9.73","1.24M","-2.17%"
"Jan 02, 2020","10.16","10.27","10.44","10.15","831.50K","-0.29%"
"Dec 30, 2019","10.19","10.36","10.54","10.14","901.80K","-1.16%"
"Dec 27, 2019","10.31","10.66","10.76","10.31","856.00K","-1.90%"
"Dec 26, 2019","10.51","10.76","10.98","10.47","1.50M","-0.85%"
"Dec 23, 2019","10.60","10.88","11.08","10.60","1.73M","-4.07%"
"Dec 20, 2019","11.05","10.19","11.10","10.13","3.73M","9.51%"
"Dec 19, 2019","10.09","10.59","10.59","10.06","1.71M","-4.72%"
"Dec 18, 2019","10.59","10.90","11.00","10.50","1.98M","-3.90%"
"Dec 17, 2019","11.02","11.35","11.49","10.86","2.69M","-1.43%"
"Dec 16, 2019","11.18","11.28","11.64","10.92","2.65M","-0.18%"
"Dec 13, 2019","11.20","11.95","12.05","10.82","5.37M","-2.35%"
"Dec 12, 2019","11.47","11.53","12.41","11.15","13.69M","2.96%"
"Dec 11, 2019","11.14","9.48","11.14","9.48","8.51M","18.89%"
"Dec 10, 2019","9.37","10.00","10.00","9.33","3.91M","-7.23%"
"Dec 09, 2019","10.10","10.71","10.95","10.05","3.12M","-4.72%"
"Dec 06, 2019","10.60","11.13","11.13","10.15","7.44M","-3.64%"
"Dec 05, 2019","11.00","10.11","11.53","10.11","13.00M","11.34%"
"Dec 04, 2019","9.88","8.72","10.03","8.66","9.00M","18.04%"
"Dec 03, 2019","8.37","7.55","8.37","7.52","2.32M","11.30%"
"Dec 02, 2019","7.52","7.49","7.55","7.40","1.42M","1.62%"
"Nov 29, 2019","7.40","7.61","7.62","7.35","1.79M","-2.76%"
"Nov 28, 2019","7.61","7.50","7.72","7.46","2.22M","0.66%"
"Nov 27, 2019","7.56","7.73","7.84","7.45","3.20M","-0.66%"
"Nov 26, 2019","7.61","7.48","7.67","6.75","5.79M","2.15%"
"Nov 25, 2019","7.45","7.61","7.80","7.22","4.96M","2.19%"
"Nov 22, 2019","7.29","7.10","7.62","6.86","10.54M","8.00%"
"Nov 21, 2019","6.75","5.86","6.93","5.79","5.21M","14.41%"
"Nov 19, 2019","5.90","5.46","5.90","5.44","2.01M","9.06%"
"Nov 18, 2019","5.41","5.27","5.60","5.19","1.75M","2.85%"
"Nov 14, 2019","5.26","5.10","5.45","5.00","2.23M","-3.66%"
"Nov 13, 2019","5.46","4.95","5.46","4.90","1.63M","10.53%"
"Nov 12, 2019","4.94","4.92","4.98","4.85","611.70K","1.02%"
"Nov 11, 2019","4.89","4.77","5.00","4.67","974.20K","2.52%"
"Nov 08, 2019","4.77","4.75","5.04","4.65","1.59M","-1.24%"
"Nov 07, 2019","4.83","4.55","4.85","4.47","856.30K","6.86%"
"Nov 06, 2019","4.52","4.64","4.69","4.44","554.10K","-1.74%"
"Nov 05, 2019","4.60","4.72","4.87","4.52","994.00K","-1.92%"
"Nov 04, 2019","4.69","4.31","4.71","4.31","1.04M","9.07%"
"Nov 01, 2019","4.30","4.21","4.42","4.20","892.30K","2.38%"
"Oct 31, 2019","4.20","4.13","4.23","4.10","855.20K","1.69%"
"Oct 30, 2019","4.13","4.08","4.14","4.03","429.10K","2.48%"
"Oct 29, 2019","4.03","4.00","4.15","3.96","663.40K","1.00%"
"Oct 28, 2019","3.99","3.92","4.03","3.82","313.30K","2.31%"
"Oct 25, 2019","3.90","4.07","4.09","3.90","567.70K","-4.18%"
"Oct 24, 2019","4.07","3.84","4.07","3.78","1.36M","5.99%"
"Oct 23, 2019","3.84","3.70","3.84","3.68","426.80K","3.50%"
"Oct 22, 2019","3.71","3.73","3.75","3.69","110.70K","-0.54%"
"Oct 21, 2019","3.73","3.77","3.77","3.64","320.80K","-1.06%"
"Oct 18, 2019","3.77","3.80","3.81","3.71","150.80K","-0.26%"
"Oct 17, 2019","3.78","3.78","3.89","3.70","250.10K","-0.53%"
"Oct 16, 2019","3.80","3.74","3.80","3.69","320.40K","1.60%"
"Oct 15, 2019","3.74","3.60","3.74","3.60","450.80K","3.60%"
"Oct 14, 2019","3.61","3.56","3.65","3.56","150.80K","0.28%"
"Oct 11, 2019","3.60","3.58","3.67","3.49","339.30K","1.98%"
"Oct 10, 2019","3.53","3.52","3.58","3.47","139.80K","0.28%"
"Oct 09, 2019","3.52","3.44","3.57","3.41","133.00K","2.92%"
"Oct 08, 2019","3.42","3.52","3.52","3.40","120.10K","-1.44%"
"Oct 07, 2019","3.47","3.54","3.59","3.43","139.90K","-1.98%"
"Oct 04, 2019","3.54","3.47","3.60","3.45","147.70K","2.61%"
"Oct 03, 2019","3.45","3.52","3.52","3.45","113.00K","-1.15%"
"Oct 02, 2019","3.49","3.54","3.55","3.45","99.20K","-1.69%"
"Oct 01, 2019","3.55","3.46","3.62","3.39","393.40K","2.01%"
"Sep 30, 2019","3.48","3.60","3.60","3.43","289.90K","-2.52%"
"Sep 27, 2019","3.57","3.65","3.68","3.56","150.80K","-1.92%"
"Sep 26, 2019","3.64","3.60","3.70","3.56","203.50K","1.96%"
"Sep 25, 2019","3.57","3.63","3.63","3.49","316.60K","-1.65%"
"Sep 24, 2019","3.63","3.67","3.72","3.60","223.00K","-0.27%"
"Sep 23, 2019","3.64","3.68","3.76","3.58","239.90K","-1.09%"
"Sep 20, 2019","3.68","3.76","3.78","3.58","380.50K","-2.13%"
"Sep 19, 2019","3.76","3.80","3.86","3.76","154.70K","-1.05%"
"Sep 18, 2019","3.80","3.83","3.87","3.75","259.80K","-0.26%"
"Sep 17, 2019","3.81","3.77","3.95","3.71","838.60K","1.33%"
"Sep 16, 2019","3.76","3.64","3.80","3.50","572.60K","2.73%"
"Sep 13, 2019","3.66","3.76","3.77","3.64","230.40K","-2.40%"
"Sep 12, 2019","3.75","3.72","3.82","3.66","472.30K","0.81%"
"Sep 11, 2019","3.72","3.75","3.83","3.65","864.70K","-0.80%"
"Sep 10, 2019","3.75","3.46","3.75","3.45","722.30K","8.70%"
"Sep 09, 2019","3.45","3.58","3.60","3.45","419.30K","-2.82%"
"Sep 06, 2019","3.55","3.55","3.68","3.51","904.00K","-0.28%"
"Sep 05, 2019","3.56","3.59","3.70","3.48","1.26M","-0.56%"
"Sep 04, 2019","3.58","3.32","3.60","3.30","1.61M","8.48%"
"Sep 03, 2019","3.30","3.31","3.36","3.27","162.80K","0.00%"
"Sep 02, 2019","3.30","3.36","3.41","3.26","217.80K","-1.79%"
"Aug 30, 2019","3.36","3.37","3.45","3.33","329.10K","-0.30%"
"Aug 29, 2019","3.37","3.20","3.40","3.20","729.70K","5.64%"
"Aug 28, 2019","3.19","3.18","3.26","3.11","256.60K","0.31%"
"Aug 27, 2019","3.18","3.07","3.18","3.05","199.50K","0.95%"
