"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","54.05","53.99","54.60","53.96","463.28K","0.11%"
"Oct 24, 2019","53.99","54.39","54.39","53.33","481.36K","-0.66%"
"Oct 23, 2019","54.35","54.58","54.63","53.75","703.86K","0.39%"
"Oct 22, 2019","54.14","54.09","54.50","53.91","833.92K","0.43%"
"Oct 21, 2019","53.91","54.30","54.65","53.78","571.07K","0.02%"
"Oct 18, 2019","53.90","54.24","54.43","53.26","590.56K","-0.90%"
"Oct 17, 2019","54.39","54.30","54.76","54.12","573.68K","0.85%"
"Oct 16, 2019","53.93","54.03","54.53","53.52","722.15K","0.22%"
"Oct 15, 2019","53.81","53.20","54.34","52.63","623.78K","1.43%"
"Oct 14, 2019","53.05","53.52","53.62","52.67","446.94K","-0.73%"
"Oct 11, 2019","53.44","53.00","53.87","52.79","1.02M","2.77%"
"Oct 10, 2019","52.00","52.07","52.73","51.51","950.02K","0.15%"
"Oct 09, 2019","51.92","52.42","52.42","50.88","1.05M","-0.04%"
"Oct 08, 2019","51.94","53.29","53.64","51.72","1.04M","-2.93%"
"Oct 07, 2019","53.51","53.15","54.15","52.74","668.37K","-0.15%"
"Oct 04, 2019","53.59","53.35","54.02","52.71","790.24K","0.75%"
"Oct 03, 2019","53.19","53.80","53.80","50.76","2.19M","-1.79%"
"Oct 02, 2019","54.16","54.83","54.85","53.87","770.84K","-1.90%"
"Oct 01, 2019","55.21","55.96","56.93","54.53","908.36K","-1.22%"
"Sep 30, 2019","55.89","55.19","56.09","55.13","646.98K","1.66%"
"Sep 27, 2019","54.98","54.27","55.36","53.97","658.48K","1.87%"
"Sep 26, 2019","53.97","55.40","55.40","53.74","765.87K","-2.26%"
"Sep 25, 2019","55.22","54.26","55.45","54.16","769.71K","1.79%"
"Sep 24, 2019","54.25","54.66","54.86","53.59","732.79K","-0.79%"
"Sep 23, 2019","54.68","54.89","55.43","54.23","677.70K","-1.01%"
"Sep 20, 2019","55.24","54.58","56.10","54.49","3.00M","1.73%"
"Sep 19, 2019","54.30","55.25","55.48","54.12","989.84K","-1.84%"
"Sep 18, 2019","55.32","55.79","56.00","54.75","1.06M","-0.72%"
"Sep 17, 2019","55.72","56.38","56.55","55.27","835.10K","-1.73%"
"Sep 16, 2019","56.70","55.65","56.90","55.65","799.11K","1.32%"
"Sep 13, 2019","55.96","56.48","57.50","54.87","1.34M","0.00%"
"Sep 12, 2019","55.96","55.18","56.68","54.56","1.65M","1.27%"
"Sep 11, 2019","55.26","52.68","55.29","52.27","1.84M","4.72%"
"Sep 10, 2019","52.77","50.69","52.93","50.69","1.38M","3.69%"
"Sep 09, 2019","50.89","50.09","51.15","49.25","1.13M","1.94%"
"Sep 06, 2019","49.92","48.35","50.13","48.16","1.20M","3.65%"
"Sep 05, 2019","48.16","47.18","48.49","46.97","2.97M","3.33%"
"Sep 04, 2019","46.61","46.82","46.96","46.34","1.99M","0.84%"
"Sep 03, 2019","46.22","46.81","46.90","45.83","1.13M","-1.20%"
"Aug 30, 2019","46.78","47.28","47.35","46.40","949.78K","-0.28%"
"Aug 29, 2019","46.91","47.12","47.24","46.65","826.39K","0.36%"
"Aug 28, 2019","46.74","45.51","46.85","45.40","770.38K","2.88%"
"Aug 27, 2019","45.43","47.00","47.05","45.22","750.20K","-2.43%"
"Aug 26, 2019","46.56","46.30","46.72","46.10","631.70K","0.47%"
"Aug 23, 2019","46.34","47.59","47.89","46.21","1.01M","-2.99%"
"Aug 22, 2019","47.77","47.86","48.41","47.56","587.90K","-0.31%"
"Aug 21, 2019","47.92","47.78","48.16","46.95","757.42K","1.68%"
"Aug 20, 2019","47.13","47.21","47.75","46.82","983.34K","0.13%"
"Aug 19, 2019","47.07","45.34","47.39","45.29","1.13M","1.93%"
"Aug 16, 2019","46.18","46.17","46.76","45.66","1.70M","1.12%"
"Aug 15, 2019","45.67","47.13","47.36","45.52","1.11M","-2.41%"
"Aug 14, 2019","46.80","47.12","47.30","45.83","2.07M","-2.01%"
"Aug 13, 2019","47.76","47.14","48.40","46.58","2.69M","1.99%"
"Aug 12, 2019","46.83","47.01","47.02","46.21","1.71M","-0.15%"
"Aug 09, 2019","46.90","46.97","47.67","46.31","2.28M","-0.30%"
"Aug 08, 2019","47.04","50.25","50.26","45.64","3.35M","-6.80%"
"Aug 07, 2019","50.47","50.37","50.58","49.27","1.70M","0.10%"
"Aug 06, 2019","50.42","52.47","52.47","48.93","1.51M","-1.41%"
"Aug 05, 2019","51.14","51.92","52.03","50.49","1.21M","-2.42%"
"Aug 02, 2019","52.41","52.70","53.08","51.31","1.04M","-0.34%"
"Aug 01, 2019","52.59","53.93","54.40","52.25","1.52M","-2.63%"
"Jul 31, 2019","54.01","54.35","55.15","53.65","1.12M","-0.42%"
