"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","25.00","22.11","25.00","21.90","8.27M","20.08%"
"May 15, 2020","20.82","21.33","21.92","20.82","4.37M","-0.95%"
"May 14, 2020","21.02","19.84","21.19","19.37","4.00M","3.75%"
"May 13, 2020","20.26","21.01","21.18","19.75","2.49M","-2.60%"
"May 12, 2020","20.80","21.55","22.46","20.30","4.48M","-1.42%"
"May 11, 2020","21.10","20.10","21.17","19.70","3.26M","4.35%"
"May 08, 2020","20.22","21.25","21.47","20.13","2.20M","-2.69%"
"May 07, 2020","20.78","21.80","21.91","20.55","4.67M","-0.05%"
"May 06, 2020","20.79","21.00","21.27","20.00","3.13M","-1.84%"
"May 05, 2020","21.18","20.80","21.78","20.66","4.60M","7.35%"
"May 04, 2020","19.73","19.30","20.09","19.10","2.55M","-3.52%"
"Apr 30, 2020","20.45","21.50","22.00","20.41","4.07M","-4.93%"
"Apr 29, 2020","21.51","23.20","23.84","20.89","8.15M","-1.28%"
"Apr 28, 2020","21.79","19.48","22.00","19.04","6.76M","16.21%"
"Apr 27, 2020","18.75","18.80","19.20","17.83","2.93M","1.08%"
"Apr 24, 2020","18.55","19.50","19.82","17.70","4.75M","-7.02%"
"Apr 23, 2020","19.95","20.88","21.44","19.28","5.16M","0.71%"
"Apr 22, 2020","19.81","19.52","20.40","19.10","7.57M","-3.83%"
"Apr 20, 2020","20.60","20.50","21.49","20.22","6.15M","-6.41%"
"Apr 17, 2020","22.01","22.84","22.98","21.97","2.70M","-2.18%"
"Apr 16, 2020","22.50","24.55","24.88","22.50","3.37M","-4.26%"
"Apr 15, 2020","23.50","22.00","23.65","21.62","3.78M","-0.80%"
"Apr 14, 2020","23.69","24.00","24.90","23.25","3.87M","0.98%"
"Apr 13, 2020","23.46","24.77","25.38","22.95","5.44M","-5.02%"
"Apr 09, 2020","24.70","28.90","29.30","23.86","8.88M","-11.75%"
"Apr 08, 2020","27.99","26.90","29.10","26.63","8.19M","1.78%"
"Apr 07, 2020","27.50","29.00","29.89","27.11","7.99M","6.92%"
"Apr 06, 2020","25.72","21.67","25.72","21.21","10.02M","23.48%"
"Apr 03, 2020","20.83","20.73","21.50","18.66","9.49M","6.82%"
"Apr 02, 2020","19.50","18.15","19.74","17.32","9.66M","18.33%"
"Apr 01, 2020","16.48","15.80","16.60","15.07","3.88M","-1.32%"
"Mar 31, 2020","16.70","17.65","18.20","16.30","5.04M","-1.76%"
"Mar 30, 2020","17.00","18.00","18.88","16.56","6.10M","-6.08%"
"Mar 27, 2020","18.10","17.25","19.70","16.95","5.62M","-4.38%"
"Mar 26, 2020","18.93","16.51","22.18","16.50","9.00M","9.49%"
"Mar 25, 2020","17.29","13.28","18.40","13.15","7.50M","32.29%"
"Mar 24, 2020","13.07","13.70","13.88","12.60","4.65M","10.02%"
"Mar 23, 2020","11.88","12.00","12.34","10.81","4.29M","-4.19%"
"Mar 20, 2020","12.40","13.20","14.60","12.30","9.32M","4.82%"
"Mar 19, 2020","11.83","10.40","12.80","9.37","5.43M","14.30%"
"Mar 18, 2020","10.35","12.88","13.57","9.10","6.39M","-29.54%"
"Mar 17, 2020","14.69","16.00","16.29","14.51","3.73M","-5.23%"
"Mar 16, 2020","15.50","13.98","17.17","13.85","3.56M","-16.98%"
"Mar 13, 2020","18.67","20.05","20.05","15.34","5.70M","18.99%"
"Mar 12, 2020","15.69","18.60","18.60","15.69","4.45M","-32.69%"
"Mar 11, 2020","23.31","24.00","25.48","22.00","4.51M","-8.70%"
"Mar 10, 2020","25.53","27.80","27.93","23.23","6.81M","13.52%"
"Mar 09, 2020","22.49","22.80","27.60","22.17","7.18M","-36.54%"
"Mar 06, 2020","35.44","37.00","37.88","35.10","3.76M","-10.39%"
"Mar 05, 2020","39.55","40.74","42.26","38.73","2.53M","-4.31%"
"Mar 04, 2020","41.33","43.90","43.90","40.81","3.31M","-1.08%"
"Mar 03, 2020","41.78","43.50","44.98","41.56","4.44M","-1.23%"
"Mar 02, 2020","42.30","39.37","42.94","39.31","3.31M","7.36%"
"Feb 28, 2020","39.40","38.89","39.66","37.80","5.11M","-1.01%"
"Feb 27, 2020","39.80","39.37","42.46","37.66","5.46M","-2.69%"
"Feb 26, 2020","40.90","44.90","45.24","40.48","4.13M","-14.72%"
"Feb 21, 2020","47.96","48.00","49.40","47.28","2.11M","-0.04%"
"Feb 20, 2020","47.98","48.50","49.98","47.51","5.35M","1.98%"
"Feb 19, 2020","47.05","47.44","47.79","45.70","2.83M","0.21%"
"Feb 18, 2020","46.95","44.80","47.10","44.25","2.78M","4.33%"
"Feb 17, 2020","45.00","45.95","46.40","44.80","1.79M","-1.10%"
"Feb 14, 2020","45.50","45.10","46.49","44.87","2.09M","1.45%"
"Feb 13, 2020","44.85","43.99","45.35","43.55","1.73M","-0.66%"
"Feb 12, 2020","45.15","46.50","46.80","44.30","3.42M","-0.75%"
"Feb 11, 2020","45.49","44.95","45.63","40.46","4.99M","4.22%"
"Feb 10, 2020","43.65","47.94","48.30","43.52","6.60M","-9.65%"
"Feb 07, 2020","48.31","47.40","49.30","46.49","4.02M","0.88%"
"Feb 06, 2020","47.89","48.55","48.70","47.14","2.38M","-0.23%"
"Feb 05, 2020","48.00","49.75","50.00","47.10","4.00M","-1.64%"
"Feb 04, 2020","48.80","51.00","51.50","47.91","7.08M","1.73%"
"Feb 03, 2020","47.97","48.50","49.47","47.31","3.70M","0.08%"
"Jan 31, 2020","47.93","46.90","49.86","46.39","5.82M","1.33%"
"Jan 30, 2020","47.30","44.00","47.35","43.30","5.38M","3.37%"
"Jan 29, 2020","45.76","47.51","47.94","45.00","5.44M","-3.87%"
"Jan 28, 2020","47.60","45.50","47.60","45.50","3.45M","6.30%"
"Jan 27, 2020","44.78","44.00","46.17","43.13","2.96M","-1.58%"
"Jan 24, 2020","45.50","46.53","47.48","45.50","2.71M","-2.21%"
"Jan 23, 2020","46.53","46.20","46.68","45.20","2.15M","0.71%"
"Jan 22, 2020","46.20","45.09","46.90","45.09","2.86M","3.31%"
"Jan 21, 2020","44.72","42.50","44.99","42.41","2.28M","3.86%"
"Jan 20, 2020","43.06","41.50","43.06","40.70","1.84M","5.00%"
"Jan 17, 2020","41.01","41.70","42.02","39.90","3.04M","-0.89%"
"Jan 16, 2020","41.38","41.46","42.60","41.15","2.99M","0.19%"
