"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","19.92","19.70","20.40","19.20","-","1.12%"
"May 15, 2020","19.70","19.90","20.63","19.56","4.57M","-1.70%"
"May 14, 2020","20.04","19.30","20.08","18.85","9.23M","1.73%"
"May 13, 2020","19.70","20.97","21.16","19.49","7.23M","-5.52%"
"May 12, 2020","20.85","21.73","22.40","20.74","5.20M","-4.05%"
"May 11, 2020","21.73","22.49","23.09","21.73","4.54M","-5.11%"
"May 08, 2020","22.90","23.99","23.99","22.48","3.71M","-2.76%"
"May 07, 2020","23.55","24.36","24.46","22.37","4.19M","-2.57%"
"May 06, 2020","24.17","24.44","24.74","23.24","2.22M","-0.41%"
"May 05, 2020","24.27","25.10","25.44","24.17","1.76M","-1.06%"
"May 04, 2020","24.53","25.00","25.13","23.89","2.62M","-5.35%"
"Apr 30, 2020","25.92","26.16","26.63","25.60","5.20M","-2.70%"
"Apr 29, 2020","26.64","26.14","27.36","25.92","3.61M","4.02%"
"Apr 28, 2020","25.61","25.65","26.34","25.47","2.77M","2.24%"
"Apr 27, 2020","25.05","25.91","26.23","24.96","3.67M","-2.45%"
"Apr 24, 2020","25.68","26.28","26.28","23.06","5.42M","-5.55%"
"Apr 23, 2020","27.19","28.35","28.76","26.51","3.32M","-3.24%"
"Apr 22, 2020","28.10","26.57","28.10","26.14","4.33M","6.20%"
"Apr 20, 2020","26.46","24.80","26.46","24.15","3.90M","4.42%"
"Apr 17, 2020","25.34","25.33","26.34","24.92","3.51M","1.28%"
"Apr 16, 2020","25.02","25.20","25.98","24.55","2.73M","0.85%"
"Apr 15, 2020","24.81","24.94","25.66","24.41","2.94M","-2.05%"
"Apr 14, 2020","25.33","24.15","25.80","23.75","3.35M","7.38%"
"Apr 13, 2020","23.59","24.00","24.40","23.15","2.71M","-1.91%"
"Apr 09, 2020","24.05","25.49","25.74","24.05","3.29M","-4.60%"
"Apr 08, 2020","25.21","25.27","26.05","24.35","5.95M","0.16%"
"Apr 07, 2020","25.17","24.60","26.45","24.28","4.79M","9.67%"
"Apr 06, 2020","22.95","22.49","24.43","22.11","4.53M","7.44%"
"Apr 03, 2020","21.36","22.19","22.26","20.75","6.44M","-5.53%"
"Apr 02, 2020","22.61","22.51","23.64","21.94","3.79M","0.98%"
"Apr 01, 2020","22.39","22.34","22.48","21.56","5.27M","-5.13%"
"Mar 31, 2020","23.60","23.91","24.46","22.99","4.27M","-1.99%"
"Mar 30, 2020","24.08","23.54","24.15","22.51","5.01M","2.32%"
"Mar 27, 2020","23.53","25.00","25.02","23.10","4.83M","-8.97%"
"Mar 26, 2020","25.85","24.03","26.27","24.00","5.95M","9.53%"
"Mar 25, 2020","23.60","21.99","24.18","20.61","8.76M","6.50%"
"Mar 24, 2020","22.16","22.84","23.51","21.90","4.28M","6.54%"
"Mar 23, 2020","20.80","22.00","22.36","19.07","6.73M","-3.21%"
"Mar 20, 2020","21.49","22.00","23.53","19.85","7.35M","2.33%"
"Mar 19, 2020","21.00","20.01","21.34","17.11","5.62M","4.95%"
"Mar 18, 2020","20.01","21.50","21.83","19.03","7.40M","-14.19%"
"Mar 17, 2020","23.32","22.10","24.25","21.27","7.28M","6.00%"
"Mar 16, 2020","22.00","21.60","23.86","19.45","8.48M","-15.38%"
"Mar 13, 2020","26.00","27.88","27.95","22.90","13.16M","5.86%"
"Mar 12, 2020","24.56","24.00","25.78","23.40","3.03M","-14.87%"
"Mar 11, 2020","28.85","29.23","29.97","26.30","4.85M","-6.54%"
"Mar 10, 2020","30.87","30.00","31.71","28.98","7.39M","7.94%"
"Mar 09, 2020","28.60","30.20","31.00","27.53","5.91M","-12.62%"
"Mar 06, 2020","32.73","30.83","32.80","30.56","4.85M","-1.30%"
"Mar 05, 2020","33.16","35.70","35.70","32.06","5.21M","-7.89%"
"Mar 04, 2020","36.00","37.27","37.62","34.70","6.39M","-1.88%"
"Mar 03, 2020","36.69","35.04","37.26","35.00","8.13M","4.65%"
"Mar 02, 2020","35.06","34.24","35.75","33.56","3.65M","2.36%"
"Feb 28, 2020","34.25","34.82","35.45","32.50","5.32M","-1.86%"
"Feb 27, 2020","34.90","35.50","36.19","34.51","4.96M","-2.49%"
"Feb 26, 2020","35.79","37.55","37.95","35.76","4.73M","-8.68%"
"Feb 21, 2020","39.19","39.70","39.70","38.81","2.50M","-1.56%"
"Feb 20, 2020","39.81","41.60","41.79","39.60","4.18M","-4.76%"
"Feb 19, 2020","41.80","41.28","42.01","40.73","2.49M","1.26%"
"Feb 18, 2020","41.28","42.08","42.17","39.61","7.05M","-3.10%"
"Feb 17, 2020","42.60","41.87","42.66","41.56","1.13M","2.16%"
"Feb 14, 2020","41.70","42.26","42.48","41.34","2.46M","-1.77%"
"Feb 13, 2020","42.45","42.35","43.20","41.92","2.30M","-1.87%"
"Feb 12, 2020","43.26","42.45","43.78","41.73","3.54M","1.98%"
"Feb 11, 2020","42.42","40.80","42.55","40.63","3.23M","5.00%"
"Feb 10, 2020","40.40","42.10","42.10","39.70","3.65M","-4.27%"
"Feb 07, 2020","42.20","43.01","43.50","41.41","6.64M","-3.32%"
"Feb 06, 2020","43.65","43.99","44.12","42.77","3.43M","0.11%"
"Feb 05, 2020","43.60","44.24","44.40","42.58","3.41M","-0.27%"
"Feb 04, 2020","43.72","44.25","45.15","43.48","25.33M","-0.23%"
"Feb 03, 2020","43.82","41.46","43.87","41.36","4.52M","5.69%"
"Jan 31, 2020","41.46","40.60","41.92","40.40","3.55M","-0.58%"
"Jan 30, 2020","41.70","41.04","41.76","39.90","5.32M","-1.74%"
"Jan 29, 2020","42.44","44.00","44.19","41.92","2.41M","-2.50%"
"Jan 28, 2020","43.53","42.01","43.53","42.01","1.78M","3.99%"
"Jan 27, 2020","41.86","43.55","43.55","41.50","2.16M","-4.82%"
"Jan 24, 2020","43.98","45.02","45.05","43.65","3.24M","-2.24%"
"Jan 23, 2020","44.99","44.06","45.06","43.62","2.53M","1.12%"
"Jan 22, 2020","44.49","43.50","44.49","43.22","2.77M","2.68%"
"Jan 21, 2020","43.33","42.43","43.40","42.32","2.46M","1.71%"
"Jan 20, 2020","42.60","41.51","42.64","41.51","1.28M","1.89%"
"Jan 17, 2020","41.81","41.86","42.05","41.00","2.49M","0.43%"
"Jan 16, 2020","41.63","42.75","42.88","41.00","2.87M","-1.79%"
"Jan 15, 2020","42.39","43.02","43.02","41.66","3.47M","-1.33%"
"Jan 14, 2020","42.96","41.79","43.32","41.54","4.20M","2.41%"
"Jan 13, 2020","41.95","40.93","41.95","40.35","2.95M","3.20%"
"Jan 10, 2020","40.65","40.50","41.10","40.10","4.25M","1.37%"
"Jan 09, 2020","40.10","39.82","40.45","39.42","3.12M","0.73%"
"Jan 08, 2020","39.81","40.57","40.70","38.99","3.22M","-1.92%"
"Jan 07, 2020","40.59","41.45","41.45","39.97","3.66M","-2.55%"
"Jan 06, 2020","41.65","39.60","41.65","39.35","4.77M","4.10%"
"Jan 03, 2020","40.01","38.78","40.01","38.50","5.45M","2.07%"
"Jan 02, 2020","39.20","36.95","39.38","36.71","3.78M","5.66%"
"Dec 30, 2019","37.10","37.59","38.18","37.03","2.60M","-1.51%"
"Dec 27, 2019","37.67","38.28","38.40","37.58","1.59M","-1.18%"
"Dec 26, 2019","38.12","36.50","38.34","36.27","2.68M","4.73%"
"Dec 23, 2019","36.40","36.90","36.90","36.00","2.05M","-1.36%"
"Dec 20, 2019","36.90","36.96","37.00","35.74","2.56M","-0.27%"
"Dec 19, 2019","37.00","35.68","37.37","35.23","4.55M","3.70%"
"Dec 18, 2019","35.68","34.05","35.72","34.05","6.79M","4.48%"
"Dec 17, 2019","34.15","34.12","34.25","33.94","3.25M","0.59%"
"Dec 16, 2019","33.95","34.45","34.55","33.95","3.49M","-0.79%"
"Dec 13, 2019","34.22","34.31","34.59","33.78","2.46M","0.56%"
"Dec 12, 2019","34.03","34.40","34.62","33.79","3.29M","-1.08%"
"Dec 11, 2019","34.40","34.57","34.70","33.74","3.40M","0.06%"
"Dec 10, 2019","34.38","34.93","34.93","33.80","3.74M","-1.26%"
"Dec 09, 2019","34.82","35.10","35.17","34.02","4.45M","-0.94%"
"Dec 06, 2019","35.15","35.00","35.43","34.78","2.53M","1.03%"
"Dec 05, 2019","34.79","35.08","35.47","34.68","2.27M","-0.29%"
"Dec 04, 2019","34.89","35.39","35.86","34.81","2.34M","-1.16%"
"Dec 03, 2019","35.30","35.85","36.23","35.10","3.03M","-1.40%"
"Dec 02, 2019","35.80","37.04","37.21","35.26","3.46M","-2.72%"
"Nov 29, 2019","36.80","36.32","36.90","35.16","3.67M","1.66%"
"Nov 28, 2019","36.20","36.07","36.31","35.92","1.29M","0.56%"
"Nov 27, 2019","36.00","36.25","36.50","35.70","1.71M","0.00%"
"Nov 26, 2019","36.00","36.70","36.70","35.70","4.09M","-2.04%"
"Nov 25, 2019","36.75","35.36","37.05","34.99","3.07M","4.05%"
"Nov 22, 2019","35.32","34.15","35.37","33.89","2.24M","3.73%"
"Nov 21, 2019","34.05","34.02","34.25","33.38","4.70M","-0.18%"
"Nov 19, 2019","34.11","34.40","34.41","33.66","2.07M","-0.41%"
"Nov 18, 2019","34.25","33.88","34.66","33.83","3.23M","1.36%"
"Nov 14, 2019","33.79","32.55","33.79","32.50","5.25M","3.40%"
"Nov 13, 2019","32.68","32.50","33.31","32.33","4.48M","0.58%"
"Nov 12, 2019","32.49","32.60","32.97","31.93","2.54M","-0.82%"
"Nov 11, 2019","32.76","32.45","32.83","31.93","2.16M","0.86%"
"Nov 08, 2019","32.48","32.40","32.77","32.01","2.39M","-0.64%"
"Nov 07, 2019","32.69","31.81","33.00","31.63","2.95M","2.77%"
"Nov 06, 2019","31.81","31.40","31.94","31.26","1.79M","1.69%"
"Nov 05, 2019","31.28","31.80","31.91","30.98","2.12M","-1.64%"
"Nov 04, 2019","31.80","31.90","32.08","31.53","1.79M","0.13%"
"Nov 01, 2019","31.76","31.90","32.21","31.51","1.78M","-0.44%"
"Oct 31, 2019","31.90","32.56","32.56","31.46","2.89M","-2.15%"
"Oct 30, 2019","32.60","31.66","32.60","31.53","2.14M","2.35%"
"Oct 29, 2019","31.85","31.84","32.14","31.52","2.29M","0.16%"
"Oct 28, 2019","31.80","32.00","32.56","31.74","2.94M","-0.47%"
"Oct 25, 2019","31.95","31.72","32.68","31.52","2.67M","0.73%"
"Oct 24, 2019","31.72","31.54","32.40","31.20","3.92M","1.34%"
"Oct 23, 2019","31.30","31.41","31.41","30.93","1.66M","-0.35%"
"Oct 22, 2019","31.41","32.22","32.39","31.15","2.79M","-1.84%"
"Oct 21, 2019","32.00","30.50","32.00","29.82","3.82M","5.26%"
"Oct 18, 2019","30.40","30.32","30.68","29.74","4.09M","0.36%"
"Oct 17, 2019","30.29","30.81","30.87","30.19","3.60M","-1.34%"
"Oct 16, 2019","30.70","28.78","30.70","28.39","13.16M","6.23%"
"Oct 15, 2019","28.90","29.04","29.53","28.54","2.38M","-0.76%"
"Oct 14, 2019","29.12","28.84","29.33","28.31","2.13M","1.15%"
"Oct 11, 2019","28.79","27.44","28.84","27.21","2.05M","5.81%"
"Oct 10, 2019","27.21","27.81","27.81","26.94","1.56M","-2.05%"
"Oct 09, 2019","27.78","27.41","27.98","26.84","1.93M","2.55%"
"Oct 08, 2019","27.09","26.84","27.35","26.55","2.23M","-8.79%"
"Oct 07, 2019","29.70","30.60","30.65","29.42","2.14M","-2.94%"
"Oct 04, 2019","30.60","30.57","30.77","30.16","862.50K","0.39%"
"Oct 03, 2019","30.48","30.81","30.88","29.98","2.00M","-0.94%"
"Oct 02, 2019","30.77","30.52","31.19","29.94","2.54M","-0.71%"
"Oct 01, 2019","30.99","30.97","32.23","30.97","4.07M","-0.35%"
"Sep 30, 2019","31.10","30.38","31.19","29.78","2.67M","2.44%"
"Sep 27, 2019","30.36","29.52","30.58","29.19","1.68M","2.85%"
"Sep 26, 2019","29.52","30.30","30.32","29.30","1.92M","-1.99%"
"Sep 25, 2019","30.12","28.89","30.12","28.44","2.61M","4.22%"
"Sep 24, 2019","28.90","28.90","28.96","28.49","1.10M","0.07%"
"Sep 23, 2019","28.88","28.71","28.90","28.24","876.80K","-0.07%"
"Sep 20, 2019","28.90","28.54","29.45","28.42","2.09M","2.12%"
"Sep 19, 2019","28.30","28.50","28.70","28.16","960.90K","-0.49%"
"Sep 18, 2019","28.44","27.98","28.48","27.86","723.50K","1.68%"
"Sep 17, 2019","27.97","28.17","28.17","27.54","2.01M","-0.78%"
"Sep 16, 2019","28.19","27.80","28.21","27.00","1.86M","2.06%"
"Sep 13, 2019","27.62","28.26","28.46","27.59","1.45M","-2.26%"
"Sep 12, 2019","28.26","28.50","28.78","28.26","1.79M","-0.77%"
"Sep 11, 2019","28.48","28.01","28.48","27.83","1.64M","2.15%"
"Sep 10, 2019","27.88","27.30","27.90","27.24","2.28M","1.90%"
"Sep 09, 2019","27.36","28.55","28.78","27.36","2.18M","-4.17%"
"Sep 06, 2019","28.55","29.20","29.30","28.40","1.28M","-1.72%"
