"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","49.94","49.75","50.71","48.25","354.23K","1.03%"
"Oct 25, 2019","49.43","46.72","49.78","45.82","794.80K","7.41%"
"Oct 24, 2019","46.02","42.75","48.15","42.21","1.21M","8.28%"
"Oct 23, 2019","42.50","43.19","44.02","42.39","234.31K","-1.96%"
"Oct 22, 2019","43.35","43.67","44.77","43.29","350.29K","-0.16%"
"Oct 21, 2019","43.42","43.11","44.12","42.36","275.09K","1.07%"
"Oct 18, 2019","42.96","44.00","44.03","42.18","364.70K","-2.85%"
"Oct 17, 2019","44.22","43.81","44.81","43.80","680.71K","1.63%"
"Oct 16, 2019","43.51","44.33","44.45","42.78","547.56K","-2.20%"
"Oct 15, 2019","44.49","41.93","44.90","41.93","471.90K","6.18%"
"Oct 14, 2019","41.90","42.76","43.40","41.89","217.61K","-2.35%"
"Oct 11, 2019","42.91","43.19","43.57","42.44","399.23K","1.83%"
"Oct 10, 2019","42.14","41.15","42.70","40.51","392.24K","2.48%"
"Oct 09, 2019","41.12","42.22","42.46","40.61","308.90K","-2.26%"
"Oct 08, 2019","42.07","42.34","42.41","40.92","421.87K","-1.36%"
"Oct 07, 2019","42.65","42.60","43.59","42.44","562.30K","-0.12%"
"Oct 04, 2019","42.70","40.90","42.88","40.90","684.31K","4.63%"
"Oct 03, 2019","40.81","37.50","41.34","37.34","651.72K","8.25%"
"Oct 02, 2019","37.70","37.17","38.40","36.20","851.15K","1.54%"
"Oct 01, 2019","37.13","39.00","39.72","36.75","913.31K","-5.67%"
"Sep 30, 2019","39.36","39.83","40.36","38.07","666.05K","-0.43%"
"Sep 27, 2019","39.53","41.48","41.77","39.22","805.02K","-4.05%"
"Sep 26, 2019","41.20","44.28","45.42","40.70","916.06K","-6.36%"
"Sep 25, 2019","44.00","43.63","45.72","43.53","621.74K","2.85%"
"Sep 24, 2019","42.78","45.40","45.47","41.85","968.81K","-5.75%"
"Sep 23, 2019","45.39","46.21","46.95","45.39","249.15K","-2.37%"
"Sep 20, 2019","46.49","47.20","48.25","46.21","455.58K","-1.96%"
"Sep 19, 2019","47.42","46.09","47.87","46.08","265.96K","3.33%"
"Sep 18, 2019","45.89","48.38","48.38","45.20","436.84K","-5.46%"
"Sep 17, 2019","48.54","46.90","48.75","46.34","393.15K","3.47%"
"Sep 16, 2019","46.91","46.92","48.34","46.72","387.28K","-1.20%"
"Sep 13, 2019","47.48","48.75","49.10","46.17","406.72K","-2.22%"
"Sep 12, 2019","48.56","47.80","48.83","47.35","474.60K","2.34%"
"Sep 11, 2019","47.45","46.60","47.81","46.35","314.28K","1.35%"
"Sep 10, 2019","46.82","45.17","46.92","44.25","650.62K","2.43%"
"Sep 09, 2019","45.71","44.89","46.98","44.16","821.28K","2.77%"
"Sep 06, 2019","44.48","46.28","48.96","43.75","3.53M","-6.67%"
"Sep 05, 2019","47.66","51.97","54.00","46.49","2.06M","-14.86%"
"Sep 04, 2019","55.98","55.45","56.34","52.85","709.14K","1.12%"
"Sep 03, 2019","55.36","53.91","57.30","53.91","665.98K","2.05%"
"Aug 30, 2019","54.25","55.19","55.26","54.03","371.05K","-1.08%"
"Aug 29, 2019","54.84","54.97","55.58","54.35","257.79K","0.94%"
"Aug 28, 2019","54.33","53.11","54.91","52.37","289.62K","2.24%"
"Aug 27, 2019","53.14","53.49","54.90","52.67","405.37K","0.00%"
"Aug 26, 2019","53.14","54.02","54.28","51.82","259.01K","0.02%"
"Aug 23, 2019","53.13","56.12","56.21","52.82","629.00K","-5.48%"
"Aug 22, 2019","56.21","56.47","56.47","55.20","299.73K","-0.46%"
"Aug 21, 2019","56.47","56.89","57.17","56.03","253.46K","0.16%"
"Aug 20, 2019","56.38","56.51","56.76","56.09","239.68K","-0.83%"
"Aug 19, 2019","56.85","57.41","58.17","56.25","294.60K","-0.09%"
"Aug 16, 2019","56.90","56.51","57.90","56.13","443.42K","1.57%"
"Aug 15, 2019","56.02","55.62","57.62","54.53","358.94K","0.20%"
"Aug 14, 2019","55.91","55.10","57.11","54.57","499.06K","-0.59%"
"Aug 13, 2019","56.24","52.26","56.42","52.26","364.39K","6.09%"
"Aug 12, 2019","53.01","53.74","54.00","52.58","321.91K","-2.70%"
"Aug 09, 2019","54.48","55.75","56.66","53.95","455.39K","-2.82%"
"Aug 08, 2019","56.06","57.00","57.04","55.06","329.09K","-0.97%"
"Aug 07, 2019","56.61","55.31","57.48","55.27","324.85K","1.09%"
"Aug 06, 2019","56.00","56.95","58.25","55.00","632.32K","-0.48%"
"Aug 05, 2019","56.27","58.16","58.68","55.56","628.52K","-5.56%"
"Aug 02, 2019","59.58","60.30","60.94","58.43","367.50K","-1.68%"
"Aug 01, 2019","60.60","58.60","61.44","57.57","566.24K","3.32%"
"Jul 31, 2019","58.65","59.86","60.68","57.75","535.55K","-2.18%"
"Jul 30, 2019","59.96","60.70","61.23","57.89","781.16K","-3.34%"
"Jul 29, 2019","62.03","64.75","66.53","61.68","947.52K","-5.38%"
"Jul 26, 2019","65.56","66.70","67.27","60.59","1.46M","-2.11%"
"Jul 25, 2019","66.97","67.80","68.49","66.16","422.06K","-1.02%"
"Jul 24, 2019","67.66","68.49","68.55","67.17","519.39K","-1.17%"
"Jul 23, 2019","68.46","71.15","71.19","68.36","368.34K","-3.47%"
"Jul 22, 2019","70.92","72.10","72.34","68.00","563.11K","-2.00%"
"Jul 19, 2019","72.37","75.08","75.08","71.80","526.58K","-2.98%"
"Jul 18, 2019","74.59","72.02","75.32","71.30","532.21K","2.97%"
"Jul 17, 2019","72.44","69.88","73.59","68.88","420.09K","4.07%"
"Jul 16, 2019","69.61","69.68","71.00","68.74","357.83K","-0.06%"
"Jul 15, 2019","69.65","69.97","70.38","67.25","635.72K","-0.95%"
"Jul 12, 2019","70.32","68.81","70.57","67.89","467.22K","2.43%"
"Jul 11, 2019","68.65","70.03","70.50","68.04","515.83K","-2.29%"
"Jul 10, 2019","70.26","73.68","73.96","68.96","737.92K","-3.95%"
"Jul 09, 2019","73.15","72.73","74.02","72.32","406.72K","-1.20%"
"Jul 08, 2019","74.04","75.07","75.50","72.63","835.83K","-2.28%"
"Jul 05, 2019","75.77","75.15","77.09","74.20","630.62K","0.36%"
"Jul 03, 2019","75.50","75.56","75.86","73.75","358.38K","0.47%"
