"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 04, 2019","114.01","113.31","114.36","112.10","-","0.92%"
"Nov 01, 2019","112.97","110.00","113.00","109.67","1.61M","2.70%"
"Oct 31, 2019","110.00","108.83","110.54","108.35","1.85M","0.64%"
"Oct 30, 2019","109.30","111.40","111.55","105.10","2.62M","-0.09%"
"Oct 29, 2019","109.40","106.99","109.40","105.79","1.24M","2.24%"
"Oct 28, 2019","107.00","107.10","108.48","106.30","1.73M","-0.05%"
"Oct 25, 2019","107.05","105.50","107.05","104.53","746.60K","1.47%"
"Oct 24, 2019","105.50","103.80","105.50","103.66","1.19M","2.05%"
"Oct 23, 2019","103.38","106.21","106.54","103.21","1.31M","-2.66%"
"Oct 22, 2019","106.21","105.75","106.71","105.07","1.08M","0.63%"
"Oct 21, 2019","105.55","103.21","105.86","102.86","990.10K","1.85%"
"Oct 18, 2019","103.63","101.86","103.95","101.30","1.28M","2.15%"
"Oct 17, 2019","101.45","103.31","104.04","100.83","1.56M","-1.39%"
"Oct 16, 2019","102.88","101.48","102.88","100.82","1.43M","1.74%"
"Oct 15, 2019","101.12","101.05","101.35","100.10","1.47M","0.07%"
"Oct 14, 2019","101.05","101.45","101.45","100.40","573.50K","0.07%"
"Oct 11, 2019","100.98","101.11","102.46","100.65","1.21M","0.27%"
"Oct 10, 2019","100.71","101.87","102.26","100.56","1.29M","-0.74%"
"Oct 09, 2019","101.46","100.40","103.23","100.39","1.19M","1.45%"
"Oct 08, 2019","100.01","102.15","102.60","98.90","1.38M","-2.08%"
"Oct 07, 2019","102.13","101.40","103.18","100.02","1.38M","0.62%"
"Oct 04, 2019","101.50","95.66","101.89","95.13","2.92M","6.22%"
"Oct 03, 2019","95.56","94.60","96.18","93.37","1.03M","0.38%"
"Oct 02, 2019","95.20","95.45","96.39","94.60","1.25M","-0.76%"
"Oct 01, 2019","95.93","96.19","96.21","93.72","1.35M","0.13%"
"Sep 30, 2019","95.81","96.25","97.46","95.52","1.04M","-0.35%"
"Sep 27, 2019","96.15","96.08","97.21","95.39","943.60K","0.24%"
"Sep 26, 2019","95.92","95.32","96.73","94.93","602.60K","0.17%"
"Sep 25, 2019","95.76","96.19","97.07","95.15","980.10K","-0.50%"
"Sep 24, 2019","96.24","93.19","96.24","93.19","1.25M","2.77%"
"Sep 23, 2019","93.65","93.67","93.93","92.87","476.40K","0.20%"
"Sep 20, 2019","93.46","93.44","93.95","92.15","1.55M","0.59%"
"Sep 19, 2019","92.91","92.65","93.00","91.96","932.70K","0.98%"
"Sep 18, 2019","92.01","93.33","94.20","92.00","963.80K","-2.03%"
"Sep 17, 2019","93.92","92.50","94.12","92.17","1.05M","1.56%"
"Sep 16, 2019","92.48","92.83","92.83","90.95","843.00K","-0.13%"
"Sep 13, 2019","92.60","93.55","94.19","92.59","766.70K","-1.09%"
"Sep 12, 2019","93.62","94.75","95.40","93.07","1.01M","-0.88%"
"Sep 11, 2019","94.45","93.00","94.65","92.14","2.09M","2.11%"
"Sep 10, 2019","92.50","90.68","92.50","90.67","1.12M","1.85%"
"Sep 09, 2019","90.82","91.18","91.32","90.00","942.00K","0.01%"
"Sep 06, 2019","90.81","91.33","91.37","90.46","646.90K","-0.18%"
"Sep 05, 2019","90.97","92.08","92.38","90.83","869.40K","-0.58%"
"Sep 04, 2019","91.50","91.00","91.79","90.28","2.00M","0.88%"
"Sep 03, 2019","90.70","90.21","91.99","89.69","1.26M","0.55%"
"Sep 02, 2019","90.20","91.00","92.68","90.20","655.20K","-2.00%"
"Aug 30, 2019","92.04","92.59","94.42","92.04","3.84M","-0.08%"
"Aug 29, 2019","92.11","93.66","93.99","91.75","1.48M","-1.57%"
"Aug 28, 2019","93.58","88.92","93.80","88.91","1.44M","4.79%"
"Aug 27, 2019","89.30","88.72","90.30","87.58","1.43M","1.50%"
"Aug 26, 2019","87.98","89.42","90.06","87.45","1.33M","-1.15%"
"Aug 23, 2019","89.00","88.85","90.42","88.09","934.80K","-0.34%"
"Aug 22, 2019","89.30","89.39","89.99","88.67","743.60K","-0.22%"
"Aug 21, 2019","89.50","90.11","90.36","88.66","1.45M","-0.46%"
"Aug 20, 2019","89.91","89.65","90.10","87.57","972.00K","0.69%"
"Aug 19, 2019","89.29","88.70","90.44","88.15","1.14M","0.84%"
"Aug 16, 2019","88.55","87.99","88.55","86.37","1.30M","1.55%"
"Aug 15, 2019","87.20","87.79","89.36","86.06","1.71M","-0.92%"
"Aug 14, 2019","88.01","89.06","90.74","88.00","1.48M","-2.63%"
"Aug 13, 2019","90.39","89.09","91.68","89.01","975.70K","0.55%"
"Aug 12, 2019","89.90","90.00","90.81","89.30","1.33M","-2.28%"
"Aug 09, 2019","92.00","92.01","93.17","91.80","1.68M","0.16%"
"Aug 08, 2019","91.85","94.70","94.74","91.36","2.95M","-2.80%"
"Aug 07, 2019","94.50","89.75","94.67","89.11","4.15M","9.25%"
"Aug 06, 2019","86.50","83.98","87.52","83.98","1.44M","2.98%"
"Aug 05, 2019","84.00","85.25","86.00","84.00","1.01M","-4.55%"
"Aug 02, 2019","88.00","84.55","88.13","84.55","1.67M","3.75%"
"Aug 01, 2019","84.82","83.18","85.41","82.91","1.08M","2.18%"
"Jul 31, 2019","83.01","83.60","84.29","82.50","1.06M","-0.59%"
"Jul 30, 2019","83.50","83.89","85.30","83.10","658.10K","-0.71%"
"Jul 29, 2019","84.10","82.70","84.16","81.80","629.40K","1.94%"
"Jul 26, 2019","82.50","80.00","83.48","79.91","1.62M","3.37%"
"Jul 25, 2019","79.81","79.57","81.48","78.96","1.02M","-0.08%"
"Jul 24, 2019","79.87","77.40","79.87","77.40","765.10K","2.97%"
"Jul 23, 2019","77.57","77.91","78.46","77.43","679.40K","-0.03%"
"Jul 22, 2019","77.59","77.52","78.50","77.50","687.80K","0.12%"
"Jul 19, 2019","77.50","78.20","79.01","77.39","863.10K","-0.64%"
"Jul 18, 2019","78.00","78.00","78.33","77.81","984.30K","0.58%"
"Jul 17, 2019","77.55","78.09","79.05","76.92","1.51M","-0.72%"
"Jul 16, 2019","78.11","80.39","80.79","78.11","2.67M","-2.84%"
"Jul 15, 2019","80.39","80.50","80.92","79.53","489.90K","0.32%"
"Jul 12, 2019","80.13","84.00","84.70","80.13","1.61M","-4.21%"
"Jul 11, 2019","83.65","83.52","84.65","83.07","1.15M","0.18%"
"Jul 10, 2019","83.50","81.66","84.50","81.37","1.56M","2.45%"
"Jul 08, 2019","81.50","81.22","82.48","80.43","1.25M","0.22%"
"Jul 05, 2019","81.32","80.40","81.42","79.91","644.50K","0.89%"
"Jul 04, 2019","80.60","78.19","80.60","77.62","986.60K","4.68%"
