"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","20.64","19.66","20.84","19.66","-","4.98%"
"May 15, 2020","19.66","20.13","20.54","19.38","9.38M","-4.28%"
"May 14, 2020","20.54","19.35","20.75","19.13","10.63M","4.80%"
"May 13, 2020","19.60","19.95","20.00","19.32","5.57M","0.41%"
"May 12, 2020","19.52","20.16","20.31","19.52","4.51M","-2.25%"
"May 11, 2020","19.97","19.77","20.52","19.77","4.15M","-1.63%"
"May 08, 2020","20.30","20.10","20.50","19.87","7.61M","3.31%"
"May 07, 2020","19.65","20.14","20.65","19.50","16.02M","-2.43%"
"May 06, 2020","20.14","19.65","20.30","19.45","7.70M","2.49%"
"May 05, 2020","19.65","19.75","19.90","19.48","6.05M","-0.25%"
"May 04, 2020","19.70","18.96","19.75","18.77","6.49M","-0.45%"
"Apr 30, 2020","19.79","19.39","20.11","19.35","9.08M","0.15%"
"Apr 29, 2020","19.76","20.57","20.57","19.34","13.47M","-2.18%"
"Apr 28, 2020","20.20","21.21","21.24","20.18","8.24M","-2.27%"
"Apr 27, 2020","20.67","20.85","21.30","19.81","9.99M","0.58%"
"Apr 24, 2020","20.55","20.34","20.60","18.68","15.62M","-2.05%"
"Apr 23, 2020","20.98","20.75","21.26","20.16","9.90M","1.01%"
"Apr 22, 2020","20.77","20.14","20.78","20.06","10.05M","3.64%"
"Apr 20, 2020","20.04","19.55","20.92","19.54","7.68M","-0.99%"
"Apr 17, 2020","20.24","19.68","20.68","19.48","10.15M","4.60%"
"Apr 16, 2020","19.35","20.01","20.19","19.02","8.27M","-3.01%"
"Apr 15, 2020","19.95","19.84","20.10","19.22","9.63M","-0.70%"
"Apr 14, 2020","20.09","20.14","20.62","19.92","10.48M","1.16%"
"Apr 13, 2020","19.86","19.24","20.25","19.01","6.95M","2.00%"
"Apr 09, 2020","19.47","19.40","20.00","19.10","9.06M","0.46%"
"Apr 08, 2020","19.38","19.50","20.14","18.85","13.42M","-1.17%"
"Apr 07, 2020","19.61","21.87","21.89","19.02","15.07M","-5.54%"
"Apr 06, 2020","20.76","21.21","21.72","20.48","12.98M","0.58%"
"Apr 03, 2020","20.64","20.32","20.64","19.40","9.37M","1.47%"
"Apr 02, 2020","20.34","20.00","20.64","19.49","10.70M","3.99%"
"Apr 01, 2020","19.56","18.68","19.90","18.46","11.06M","-0.46%"
"Mar 31, 2020","19.65","19.62","20.70","19.27","10.98M","-0.76%"
"Mar 30, 2020","19.80","19.19","20.02","18.95","15.92M","3.39%"
