"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","7.92","7.55","7.92","7.40","2.22M","10.00%"
"May 15, 2020","7.20","7.60","7.88","7.20","6.16M","-5.64%"
"May 14, 2020","7.63","7.23","7.67","7.01","5.70M","5.53%"
"May 13, 2020","7.23","7.73","7.79","7.16","7.91M","-3.98%"
"May 12, 2020","7.53","8.22","8.49","7.51","5.76M","-7.04%"
"May 11, 2020","8.10","7.57","8.36","7.47","4.72M","7.14%"
"May 08, 2020","7.56","7.81","8.16","7.56","6.31M","-2.20%"
"May 07, 2020","7.73","8.17","8.23","7.71","6.19M","-3.37%"
"May 06, 2020","8.00","8.12","8.35","7.90","4.11M","-1.23%"
"May 05, 2020","8.10","8.38","8.68","8.10","2.48M","-1.34%"
"May 04, 2020","8.21","8.22","8.55","8.06","3.69M","-3.41%"
"Apr 30, 2020","8.50","9.00","9.24","8.50","5.07M","-7.31%"
"Apr 29, 2020","9.17","8.60","9.29","8.52","5.88M","7.63%"
"Apr 28, 2020","8.52","8.20","8.58","8.05","5.85M","6.90%"
"Apr 27, 2020","7.97","7.90","8.09","7.59","5.19M","3.64%"
"Apr 24, 2020","7.69","8.27","8.29","7.45","11.60M","-8.67%"
"Apr 23, 2020","8.42","8.70","8.82","8.20","6.55M","-1.17%"
"Apr 22, 2020","8.52","8.13","8.68","7.99","4.92M","5.84%"
"Apr 20, 2020","8.05","7.82","8.48","7.64","6.07M","2.16%"
"Apr 17, 2020","7.88","8.23","8.30","7.76","5.81M","-1.50%"
"Apr 16, 2020","8.00","7.90","8.35","7.61","8.21M","4.85%"
"Apr 15, 2020","7.63","7.34","7.86","7.14","8.94M","1.33%"
"Apr 14, 2020","7.53","7.10","7.71","6.93","5.90M","9.13%"
"Apr 13, 2020","6.90","6.67","6.97","6.41","5.87M","3.60%"
"Apr 09, 2020","6.66","6.90","6.99","6.39","9.55M","-0.15%"
"Apr 08, 2020","6.67","6.30","6.95","6.04","8.30M","6.55%"
"Apr 07, 2020","6.26","5.79","6.52","5.72","8.56M","16.36%"
"Apr 06, 2020","5.38","5.45","5.68","5.32","3.14M","3.66%"
"Apr 03, 2020","5.19","5.37","5.38","4.81","6.84M","-3.17%"
"Apr 02, 2020","5.36","5.40","5.65","5.22","7.39M","1.13%"
"Apr 01, 2020","5.30","5.29","5.37","4.94","5.77M","-2.75%"
"Mar 31, 2020","5.45","5.99","6.09","5.40","5.74M","-7.94%"
"Mar 30, 2020","5.92","5.92","6.26","5.85","5.20M","0.34%"
"Mar 27, 2020","5.90","5.84","6.30","5.38","5.24M","-0.17%"
"Mar 26, 2020","5.91","5.48","6.58","5.48","5.76M","9.85%"
"Mar 25, 2020","5.38","4.90","5.65","4.86","8.07M","10.93%"
"Mar 24, 2020","4.85","5.20","5.45","4.76","6.67M","-1.22%"
"Mar 23, 2020","4.91","4.86","5.25","4.60","6.19M","-1.01%"
"Mar 20, 2020","4.96","5.70","5.80","4.80","6.19M","-6.24%"
"Mar 19, 2020","5.29","4.74","5.71","3.96","6.81M","7.74%"
"Mar 18, 2020","4.91","5.94","5.96","4.51","9.85M","-20.81%"
"Mar 17, 2020","6.20","6.99","7.03","6.12","8.69M","-6.77%"
"Mar 16, 2020","6.65","6.60","7.35","6.50","5.88M","-14.96%"
"Mar 13, 2020","7.82","7.81","8.18","6.76","6.94M","15.00%"
"Mar 12, 2020","6.80","7.60","7.73","6.42","5.71M","-21.39%"
"Mar 11, 2020","8.65","8.99","9.03","8.03","7.55M","-5.05%"
"Mar 10, 2020","9.11","8.86","9.26","8.39","10.02M","13.73%"
"Mar 09, 2020","8.01","8.35","8.71","7.82","5.73M","-16.56%"
"Mar 06, 2020","9.60","10.00","10.20","9.25","9.63M","-7.51%"
"Mar 05, 2020","10.38","11.98","11.98","10.12","8.11M","-14.21%"
"Mar 04, 2020","12.10","11.95","12.25","11.64","4.10M","3.07%"
"Mar 03, 2020","11.74","11.52","12.21","11.44","5.76M","2.26%"
"Mar 02, 2020","11.48","11.56","12.23","11.22","8.97M","-1.71%"
"Feb 28, 2020","11.68","11.80","11.98","11.24","5.25M","-2.67%"
"Feb 27, 2020","12.00","12.22","12.50","11.72","2.77M","-4.00%"
"Feb 26, 2020","12.50","12.80","12.94","12.28","2.04M","-7.75%"
"Feb 21, 2020","13.55","13.75","13.84","13.47","1.11M","-1.74%"
"Feb 20, 2020","13.79","13.93","14.15","13.65","2.58M","-0.86%"
"Feb 19, 2020","13.91","13.93","14.39","13.91","2.58M","0.07%"
"Feb 18, 2020","13.90","14.17","14.25","13.75","1.93M","-2.18%"
"Feb 17, 2020","14.21","14.18","14.37","13.85","2.38M","0.50%"
"Feb 14, 2020","14.14","14.00","14.32","13.93","2.81M","1.07%"
"Feb 13, 2020","13.99","13.68","13.99","13.42","1.78M","0.94%"
"Feb 12, 2020","13.86","13.80","13.96","13.60","1.59M","-0.22%"
"Feb 11, 2020","13.89","13.16","13.89","13.16","1.79M","6.36%"
"Feb 10, 2020","13.06","13.79","13.87","12.94","5.04M","-5.29%"
"Feb 07, 2020","13.79","14.49","14.50","13.79","2.14M","-5.48%"
"Feb 06, 2020","14.59","14.91","14.91","14.43","1.55M","-1.75%"
"Feb 05, 2020","14.85","14.64","15.03","14.56","2.77M","1.85%"
"Feb 04, 2020","14.58","14.50","14.76","14.15","2.75M","2.39%"
"Feb 03, 2020","14.24","13.60","14.39","13.44","3.92M","4.71%"
"Jan 31, 2020","13.60","13.89","13.90","13.36","3.51M","-2.16%"
"Jan 30, 2020","13.90","13.75","13.90","13.44","4.01M","-0.86%"
"Jan 29, 2020","14.02","14.36","14.39","13.91","1.77M","-1.96%"
"Jan 28, 2020","14.30","13.79","14.36","13.77","1.89M","3.62%"
"Jan 27, 2020","13.80","14.24","14.24","13.61","3.59M","-5.02%"
"Jan 24, 2020","14.53","14.94","14.96","14.48","2.32M","-2.42%"
"Jan 23, 2020","14.89","14.87","14.90","14.56","2.23M","0.20%"
"Jan 22, 2020","14.86","14.97","15.00","14.72","2.29M","0.47%"
"Jan 21, 2020","14.79","14.92","14.98","14.68","2.17M","-0.87%"
"Jan 20, 2020","14.92","14.97","15.09","14.62","2.90M","0.07%"
"Jan 17, 2020","14.91","14.21","14.91","14.21","2.35M","5.07%"
"Jan 16, 2020","14.19","14.48","14.52","13.92","3.40M","-1.53%"
"Jan 15, 2020","14.41","14.53","14.60","14.16","2.66M","-1.03%"
"Jan 14, 2020","14.56","14.50","14.76","14.32","3.55M","1.11%"
"Jan 13, 2020","14.40","14.65","14.73","14.24","3.83M","-0.89%"
"Jan 10, 2020","14.53","14.83","14.84","14.35","1.88M","-1.09%"
"Jan 09, 2020","14.69","14.29","14.80","14.24","2.07M","2.94%"
"Jan 08, 2020","14.27","14.39","14.48","14.22","2.39M","-0.83%"
"Jan 07, 2020","14.39","14.35","14.61","14.09","2.76M","1.12%"
"Jan 06, 2020","14.23","14.38","14.59","14.01","3.23M","-1.11%"
"Jan 03, 2020","14.39","14.03","14.58","13.95","2.95M","0.63%"
"Jan 02, 2020","14.30","13.40","14.33","13.40","3.46M","6.72%"
"Dec 30, 2019","13.40","13.63","13.75","13.38","2.56M","-1.54%"
"Dec 27, 2019","13.61","13.63","13.67","13.30","2.93M","0.52%"
"Dec 26, 2019","13.54","13.87","13.87","13.54","2.93M","-1.53%"
"Dec 23, 2019","13.75","13.52","13.75","13.40","1.68M","1.55%"
"Dec 20, 2019","13.54","13.35","13.54","13.02","2.33M","1.65%"
"Dec 19, 2019","13.32","12.89","13.37","12.73","2.82M","3.58%"
"Dec 18, 2019","12.86","12.51","12.90","12.50","3.47M","2.96%"
"Dec 17, 2019","12.49","12.40","12.49","12.11","2.84M","1.05%"
"Dec 16, 2019","12.36","11.93","12.40","11.88","3.18M","3.69%"
"Dec 13, 2019","11.92","11.82","11.92","11.56","2.19M","1.97%"
"Dec 12, 2019","11.69","11.60","11.73","11.48","2.33M","1.39%"
"Dec 11, 2019","11.53","11.37","11.60","11.29","3.68M","2.22%"
"Dec 10, 2019","11.28","11.32","11.49","11.13","2.83M","0.00%"
"Dec 09, 2019","11.28","11.06","11.31","10.99","1.76M","0.27%"
"Dec 06, 2019","11.25","11.15","11.28","11.02","1.35M","1.08%"
"Dec 05, 2019","11.13","11.00","11.26","10.97","1.74M","0.91%"
"Dec 04, 2019","11.03","11.08","11.30","10.93","3.58M","-0.09%"
"Dec 03, 2019","11.04","10.86","11.08","10.74","2.31M","2.32%"
"Dec 02, 2019","10.79","10.75","10.97","10.71","2.63M","0.00%"
"Nov 29, 2019","10.79","10.65","10.79","10.51","2.16M","1.79%"
"Nov 28, 2019","10.60","10.26","10.65","10.15","6.91M","2.81%"
"Nov 27, 2019","10.31","10.46","10.47","10.16","4.12M","-1.53%"
"Nov 26, 2019","10.47","10.81","10.81","10.31","3.34M","-3.15%"
"Nov 25, 2019","10.81","10.80","11.00","10.79","1.76M","0.46%"
"Nov 22, 2019","10.76","10.41","10.79","10.32","3.50M","3.96%"
"Nov 21, 2019","10.35","10.41","10.51","10.23","2.22M","-0.48%"
"Nov 19, 2019","10.40","10.53","10.64","10.27","4.23M","-0.57%"
"Nov 18, 2019","10.46","10.56","10.63","10.43","1.45M","-0.38%"
"Nov 14, 2019","10.50","10.61","10.67","10.10","12.75M","-0.47%"
"Nov 13, 2019","10.55","10.31","10.55","10.31","1.90M","1.54%"
"Nov 12, 2019","10.39","10.50","10.57","10.23","2.24M","-1.98%"
"Nov 11, 2019","10.60","10.46","10.61","10.40","1.64M","0.86%"
"Nov 08, 2019","10.51","10.80","10.81","10.51","1.83M","-3.22%"
"Nov 07, 2019","10.86","10.78","10.87","10.72","1.79M","1.31%"
"Nov 06, 2019","10.72","10.57","10.78","10.51","2.26M","1.52%"
"Nov 05, 2019","10.56","10.86","10.92","10.51","2.32M","-3.12%"
