"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 16, 2019","156.00","155.94","156.70","155.30","3.30K","0.10%"
"Oct 15, 2019","155.84","155.55","156.29","155.55","1.87K","0.00%"
"Oct 14, 2019","155.84","156.10","156.69","155.51","3.42K","-0.17%"
"Oct 11, 2019","156.10","156.51","156.93","156.00","4.59K","-0.57%"
"Oct 10, 2019","156.99","157.63","157.63","156.00","1.86K","0.31%"
"Oct 09, 2019","156.50","157.80","157.89","156.40","3.89K","-0.92%"
"Oct 08, 2019","157.95","155.91","158.00","155.60","2.55K","1.09%"
"Oct 07, 2019","156.25","157.00","157.00","155.00","4.71K","-1.71%"
"Oct 04, 2019","158.97","157.50","158.97","156.35","2.92K","0.81%"
"Oct 03, 2019","157.70","158.97","158.98","157.53","2.06K","-0.81%"
"Oct 02, 2019","158.99","159.01","159.01","158.01","1.50K","-0.61%"
"Oct 01, 2019","159.96","156.34","160.00","156.34","5.03K","2.54%"
"Sep 30, 2019","156.00","154.96","156.00","153.12","6.52K","0.67%"
"Sep 27, 2019","154.96","155.11","155.30","154.12","4.55K","-0.10%"
"Sep 26, 2019","155.11","154.12","155.45","153.22","6.48K","0.71%"
"Sep 25, 2019","154.01","154.49","154.49","153.02","8.25K","-0.19%"
"Sep 24, 2019","154.31","154.02","155.00","153.91","3.14K","0.19%"
"Sep 23, 2019","154.01","153.95","154.21","153.56","2.56K","0.04%"
"Sep 20, 2019","153.95","153.62","153.96","153.62","1.64K","-0.64%"
"Sep 19, 2019","154.94","154.90","154.95","154.53","1.91K","0.03%"
"Sep 18, 2019","154.90","154.87","154.99","154.52","3.89K","0.01%"
"Sep 17, 2019","154.89","155.00","155.40","154.75","1.98K","0.05%"
"Sep 16, 2019","154.81","155.33","155.40","154.61","5.86K","-0.57%"
"Sep 13, 2019","155.70","155.54","155.75","155.35","2.01K","0.03%"
"Sep 12, 2019","155.65","155.22","155.79","155.22","2.15K","0.22%"
"Sep 11, 2019","155.31","155.87","156.22","151.00","11.88K","-2.18%"
"Sep 10, 2019","158.77","157.94","158.77","157.93","0.30K","0.53%"
"Sep 09, 2019","157.94","157.90","158.73","157.06","0.84K","-0.55%"
"Sep 06, 2019","158.82","157.84","158.82","156.59","1.49K","0.60%"
"Sep 05, 2019","157.88","156.50","157.88","156.41","1.29K","0.88%"
"Sep 04, 2019","156.50","157.14","157.33","156.50","1.24K","-0.53%"
"Sep 03, 2019","157.34","156.97","157.88","156.97","1.60K","-0.93%"
"Sep 02, 2019","158.81","157.49","158.82","156.51","1.34K","-6.35%"
"Aug 30, 2019","169.57","169.41","170.20","169.31","0.66K","0.09%"
"Aug 29, 2019","169.41","169.50","169.90","169.05","0.77K","-0.29%"
"Aug 28, 2019","169.90","169.20","170.49","168.52","0.72K","0.53%"
"Aug 27, 2019","169.00","168.99","169.00","167.52","1.07K","0.00%"
"Aug 26, 2019","169.00","169.00","169.69","168.32","1.40K","0.00%"
"Aug 23, 2019","169.00","168.01","169.00","168.01","0.78K","0.59%"
"Aug 22, 2019","168.01","166.52","168.90","166.52","1.89K","0.89%"
"Aug 21, 2019","166.52","165.99","167.01","165.09","1.20K","0.90%"
"Aug 20, 2019","165.03","165.03","167.01","165.03","2.12K","-0.58%"
"Aug 19, 2019","166.00","167.31","167.45","166.00","3.04K","-0.78%"
"Aug 16, 2019","167.31","169.64","169.65","166.62","2.43K","-1.38%"
"Aug 15, 2019","169.65","168.00","170.00","167.61","0.96K","0.98%"
"Aug 14, 2019","168.00","169.11","170.20","166.00","2.19K","-0.63%"
"Aug 13, 2019","169.06","169.00","171.00","169.00","0.92K","-0.48%"
"Aug 12, 2019","169.88","171.99","171.99","169.00","2.13K","-1.20%"
"Aug 09, 2019","171.95","171.00","171.99","171.00","1.23K","0.85%"
"Aug 08, 2019","170.50","170.60","171.99","170.50","0.94K","-0.06%"
"Aug 07, 2019","170.60","170.60","172.20","170.50","0.64K","-0.81%"
"Aug 06, 2019","172.00","168.01","172.00","168.01","1.69K","0.47%"
"Aug 05, 2019","171.20","171.00","171.85","166.67","2.48K","0.41%"
"Aug 02, 2019","170.50","171.55","172.19","170.50","1.92K","-0.75%"
"Aug 01, 2019","171.79","173.00","173.00","170.03","1.22K","-1.83%"
"Jul 31, 2019","175.00","174.00","175.00","173.93","0.75K","0.49%"
"Jul 30, 2019","174.15","173.05","174.15","173.01","0.64K","0.23%"
"Jul 29, 2019","173.75","173.00","173.75","171.53","0.92K","0.38%"
"Jul 26, 2019","173.10","173.00","173.10","171.05","0.87K","0.06%"
"Jul 25, 2019","173.00","172.49","173.00","170.53","0.67K","0.29%"
"Jul 24, 2019","172.50","170.87","172.50","170.00","1.69K","0.97%"
"Jul 23, 2019","170.85","171.00","172.00","170.65","1.03K","-0.26%"
"Jul 22, 2019","171.30","170.01","171.74","170.01","1.35K","1.05%"
"Jul 19, 2019","169.52","169.22","170.85","169.22","1.85K","0.13%"
"Jul 18, 2019","169.30","169.90","170.58","169.30","3.97K","-0.40%"
"Jul 17, 2019","169.98","169.98","170.16","169.70","1.32K","-0.01%"
"Jul 16, 2019","169.99","170.01","170.11","169.80","3.49K","0.11%"
"Jul 15, 2019","169.80","169.99","171.66","169.80","3.03K","-0.12%"
"Jul 12, 2019","170.00","170.95","173.29","169.70","2.34K","0.00%"
"Jul 11, 2019","170.00","168.51","173.32","168.50","1.43K","0.89%"
"Jul 10, 2019","168.50","169.50","169.99","168.20","2.00K","-0.59%"
"Jul 08, 2019","169.50","169.52","171.00","168.20","2.39K","-0.01%"
"Jul 05, 2019","169.51","171.98","173.94","169.50","1.34K","-0.29%"
"Jul 04, 2019","170.00","171.00","174.00","169.31","1.07K","-0.72%"
"Jul 03, 2019","171.23","172.00","172.86","167.00","3.98K","-0.45%"
"Jul 02, 2019","172.00","175.30","175.30","171.60","2.85K","-1.88%"
"Jul 01, 2019","175.30","181.74","181.74","175.00","2.65K","-3.68%"
"Jun 28, 2019","182.00","181.01","182.00","181.01","1.31K","0.55%"
"Jun 27, 2019","181.01","181.47","181.47","179.03","0.54K","0.00%"
"Jun 26, 2019","181.01","181.43","181.97","179.05","1.27K","-0.24%"
"Jun 25, 2019","181.44","180.98","181.49","179.51","0.98K","0.28%"
"Jun 24, 2019","180.93","179.97","180.94","179.61","0.84K","0.52%"
"Jun 21, 2019","180.00","179.01","180.99","178.73","1.72K","0.55%"
"Jun 19, 2019","179.02","182.99","182.99","179.02","1.64K","-1.37%"
"Jun 18, 2019","181.50","181.50","181.50","180.96","0.72K","-0.82%"
"Jun 17, 2019","183.00","181.00","184.00","180.00","0.80K","1.10%"
"Jun 14, 2019","181.00","180.99","182.00","180.00","0.82K","0.06%"
"Jun 13, 2019","180.90","182.00","182.00","180.02","0.56K","-0.61%"
"Jun 12, 2019","182.01","179.30","182.50","179.27","0.54K","0.56%"
"Jun 11, 2019","181.00","180.00","181.00","177.81","0.89K","1.12%"
"Jun 10, 2019","179.00","178.00","180.00","177.50","2.15K","-0.20%"
"Jun 07, 2019","179.35","178.50","179.50","177.00","0.90K","-0.08%"
"Jun 06, 2019","179.49","181.00","181.00","176.00","0.98K","-0.82%"
"Jun 05, 2019","180.97","181.00","181.00","179.00","1.75K","-0.02%"
"Jun 04, 2019","181.00","182.21","182.31","180.00","0.95K","-0.66%"
"Jun 03, 2019","182.21","181.50","185.00","175.00","1.89K","-2.88%"
"May 31, 2019","187.61","187.15","188.14","186.92","1.42K","0.50%"
"May 30, 2019","186.67","187.54","187.91","186.60","1.90K","-0.47%"
"May 29, 2019","187.55","187.44","187.55","186.03","1.91K","0.82%"
"May 28, 2019","186.02","187.56","187.56","184.84","1.63K","0.14%"
"May 27, 2019","185.76","185.54","188.26","183.81","3.05K","0.11%"
"May 24, 2019","185.56","184.22","185.76","183.30","1.15K","0.43%"
"May 23, 2019","184.77","183.79","185.77","183.29","2.12K","0.56%"
"May 22, 2019","183.75","183.66","184.26","181.81","1.84K","0.05%"
"May 21, 2019","183.66","180.27","185.77","180.26","1.98K","1.25%"
"May 20, 2019","181.40","181.39","181.45","178.11","2.74K","0.17%"
"May 17, 2019","181.10","181.45","181.99","180.01","2.22K","-0.19%"
"May 16, 2019","181.45","179.59","181.46","179.30","2.97K","1.06%"
"May 15, 2019","179.55","179.04","179.55","178.45","1.66K","0.42%"
"May 14, 2019","178.80","178.41","179.39","178.13","2.11K","0.22%"
"May 13, 2019","178.41","179.60","179.75","178.02","3.31K","-0.72%"
"May 10, 2019","179.70","178.98","179.92","178.01","2.67K","0.40%"
"May 09, 2019","178.99","177.39","179.00","176.41","4.59K","1.14%"
"May 08, 2019","176.98","177.69","177.70","176.40","1.35K","0.39%"
"May 07, 2019","176.30","177.69","178.48","174.90","1.37K","-0.95%"
"May 06, 2019","177.99","176.45","178.89","174.50","1.10K","2.23%"
"May 03, 2019","174.10","175.00","177.60","172.00","1.08K","1.52%"
"May 02, 2019","171.50","166.01","174.00","165.00","0.73K","-1.24%"
"Apr 30, 2019","173.66","174.31","174.65","173.39","1.86K","-0.06%"
"Apr 29, 2019","173.76","173.26","176.74","173.26","0.78K","0.35%"
"Apr 26, 2019","173.16","172.57","174.26","172.35","1.78K","0.46%"
"Apr 25, 2019","172.37","171.77","172.37","171.48","1.78K","0.35%"
"Apr 24, 2019","171.77","170.68","172.17","170.68","1.28K","0.58%"
"Apr 23, 2019","170.78","168.80","171.13","168.80","1.32K","0.88%"
"Apr 22, 2019","169.29","169.78","170.28","167.80","1.23K","-0.29%"
"Apr 18, 2019","169.78","171.06","171.65","166.31","2.12K","-0.75%"
"Apr 17, 2019","171.07","171.76","171.76","170.29","0.78K","0.46%"
"Apr 16, 2019","170.28","170.16","171.53","169.65","3.06K","0.38%"
