"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","60.04","60.08","60.19","60.01","1.21M","0.60%"
"Oct 25, 2019","59.68","59.28","59.78","59.26","1.49M","0.18%"
"Oct 24, 2019","59.57","60.02","60.04","59.33","1.87M","-0.07%"
"Oct 23, 2019","59.61","59.05","59.61","58.99","2.22M","1.14%"
"Oct 22, 2019","58.94","58.57","59.34","58.50","3.31M","1.13%"
"Oct 21, 2019","58.28","57.90","58.35","57.90","1.66M","0.97%"
"Oct 18, 2019","57.72","58.00","58.12","57.62","3.00M","-0.76%"
"Oct 17, 2019","58.16","58.19","58.33","57.91","2.54M","1.34%"
"Oct 16, 2019","57.39","57.63","57.88","57.39","2.21M","-0.26%"
"Oct 15, 2019","57.54","57.63","57.95","57.47","2.40M","-0.48%"
"Oct 14, 2019","57.82","57.55","57.96","57.47","1.52M","-0.05%"
"Oct 11, 2019","57.85","57.80","58.20","57.77","2.37M","1.03%"
"Oct 10, 2019","57.26","57.05","57.34","56.94","2.29M","1.26%"
"Oct 09, 2019","56.55","56.88","56.93","56.48","2.02M","0.19%"
"Oct 08, 2019","56.44","57.05","57.10","56.43","3.12M","-1.29%"
"Oct 07, 2019","57.18","57.48","57.77","57.16","1.98M","-0.21%"
"Oct 04, 2019","57.30","57.00","57.35","56.87","1.79M","0.54%"
"Oct 03, 2019","56.99","56.43","56.99","56.13","2.29M","0.67%"
"Oct 02, 2019","56.61","57.10","57.21","56.48","3.66M","-3.05%"
"Oct 01, 2019","58.39","58.67","58.81","58.28","3.18M","-0.78%"
"Sep 30, 2019","58.85","58.55","59.00","58.55","2.81M","-0.44%"
"Sep 27, 2019","59.11","58.77","59.32","58.67","3.08M","0.96%"
"Sep 26, 2019","58.55","58.44","58.65","58.25","2.64M","1.25%"
"Sep 25, 2019","57.83","57.68","57.95","57.57","1.95M","-0.10%"
"Sep 24, 2019","57.89","58.21","58.21","57.68","3.13M","-1.04%"
"Sep 23, 2019","58.50","58.40","58.71","58.36","2.18M","0.03%"
"Sep 20, 2019","58.48","58.57","58.76","58.31","2.70M","0.29%"
"Sep 19, 2019","58.31","58.81","58.88","58.30","2.32M","0.15%"
"Sep 18, 2019","58.22","58.04","58.48","57.96","2.16M","0.22%"
"Sep 17, 2019","58.09","58.62","58.63","57.44","4.37M","0.17%"
"Sep 16, 2019","57.99","58.63","58.68","57.79","5.88M","1.97%"
"Sep 13, 2019","56.87","57.10","57.25","56.71","2.74M","0.57%"
"Sep 12, 2019","56.55","56.18","56.69","55.94","2.54M","0.09%"
"Sep 11, 2019","56.50","56.98","57.26","56.43","2.64M","-0.55%"
"Sep 10, 2019","56.81","57.07","57.57","56.69","3.06M","0.98%"
"Sep 09, 2019","56.26","56.03","56.31","55.93","2.52M","1.19%"
"Sep 06, 2019","55.60","55.55","55.66","55.30","4.07M","-0.25%"
"Sep 05, 2019","55.74","56.21","56.38","55.73","3.22M","-0.27%"
"Sep 04, 2019","55.89","55.76","56.03","55.73","1.91M","1.12%"
"Sep 03, 2019","55.27","54.71","55.29","54.56","3.88M","-0.59%"
"Aug 30, 2019","55.60","55.76","55.84","55.24","2.28M","-0.18%"
"Aug 29, 2019","55.70","56.06","56.17","55.70","1.96M","0.04%"
"Aug 28, 2019","55.68","55.34","55.88","55.15","2.71M","1.33%"
"Aug 27, 2019","54.95","55.63","55.74","54.84","2.30M","-0.65%"
"Aug 26, 2019","55.31","55.87","55.87","55.16","2.24M","0.33%"
"Aug 23, 2019","55.13","55.68","56.23","54.98","3.43M","-1.36%"
"Aug 22, 2019","55.89","56.26","56.31","55.71","2.65M","-0.62%"
"Aug 21, 2019","56.24","56.45","56.45","56.05","1.82M","1.04%"
"Aug 20, 2019","55.66","55.60","55.88","55.30","2.99M","-0.71%"
"Aug 19, 2019","56.06","56.28","56.41","55.99","2.63M","0.90%"
"Aug 16, 2019","55.56","55.21","55.66","54.98","2.70M","0.85%"
"Aug 15, 2019","55.09","54.99","55.31","54.78","3.45M","-2.29%"
"Aug 14, 2019","56.38","56.44","56.64","56.09","3.67M","-2.29%"
"Aug 13, 2019","57.70","57.01","58.14","56.89","2.82M","0.93%"
"Aug 12, 2019","57.17","57.49","57.64","57.14","2.59M","-0.23%"
