"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","60.62","60.89","60.96","60.62","724.41K","0.26%"
"Oct 25, 2019","60.46","59.95","60.57","59.93","1.57M","0.30%"
"Oct 24, 2019","60.28","60.72","60.76","59.96","1.09M","-0.20%"
"Oct 23, 2019","60.40","59.75","60.41","59.65","3.35M","1.65%"
"Oct 22, 2019","59.42","59.24","59.90","59.04","1.16M","1.11%"
"Oct 21, 2019","58.77","58.42","58.86","58.38","885.83K","1.12%"
"Oct 18, 2019","58.12","58.50","58.60","58.06","1.19M","-0.85%"
"Oct 17, 2019","58.62","58.63","58.78","58.41","1.21M","1.31%"
"Oct 16, 2019","57.86","58.11","58.30","57.81","1.40M","-0.38%"
"Oct 15, 2019","58.08","58.16","58.48","57.87","1.67M","-0.34%"
"Oct 14, 2019","58.28","58.02","58.42","57.95","875.16K","-0.02%"
"Oct 11, 2019","58.29","58.26","58.66","58.22","1.69M","0.92%"
"Oct 10, 2019","57.76","57.50","57.85","57.36","1.59M","1.35%"
"Oct 09, 2019","56.99","57.23","57.31","56.91","1.47M","0.18%"
"Oct 08, 2019","56.89","57.36","57.48","56.87","1.63M","-1.30%"
"Oct 07, 2019","57.64","57.90","58.15","57.62","1.36M","-0.14%"
"Oct 04, 2019","57.72","57.53","57.77","57.29","1.48M","0.42%"
"Oct 03, 2019","57.48","56.90","57.49","56.57","3.19M","0.65%"
"Oct 02, 2019","57.11","57.55","57.64","56.82","5.02M","-3.69%"
"Oct 01, 2019","59.30","59.43","59.55","59.05","4.94M","-1.00%"
"Sep 30, 2019","59.90","59.23","59.93","59.17","4.42M","0.34%"
"Sep 27, 2019","59.70","59.17","59.71","59.04","2.88M","1.32%"
"Sep 26, 2019","58.92","58.50","58.96","58.42","2.09M","1.59%"
"Sep 25, 2019","58.00","58.00","58.14","57.77","1.72M","-0.50%"
"Sep 24, 2019","58.29","58.51","58.52","58.03","3.17M","-1.00%"
"Sep 23, 2019","58.88","58.75","59.09","58.65","1.34M","0.31%"
"Sep 20, 2019","58.70","58.88","58.97","58.57","1.39M","-0.02%"
"Sep 19, 2019","58.71","59.10","59.23","58.71","1.35M","0.26%"
"Sep 18, 2019","58.56","58.46","58.80","58.34","1.74M","0.29%"
"Sep 17, 2019","58.39","58.86","58.90","57.73","2.51M","0.09%"
"Sep 16, 2019","58.34","58.85","58.89","58.00","3.00M","1.99%"
"Sep 13, 2019","57.20","57.39","57.46","57.00","1.29M","0.79%"
"Sep 12, 2019","56.75","56.45","56.88","56.15","1.32M","0.04%"
"Sep 11, 2019","56.73","57.17","57.39","56.60","1.83M","-0.67%"
"Sep 10, 2019","57.11","57.27","57.80","56.98","1.73M","1.31%"
"Sep 09, 2019","56.37","56.18","56.48","56.06","1.86M","1.00%"
"Sep 06, 2019","55.81","55.80","56.03","55.54","1.56M","-0.39%"
"Sep 05, 2019","56.03","56.33","56.63","55.97","1.59M","0.05%"
"Sep 04, 2019","56.00","55.86","56.13","55.75","1.14M","1.05%"
"Sep 03, 2019","55.42","54.91","55.43","54.64","2.36M","-0.61%"
"Aug 30, 2019","55.76","56.10","56.11","55.43","2.31M","-0.52%"
"Aug 29, 2019","56.05","56.37","56.53","56.04","1.50M","0.07%"
"Aug 28, 2019","56.01","55.72","56.23","55.46","1.50M","1.16%"
"Aug 27, 2019","55.37","56.02","56.09","55.22","1.37M","-0.36%"
