"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","37.02","36.99","37.18","36.95","1.36M","0.05%"
"Oct 25, 2019","37.00","36.84","37.06","36.82","514.08K","0.82%"
"Oct 24, 2019","36.70","36.55","36.75","36.55","307.14K","0.60%"
"Oct 23, 2019","36.48","36.51","36.57","36.39","916.60K","0.61%"
"Oct 22, 2019","36.26","36.45","36.70","36.25","747.38K","-1.28%"
"Oct 21, 2019","36.73","36.72","36.86","36.67","555.10K","-0.22%"
"Oct 18, 2019","36.81","36.74","36.85","36.62","403.52K","0.68%"
"Oct 17, 2019","36.56","36.30","36.58","36.19","1.66M","2.29%"
"Oct 16, 2019","35.74","35.88","35.91","35.50","1.55M","-1.30%"
"Oct 15, 2019","36.21","36.23","36.45","36.18","1.09M","0.53%"
"Oct 14, 2019","36.02","35.94","36.20","35.87","569.52K","-0.36%"
"Oct 11, 2019","36.15","36.18","36.35","36.12","5.57M","0.44%"
"Oct 10, 2019","35.99","35.96","36.15","35.95","2.19M","-0.33%"
"Oct 09, 2019","36.11","35.98","36.16","35.91","3.62M","0.39%"
"Oct 08, 2019","35.97","36.05","36.12","35.75","3.87M","-1.10%"
"Oct 07, 2019","36.37","36.35","36.43","36.31","2.79M","0.55%"
"Oct 04, 2019","36.17","35.94","36.22","35.91","2.83M","2.32%"
"Oct 03, 2019","35.35","35.20","35.42","35.12","1.60M","0.00%"
"Oct 02, 2019","35.35","35.38","35.47","35.22","7.45M","-2.38%"
"Oct 01, 2019","36.21","36.17","36.26","36.05","1.38M","-0.66%"
"Sep 30, 2019","36.45","36.31","36.56","36.31","8.25M","-0.03%"
"Sep 27, 2019","36.46","36.28","36.47","36.23","6.15M","0.61%"
"Sep 26, 2019","36.24","35.99","36.27","35.90","2.97M","1.88%"
"Sep 25, 2019","35.57","35.64","35.70","35.52","741.81K","-0.22%"
"Sep 24, 2019","35.65","35.84","35.94","35.65","361.07K","-0.20%"
"Sep 23, 2019","35.72","35.58","35.80","35.58","473.12K","0.03%"
"Sep 20, 2019","35.71","35.82","35.95","35.71","680.20K","0.20%"
"Sep 19, 2019","35.64","35.55","35.78","35.54","590.36K","0.99%"
"Sep 18, 2019","35.29","35.28","35.42","35.20","591.84K","0.31%"
"Sep 17, 2019","35.18","34.95","35.23","34.91","501.78K","2.15%"
"Sep 16, 2019","34.44","34.52","34.74","34.35","621.84K","-0.14%"
"Sep 13, 2019","34.49","34.50","34.66","34.44","780.26K","1.71%"
"Sep 12, 2019","33.91","34.06","34.16","33.91","226.90K","-0.06%"
"Sep 11, 2019","33.93","34.01","34.15","33.92","899.03K","-1.08%"
"Sep 10, 2019","34.30","33.90","34.35","33.76","735.99K","-0.03%"
"Sep 09, 2019","34.31","34.34","34.42","34.11","666.77K","-0.78%"
"Sep 06, 2019","34.58","34.50","34.75","34.49","482.29K","0.90%"
"Sep 05, 2019","34.27","34.49","34.53","34.23","719.31K","-0.90%"
"Sep 04, 2019","34.58","34.59","34.66","34.49","997.76K","0.73%"
"Sep 03, 2019","34.33","34.19","34.36","34.15","770.12K","0.29%"
"Aug 30, 2019","34.23","34.18","34.27","34.00","2.28M","-0.03%"
"Aug 29, 2019","34.24","34.38","34.42","34.24","238.86K","-0.20%"
"Aug 28, 2019","34.31","34.29","34.50","34.19","293.92K","-0.44%"
"Aug 27, 2019","34.46","34.60","34.68","34.46","331.50K","-0.03%"
"Aug 26, 2019","34.47","34.56","34.61","34.43","275.76K","0.17%"
"Aug 23, 2019","34.41","34.73","34.87","34.39","417.58K","-0.43%"
"Aug 22, 2019","34.56","34.55","34.67","34.42","322.27K","-0.63%"
"Aug 21, 2019","34.78","34.93","34.95","34.72","573.35K","0.20%"
"Aug 20, 2019","34.71","34.96","34.96","34.67","1.12M","-0.66%"
"Aug 19, 2019","34.94","35.07","35.12","34.90","559.36K","0.63%"
"Aug 16, 2019","34.72","34.70","34.85","34.67","1.65M","0.46%"
"Aug 15, 2019","34.56","34.44","34.59","34.35","859.93K","0.23%"
"Aug 14, 2019","34.48","34.87","34.92","34.48","2.48M","-2.13%"
"Aug 13, 2019","35.23","35.09","35.32","35.02","1.17M","0.97%"
"Aug 12, 2019","34.89","35.06","35.21","34.83","443.77K","-0.06%"
"Aug 09, 2019","34.91","35.23","35.25","34.89","856.89K","0.90%"
"Aug 08, 2019","34.60","34.32","34.72","34.31","388.58K","2.13%"
"Aug 07, 2019","33.88","33.79","34.05","33.74","923.18K","0.00%"
"Aug 06, 2019","33.88","33.81","33.90","33.57","921.78K","0.56%"
"Aug 05, 2019","33.69","33.92","33.96","33.42","1.75M","-1.06%"
"Aug 02, 2019","34.05","34.09","34.14","33.85","483.29K","0.92%"
"Aug 01, 2019","33.74","33.50","33.94","33.30","489.12K","0.57%"
"Jul 31, 2019","33.55","33.38","33.90","33.30","612.49K","0.21%"
"Jul 30, 2019","33.48","33.41","33.62","33.33","869.62K","-1.24%"
"Jul 29, 2019","33.90","33.94","33.99","33.74","384.53K","0.12%"
"Jul 26, 2019","33.86","33.90","34.00","33.85","1.15M","1.77%"
"Jul 25, 2019","33.27","33.91","33.93","33.15","1.71M","-1.92%"
"Jul 24, 2019","33.92","33.59","33.92","33.48","1.94M","-0.03%"
"Jul 23, 2019","33.93","33.61","33.95","33.53","982.10K","0.71%"
"Jul 22, 2019","33.69","33.68","33.81","33.63","908.33K","0.15%"
"Jul 19, 2019","33.64","33.60","33.83","33.49","1.33M","-2.41%"
"Jul 18, 2019","34.47","34.44","34.53","34.24","704.26K","0.88%"
