"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","4.72","4.79","4.87","4.64","16.12M","0.43%"
"Oct 25, 2019","4.70","4.63","4.74","4.55","11.06M","1.73%"
"Oct 24, 2019","4.62","4.90","4.90","4.56","16.35M","-4.74%"
"Oct 23, 2019","4.85","4.74","4.96","4.56","16.07M","1.68%"
"Oct 22, 2019","4.77","4.63","4.82","4.45","17.46M","4.15%"
"Oct 21, 2019","4.58","4.48","4.65","4.47","13.99M","0.88%"
"Oct 18, 2019","4.54","4.70","4.75","4.50","14.48M","-2.78%"
"Oct 17, 2019","4.67","4.78","4.81","4.61","14.95M","-1.89%"
"Oct 16, 2019","4.76","4.70","4.92","4.60","13.09M","0.85%"
"Oct 15, 2019","4.72","4.60","4.92","4.55","22.80M","1.72%"
"Oct 14, 2019","4.64","4.45","4.66","4.32","17.98M","1.53%"
"Oct 11, 2019","4.57","4.30","4.64","4.30","20.16M","8.29%"
"Oct 10, 2019","4.22","4.17","4.26","4.13","14.02M","2.43%"
"Oct 09, 2019","4.12","4.17","4.22","4.03","18.08M","0.73%"
"Oct 08, 2019","4.09","4.05","4.20","4.02","17.53M","-1.92%"
"Oct 07, 2019","4.17","4.27","4.42","4.15","16.51M","-1.65%"
"Oct 04, 2019","4.24","4.25","4.37","4.11","17.46M","0.00%"
"Oct 03, 2019","4.24","4.13","4.26","3.98","21.75M","2.17%"
"Oct 02, 2019","4.15","4.26","4.40","4.12","21.44M","-3.04%"
"Oct 01, 2019","4.28","4.48","4.59","4.16","23.20M","-4.25%"
"Sep 30, 2019","4.47","4.51","4.51","4.36","18.22M","-1.32%"
"Sep 27, 2019","4.53","4.63","4.76","4.51","19.94M","-4.23%"
"Sep 26, 2019","4.73","5.08","5.09","4.68","20.47M","-7.44%"
"Sep 25, 2019","5.11","5.13","5.35","5.09","20.11M","-5.55%"
"Sep 24, 2019","5.41","5.76","5.79","5.36","17.73M","-7.20%"
"Sep 23, 2019","5.83","5.75","5.89","5.66","15.80M","0.17%"
"Sep 20, 2019","5.82","5.85","5.96","5.76","29.82M","-0.51%"
"Sep 19, 2019","5.85","6.04","6.08","5.81","16.49M","-1.18%"
"Sep 18, 2019","5.92","5.88","6.03","5.79","18.61M","-1.66%"
"Sep 17, 2019","6.02","6.41","6.41","5.89","34.42M","-7.53%"
"Sep 16, 2019","6.51","6.24","6.66","6.07","50.58M","13.61%"
"Sep 13, 2019","5.73","5.67","5.84","5.54","18.59M","1.42%"
"Sep 12, 2019","5.65","5.57","5.69","5.38","22.96M","-2.59%"
"Sep 11, 2019","5.80","5.56","5.81","5.42","30.57M","5.65%"
"Sep 10, 2019","5.49","5.48","5.73","5.45","27.83M","0.18%"
"Sep 09, 2019","5.48","5.17","5.52","5.04","23.80M","8.73%"
"Sep 06, 2019","5.04","4.86","5.16","4.74","21.08M","1.82%"
"Sep 05, 2019","4.95","4.79","5.01","4.78","19.49M","5.54%"
"Sep 04, 2019","4.69","4.61","4.78","4.55","17.03M","4.69%"
"Sep 03, 2019","4.48","4.42","4.51","4.22","16.97M","-1.54%"
"Aug 30, 2019","4.55","4.61","4.72","4.38","13.73M","-0.66%"
"Aug 29, 2019","4.58","4.47","4.69","4.46","15.22M","4.09%"
"Aug 28, 2019","4.40","4.30","4.52","4.21","18.25M","4.02%"
"Aug 27, 2019","4.23","4.30","4.34","4.11","13.49M","-0.94%"
"Aug 26, 2019","4.27","4.32","4.49","4.22","14.81M","0.47%"
"Aug 23, 2019","4.25","4.42","4.62","4.24","22.36M","-6.39%"
"Aug 22, 2019","4.54","4.67","4.74","4.50","16.61M","-0.87%"
"Aug 21, 2019","4.58","4.67","4.83","4.53","17.03M","-0.22%"
"Aug 20, 2019","4.59","4.58","4.63","4.32","20.56M","-0.43%"
"Aug 19, 2019","4.61","4.33","4.70","4.33","29.06M","9.76%"
"Aug 16, 2019","4.20","3.90","4.23","3.86","21.68M","8.81%"
"Aug 15, 2019","3.86","3.90","3.92","3.76","25.33M","-1.03%"
"Aug 14, 2019","3.90","4.13","4.13","3.89","32.29M","-9.30%"
"Aug 13, 2019","4.30","4.29","4.60","4.27","24.71M","-0.92%"
"Aug 12, 2019","4.34","4.30","4.37","4.12","25.99M","0.23%"
"Aug 09, 2019","4.33","4.62","4.63","4.30","25.00M","-5.46%"
"Aug 08, 2019","4.58","4.69","4.70","4.33","40.43M","-1.51%"
"Aug 07, 2019","4.65","4.67","4.75","4.45","29.91M","-3.93%"
"Aug 06, 2019","4.84","5.09","5.14","4.63","26.26M","-2.22%"
"Aug 05, 2019","4.95","5.13","5.13","4.79","26.87M","-6.25%"
"Aug 02, 2019","5.28","5.75","5.80","5.16","28.75M","-8.01%"
"Aug 01, 2019","5.74","5.99","6.00","5.51","23.09M","-5.59%"
"Jul 31, 2019","6.08","5.96","6.28","5.94","26.69M","1.67%"
"Jul 30, 2019","5.98","5.30","6.05","5.26","33.21M","11.36%"
"Jul 29, 2019","5.37","5.54","5.58","5.28","23.34M","-3.94%"
"Jul 26, 2019","5.59","5.70","5.74","5.53","13.02M","-1.58%"
"Jul 25, 2019","5.68","6.05","6.09","5.61","18.35M","-4.70%"
"Jul 24, 2019","5.96","5.93","6.12","5.92","10.55M","0.34%"
"Jul 23, 2019","5.94","5.85","5.96","5.80","13.98M","1.54%"
"Jul 22, 2019","5.85","5.84","6.04","5.75","14.74M","0.86%"
"Jul 19, 2019","5.80","5.65","5.81","5.63","12.85M","3.02%"
"Jul 18, 2019","5.63","5.80","5.80","5.57","19.20M","-3.26%"
"Jul 17, 2019","5.82","6.07","6.15","5.80","14.99M","-3.96%"
"Jul 16, 2019","6.06","6.37","6.37","5.99","20.72M","-4.27%"
"Jul 15, 2019","6.33","6.52","6.54","6.29","12.07M","-2.01%"
"Jul 12, 2019","6.46","6.27","6.51","6.26","11.95M","3.03%"
"Jul 11, 2019","6.27","6.48","6.52","6.23","14.37M","-3.09%"
"Jul 10, 2019","6.47","6.28","6.50","6.25","15.22M","5.37%"
"Jul 09, 2019","6.14","6.15","6.19","6.04","9.95M","-0.65%"
"Jul 08, 2019","6.18","6.16","6.38","6.08","16.01M","0.32%"
"Jul 05, 2019","6.16","6.03","6.17","5.99","8.56M","1.65%"
"Jul 03, 2019","6.06","6.14","6.18","6.01","7.44M","-1.14%"
"Jul 02, 2019","6.13","6.40","6.42","6.08","16.18M","-4.96%"
"Jul 01, 2019","6.45","6.60","6.77","6.44","16.17M","0.62%"
"Jun 28, 2019","6.41","6.32","6.43","6.27","15.58M","1.42%"
"Jun 27, 2019","6.32","6.31","6.43","6.23","11.92M","-1.10%"
"Jun 26, 2019","6.39","6.31","6.64","6.27","20.29M","3.23%"
"Jun 25, 2019","6.19","6.13","6.30","6.02","14.71M","0.32%"
"Jun 24, 2019","6.17","6.28","6.37","6.14","13.81M","-1.91%"
"Jun 21, 2019","6.29","6.32","6.50","6.14","17.79M","0.80%"
"Jun 20, 2019","6.24","6.25","6.48","6.19","22.10M","4.70%"
"Jun 19, 2019","5.96","5.91","6.07","5.76","14.63M","0.51%"
"Jun 18, 2019","5.93","5.61","5.99","5.61","24.71M","6.27%"
"Jun 17, 2019","5.58","5.40","5.67","5.32","21.43M","2.95%"
"Jun 14, 2019","5.42","5.56","5.59","5.28","27.63M","-4.58%"
"Jun 13, 2019","5.68","5.63","5.70","5.45","23.64M","3.27%"
"Jun 12, 2019","5.50","5.83","5.84","5.47","24.98M","-6.78%"
"Jun 11, 2019","5.90","6.10","6.10","5.88","19.02M","-1.01%"
"Jun 10, 2019","5.96","6.15","6.29","5.94","20.13M","-2.13%"
"Jun 07, 2019","6.09","6.11","6.18","5.90","15.16M","-0.49%"
"Jun 06, 2019","6.12","6.03","6.15","5.90","19.66M","1.49%"
"Jun 05, 2019","6.03","6.25","6.38","5.87","21.88M","-3.67%"
"Jun 04, 2019","6.26","6.37","6.48","6.23","17.96M","-0.63%"
"Jun 03, 2019","6.30","6.26","6.35","6.13","19.06M","1.61%"
"May 31, 2019","6.20","6.43","6.51","6.12","27.77M","-6.49%"
"May 30, 2019","6.63","6.73","6.98","6.56","18.01M","-1.78%"
"May 29, 2019","6.75","6.56","6.76","6.40","16.35M","0.90%"
"May 28, 2019","6.69","6.80","6.89","6.65","11.45M","-0.89%"
"May 24, 2019","6.75","6.98","7.08","6.68","11.67M","-1.46%"
"May 23, 2019","6.85","7.07","7.11","6.57","26.19M","-6.16%"
"May 22, 2019","7.30","7.55","7.58","7.24","9.59M","-4.33%"
"May 21, 2019","7.63","7.43","7.83","7.43","12.26M","3.25%"
"May 20, 2019","7.39","7.39","7.50","7.30","7.23M","-0.27%"
"May 17, 2019","7.41","7.44","7.70","7.41","8.26M","-1.72%"
"May 16, 2019","7.54","7.48","7.75","7.46","9.50M","1.75%"
"May 15, 2019","7.41","7.27","7.52","7.23","8.52M","0.27%"
"May 14, 2019","7.39","7.18","7.55","7.16","14.01M","4.67%"
"May 13, 2019","7.06","7.33","7.41","6.93","16.75M","-5.36%"
"May 10, 2019","7.46","7.58","7.61","7.28","11.10M","-2.23%"
"May 09, 2019","7.63","7.50","7.64","7.32","11.91M","0.53%"
"May 08, 2019","7.59","7.36","7.71","7.33","14.73M","2.99%"
"May 07, 2019","7.37","7.47","7.48","7.25","16.04M","-2.90%"
"May 06, 2019","7.59","7.56","7.63","7.44","13.73M","-2.19%"
"May 03, 2019","7.76","7.60","7.85","7.42","16.35M","3.74%"
"May 02, 2019","7.48","7.49","7.54","7.20","26.01M","-2.09%"
"May 01, 2019","7.64","7.86","8.15","7.59","21.39M","-2.80%"
"Apr 30, 2019","7.86","8.80","8.83","7.81","40.35M","-10.68%"
"Apr 29, 2019","8.80","8.83","8.84","8.65","12.57M","0.00%"
"Apr 26, 2019","8.80","8.85","8.89","8.58","12.17M","-1.46%"
"Apr 25, 2019","8.93","9.20","9.21","8.92","11.39M","-2.72%"
"Apr 24, 2019","9.18","9.62","9.69","9.17","11.34M","-4.87%"
"Apr 23, 2019","9.65","9.59","9.79","9.53","15.53M","0.31%"
"Apr 22, 2019","9.62","9.01","9.67","8.97","21.66M","8.82%"
"Apr 18, 2019","8.84","8.78","8.91","8.70","10.01M","1.73%"
"Apr 17, 2019","8.69","8.76","8.95","8.64","8.63M","-0.11%"
"Apr 16, 2019","8.70","8.69","8.72","8.42","10.70M","1.16%"
"Apr 15, 2019","8.60","8.80","8.80","8.55","8.56M","-2.49%"
"Apr 12, 2019","8.82","9.00","9.10","8.79","10.02M","-0.23%"
"Apr 11, 2019","8.84","8.82","9.03","8.65","14.68M","-0.23%"
"Apr 10, 2019","8.86","9.11","9.14","8.85","11.05M","-1.56%"
"Apr 09, 2019","9.00","9.00","9.14","8.88","9.78M","-0.88%"
"Apr 08, 2019","9.08","9.18","9.32","9.01","10.17M","-0.66%"
"Apr 05, 2019","9.14","9.08","9.28","9.02","8.82M","0.99%"
"Apr 04, 2019","9.05","9.00","9.06","8.73","10.01M","1.00%"
"Apr 03, 2019","8.96","9.20","9.29","8.93","10.61M","-1.65%"
"Apr 02, 2019","9.11","9.22","9.34","9.03","10.52M","-1.62%"
"Apr 01, 2019","9.26","8.86","9.29","8.84","14.76M","6.31%"
"Mar 29, 2019","8.71","9.00","9.06","8.67","8.24M","-1.25%"
"Mar 28, 2019","8.82","8.70","8.87","8.54","10.64M","0.11%"
"Mar 27, 2019","8.81","8.93","9.07","8.69","7.47M","-1.34%"
"Mar 26, 2019","8.93","8.99","9.30","8.87","10.17M","1.13%"
"Mar 25, 2019","8.83","8.87","8.94","8.68","10.45M","-1.23%"
"Mar 22, 2019","8.94","9.36","9.43","8.83","15.67M","-5.80%"
"Mar 21, 2019","9.49","9.42","9.59","9.37","9.23M","0.32%"
"Mar 20, 2019","9.46","9.28","9.58","9.16","12.69M","1.50%"
"Mar 19, 2019","9.32","9.59","9.69","9.23","12.68M","-1.79%"
"Mar 18, 2019","9.49","9.00","9.53","9.00","13.95M","5.33%"
"Mar 15, 2019","9.01","9.00","9.13","8.97","10.08M","-0.33%"
"Mar 14, 2019","9.04","9.14","9.20","8.99","10.65M","-0.77%"
"Mar 13, 2019","9.11","9.14","9.28","8.98","14.75M","1.11%"
"Mar 12, 2019","9.01","8.66","9.16","8.65","21.88M","4.40%"
"Mar 11, 2019","8.63","8.27","8.63","8.18","12.97M","6.54%"
"Mar 08, 2019","8.10","8.16","8.27","7.93","11.49M","-3.23%"
"Mar 07, 2019","8.37","8.39","8.44","8.15","12.45M","0.00%"
"Mar 06, 2019","8.37","8.63","8.67","8.37","12.52M","-3.57%"
"Mar 05, 2019","8.68","8.68","8.81","8.61","15.66M","0.23%"
"Mar 04, 2019","8.66","8.42","8.69","8.40","16.37M","3.59%"
"Mar 01, 2019","8.36","8.24","8.46","8.20","17.21M","2.33%"
"Feb 28, 2019","8.17","8.28","8.29","7.92","15.03M","-0.85%"
"Feb 27, 2019","8.24","8.20","8.38","8.12","9.67M","1.10%"
"Feb 26, 2019","8.15","8.32","8.38","8.11","11.81M","-2.04%"
"Feb 25, 2019","8.32","8.21","8.42","8.20","12.18M","0.85%"
"Feb 22, 2019","8.25","8.65","8.66","8.20","17.35M","-2.94%"
"Feb 21, 2019","8.50","8.64","8.87","8.43","16.91M","-2.19%"
"Feb 20, 2019","8.69","8.84","9.02","8.65","15.26M","-0.46%"
"Feb 19, 2019","8.73","8.72","8.87","8.53","18.09M","-2.24%"
"Feb 15, 2019","8.93","8.64","9.05","8.64","16.07M","4.57%"
"Feb 14, 2019","8.54","8.33","8.57","8.29","9.82M","2.28%"
"Feb 13, 2019","8.35","8.37","8.63","8.30","10.41M","0.60%"
"Feb 12, 2019","8.30","8.37","8.51","8.29","8.46M","1.10%"
"Feb 11, 2019","8.21","8.14","8.41","8.11","9.51M","-0.85%"
"Feb 08, 2019","8.28","8.25","8.33","8.05","7.75M","-0.84%"
"Feb 07, 2019","8.35","8.70","8.75","8.03","14.56M","-5.44%"
"Feb 06, 2019","8.83","8.73","8.87","8.68","6.60M","-0.11%"
"Feb 05, 2019","8.84","8.91","8.96","8.74","8.11M","-0.79%"
"Feb 04, 2019","8.91","8.63","8.92","8.55","7.90M","2.30%"
"Feb 01, 2019","8.71","8.60","8.95","8.57","11.12M","1.63%"
"Jan 31, 2019","8.57","8.71","8.88","8.49","11.02M","-1.38%"
"Jan 30, 2019","8.69","8.53","8.73","8.43","9.13M","2.96%"
"Jan 29, 2019","8.44","8.61","8.74","8.43","9.39M","-0.47%"
"Jan 28, 2019","8.48","8.66","8.69","8.33","9.85M","-5.15%"
"Jan 25, 2019","8.94","8.75","9.06","8.75","13.62M","3.00%"
"Jan 24, 2019","8.68","8.12","8.71","8.10","14.54M","5.98%"
"Jan 23, 2019","8.19","8.31","8.38","8.05","9.92M","-0.49%"
"Jan 22, 2019","8.23","8.65","8.71","8.20","12.96M","-6.90%"
"Jan 18, 2019","8.84","8.76","8.90","8.60","19.04M","2.91%"
"Jan 17, 2019","8.59","8.34","8.64","8.29","10.69M","1.66%"
"Jan 16, 2019","8.45","8.43","8.57","8.37","10.93M","-0.35%"
"Jan 15, 2019","8.48","8.51","8.67","8.41","12.27M","0.71%"
"Jan 14, 2019","8.42","8.07","8.57","8.07","14.71M","2.06%"
"Jan 11, 2019","8.25","8.41","8.46","8.20","16.81M","-3.73%"
"Jan 10, 2019","8.57","8.42","8.60","8.16","15.53M","0.35%"
"Jan 09, 2019","8.54","8.62","8.71","8.44","20.63M","1.43%"
"Jan 08, 2019","8.42","8.50","8.60","8.13","22.55M","1.69%"
"Jan 07, 2019","8.28","7.72","8.39","7.71","23.93M","8.66%"
"Jan 04, 2019","7.62","7.55","7.76","7.42","19.20M","5.25%"
"Jan 03, 2019","7.24","7.08","7.44","7.00","17.89M","1.40%"
"Jan 02, 2019","7.14","6.83","7.22","6.54","16.55M","2.88%"
"Dec 31, 2018","6.94","7.09","7.26","6.83","16.12M","-1.00%"
"Dec 28, 2018","7.01","6.99","7.21","6.88","22.77M","4.47%"
"Dec 27, 2018","6.71","6.78","6.78","6.39","17.12M","-3.87%"
"Dec 26, 2018","6.98","6.47","7.00","6.19","19.42M","10.09%"
"Dec 24, 2018","6.34","6.38","6.58","6.33","9.06M","-2.31%"
"Dec 21, 2018","6.49","6.60","6.89","6.44","32.45M","-2.26%"
"Dec 20, 2018","6.64","6.84","6.97","6.51","27.92M","-4.60%"
"Dec 19, 2018","6.96","7.21","7.47","6.91","20.74M","-2.66%"
"Dec 18, 2018","7.15","7.30","7.33","7.01","21.25M","-2.19%"
"Dec 17, 2018","7.31","7.59","7.68","7.24","22.04M","-3.31%"
"Dec 14, 2018","7.56","7.97","8.04","7.51","24.19M","-6.44%"
"Dec 13, 2018","8.08","8.18","8.25","7.90","15.44M","-0.86%"
"Dec 12, 2018","8.15","8.25","8.49","8.13","12.55M","0.87%"
"Dec 11, 2018","8.08","8.28","8.34","7.93","16.50M","0.12%"
"Dec 10, 2018","8.07","8.14","8.42","7.82","25.36M","-2.77%"
"Dec 07, 2018","8.30","9.16","9.20","8.25","27.36M","-5.03%"
"Dec 06, 2018","8.74","9.01","9.05","8.36","51.84M","-6.22%"
"Dec 04, 2018","9.32","9.89","10.03","9.32","14.75M","-6.05%"
"Dec 03, 2018","9.92","9.69","9.97","9.66","15.07M","6.90%"
"Nov 30, 2018","9.28","9.66","9.69","9.18","16.04M","-5.50%"
"Nov 29, 2018","9.82","9.59","9.92","9.57","14.71M","2.40%"
"Nov 28, 2018","9.59","9.12","9.62","9.06","13.80M","5.27%"
"Nov 27, 2018","9.11","9.17","9.28","8.98","10.06M","-0.98%"
"Nov 26, 2018","9.20","9.21","9.37","9.05","11.13M","2.11%"
"Nov 23, 2018","9.01","8.78","9.15","8.73","8.04M","-2.70%"
"Nov 21, 2018","9.26","9.16","9.36","9.03","12.88M","3.23%"
"Nov 20, 2018","8.97","9.46","9.49","8.88","22.06M","-8.00%"
"Nov 19, 2018","9.75","9.55","9.83","9.52","9.89M","0.21%"
"Nov 16, 2018","9.73","9.80","9.88","9.47","12.49M","0.21%"
"Nov 15, 2018","9.71","9.48","9.84","9.47","11.98M","1.46%"
"Nov 14, 2018","9.57","9.80","9.94","9.29","24.50M","1.48%"
"Nov 13, 2018","9.43","9.75","9.84","9.31","26.28M","-3.28%"
"Nov 12, 2018","9.75","10.75","10.80","9.72","18.47M","-7.41%"
"Nov 09, 2018","10.53","10.30","10.61","10.06","16.35M","0.38%"
"Nov 08, 2018","10.49","11.34","11.37","10.43","13.77M","-8.38%"
"Nov 07, 2018","11.45","11.32","11.59","11.13","12.97M","3.06%"
"Nov 06, 2018","11.11","11.07","11.19","10.84","10.19M","0.73%"
"Nov 05, 2018","11.03","11.05","11.13","10.83","9.26M","1.29%"
"Nov 02, 2018","10.89","11.10","11.28","10.78","9.58M","-1.09%"
"Nov 01, 2018","11.01","11.11","11.22","10.78","12.16M","0.00%"
"Oct 31, 2018","11.01","11.06","11.53","10.95","20.54M","1.76%"
"Oct 30, 2018","10.82","10.25","10.95","9.93","20.57M","4.04%"
"Oct 29, 2018","10.40","11.04","11.04","10.30","20.13M","-5.20%"
"Oct 26, 2018","10.97","10.92","11.23","10.59","14.59M","-1.53%"
"Oct 25, 2018","11.14","11.14","11.34","10.95","12.12M","2.77%"
"Oct 24, 2018","10.84","11.61","11.68","10.81","16.76M","-5.08%"
"Oct 23, 2018","11.42","11.64","11.70","11.30","17.90M","-5.39%"
"Oct 22, 2018","12.07","12.21","12.28","11.87","9.77M","-0.98%"
"Oct 19, 2018","12.19","12.37","12.68","12.14","8.81M","-0.65%"
"Oct 18, 2018","12.27","12.42","12.72","12.20","15.23M","-2.70%"
"Oct 17, 2018","12.61","12.81","12.90","12.44","15.44M","-2.10%"
"Oct 16, 2018","12.88","13.25","13.25","12.79","12.95M","-2.13%"
"Oct 15, 2018","13.16","13.25","13.42","13.00","11.81M","-0.23%"
"Oct 12, 2018","13.19","13.21","13.39","12.90","9.97M","2.97%"
"Oct 11, 2018","12.81","12.85","13.34","12.58","16.93M","-2.44%"
"Oct 10, 2018","13.13","14.17","14.17","13.10","23.53M","-7.40%"
"Oct 09, 2018","14.18","13.99","14.47","13.77","23.49M","1.50%"
"Oct 08, 2018","13.97","13.40","14.00","13.30","13.99M","2.27%"
"Oct 05, 2018","13.66","13.72","13.84","13.51","10.16M","-0.51%"
"Oct 04, 2018","13.73","13.98","14.07","13.54","10.08M","-2.56%"
"Oct 03, 2018","14.09","13.99","14.18","13.90","10.25M","0.79%"
"Oct 02, 2018","13.98","14.04","14.10","13.82","9.73M","-0.92%"
"Oct 01, 2018","14.11","14.04","14.27","13.85","12.63M","1.15%"
"Sep 28, 2018","13.95","13.66","14.30","13.61","17.46M","1.09%"
"Sep 27, 2018","13.80","13.73","13.96","13.64","10.62M","2.00%"
"Sep 26, 2018","13.53","13.76","13.85","13.43","18.07M","-3.15%"
"Sep 25, 2018","13.97","13.95","14.21","13.88","26.71M","1.38%"
"Sep 24, 2018","13.78","13.91","14.20","13.52","23.33M","1.77%"
"Sep 21, 2018","13.54","12.73","13.58","12.73","35.51M","7.21%"
"Sep 20, 2018","12.63","12.81","12.83","12.59","20.77M","2.18%"
"Sep 19, 2018","12.36","12.20","12.50","12.10","20.08M","3.60%"
"Sep 18, 2018","11.93","11.82","12.14","11.77","12.61M","2.93%"
"Sep 17, 2018","11.59","11.87","11.97","11.54","10.13M","-1.36%"
"Sep 14, 2018","11.75","11.58","11.78","11.48","15.32M","2.17%"
"Sep 13, 2018","11.50","11.31","11.63","11.25","14.37M","0.61%"
"Sep 12, 2018","11.43","11.31","11.69","11.30","18.17M","3.44%"
"Sep 11, 2018","11.05","10.81","11.10","10.80","10.50M","1.56%"
"Sep 10, 2018","10.88","10.91","11.20","10.80","9.89M","0.28%"
"Sep 07, 2018","10.85","10.71","10.89","10.48","12.65M","0.18%"
"Sep 06, 2018","10.83","11.20","11.24","10.82","17.03M","-3.30%"
"Sep 05, 2018","11.20","11.23","11.51","11.05","19.59M","-0.88%"
"Sep 04, 2018","11.30","11.86","11.93","11.12","53.82M","-6.69%"
"Aug 31, 2018","12.11","12.09","12.15","11.85","6.28M","-0.57%"
"Aug 30, 2018","12.18","12.25","12.37","11.99","10.15M","-0.16%"
"Aug 29, 2018","12.20","11.81","12.25","11.81","9.18M","3.48%"
"Aug 28, 2018","11.79","11.91","12.03","11.69","9.47M","-0.76%"
"Aug 27, 2018","11.88","11.77","11.99","11.71","7.23M","0.85%"
"Aug 24, 2018","11.78","11.95","12.08","11.78","7.73M","0.34%"
"Aug 23, 2018","11.74","11.50","11.75","11.47","8.15M","0.95%"
"Aug 22, 2018","11.63","11.58","11.77","11.54","14.33M","2.65%"
"Aug 21, 2018","11.33","11.36","11.56","11.24","11.30M","1.25%"
"Aug 20, 2018","11.19","10.75","11.35","10.74","14.49M","4.00%"
"Aug 17, 2018","10.76","10.73","10.81","10.59","12.33M","1.03%"
"Aug 16, 2018","10.65","10.83","10.99","10.55","10.79M","-0.47%"
"Aug 15, 2018","10.70","11.36","11.38","10.40","28.29M","-7.44%"
"Aug 14, 2018","11.56","11.70","11.84","11.43","11.40M","0.43%"
"Aug 13, 2018","11.51","12.48","12.51","11.50","21.66M","-8.36%"
"Aug 10, 2018","12.56","12.37","12.59","12.25","6.98M","1.21%"
"Aug 09, 2018","12.41","12.87","12.92","12.31","13.69M","-4.02%"
"Aug 08, 2018","12.93","12.98","13.10","12.73","6.13M","-1.15%"
"Aug 07, 2018","13.08","13.17","13.48","13.06","8.88M","0.93%"
"Aug 06, 2018","12.96","13.00","13.10","12.91","8.08M","0.23%"
"Aug 03, 2018","12.93","12.75","13.10","12.71","9.22M","0.94%"
"Aug 02, 2018","12.81","12.53","12.88","12.45","9.46M","1.03%"
"Aug 01, 2018","12.68","12.66","12.75","12.39","13.86M","-1.48%"
"Jul 31, 2018","12.87","13.28","13.37","12.85","14.31M","-3.81%"
"Jul 30, 2018","13.38","13.14","13.57","13.14","11.56M","3.64%"
"Jul 27, 2018","12.91","12.99","13.26","12.86","9.11M","-0.77%"
"Jul 26, 2018","13.01","12.76","13.16","12.59","10.22M","1.25%"
"Jul 25, 2018","12.85","12.67","12.90","12.63","9.36M","1.42%"
"Jul 24, 2018","12.67","12.73","12.84","12.56","10.48M","0.24%"
"Jul 23, 2018","12.64","12.80","12.81","12.57","10.80M","-0.55%"
"Jul 20, 2018","12.71","12.66","12.82","12.54","9.42M","0.24%"
"Jul 19, 2018","12.68","12.69","12.95","12.61","7.73M","-1.09%"
"Jul 18, 2018","12.82","12.72","12.98","12.57","12.17M","0.79%"
"Jul 17, 2018","12.72","12.94","13.03","12.47","17.93M","-2.90%"
