"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","19.75","19.80","19.85","19.66","4.40K","0.82%"
"Nov 19, 2019","19.59","20.46","20.46","19.59","84.50K","-4.25%"
"Nov 18, 2019","20.46","20.93","20.98","20.42","4.00K","0.24%"
"Nov 14, 2019","20.41","20.23","20.45","20.22","5.30K","1.04%"
"Nov 13, 2019","20.20","20.55","20.66","20.19","7.60K","-1.75%"
"Nov 12, 2019","20.56","20.91","20.93","20.22","6.00K","-1.63%"
"Nov 11, 2019","20.90","20.71","21.00","20.65","5.20K","1.51%"
"Nov 08, 2019","20.59","20.83","20.89","20.52","10.20K","-1.53%"
"Nov 07, 2019","20.91","21.01","21.15","20.90","9.50K","-0.90%"
"Nov 06, 2019","21.10","21.13","21.18","21.02","4.70K","0.52%"
"Nov 05, 2019","20.99","20.98","20.99","20.79","8.70K","1.16%"
"Nov 04, 2019","20.75","20.99","21.14","20.75","11.40K","-0.24%"
"Nov 01, 2019","20.80","20.90","21.00","20.59","16.60K","0.00%"
"Oct 31, 2019","20.80","20.88","20.88","20.43","20.30K","-0.91%"
"Oct 30, 2019","20.99","21.23","21.53","20.66","32.30K","-0.52%"
"Oct 29, 2019","21.10","21.33","21.85","20.68","34.30K","-0.94%"
"Oct 28, 2019","21.30","21.35","21.55","21.25","26.60K","-1.39%"
"Oct 25, 2019","21.60","21.61","22.00","21.35","24.00K","-0.05%"
"Oct 24, 2019","21.61","22.22","22.50","21.61","58.00K","-2.53%"
"Oct 23, 2019","22.17","21.99","22.23","21.88","18.30K","0.23%"
"Oct 22, 2019","22.12","21.85","22.13","21.85","23.80K","1.00%"
"Oct 21, 2019","21.90","21.98","21.98","21.66","2.10K","-0.23%"
"Oct 18, 2019","21.95","21.72","21.95","21.53","5.70K","0.55%"
"Oct 17, 2019","21.83","22.00","22.17","21.81","6.60K","-0.77%"
"Oct 16, 2019","22.00","21.95","22.00","21.80","7.00K","0.05%"
"Oct 15, 2019","21.99","22.13","22.14","21.59","8.30K","0.00%"
"Oct 14, 2019","21.99","21.97","22.19","21.94","25.40K","0.09%"
"Oct 11, 2019","21.97","21.87","22.25","21.76","57.40K","0.46%"
"Oct 10, 2019","21.87","21.50","21.95","21.35","13.30K","1.72%"
"Oct 09, 2019","21.50","20.96","22.00","20.96","21.90K","3.51%"
"Oct 08, 2019","20.77","20.98","21.03","20.64","7.70K","-1.05%"
"Oct 07, 2019","20.99","21.22","21.53","20.96","9.20K","-1.13%"
"Oct 04, 2019","21.23","21.05","21.39","20.86","9.50K","0.86%"
"Oct 03, 2019","21.05","20.98","21.74","19.96","8.40K","0.43%"
"Oct 02, 2019","20.96","21.04","21.23","20.86","7.80K","-2.15%"
"Oct 01, 2019","21.42","21.59","21.75","21.39","6.30K","-1.06%"
"Sep 30, 2019","21.65","21.65","21.74","21.59","2.20K","-0.46%"
"Sep 27, 2019","21.75","21.36","21.99","21.25","38.70K","2.11%"
"Sep 26, 2019","21.30","21.28","21.50","20.95","19.00K","0.14%"
"Sep 25, 2019","21.27","20.88","21.28","20.66","10.80K","1.29%"
