"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","4.370","4.380","4.390","4.340","6.05M","0.00%"
"Oct 25, 2019","4.370","4.360","4.380","4.340","5.93M","0.46%"
"Oct 24, 2019","4.350","4.400","4.420","4.310","9.49M","-1.14%"
"Oct 23, 2019","4.400","4.380","4.400","4.360","6.68M","0.92%"
"Oct 22, 2019","4.360","4.340","4.410","4.320","10.27M","0.23%"
"Oct 21, 2019","4.350","4.370","4.390","4.350","6.70M","1.16%"
"Oct 18, 2019","4.300","4.260","4.300","4.240","8.23M","1.42%"
"Oct 17, 2019","4.240","4.300","4.310","4.210","5.49M","-0.47%"
"Oct 16, 2019","4.260","4.280","4.310","4.260","9.13M","0.24%"
"Oct 15, 2019","4.250","4.110","4.275","4.100","13.23M","4.42%"
"Oct 14, 2019","4.070","4.050","4.100","4.050","4.78M","-0.73%"
"Oct 11, 2019","4.100","4.090","4.150","4.080","12.90M","3.80%"
"Oct 10, 2019","3.950","3.900","3.960","3.895","7.28M","2.60%"
"Oct 09, 2019","3.850","3.840","3.880","3.820","5.23M","1.05%"
"Oct 08, 2019","3.810","3.800","3.830","3.770","9.12M","-1.30%"
"Oct 07, 2019","3.860","3.830","3.880","3.820","7.77M","0.52%"
"Oct 04, 2019","3.840","3.800","3.850","3.780","7.14M","0.00%"
"Oct 03, 2019","3.840","3.830","3.850","3.770","13.12M","0.52%"
"Oct 02, 2019","3.820","3.890","3.900","3.800","11.50M","-3.05%"
"Oct 01, 2019","3.940","4.020","4.030","3.940","8.13M","-1.99%"
"Sep 30, 2019","4.020","4.010","4.030","3.990","11.12M","0.75%"
"Sep 27, 2019","3.990","3.970","4.000","3.960","7.12M","1.53%"
"Sep 26, 2019","3.930","3.920","3.950","3.910","6.90M","-0.51%"
"Sep 25, 2019","3.950","3.890","3.970","3.870","11.79M","1.02%"
"Sep 24, 2019","3.910","3.980","3.990","3.900","9.74M","-1.76%"
"Sep 23, 2019","3.980","3.980","3.990","3.940","9.93M","-1.49%"
"Sep 20, 2019","4.040","4.070","4.100","4.040","17.01M","0.50%"
"Sep 19, 2019","4.020","4.060","4.070","4.010","20.72M","0.75%"
"Sep 18, 2019","3.990","3.970","3.990","3.950","11.84M","-0.25%"
"Sep 17, 2019","4.000","4.010","4.030","3.995","10.09M","-2.44%"
"Sep 16, 2019","4.100","4.100","4.120","4.090","8.76M","-1.44%"
"Sep 13, 2019","4.160","4.170","4.190","4.140","12.04M","1.46%"
"Sep 12, 2019","4.100","4.030","4.120","4.010","16.13M","1.49%"
"Sep 11, 2019","4.040","4.030","4.050","3.990","8.91M","-1.22%"
"Sep 10, 2019","4.090","4.030","4.100","4.010","17.68M","3.81%"
"Sep 09, 2019","3.940","3.940","3.970","3.910","22.53M","1.81%"
"Sep 06, 2019","3.870","3.860","3.870","3.840","9.55M","0.78%"
"Sep 05, 2019","3.840","3.820","3.860","3.810","17.28M","3.23%"
"Sep 04, 2019","3.720","3.740","3.757","3.680","22.35M","1.36%"
"Sep 03, 2019","3.670","3.690","3.720","3.650","20.79M","-2.13%"
"Aug 30, 2019","3.750","3.790","3.800","3.730","10.49M","-0.79%"
"Aug 29, 2019","3.780","3.800","3.800","3.750","33.52M","0.80%"
"Aug 28, 2019","3.750","3.780","3.800","3.750","18.75M","-0.79%"
"Aug 27, 2019","3.780","3.840","3.850","3.760","14.14M","-1.31%"
"Aug 26, 2019","3.830","3.830","3.845","3.810","16.68M","1.59%"
"Aug 23, 2019","3.770","3.850","3.880","3.770","15.28M","-2.33%"
