"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 16, 2019","16.52","16.64","16.64","16.40","34.00K","0.00%"
"Oct 15, 2019","16.52","16.92","17.13","16.52","400.60K","-2.36%"
"Oct 14, 2019","16.92","16.76","16.94","16.68","195.10K","1.08%"
"Oct 11, 2019","16.74","16.72","16.97","16.70","197.30K","0.66%"
"Oct 10, 2019","16.63","16.80","17.07","16.56","373.60K","-1.01%"
"Oct 09, 2019","16.80","16.32","16.94","16.31","701.90K","3.96%"
"Oct 08, 2019","16.16","16.30","16.30","16.00","552.20K","-0.25%"
"Oct 07, 2019","16.20","16.65","16.83","16.10","722.00K","-2.59%"
"Oct 04, 2019","16.63","16.52","16.67","16.45","332.00K","0.79%"
"Oct 03, 2019","16.50","16.33","16.59","16.30","408.30K","0.43%"
"Oct 02, 2019","16.43","16.52","16.59","16.38","808.50K","-1.73%"
"Oct 01, 2019","16.72","16.45","16.72","16.30","421.90K","1.64%"
"Sep 30, 2019","16.45","16.22","16.64","16.17","266.00K","1.48%"
"Sep 27, 2019","16.21","16.32","16.40","16.14","596.00K","-0.49%"
"Sep 26, 2019","16.29","16.35","16.57","16.24","252.00K","-0.37%"
"Sep 25, 2019","16.35","16.42","16.50","16.20","444.10K","-1.03%"
"Sep 24, 2019","16.52","16.59","16.64","16.30","372.10K","0.12%"
"Sep 23, 2019","16.50","16.85","16.85","16.45","663.60K","-1.73%"
"Sep 20, 2019","16.79","16.92","16.93","16.50","465.40K","-0.53%"
"Sep 19, 2019","16.88","16.84","16.94","16.78","199.90K","0.12%"
"Sep 18, 2019","16.86","16.53","16.86","16.53","283.40K","1.26%"
"Sep 17, 2019","16.65","16.62","16.86","16.56","330.30K","0.24%"
"Sep 16, 2019","16.61","16.74","16.79","16.49","262.50K","-1.13%"
"Sep 13, 2019","16.80","16.80","16.92","16.58","362.70K","0.30%"
"Sep 12, 2019","16.75","17.13","17.15","16.75","261.90K","-1.76%"
"Sep 11, 2019","17.05","16.67","17.05","16.59","338.10K","2.83%"
"Sep 10, 2019","16.58","16.67","16.67","16.26","345.80K","-0.24%"
"Sep 09, 2019","16.62","17.00","17.02","16.60","852.40K","-2.24%"
"Sep 06, 2019","17.00","17.24","17.26","16.79","303.10K","-1.39%"
"Sep 05, 2019","17.24","17.05","17.24","17.00","405.80K","1.11%"
"Sep 04, 2019","17.05","16.82","17.28","16.72","1.33M","2.03%"
"Sep 03, 2019","16.71","17.02","17.02","16.67","477.90K","-1.12%"
"Sep 02, 2019","16.90","17.09","17.09","16.83","1.44M","-3.43%"
"Aug 30, 2019","17.50","15.93","17.50","15.85","2.43M","10.76%"
"Aug 29, 2019","15.80","15.52","15.89","15.36","441.50K","3.27%"
"Aug 28, 2019","15.30","15.05","15.45","14.94","437.00K","2.00%"
"Aug 27, 2019","15.00","14.48","15.12","14.48","421.90K","2.74%"
"Aug 26, 2019","14.60","15.11","15.15","14.56","443.60K","-3.31%"
"Aug 23, 2019","15.10","15.45","15.45","14.88","544.80K","-1.95%"
"Aug 22, 2019","15.40","15.41","15.56","15.27","391.10K","0.00%"
"Aug 21, 2019","15.40","14.90","15.40","14.78","442.10K","3.77%"
"Aug 20, 2019","14.84","15.00","15.00","14.46","391.80K","0.68%"
"Aug 19, 2019","14.74","14.61","14.84","14.58","566.40K","1.17%"
"Aug 16, 2019","14.57","14.90","14.90","14.50","740.30K","-0.68%"
"Aug 15, 2019","14.67","15.36","15.41","14.36","1.17M","-4.74%"
"Aug 14, 2019","15.40","15.59","15.59","15.02","771.20K","-1.72%"
"Aug 13, 2019","15.67","15.82","15.89","15.58","370.90K","-0.57%"
"Aug 12, 2019","15.76","15.92","15.99","15.65","329.60K","-1.01%"
"Aug 09, 2019","15.92","15.82","15.92","15.72","289.90K","1.21%"
"Aug 08, 2019","15.73","15.80","15.91","15.72","332.60K","-0.19%"
"Aug 07, 2019","15.76","15.85","15.92","15.68","244.00K","-1.38%"
"Aug 06, 2019","15.98","15.76","16.07","15.59","519.90K","1.14%"
"Aug 05, 2019","15.80","15.74","15.80","15.30","453.00K","0.45%"
"Aug 02, 2019","15.73","16.19","16.21","15.68","387.00K","-2.24%"
"Aug 01, 2019","16.09","15.92","16.52","15.88","817.90K","1.07%"
"Jul 31, 2019","15.92","15.89","15.97","15.64","415.60K","0.19%"
"Jul 30, 2019","15.89","15.55","15.89","15.54","350.70K","2.19%"
"Jul 29, 2019","15.55","15.57","15.67","15.41","204.20K","-0.26%"
"Jul 26, 2019","15.59","15.61","15.65","15.46","399.90K","0.32%"
"Jul 25, 2019","15.54","15.55","15.67","15.47","995.80K","0.26%"
"Jul 24, 2019","15.50","15.81","15.81","15.44","572.20K","-1.90%"
"Jul 23, 2019","15.80","15.66","15.85","15.52","469.20K","0.89%"
"Jul 22, 2019","15.66","15.55","15.86","15.45","346.40K","0.06%"
"Jul 19, 2019","15.65","15.77","15.84","15.52","381.10K","-0.32%"
"Jul 18, 2019","15.70","15.52","15.84","15.52","471.90K","1.55%"
"Jul 17, 2019","15.46","15.40","15.63","15.40","475.20K","0.39%"
"Jul 16, 2019","15.40","15.43","15.46","15.29","289.40K","0.00%"
"Jul 15, 2019","15.40","15.31","15.50","15.24","209.50K","0.52%"
"Jul 12, 2019","15.32","15.65","15.67","15.17","268.80K","-2.11%"
"Jul 11, 2019","15.65","15.60","15.65","15.33","410.60K","0.97%"
"Jul 10, 2019","15.50","15.50","15.75","15.46","944.80K","0.39%"
"Jul 08, 2019","15.44","14.77","15.44","14.67","1.12M","5.25%"
"Jul 05, 2019","14.67","15.00","15.00","14.67","396.50K","-1.87%"
"Jul 04, 2019","14.95","14.90","14.99","14.77","346.70K","0.67%"
"Jul 03, 2019","14.85","14.74","15.06","14.57","318.00K","0.75%"
"Jul 02, 2019","14.74","14.50","14.74","14.43","355.20K","2.36%"
"Jul 01, 2019","14.40","14.65","14.65","14.37","399.50K","0.42%"
"Jun 28, 2019","14.34","14.15","14.54","14.09","785.50K","2.36%"
"Jun 27, 2019","14.01","14.08","14.10","13.87","582.00K","-0.28%"
"Jun 26, 2019","14.05","14.06","14.22","13.95","599.10K","0.00%"
"Jun 25, 2019","14.05","14.28","14.33","14.00","356.90K","-1.61%"
"Jun 24, 2019","14.28","14.30","14.43","14.28","615.30K","0.00%"
"Jun 21, 2019","14.28","14.20","14.48","13.99","1.51M","0.56%"
"Jun 19, 2019","14.20","13.87","14.32","13.84","511.30K","3.05%"
"Jun 18, 2019","13.78","13.73","13.95","13.73","372.10K","-1.78%"
"Jun 17, 2019","14.03","14.16","14.20","14.00","349.80K","-0.50%"
"Jun 14, 2019","14.10","14.10","14.24","13.97","315.70K","0.21%"
"Jun 13, 2019","14.07","13.85","14.25","13.80","640.30K","1.59%"
"Jun 12, 2019","13.85","13.85","14.07","13.68","568.40K","0.00%"
"Jun 11, 2019","13.85","13.89","14.11","13.67","443.30K","0.07%"
"Jun 10, 2019","13.84","13.98","13.99","13.74","335.50K","-0.79%"
"Jun 07, 2019","13.95","14.26","14.29","13.94","261.50K","-1.41%"
"Jun 06, 2019","14.15","14.13","14.30","14.13","209.60K","0.14%"
