"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","7.09","7.14","7.25","7.04","4.13M","-0.42%"
"Oct 25, 2019","7.12","7.22","7.23","6.97","5.02M","-0.97%"
"Oct 24, 2019","7.19","6.98","7.20","6.92","3.70M","3.30%"
"Oct 23, 2019","6.96","6.78","7.03","6.78","4.28M","4.50%"
"Oct 22, 2019","6.66","6.76","6.76","6.46","5.55M","-0.89%"
"Oct 21, 2019","6.72","7.06","7.07","6.56","6.24M","-2.75%"
"Oct 18, 2019","6.91","6.95","7.06","6.76","5.58M","1.17%"
"Oct 17, 2019","6.83","6.75","6.99","6.74","6.15M","3.33%"
"Oct 16, 2019","6.61","6.41","6.63","6.35","5.01M","6.44%"
"Oct 15, 2019","6.21","6.34","6.42","6.13","3.78M","-2.20%"
"Oct 14, 2019","6.35","6.25","6.41","6.25","2.12M","1.28%"
"Oct 11, 2019","6.27","6.44","6.45","6.22","5.14M","-3.39%"
"Oct 10, 2019","6.49","6.47","6.54","6.38","2.96M","0.15%"
"Oct 09, 2019","6.48","6.51","6.61","6.43","3.99M","0.62%"
"Oct 08, 2019","6.44","6.40","6.44","6.28","3.17M","2.22%"
"Oct 07, 2019","6.30","6.22","6.38","6.20","2.95M","-0.94%"
"Oct 04, 2019","6.36","6.04","6.37","6.02","6.28M","5.47%"
"Oct 03, 2019","6.03","6.11","6.22","6.01","5.39M","-1.31%"
"Oct 02, 2019","6.11","5.92","6.22","5.87","6.78M","7.19%"
"Oct 01, 2019","5.70","5.48","5.88","5.45","4.78M","5.56%"
"Sep 30, 2019","5.40","5.44","5.57","5.33","3.18M","-2.88%"
"Sep 27, 2019","5.56","5.48","5.67","5.43","4.45M","-1.07%"
"Sep 26, 2019","5.62","5.60","5.68","5.57","4.30M","2.00%"
"Sep 25, 2019","5.51","5.55","5.64","5.43","4.82M","0.92%"
"Sep 24, 2019","5.46","5.36","5.60","5.32","4.38M","1.30%"
"Sep 23, 2019","5.39","5.25","5.45","5.25","4.61M","3.85%"
