"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","11.1500","11.1800","11.4400","11.0500","674.17K","-1.59%"
"Oct 24, 2019","11.3300","11.7000","11.8100","11.2900","1.59M","-2.33%"
"Oct 23, 2019","11.6000","10.9900","11.6950","10.9800","2.13M","5.65%"
"Oct 22, 2019","10.9800","11.0100","11.1600","10.9500","365.49K","-0.81%"
"Oct 21, 2019","11.0700","11.0500","11.2000","10.9700","369.05K","0.64%"
"Oct 18, 2019","11.0000","11.0000","11.3100","10.8900","470.22K","-0.54%"
"Oct 17, 2019","11.0600","10.8500","11.1300","10.8000","568.35K","1.37%"
"Oct 16, 2019","10.9100","10.8000","11.0050","10.8000","317.93K","0.74%"
"Oct 15, 2019","10.8300","11.1000","11.1000","10.7400","548.56K","-1.99%"
"Oct 14, 2019","11.0500","11.1300","11.2800","11.0000","433.82K","-0.36%"
"Oct 11, 2019","11.0900","11.3400","11.3400","10.9200","1.19M","-1.95%"
"Oct 10, 2019","11.3100","11.0000","11.3600","10.8600","1.03M","2.82%"
"Oct 09, 2019","11.0000","10.6500","11.0800","10.5100","951.37K","4.56%"
"Oct 08, 2019","10.5200","10.2500","10.5520","10.2000","297.92K","0.67%"
"Oct 07, 2019","10.4500","10.4500","10.6800","10.3800","444.45K","-0.19%"
"Oct 04, 2019","10.4700","10.1700","10.4900","10.1000","440.43K","3.87%"
"Oct 03, 2019","10.0800","9.9200","10.1100","9.8690","449.47K","0.70%"
"Oct 02, 2019","10.0100","10.0100","10.1500","9.8400","406.16K","-0.10%"
"Oct 01, 2019","10.0200","10.0700","10.4400","10.0000","336.05K","-0.50%"
"Sep 30, 2019","10.0700","10.1700","10.1700","9.9900","188.27K","0.30%"
"Sep 27, 2019","10.0400","10.1000","10.2900","10.0000","452.47K","-0.30%"
"Sep 26, 2019","10.0700","10.1200","10.1200","9.8400","242.38K","-0.59%"
"Sep 25, 2019","10.1300","9.9400","10.3200","9.8100","658.43K","1.86%"
"Sep 24, 2019","9.9450","10.4100","10.5200","9.8600","550.52K","-4.19%"
"Sep 23, 2019","10.3800","10.2200","10.4400","10.1600","297.64K","1.67%"
"Sep 20, 2019","10.2100","10.2400","10.4500","10.1900","440.61K","0.49%"
"Sep 19, 2019","10.1600","10.3500","10.4400","10.1600","478.72K","-2.78%"
"Sep 18, 2019","10.4500","10.5800","10.6400","10.2800","456.86K","-2.43%"
"Sep 17, 2019","10.7100","10.8000","10.8700","10.5300","401.41K","-1.74%"
"Sep 16, 2019","10.9000","11.1000","11.3700","10.8200","404.72K","-3.28%"
"Sep 13, 2019","11.2700","11.2100","11.5000","11.0800","497.32K","1.44%"
"Sep 12, 2019","11.1100","10.9100","11.2500","10.7300","660.32K","1.18%"
"Sep 11, 2019","10.9800","10.9700","11.1500","10.7600","648.47K","-0.45%"
"Sep 10, 2019","11.0300","11.1500","11.2300","10.8700","748.13K","-0.99%"
"Sep 09, 2019","11.1400","10.8400","11.1400","10.6700","727.03K","4.21%"
"Sep 06, 2019","10.6900","10.7000","10.8400","10.6000","586.19K","-0.09%"
"Sep 05, 2019","10.7000","11.0200","11.1400","10.6100","784.67K","-2.01%"
"Sep 04, 2019","10.9200","10.6300","11.0800","10.4600","1.29M","3.70%"
"Sep 03, 2019","10.5300","10.4300","10.6200","10.2000","826.46K","0.57%"
"Aug 30, 2019","10.4700","10.1400","10.6700","10.1400","647.54K","4.39%"
"Aug 29, 2019","10.0300","10.1000","10.2900","9.9100","473.30K","0.60%"
"Aug 28, 2019","9.9700","9.9400","10.0200","9.6100","688.67K","0.81%"
"Aug 27, 2019","9.8900","9.9500","10.0800","9.7200","529.66K","0.82%"
"Aug 26, 2019","9.8100","9.7900","10.0300","9.7100","356.34K","1.45%"
"Aug 23, 2019","9.6700","10.2600","10.5000","9.5900","681.66K","-7.55%"
"Aug 22, 2019","10.4600","10.4100","10.6000","10.3100","608.11K","1.26%"
"Aug 21, 2019","10.3300","10.3200","10.4200","9.9700","687.21K","1.08%"
"Aug 20, 2019","10.2200","9.9300","10.2700","9.7300","532.47K","2.20%"
"Aug 19, 2019","10.0000","10.0000","10.0650","9.6500","742.35K","1.32%"
"Aug 16, 2019","9.8700","9.4200","9.9900","9.3400","887.60K","7.17%"
"Aug 15, 2019","9.2100","9.2100","9.2800","9.0100","384.67K","-0.11%"
"Aug 14, 2019","9.2200","9.5100","9.6500","9.1700","820.73K","-5.14%"
"Aug 13, 2019","9.7200","9.1000","9.8600","8.9000","805.68K","8.72%"
"Aug 12, 2019","8.9400","9.1600","9.1874","8.8100","767.05K","-3.77%"
"Aug 09, 2019","9.2900","9.3300","9.3999","8.9200","905.76K","-0.32%"
"Aug 08, 2019","9.3200","8.9000","9.4700","8.6400","807.05K","6.88%"
"Aug 07, 2019","8.7200","8.8000","8.8900","8.6000","570.02K","-1.02%"
"Aug 06, 2019","8.8100","8.6500","8.9200","8.6000","641.57K","3.65%"
"Aug 05, 2019","8.5000","8.7800","8.7900","8.3600","846.50K","-5.66%"
"Aug 02, 2019","9.0100","9.2500","9.2982","8.8315","379.13K","-0.88%"
"Aug 01, 2019","9.0900","9.8400","9.8400","8.9800","936.31K","-8.00%"
"Jul 31, 2019","9.8800","10.0500","10.0900","9.7500","437.82K","-1.20%"
"Jul 30, 2019","10.0000","10.0200","10.1500","9.6600","797.42K","-0.70%"
"Jul 29, 2019","10.0700","10.4400","10.4400","10.0500","282.20K","-3.17%"
"Jul 26, 2019","10.4000","10.3300","10.4200","10.1300","436.79K","1.07%"
"Jul 25, 2019","10.2900","10.4600","10.7600","10.2100","467.89K","-2.00%"
"Jul 24, 2019","10.5000","10.5000","10.6100","10.1700","872.96K","-3.40%"
"Jul 23, 2019","10.8700","11.2400","11.2700","10.7100","981.80K","-4.06%"
"Jul 22, 2019","11.3300","10.7300","11.5600","10.7300","1.32M","6.38%"
"Jul 19, 2019","10.6500","10.9700","11.1700","10.5400","650.13K","-2.38%"
"Jul 18, 2019","10.9100","10.6400","10.9200","10.3202","431.69K","1.77%"
"Jul 17, 2019","10.7200","10.8500","10.8600","10.4000","628.14K","-1.11%"
"Jul 16, 2019","10.8400","10.8000","10.9900","10.6400","423.09K","1.12%"
"Jul 15, 2019","10.7200","10.6500","10.9500","10.6400","481.93K","0.66%"
"Jul 12, 2019","10.6500","10.7500","10.8400","10.5000","338.58K","-0.47%"
"Jul 11, 2019","10.7000","10.6000","10.9700","10.5900","485.13K","1.52%"
"Jul 10, 2019","10.5400","10.9500","10.9500","10.4600","518.94K","-1.95%"
"Jul 09, 2019","10.7500","10.3700","10.7900","10.1900","491.26K","3.76%"
"Jul 08, 2019","10.3600","10.5000","10.6500","10.0400","675.56K","-1.89%"
"Jul 05, 2019","10.5600","9.9000","10.6500","9.7700","1.10M","6.77%"
"Jul 03, 2019","9.8900","9.8300","10.0100","9.7000","381.99K","0.61%"
"Jul 02, 2019","9.8300","9.7500","9.9700","9.4900","505.81K","1.65%"
"Jul 01, 2019","9.6700","9.7500","9.9300","9.6500","542.74K","0.21%"
"Jun 28, 2019","9.6500","9.1800","9.6500","8.9900","549.50K","5.12%"
"Jun 27, 2019","9.1800","9.0000","9.2600","8.8500","492.86K","4.20%"
"Jun 26, 2019","8.8100","8.5200","8.8863","8.5000","399.65K","4.51%"
"Jun 25, 2019","8.4300","8.3200","8.4600","8.2700","324.33K","1.32%"
"Jun 24, 2019","8.3200","8.5000","8.5800","8.2800","275.69K","-0.95%"
"Jun 21, 2019","8.4000","8.5000","8.6500","8.3400","547.33K","-1.87%"
"Jun 20, 2019","8.5600","8.6600","8.8400","8.3700","303.99K","-1.27%"
"Jun 19, 2019","8.6700","8.3500","8.9600","8.3300","623.15K","3.58%"
"Jun 18, 2019","8.3700","7.9000","8.5100","7.8700","504.69K","6.90%"
"Jun 17, 2019","7.8300","7.8200","7.9700","7.7512","191.29K","0.26%"
"Jun 14, 2019","7.8100","8.0500","8.1500","7.6600","318.70K","-2.86%"
