"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","93.20","92.84","93.31","88.27","1.13M","-0.32%"
"Oct 24, 2019","93.50","92.12","95.00","91.13","1.67M","2.19%"
"Oct 23, 2019","91.50","87.09","92.60","86.97","1.52M","5.40%"
"Oct 22, 2019","86.81","87.40","89.29","85.09","913.28K","-0.53%"
"Oct 21, 2019","87.27","85.38","88.42","85.01","753.59K","2.47%"
"Oct 18, 2019","85.17","84.20","86.68","84.05","1.41M","1.85%"
"Oct 17, 2019","83.62","84.01","85.55","82.68","9.45M","-0.31%"
"Oct 16, 2019","83.88","84.17","84.63","82.92","1.29M","-1.08%"
"Oct 15, 2019","84.80","85.80","87.49","83.34","2.08M","-4.84%"
"Oct 14, 2019","89.11","89.50","90.50","88.37","530.31K","0.18%"
"Oct 11, 2019","88.95","88.88","90.06","88.01","774.35K","0.63%"
"Oct 10, 2019","88.39","85.61","90.00","85.54","647.21K","3.32%"
"Oct 09, 2019","85.55","87.69","87.79","83.54","771.96K","-1.91%"
"Oct 08, 2019","87.22","84.69","88.51","84.50","739.35K","2.00%"
"Oct 07, 2019","85.51","86.09","86.96","83.59","792.13K","0.01%"
"Oct 04, 2019","85.50","81.91","85.52","81.34","803.06K","5.56%"
"Oct 03, 2019","81.00","81.17","82.06","78.42","689.01K","-0.15%"
"Oct 02, 2019","81.12","82.43","83.04","80.31","743.79K","-2.44%"
"Oct 01, 2019","83.15","84.27","84.92","82.72","635.77K","-0.68%"
"Sep 30, 2019","83.72","82.32","84.72","81.22","608.21K","2.00%"
"Sep 27, 2019","82.08","85.51","86.19","81.09","1.20M","-3.83%"
"Sep 26, 2019","85.35","88.71","89.53","84.97","679.78K","-3.34%"
"Sep 25, 2019","88.30","86.22","88.72","84.87","694.20K","1.78%"
"Sep 24, 2019","86.76","90.11","91.45","84.92","1.35M","-3.46%"
"Sep 23, 2019","89.87","89.10","90.37","87.33","1.04M","0.51%"
"Sep 20, 2019","89.41","90.26","91.42","85.90","2.24M","-0.01%"
"Sep 19, 2019","89.42","83.44","90.45","83.20","3.53M","7.68%"
"Sep 18, 2019","83.04","83.15","83.49","80.44","848.60K","-0.02%"
"Sep 17, 2019","83.06","79.40","83.20","79.40","1.34M","4.73%"
"Sep 16, 2019","79.31","76.51","80.66","76.40","1.54M","4.19%"
"Sep 13, 2019","76.12","71.55","76.65","71.55","1.53M","6.25%"
"Sep 12, 2019","71.64","80.28","81.16","70.88","3.77M","-9.81%"
"Sep 11, 2019","79.43","75.13","80.06","74.92","931.10K","5.74%"
"Sep 10, 2019","75.12","73.64","76.29","72.50","1.41M","1.29%"
"Sep 09, 2019","74.16","77.20","77.74","73.15","1.32M","-4.01%"
"Sep 06, 2019","77.26","79.10","79.35","76.89","839.88K","-1.70%"
"Sep 05, 2019","78.60","83.79","84.26","77.79","1.13M","-5.18%"
"Sep 04, 2019","82.89","78.99","82.95","78.52","1.18M","6.90%"
"Sep 03, 2019","77.54","80.94","81.90","77.44","971.63K","-5.35%"
"Aug 30, 2019","81.92","83.96","84.30","80.31","457.23K","-1.73%"
"Aug 29, 2019","83.36","83.70","84.81","80.55","898.17K","0.87%"
"Aug 28, 2019","82.64","81.83","83.62","81.21","382.67K","0.98%"
"Aug 27, 2019","81.84","82.98","84.02","81.41","543.19K","-0.66%"
"Aug 26, 2019","82.38","81.88","83.86","80.04","637.93K","1.83%"
"Aug 23, 2019","80.90","81.65","82.62","78.79","937.36K","-1.39%"
"Aug 22, 2019","82.04","81.85","82.80","79.32","2.28M","-6.61%"
"Aug 21, 2019","87.85","86.34","88.96","85.49","1.35M","3.71%"
"Aug 20, 2019","84.71","84.49","85.26","83.01","669.85K","0.70%"
"Aug 19, 2019","84.12","85.00","85.60","83.15","753.72K","0.38%"
"Aug 16, 2019","83.80","82.25","84.35","81.61","1.06M","2.10%"
"Aug 15, 2019","82.08","84.30","84.44","78.81","1.49M","-3.08%"
"Aug 14, 2019","84.69","87.03","87.70","84.67","1.33M","-3.52%"
"Aug 13, 2019","87.78","86.83","89.43","86.12","1.48M","1.33%"
"Aug 12, 2019","86.63","81.11","88.24","81.11","2.21M","5.22%"
"Aug 09, 2019","82.33","79.17","84.61","79.03","1.54M","1.87%"
"Aug 08, 2019","80.82","78.65","81.12","76.20","1.48M","0.65%"
"Aug 07, 2019","80.30","75.99","81.00","74.86","5.57M","25.12%"
"Aug 06, 2019","64.18","63.56","65.83","62.37","1.21M","2.02%"
"Aug 05, 2019","62.91","64.11","64.50","60.93","1.17M","-3.19%"
"Aug 02, 2019","64.98","66.72","66.80","64.09","845.51K","-2.27%"
"Aug 01, 2019","66.49","66.59","69.00","65.80","1.22M","1.93%"
"Jul 31, 2019","65.23","65.17","67.19","63.49","1.46M","2.89%"
"Jul 30, 2019","63.40","63.80","64.21","63.06","332.72K","-1.45%"
"Jul 29, 2019","64.33","63.51","64.54","63.01","438.68K","1.69%"
"Jul 26, 2019","63.26","63.61","63.79","63.03","193.01K","0.29%"
"Jul 25, 2019","63.08","62.49","63.77","61.86","411.08K","0.93%"
"Jul 24, 2019","62.50","62.54","62.78","61.55","376.59K","0.08%"
"Jul 23, 2019","62.45","63.70","63.73","61.49","328.68K","-0.97%"
"Jul 22, 2019","63.06","63.48","64.19","62.34","473.18K","-0.49%"
"Jul 19, 2019","63.37","63.00","63.83","62.79","383.31K","1.17%"
"Jul 18, 2019","62.64","62.00","63.00","61.90","521.84K","0.45%"
"Jul 17, 2019","62.36","61.50","62.50","61.05","285.37K","1.56%"
"Jul 16, 2019","61.40","61.65","61.70","60.65","203.99K","-0.70%"
"Jul 15, 2019","61.83","62.23","62.40","60.22","332.80K","-0.47%"
"Jul 12, 2019","62.12","61.48","62.54","61.27","417.52K","2.24%"
"Jul 11, 2019","60.76","62.30","62.72","59.84","520.15K","-2.46%"
"Jul 10, 2019","62.29","62.79","63.42","62.05","335.75K","0.03%"
"Jul 09, 2019","62.27","61.86","62.98","61.66","298.49K","-0.42%"
"Jul 08, 2019","62.53","63.04","63.10","61.23","345.92K","-0.98%"
"Jul 05, 2019","63.15","62.03","63.20","62.02","251.72K","1.36%"
"Jul 03, 2019","62.30","62.70","63.32","62.28","167.97K","-0.86%"
"Jul 02, 2019","62.84","62.47","63.25","61.36","284.93K","0.87%"
"Jul 01, 2019","62.30","63.22","64.21","61.97","656.39K","-0.26%"
"Jun 28, 2019","62.46","60.72","62.70","60.72","648.99K","2.29%"
"Jun 27, 2019","61.06","59.70","61.65","59.57","733.19K","2.42%"
"Jun 26, 2019","59.62","60.91","61.89","59.49","587.42K","0.68%"
"Jun 25, 2019","59.22","60.30","60.94","58.84","660.46K","-2.18%"
"Jun 24, 2019","60.54","60.02","61.66","60.01","853.06K","1.92%"
"Jun 21, 2019","59.40","59.53","59.73","58.15","530.96K","-0.47%"
"Jun 20, 2019","59.68","60.00","60.67","58.89","498.86K","0.81%"
"Jun 19, 2019","59.20","59.04","59.53","57.38","630.47K","1.09%"
"Jun 18, 2019","58.56","58.19","60.96","57.71","1.31M","3.48%"
"Jun 17, 2019","56.59","56.44","57.15","55.69","256.21K","0.18%"
"Jun 14, 2019","56.49","57.75","58.17","55.80","559.52K","-2.40%"
"Jun 13, 2019","57.88","55.08","57.98","55.08","668.42K","5.58%"
"Jun 12, 2019","54.82","56.90","56.99","54.57","443.57K","-3.82%"
"Jun 11, 2019","57.00","57.05","57.46","56.01","356.22K","0.30%"
"Jun 10, 2019","56.83","56.45","57.88","56.45","364.77K","0.91%"
"Jun 07, 2019","56.32","55.90","57.14","55.49","339.85K","0.55%"
"Jun 06, 2019","56.01","55.03","56.50","54.75","544.93K","1.54%"
"Jun 05, 2019","55.16","54.83","55.24","54.33","425.72K","0.93%"
"Jun 04, 2019","54.65","53.58","54.94","53.45","307.88K","2.61%"
"Jun 03, 2019","53.26","53.29","53.65","52.03","578.59K","-0.60%"
"May 31, 2019","53.58","54.07","54.45","53.13","529.67K","-1.92%"
"May 30, 2019","54.63","53.99","55.30","53.95","298.74K","1.56%"
"May 29, 2019","53.79","54.92","54.94","53.37","344.58K","-2.87%"
"May 28, 2019","55.38","54.16","55.53","53.83","447.90K","3.30%"
"May 24, 2019","53.61","53.51","54.26","53.10","348.06K","0.26%"
"May 23, 2019","53.47","54.37","54.95","53.00","475.25K","-2.71%"
"May 22, 2019","54.96","54.50","55.58","54.32","289.83K","0.29%"
"May 21, 2019","54.80","55.22","55.50","54.25","400.87K","0.18%"
"May 20, 2019","54.70","55.28","55.93","54.23","727.37K","-1.60%"
"May 17, 2019","55.59","54.74","56.95","54.52","1.06M","0.52%"
"May 16, 2019","55.30","52.50","55.82","52.40","983.77K","5.57%"
"May 15, 2019","52.38","50.80","52.85","50.64","837.35K","2.83%"
"May 14, 2019","50.94","50.32","51.40","50.25","751.23K","1.88%"
"May 13, 2019","50.00","51.50","52.00","49.58","793.23K","-5.68%"
"May 10, 2019","53.01","51.19","53.41","50.96","972.44K","2.95%"
"May 09, 2019","51.49","51.46","51.75","50.55","936.32K","-0.69%"
"May 08, 2019","51.85","53.40","53.80","51.26","1.62M","-3.70%"
"May 07, 2019","53.84","50.46","54.50","50.24","6.02M","22.70%"
"May 06, 2019","43.88","43.74","44.20","43.10","832.60K","-1.53%"
"May 03, 2019","44.56","44.27","44.97","44.15","507.83K","1.83%"
"May 02, 2019","43.76","44.00","44.21","43.35","591.90K","-0.86%"
"May 01, 2019","44.14","44.90","45.94","44.12","1.16M","-0.36%"
"Apr 30, 2019","44.30","44.38","45.15","43.67","496.95K","-1.97%"
"Apr 29, 2019","45.19","46.00","46.06","45.03","560.17K","-1.70%"
"Apr 26, 2019","45.97","45.78","46.25","44.74","309.11K","0.11%"
