"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 15, 2019","17.40","17.89","17.89","17.32","592.90K","-2.36%"
"Oct 14, 2019","17.82","17.31","17.91","17.22","573.60K","3.18%"
"Oct 11, 2019","17.27","17.30","17.49","17.19","560.10K","-0.23%"
"Oct 10, 2019","17.31","17.08","17.31","17.01","491.30K","1.82%"
"Oct 09, 2019","17.00","16.95","17.17","16.82","638.40K","0.77%"
"Oct 08, 2019","16.87","16.96","17.09","16.67","2.11M","-0.53%"
"Oct 07, 2019","16.96","17.31","17.37","16.75","819.70K","-1.62%"
"Oct 04, 2019","17.24","17.34","17.44","17.08","594.80K","-0.29%"
"Oct 03, 2019","17.29","17.35","17.49","17.03","728.50K","-0.06%"
"Oct 02, 2019","17.30","17.79","17.79","17.23","821.40K","-2.86%"
"Oct 01, 2019","17.81","17.89","18.13","17.76","522.80K","-0.45%"
"Sep 30, 2019","17.89","18.00","18.02","17.51","851.00K","-0.61%"
"Sep 27, 2019","18.00","18.19","18.26","17.80","1.00M","-0.88%"
"Sep 26, 2019","18.16","18.55","18.55","18.15","569.30K","-1.63%"
"Sep 25, 2019","18.46","18.62","18.68","18.34","511.20K","-1.23%"
"Sep 24, 2019","18.69","18.47","18.80","18.43","917.30K","1.19%"
"Sep 23, 2019","18.47","18.28","18.48","18.20","606.50K","1.04%"
"Sep 20, 2019","18.28","18.36","18.52","18.15","697.90K","-0.11%"
"Sep 19, 2019","18.30","18.51","18.65","18.28","701.80K","-1.03%"
"Sep 18, 2019","18.49","19.05","19.05","18.26","1.39M","-2.68%"
"Sep 17, 2019","19.00","18.54","19.09","18.36","1.07M","2.54%"
"Sep 16, 2019","18.53","18.26","18.72","18.16","1.04M","2.21%"
"Sep 13, 2019","18.13","18.54","18.72","18.13","800.00K","-1.73%"
"Sep 12, 2019","18.45","18.59","18.69","18.32","694.90K","-0.32%"
"Sep 11, 2019","18.51","18.30","18.70","18.22","857.80K","1.98%"
"Sep 10, 2019","18.15","17.99","18.83","17.99","2.19M","0.61%"
"Sep 09, 2019","18.04","18.16","18.24","17.94","771.00K","-0.55%"
"Sep 06, 2019","18.14","17.90","18.35","17.89","812.00K","1.85%"
"Sep 05, 2019","17.81","17.80","18.11","17.74","993.80K","0.39%"
"Sep 04, 2019","17.74","17.37","17.77","17.12","957.60K","3.08%"
"Sep 03, 2019","17.21","17.35","17.60","17.07","567.00K","-0.92%"
