"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","7.06","7.00","7.07","7.00","774.09K","0.14%"
"Oct 24, 2019","7.05","7.04","7.08","7.03","751.54K","0.57%"
"Oct 23, 2019","7.01","6.98","7.01","6.96","1.08M","1.15%"
"Oct 22, 2019","6.93","6.94","7.02","6.93","1.56M","-0.14%"
"Oct 21, 2019","6.94","6.91","6.97","6.91","1.13M","1.17%"
"Oct 18, 2019","6.86","6.88","6.91","6.86","1.07M","-0.72%"
"Oct 17, 2019","6.91","6.93","6.96","6.89","937.07K","-0.58%"
"Oct 16, 2019","6.95","6.98","6.98","6.93","1.29M","0.00%"
"Oct 15, 2019","6.95","6.91","6.98","6.88","1.82M","1.76%"
"Oct 14, 2019","6.83","6.85","6.88","6.82","1.93M","-0.44%"
"Oct 11, 2019","6.86","6.80","6.90","6.80","2.39M","1.18%"
"Oct 10, 2019","6.78","6.71","6.79","6.71","1.79M","0.15%"
"Oct 09, 2019","6.77","6.76","6.80","6.74","2.22M","0.74%"
"Oct 08, 2019","6.72","6.72","6.76","6.69","4.05M","-0.44%"
"Oct 07, 2019","6.75","6.73","6.77","6.72","1.22M","-0.88%"
"Oct 04, 2019","6.81","6.77","6.82","6.75","1.19M","0.15%"
"Oct 03, 2019","6.80","6.74","6.81","6.73","1.48M","1.04%"
"Oct 02, 2019","6.73","6.78","6.80","6.72","947.28K","-0.88%"
"Oct 01, 2019","6.79","6.88","6.89","6.79","928.39K","-0.73%"
"Sep 30, 2019","6.84","6.83","6.86","6.79","1.28M","-0.44%"
"Sep 27, 2019","6.87","6.91","6.93","6.85","1.47M","-2.83%"
"Sep 26, 2019","7.07","7.10","7.11","7.05","1.11M","-0.14%"
"Sep 25, 2019","7.08","6.98","7.11","6.96","4.01M","2.31%"
"Sep 24, 2019","6.92","6.98","7.02","6.92","1.16M","-0.57%"
"Sep 23, 2019","6.96","7.00","7.00","6.95","780.59K","-0.57%"
"Sep 20, 2019","7.00","6.98","7.05","6.98","1.03M","0.86%"
"Sep 19, 2019","6.94","6.98","7.01","6.93","957.30K","0.00%"
"Sep 18, 2019","6.94","6.91","6.95","6.88","1.21M","-0.14%"
"Sep 17, 2019","6.95","6.96","6.99","6.93","942.40K","0.14%"
"Sep 16, 2019","6.94","6.94","6.97","6.92","876.23K","-0.57%"
