"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","35.16","35.24","35.45","35.02","-","-0.23%"
"Nov 19, 2019","35.24","35.18","35.61","34.96","474.60K","0.69%"
"Nov 18, 2019","35.00","35.37","35.77","34.75","644.50K","-0.85%"
"Nov 14, 2019","35.30","35.06","35.66","34.87","730.50K","0.57%"
"Nov 13, 2019","35.10","35.00","35.59","34.64","452.30K","0.29%"
"Nov 12, 2019","35.00","35.28","35.48","34.86","443.40K","-0.79%"
"Nov 11, 2019","35.28","35.10","35.41","34.70","336.30K","0.80%"
"Nov 08, 2019","35.00","35.73","35.79","34.72","716.90K","-2.02%"
"Nov 07, 2019","35.72","36.52","36.52","35.72","623.90K","-1.49%"
"Nov 06, 2019","36.26","36.25","36.52","35.90","530.40K","-0.52%"
"Nov 05, 2019","36.45","36.50","36.89","36.19","577.20K","-0.41%"
"Nov 04, 2019","36.60","36.60","36.96","36.30","468.90K","0.03%"
"Nov 01, 2019","36.59","36.94","37.17","36.50","475.30K","-1.11%"
"Oct 31, 2019","37.00","37.45","37.45","36.36","905.00K","-1.28%"
"Oct 30, 2019","37.48","36.60","37.49","36.20","772.50K","2.40%"
"Oct 29, 2019","36.60","37.19","37.20","36.48","756.20K","-1.69%"
"Oct 28, 2019","37.23","37.70","37.82","37.21","294.40K","-1.25%"
"Oct 25, 2019","37.70","37.11","38.16","36.84","626.60K","1.89%"
"Oct 24, 2019","37.00","36.86","37.15","36.29","832.30K","0.27%"
"Oct 23, 2019","36.90","36.85","37.08","36.54","684.30K","0.27%"
"Oct 22, 2019","36.80","36.98","37.17","36.53","2.08M","-0.46%"
"Oct 21, 2019","36.97","37.65","37.65","36.77","676.80K","-1.73%"
"Oct 18, 2019","37.62","37.73","37.96","37.10","1.09M","0.03%"
"Oct 17, 2019","37.61","37.88","38.04","37.52","478.20K","-0.71%"
"Oct 16, 2019","37.88","37.61","38.18","37.51","913.40K","-0.05%"
"Oct 15, 2019","37.90","37.91","38.26","37.33","460.50K","0.08%"
"Oct 14, 2019","37.87","37.65","38.45","37.60","506.00K","0.58%"
"Oct 11, 2019","37.65","37.50","37.87","37.32","400.80K","1.18%"
"Oct 10, 2019","37.21","37.01","37.39","36.82","358.40K","0.30%"
"Oct 09, 2019","37.10","37.15","37.55","36.95","359.20K","0.38%"
"Oct 08, 2019","36.96","36.76","37.60","36.65","595.20K","0.54%"
"Oct 07, 2019","36.76","37.00","37.26","36.57","464.50K","-1.55%"
"Oct 04, 2019","37.34","37.50","37.60","36.75","387.90K","-0.43%"
"Oct 03, 2019","37.50","36.76","37.74","36.48","407.20K","1.99%"
"Oct 02, 2019","36.77","37.50","37.64","36.52","577.50K","-2.47%"
"Oct 01, 2019","37.70","38.19","38.24","37.58","534.00K","-0.79%"
"Sep 30, 2019","38.00","37.68","38.05","37.33","467.40K","1.33%"
"Sep 27, 2019","37.50","38.24","38.67","37.08","3.78M","-5.04%"
"Sep 26, 2019","39.49","38.63","39.49","38.32","418.20K","2.87%"
"Sep 25, 2019","38.39","38.20","38.72","37.80","397.50K","0.26%"
"Sep 24, 2019","38.29","38.87","38.87","38.09","346.30K","-1.47%"
"Sep 23, 2019","38.86","38.71","38.93","38.12","299.60K","-0.23%"
"Sep 20, 2019","38.95","39.32","39.32","38.40","469.30K","-0.49%"
"Sep 19, 2019","39.14","38.81","39.60","38.44","815.30K","0.95%"
"Sep 18, 2019","38.77","37.81","38.78","37.40","528.20K","2.08%"
"Sep 17, 2019","37.98","37.22","38.21","36.77","472.40K","0.93%"
"Sep 16, 2019","37.63","37.87","38.05","36.99","682.60K","-0.92%"
"Sep 13, 2019","37.98","38.23","38.46","37.54","382.80K","-0.96%"
"Sep 12, 2019","38.35","38.26","38.80","38.04","477.60K","0.47%"
"Sep 11, 2019","38.17","37.20","38.25","37.02","844.20K","2.91%"
"Sep 10, 2019","37.09","36.60","37.33","36.60","485.20K","1.28%"
"Sep 09, 2019","36.62","37.55","37.59","36.42","674.20K","-2.09%"
"Sep 06, 2019","37.40","37.25","37.73","36.92","417.30K","0.97%"
"Sep 05, 2019","37.04","37.29","37.95","37.04","584.00K","-0.11%"
"Sep 04, 2019","37.08","37.00","37.17","36.29","714.70K","1.59%"
"Sep 03, 2019","36.50","36.98","37.59","36.19","604.50K","-1.56%"
"Sep 02, 2019","37.08","36.69","37.32","36.69","297.30K","0.22%"
"Aug 30, 2019","37.00","37.50","38.10","36.23","1.86M","-1.73%"
"Aug 29, 2019","37.65","37.40","38.49","37.40","972.10K","0.67%"
"Aug 28, 2019","37.40","36.44","37.85","36.27","475.20K","1.19%"
"Aug 27, 2019","36.96","36.40","37.13","35.50","1.32M","1.54%"
"Aug 26, 2019","36.40","38.40","38.40","36.27","1.10M","-3.83%"
"Aug 23, 2019","37.85","36.50","37.86","35.90","1.25M","2.83%"
"Aug 22, 2019","36.81","37.80","37.99","36.54","505.10K","-2.28%"
"Aug 21, 2019","37.67","36.02","38.42","35.85","1.13M","4.55%"
"Aug 20, 2019","36.03","35.69","36.12","35.04","907.70K","1.49%"
"Aug 19, 2019","35.50","35.44","36.10","35.10","1.20M","0.71%"
"Aug 16, 2019","35.25","35.85","36.20","35.10","857.90K","-1.12%"
"Aug 15, 2019","35.65","35.96","36.37","35.24","1.59M","-0.56%"
