"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","46.36","45.88","46.38","45.82","1.02M","-0.04%"
"Oct 24, 2019","46.38","46.28","46.47","46.13","904.66K","1.33%"
"Oct 23, 2019","45.77","45.48","45.79","45.40","882.33K","0.99%"
"Oct 22, 2019","45.32","45.69","45.93","45.19","1.29M","-1.35%"
"Oct 21, 2019","45.94","46.38","46.41","45.94","1.32M","-0.50%"
"Oct 18, 2019","46.17","46.29","46.37","45.92","1.28M","-0.71%"
"Oct 17, 2019","46.50","46.27","46.63","46.26","824.92K","1.66%"
"Oct 16, 2019","45.74","45.55","45.84","45.48","606.93K","0.40%"
"Oct 15, 2019","45.56","45.08","45.63","45.06","659.67K","1.49%"
"Oct 14, 2019","44.89","44.88","45.04","44.79","670.23K","-0.13%"
"Oct 11, 2019","44.95","45.15","45.30","44.89","700.14K","0.25%"
"Oct 10, 2019","44.84","44.83","45.24","44.76","779.24K","-0.27%"
"Oct 09, 2019","44.96","45.14","45.18","44.91","627.05K","-0.07%"
"Oct 08, 2019","44.99","45.21","45.29","44.95","710.60K","-0.44%"
"Oct 07, 2019","45.19","45.29","45.47","45.16","924.12K","-0.51%"
"Oct 04, 2019","45.42","45.07","45.48","45.02","1.71M","1.68%"
"Oct 03, 2019","44.67","44.45","44.83","44.39","1.08M","0.95%"
"Oct 02, 2019","44.25","44.66","44.78","44.14","1.90M","-2.06%"
"Oct 01, 2019","45.18","46.09","46.18","45.07","3.76M","-2.48%"
"Sep 30, 2019","46.33","46.13","46.48","46.09","1.75M","0.15%"
"Sep 27, 2019","46.26","46.09","46.58","46.09","2.10M","-0.79%"
"Sep 26, 2019","46.63","46.63","47.11","46.44","4.30M","0.28%"
"Sep 25, 2019","46.50","46.60","46.68","46.37","3.78M","-0.30%"
"Sep 24, 2019","46.64","46.61","46.86","46.41","2.78M","0.93%"
"Sep 23, 2019","46.21","45.95","46.23","45.90","1.77M","-0.54%"
"Sep 20, 2019","46.46","45.53","46.60","45.43","3.55M","3.43%"
"Sep 19, 2019","44.92","44.74","45.03","44.73","993.65K","1.15%"
"Sep 18, 2019","44.41","44.30","44.48","44.21","1.66M","0.25%"
"Sep 17, 2019","44.30","43.79","44.33","43.78","1.84M","1.61%"
"Sep 16, 2019","43.60","43.76","43.94","43.41","1.26M","-0.25%"
"Sep 13, 2019","43.71","44.21","44.23","43.06","2.06M","-0.21%"
"Sep 12, 2019","43.80","43.83","44.07","43.65","1.77M","0.62%"
"Sep 11, 2019","43.53","43.39","43.61","43.34","1.21M","-0.07%"
"Sep 10, 2019","43.56","43.14","43.67","42.98","1.29M","-0.53%"
"Sep 09, 2019","43.79","44.43","44.45","43.74","1.25M","-2.52%"
"Sep 06, 2019","44.92","44.72","45.05","44.72","932.14K","0.31%"
"Sep 05, 2019","44.78","44.96","45.00","44.68","756.94K","0.11%"
"Sep 04, 2019","44.73","44.67","44.84","44.62","1.43M","0.74%"
"Sep 03, 2019","44.40","44.27","44.56","44.25","1.49M","3.38%"
"Aug 30, 2019","42.95","43.29","43.37","42.83","1.47M","0.09%"
"Aug 29, 2019","42.91","43.27","43.32","42.89","2.36M","-0.26%"
"Aug 28, 2019","43.02","42.92","43.29","42.74","1.02M","0.16%"
"Aug 27, 2019","42.95","43.11","43.26","42.95","910.75K","0.44%"
"Aug 26, 2019","42.76","42.69","42.85","42.50","553.40K","0.42%"
"Aug 23, 2019","42.58","42.71","43.04","42.45","738.35K","0.02%"
"Aug 22, 2019","42.57","42.85","42.96","42.55","979.32K","-1.46%"
"Aug 21, 2019","43.20","43.13","43.36","43.01","1.08M","1.41%"
"Aug 20, 2019","42.60","42.97","43.00","42.59","1.74M","-0.30%"
"Aug 19, 2019","42.73","42.72","42.89","42.67","1.17M","1.69%"
"Aug 16, 2019","42.02","41.82","42.33","41.81","976.46K","0.89%"
"Aug 15, 2019","41.65","41.69","41.94","41.42","995.88K","-0.24%"
"Aug 14, 2019","41.75","42.40","42.49","41.75","1.07M","-0.83%"
"Aug 13, 2019","42.10","41.89","42.46","41.85","942.39K","1.67%"
"Aug 12, 2019","41.41","41.36","41.60","41.22","528.99K","-0.38%"
"Aug 09, 2019","41.57","41.65","41.78","41.27","646.39K","-0.41%"
"Aug 08, 2019","41.74","41.43","41.87","41.36","816.18K","2.28%"
"Aug 07, 2019","40.81","40.55","41.03","40.38","970.79K","0.27%"
"Aug 06, 2019","40.70","40.73","40.82","40.46","731.28K","0.89%"
"Aug 05, 2019","40.34","40.85","40.91","40.00","1.08M","-2.35%"
"Aug 02, 2019","41.31","41.52","41.60","41.12","1.03M","-1.29%"
"Aug 01, 2019","41.85","41.52","41.98","41.48","1.37M","0.36%"
"Jul 31, 2019","41.70","41.44","42.17","41.42","953.86K","-0.88%"
"Jul 30, 2019","42.07","42.15","42.32","41.96","1.36M","-2.23%"
"Jul 29, 2019","43.03","43.49","43.56","42.93","2.34M","1.58%"
"Jul 26, 2019","42.36","42.19","42.51","42.17","1.25M","0.79%"
"Jul 25, 2019","42.03","42.53","42.54","41.92","1.83M","-0.87%"
