"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","27.31","26.05","27.45","26.05","994.26K","-1.76%"
"Oct 24, 2019","27.80","27.74","27.88","27.50","467.07K","0.87%"
"Oct 23, 2019","27.56","27.57","27.70","27.22","489.95K","0.04%"
"Oct 22, 2019","27.55","27.10","27.91","26.66","945.35K","0.04%"
"Oct 21, 2019","27.54","27.00","27.65","26.13","1.28M","-2.93%"
"Oct 18, 2019","28.37","28.50","28.78","28.31","297.01K","-0.32%"
"Oct 17, 2019","28.46","28.20","28.66","28.20","395.04K","1.93%"
"Oct 16, 2019","27.92","28.04","28.29","27.82","454.19K","0.18%"
"Oct 15, 2019","27.87","27.50","27.98","27.50","414.47K","1.05%"
"Oct 14, 2019","27.58","28.18","28.22","27.58","371.94K","-2.09%"
"Oct 11, 2019","28.17","27.53","28.52","27.53","734.46K","4.26%"
"Oct 10, 2019","27.02","26.30","27.05","26.18","537.83K","3.25%"
"Oct 09, 2019","26.17","26.36","26.58","25.95","254.39K","0.27%"
"Oct 08, 2019","26.10","26.60","26.60","26.09","662.09K","-1.84%"
"Oct 07, 2019","26.59","26.67","26.97","26.59","336.72K","-1.52%"
"Oct 04, 2019","27.00","26.96","27.25","26.90","275.80K","-0.33%"
"Oct 03, 2019","27.09","27.00","27.31","26.75","280.30K","0.00%"
"Oct 02, 2019","27.09","27.24","27.66","26.90","502.21K","-1.67%"
"Oct 01, 2019","27.55","27.78","28.07","27.39","533.77K","-0.86%"
"Sep 30, 2019","27.79","27.85","28.24","27.36","578.10K","-0.36%"
"Sep 27, 2019","27.89","28.00","28.33","27.64","575.75K","-0.07%"
"Sep 26, 2019","27.91","28.09","28.60","27.57","484.29K","1.64%"
"Sep 25, 2019","27.46","27.00","27.58","26.84","445.81K","1.25%"
"Sep 24, 2019","27.12","27.66","28.12","27.08","513.98K","-2.80%"
"Sep 23, 2019","27.90","27.56","28.56","27.56","578.85K","0.18%"
"Sep 20, 2019","27.85","27.91","28.12","27.60","482.17K","-0.46%"
"Sep 19, 2019","27.98","27.61","28.15","27.60","303.07K","1.23%"
"Sep 18, 2019","27.64","27.54","27.78","27.42","205.50K","0.11%"
"Sep 17, 2019","27.61","27.95","28.30","27.57","740.94K","-1.53%"
"Sep 16, 2019","28.04","27.70","28.12","27.28","551.74K","1.56%"
"Sep 13, 2019","27.61","27.73","28.20","27.59","543.64K","-0.43%"
"Sep 12, 2019","27.73","27.75","27.95","26.27","1.04M","0.91%"
"Sep 11, 2019","27.48","26.54","27.54","26.32","1.25M","4.65%"
"Sep 10, 2019","26.26","25.20","26.28","25.20","958.09K","4.00%"
"Sep 09, 2019","25.25","25.01","25.27","24.87","529.19K","1.69%"
"Sep 06, 2019","24.83","24.85","25.29","24.77","709.49K","0.40%"
"Sep 05, 2019","24.73","24.16","24.96","24.16","605.48K","3.13%"
"Sep 04, 2019","23.98","24.14","24.60","23.85","704.95K","0.76%"
"Sep 03, 2019","23.80","24.24","24.24","23.46","665.08K","-3.41%"
"Aug 30, 2019","24.64","24.10","24.75","24.10","675.29K","3.14%"
"Aug 29, 2019","23.89","23.73","24.12","23.45","650.85K","2.18%"
"Aug 28, 2019","23.38","22.98","23.49","22.80","591.04K","0.99%"
"Aug 27, 2019","23.15","23.18","23.40","22.98","769.40K","0.39%"
"Aug 26, 2019","23.06","23.23","23.69","22.92","615.01K","0.35%"
"Aug 23, 2019","22.98","23.56","23.67","22.71","1.18M","-3.08%"
"Aug 22, 2019","23.71","23.32","24.71","23.32","1.93M","-6.76%"
"Aug 21, 2019","25.43","26.61","26.89","25.34","1.67M","-3.16%"
"Aug 20, 2019","26.26","26.39","26.62","26.23","1.39M","-1.17%"
"Aug 19, 2019","26.57","27.26","27.40","26.52","541.26K","-1.04%"
"Aug 16, 2019","26.85","26.35","26.99","26.34","538.18K","3.23%"
"Aug 15, 2019","26.01","26.63","26.63","25.61","516.04K","-1.25%"
"Aug 14, 2019","26.34","27.05","27.16","26.30","542.24K","-4.63%"
"Aug 13, 2019","27.62","27.14","28.35","26.91","605.62K","1.62%"
"Aug 12, 2019","27.18","28.07","28.11","26.93","1.15M","-4.93%"
"Aug 09, 2019","28.59","28.24","28.78","27.88","975.47K","-0.76%"
"Aug 08, 2019","28.81","27.36","28.84","27.36","1.62M","7.66%"
"Aug 07, 2019","26.76","26.12","27.19","25.75","1.72M","2.10%"
"Aug 06, 2019","26.21","26.75","27.40","26.12","678.04K","-1.17%"
"Aug 05, 2019","26.52","26.59","26.64","25.72","777.90K","-2.10%"
"Aug 02, 2019","27.09","27.60","27.70","26.74","795.82K","-2.62%"
"Aug 01, 2019","27.82","29.17","29.39","27.55","1.11M","-5.66%"
"Jul 31, 2019","29.49","29.45","30.21","29.43","653.00K","-1.83%"
