"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","11.31","11.36","11.54","11.28","384.72K","-0.70%"
"Oct 24, 2019","11.39","11.60","11.60","11.12","514.15K","-1.81%"
"Oct 23, 2019","11.60","11.32","11.61","11.23","514.02K","3.02%"
"Oct 22, 2019","11.26","11.11","11.28","11.05","435.71K","1.53%"
"Oct 21, 2019","11.09","11.07","11.11","10.92","396.51K","0.18%"
"Oct 18, 2019","11.07","11.22","11.25","10.94","353.02K","-2.12%"
"Oct 17, 2019","11.31","11.32","11.41","11.23","401.03K","0.62%"
"Oct 16, 2019","11.24","11.21","11.34","11.20","434.91K","0.09%"
"Oct 15, 2019","11.23","11.29","11.38","11.18","319.43K","0.27%"
"Oct 14, 2019","11.20","11.09","11.26","11.09","314.43K","0.27%"
"Oct 11, 2019","11.17","11.09","11.23","11.04","441.70K","2.67%"
"Oct 10, 2019","10.88","10.57","10.94","10.54","615.14K","3.82%"
"Oct 09, 2019","10.48","10.33","10.50","10.21","558.34K","2.34%"
"Oct 08, 2019","10.24","10.44","10.46","10.23","433.95K","-2.48%"
"Oct 07, 2019","10.50","10.44","10.57","10.42","318.19K","-0.28%"
"Oct 04, 2019","10.53","10.36","10.53","10.36","316.29K","1.35%"
"Oct 03, 2019","10.39","10.21","10.39","10.11","525.86K","1.66%"
"Oct 02, 2019","10.22","10.43","10.47","10.12","593.37K","-2.76%"
"Oct 01, 2019","10.51","10.69","10.80","10.49","387.32K","-1.13%"
"Sep 30, 2019","10.63","10.90","10.91","10.62","464.55K","-2.57%"
"Sep 27, 2019","10.91","11.01","11.14","10.86","305.86K","-0.37%"
"Sep 26, 2019","10.95","10.78","11.05","10.70","468.24K","1.86%"
"Sep 25, 2019","10.75","11.05","11.12","10.66","1.04M","-3.59%"
"Sep 24, 2019","11.15","11.40","11.44","11.10","319.39K","-1.85%"
"Sep 23, 2019","11.36","11.26","11.46","11.21","267.20K","0.35%"
"Sep 20, 2019","11.32","11.24","11.38","11.15","587.82K","0.98%"
"Sep 19, 2019","11.21","11.44","11.47","11.20","218.33K","-1.58%"
"Sep 18, 2019","11.39","11.29","11.46","11.23","405.14K","0.26%"
"Sep 17, 2019","11.36","11.33","11.38","11.04","365.08K","-0.79%"
"Sep 16, 2019","11.45","11.60","11.72","11.42","482.95K","-1.21%"
"Sep 13, 2019","11.59","11.70","11.75","11.45","503.86K","-0.17%"
"Sep 12, 2019","11.61","11.60","11.65","11.35","534.10K","-0.17%"
"Sep 11, 2019","11.63","11.12","11.64","11.02","699.04K","4.40%"
"Sep 10, 2019","11.14","11.15","11.35","11.10","489.61K","0.00%"
"Sep 09, 2019","11.14","10.69","11.15","10.62","712.60K","5.29%"
"Sep 06, 2019","10.58","10.45","10.62","10.39","381.39K","1.05%"
"Sep 05, 2019","10.47","10.50","10.75","10.45","413.39K","0.38%"
"Sep 04, 2019","10.43","10.24","10.46","10.21","254.01K","2.25%"
"Sep 03, 2019","10.20","10.24","10.38","10.10","564.26K","-1.73%"
"Aug 30, 2019","10.38","10.45","10.54","10.26","368.79K","-0.48%"
"Aug 29, 2019","10.43","10.42","10.54","10.38","317.43K","0.87%"
"Aug 28, 2019","10.34","10.15","10.38","10.11","200.61K","1.87%"
"Aug 27, 2019","10.15","10.20","10.35","10.08","573.76K","-0.49%"
"Aug 26, 2019","10.20","10.23","10.36","10.13","363.26K","0.39%"
"Aug 23, 2019","10.16","10.55","10.63","10.14","429.58K","-3.61%"
"Aug 22, 2019","10.54","10.56","10.68","10.46","387.71K","-0.09%"
"Aug 21, 2019","10.55","10.32","10.57","10.32","590.40K","2.43%"
"Aug 20, 2019","10.30","10.29","10.40","10.25","319.63K","-0.39%"
"Aug 19, 2019","10.34","10.14","10.45","10.08","713.57K","3.40%"
"Aug 16, 2019","10.00","9.68","10.03","9.68","406.54K","3.31%"
"Aug 15, 2019","9.68","9.68","9.78","9.58","424.83K","-1.22%"
"Aug 14, 2019","9.80","9.95","9.97","9.73","432.23K","-2.10%"
"Aug 13, 2019","10.01","10.01","10.22","9.97","406.18K","-0.89%"
"Aug 12, 2019","10.10","9.97","10.18","9.89","329.12K","0.00%"
"Aug 09, 2019","10.10","10.11","10.15","9.94","445.12K","-0.88%"
"Aug 08, 2019","10.19","10.09","10.27","9.73","924.68K","2.10%"
"Aug 07, 2019","9.98","9.55","10.03","9.33","984.80K","2.25%"
"Aug 06, 2019","9.76","9.26","9.83","9.22","993.47K","6.32%"
"Aug 05, 2019","9.18","9.42","9.46","9.13","683.78K","-4.47%"
"Aug 02, 2019","9.61","9.75","9.76","9.41","568.56K","-2.24%"
"Aug 01, 2019","9.83","10.22","10.28","9.77","520.16K","-3.15%"
"Jul 31, 2019","10.15","10.19","10.44","10.15","455.03K","-0.59%"
"Jul 30, 2019","10.21","10.10","10.25","9.89","295.68K","0.49%"
"Jul 29, 2019","10.16","10.15","10.17","10.01","308.57K","-0.10%"
"Jul 26, 2019","10.17","10.20","10.20","10.07","253.51K","0.00%"
"Jul 25, 2019","10.17","10.35","10.47","10.11","377.95K","-2.21%"
"Jul 24, 2019","10.40","10.25","10.45","10.22","389.40K","1.46%"
"Jul 23, 2019","10.25","9.99","10.25","9.99","316.30K","2.40%"
"Jul 22, 2019","10.01","9.98","10.03","9.93","300.07K","0.50%"
