"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","3.45","3.39","3.54","3.37","3.55M","3.92%"
"May 15, 2020","3.32","3.28","3.40","3.26","3.87M","0.30%"
"May 14, 2020","3.31","3.24","3.33","3.20","4.45M","-0.30%"
"May 13, 2020","3.32","3.49","3.49","3.20","5.75M","-2.64%"
"May 12, 2020","3.41","3.59","3.76","3.40","5.41M","-4.75%"
"May 11, 2020","3.58","3.59","3.66","3.53","4.55M","0.00%"
"May 08, 2020","3.58","3.69","3.74","3.56","3.15M","-0.56%"
"May 07, 2020","3.60","3.88","3.89","3.59","4.67M","-5.01%"
"May 06, 2020","3.79","3.91","4.00","3.75","3.91M","-2.32%"
"May 05, 2020","3.88","4.08","4.19","3.88","3.15M","-2.57%"
"May 04, 2020","3.98","4.02","4.04","3.84","4.09M","-1.96%"
"Apr 30, 2020","4.06","4.28","4.39","4.05","7.27M","-6.64%"
"Apr 29, 2020","4.35","4.25","4.47","4.14","5.86M","4.05%"
"Apr 28, 2020","4.18","4.31","4.38","4.14","3.59M","0.00%"
"Apr 27, 2020","4.18","4.21","4.33","4.08","3.15M","0.72%"
"Apr 24, 2020","4.15","4.48","4.49","3.91","4.57M","-7.54%"
"Apr 23, 2020","4.49","4.58","4.73","4.26","2.66M","-0.44%"
"Apr 22, 2020","4.51","4.33","4.62","4.28","2.73M","4.38%"
"Apr 20, 2020","4.32","4.03","4.34","3.96","2.69M","5.85%"
"Apr 17, 2020","4.08","4.03","4.08","3.95","5.79M","3.02%"
"Apr 16, 2020","3.96","4.03","4.08","3.89","2.75M","-0.25%"
"Apr 15, 2020","3.97","4.08","4.10","3.86","8.42M","-3.62%"
"Apr 14, 2020","4.12","4.13","4.20","4.11","2.94M","1.97%"
"Apr 13, 2020","4.04","3.97","4.11","3.88","1.87M","1.50%"
"Apr 09, 2020","3.98","4.01","4.15","3.93","4.31M","0.00%"
"Apr 08, 2020","3.98","3.95","4.03","3.72","4.21M","2.56%"
"Apr 07, 2020","3.88","3.93","4.05","3.88","4.23M","2.63%"
"Apr 06, 2020","3.78","3.91","4.09","3.78","3.97M","1.88%"
"Apr 03, 2020","3.71","3.89","3.89","3.63","3.11M","-4.85%"
"Apr 02, 2020","3.90","4.13","4.13","3.73","7.11M","-1.75%"
"Apr 01, 2020","3.97","4.25","4.29","3.86","4.99M","-10.94%"
"Mar 31, 2020","4.46","4.67","4.81","4.41","3.10M","-7.44%"
"Mar 30, 2020","4.82","4.59","4.98","4.45","2.06M","7.08%"
"Mar 27, 2020","4.50","4.45","4.89","4.27","2.26M","-4.66%"
"Mar 26, 2020","4.72","4.10","4.92","4.06","3.80M","13.19%"
"Mar 25, 2020","4.17","3.70","4.17","3.67","2.94M","14.88%"
"Mar 24, 2020","3.63","3.59","4.03","3.37","3.15M","13.44%"
"Mar 23, 2020","3.20","3.45","3.55","3.13","2.15M","-5.88%"
"Mar 20, 2020","3.40","3.98","3.99","3.40","4.29M","-3.68%"
"Mar 19, 2020","3.53","3.01","3.66","2.70","4.27M","16.89%"
"Mar 18, 2020","3.02","3.60","3.69","2.98","4.57M","-23.54%"
"Mar 17, 2020","3.95","3.88","4.10","3.50","8.94M","3.13%"
"Mar 16, 2020","3.83","3.99","4.07","3.72","3.66M","-12.36%"
"Mar 13, 2020","4.37","4.95","4.99","4.20","7.67M","2.10%"
"Mar 12, 2020","4.28","4.60","4.76","4.23","3.80M","-20.89%"
"Mar 11, 2020","5.41","5.25","5.42","4.94","5.61M","-0.92%"
"Mar 10, 2020","5.46","5.35","5.59","5.11","3.81M","10.30%"
"Mar 09, 2020","4.95","5.38","5.38","4.82","6.74M","-14.06%"
"Mar 06, 2020","5.76","5.80","5.92","5.46","4.97M","-1.54%"
"Mar 05, 2020","5.85","6.24","6.32","5.73","3.13M","-6.40%"
"Mar 04, 2020","6.25","6.56","6.58","6.20","4.73M","-2.50%"
"Mar 03, 2020","6.41","6.42","6.71","6.20","5.18M","0.94%"
"Mar 02, 2020","6.35","6.02","6.35","5.91","5.14M","7.08%"
"Feb 28, 2020","5.93","5.92","5.96","5.53","4.44M","0.17%"
"Feb 27, 2020","5.92","6.00","6.19","5.80","6.43M","-2.15%"
"Feb 26, 2020","6.05","6.50","6.56","5.98","5.57M","-11.81%"
"Feb 21, 2020","6.86","6.93","6.93","6.73","3.45M","-1.29%"
"Feb 20, 2020","6.95","7.05","7.17","6.82","5.02M","-1.42%"
"Feb 19, 2020","7.05","6.51","7.14","6.45","6.85M","8.46%"
"Feb 18, 2020","6.50","6.52","6.55","6.45","1.97M","-1.66%"
"Feb 17, 2020","6.61","6.60","6.61","6.40","2.11M","1.38%"
"Feb 14, 2020","6.52","6.55","6.67","6.43","3.36M","0.31%"
"Feb 13, 2020","6.50","6.46","6.59","6.36","3.77M","-1.52%"
"Feb 12, 2020","6.60","6.95","6.99","6.55","7.70M","-4.21%"
"Feb 11, 2020","6.89","6.85","7.03","6.77","5.37M","1.47%"
"Feb 10, 2020","6.79","7.13","7.26","6.79","3.54M","-5.69%"
"Feb 07, 2020","7.20","7.32","7.33","7.11","2.25M","-2.04%"
