"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","56.91","56.31","57.12","56.31","1.62M","1.19%"
"Oct 24, 2019","56.24","56.47","56.98","55.78","1.38M","0.25%"
"Oct 23, 2019","56.10","55.80","56.18","55.27","1.84M","0.43%"
"Oct 22, 2019","55.86","55.87","56.71","55.56","1.60M","0.68%"
"Oct 21, 2019","55.48","55.40","55.87","54.95","1.72M","0.91%"
"Oct 18, 2019","54.98","55.07","55.31","54.58","1.81M","-0.36%"
"Oct 17, 2019","55.18","55.05","55.75","54.60","1.14M","0.51%"
"Oct 16, 2019","54.90","55.00","55.17","54.48","1.38M","-0.07%"
"Oct 15, 2019","54.94","53.86","54.97","53.40","2.20M","1.97%"
"Oct 14, 2019","53.88","53.75","54.10","53.46","1.17M","0.13%"
"Oct 11, 2019","53.81","53.85","54.42","53.57","2.37M","1.72%"
"Oct 10, 2019","52.90","52.42","53.40","52.28","2.16M","1.40%"
"Oct 09, 2019","52.17","51.52","52.44","51.35","1.51M","1.87%"
"Oct 08, 2019","51.21","52.70","52.82","51.12","3.15M","-4.49%"
"Oct 07, 2019","53.62","53.70","54.11","53.27","1.66M","-0.11%"
"Oct 04, 2019","53.68","53.03","53.75","52.91","1.54M","1.11%"
"Oct 03, 2019","53.09","52.42","53.11","51.60","2.03M","1.61%"
"Oct 02, 2019","52.25","52.39","52.64","51.83","3.24M","-1.15%"
"Oct 01, 2019","52.86","54.00","54.20","52.44","2.38M","-1.73%"
"Sep 30, 2019","53.79","53.97","54.24","53.31","2.02M","-0.02%"
"Sep 27, 2019","53.80","53.48","54.35","53.13","2.41M","0.26%"
"Sep 26, 2019","53.66","53.18","53.90","52.79","3.25M","1.09%"
"Sep 25, 2019","53.08","52.06","53.20","51.87","2.38M","2.35%"
"Sep 24, 2019","51.86","52.55","52.66","51.40","3.36M","-1.69%"
"Sep 23, 2019","52.75","52.26","53.39","52.19","3.27M","0.67%"
"Sep 20, 2019","52.40","52.72","52.85","51.60","9.12M","-1.02%"
"Sep 19, 2019","52.94","57.01","57.13","52.21","10.59M","-6.71%"
"Sep 18, 2019","56.75","55.85","57.20","54.60","4.11M","1.25%"
"Sep 17, 2019","56.05","55.47","56.30","55.38","2.11M","0.63%"
"Sep 16, 2019","55.70","55.57","56.05","55.14","1.91M","-0.80%"
"Sep 13, 2019","56.15","56.10","56.68","55.80","2.84M","-0.27%"
"Sep 12, 2019","56.30","56.05","57.01","55.84","3.01M","0.16%"
"Sep 11, 2019","56.21","55.21","56.57","54.98","3.09M","1.59%"
"Sep 10, 2019","55.33","54.58","55.34","54.13","3.08M","1.00%"
"Sep 09, 2019","54.78","54.65","55.18","54.26","2.87M","0.83%"
"Sep 06, 2019","54.33","53.90","54.55","53.73","2.54M","0.43%"
"Sep 05, 2019","54.10","52.98","54.21","52.85","3.81M","3.70%"
"Sep 04, 2019","52.17","50.36","52.20","50.03","4.24M","5.05%"
"Sep 03, 2019","49.66","49.69","49.88","48.99","3.85M","-1.10%"
"Aug 30, 2019","50.21","49.51","51.15","49.46","3.88M","2.64%"
"Aug 29, 2019","48.92","47.75","49.03","47.64","2.81M","3.75%"
"Aug 28, 2019","47.15","46.81","47.30","46.36","3.02M","0.45%"
"Aug 27, 2019","46.94","47.41","47.59","46.74","2.67M","-0.28%"
"Aug 26, 2019","47.07","47.66","47.66","46.84","1.97M","0.32%"
"Aug 23, 2019","46.92","47.19","47.64","46.54","3.33M","-1.39%"
"Aug 22, 2019","47.58","47.51","47.78","47.39","1.91M","0.72%"
"Aug 21, 2019","47.24","46.88","47.65","46.88","2.47M","1.88%"
"Aug 20, 2019","46.37","46.48","46.56","45.92","2.47M","-0.13%"
"Aug 19, 2019","46.43","46.75","47.27","46.39","2.75M","0.87%"
"Aug 16, 2019","46.03","44.97","46.24","44.84","2.14M","3.25%"
"Aug 15, 2019","44.58","44.67","44.89","44.13","2.60M","-0.11%"
"Aug 14, 2019","44.63","44.95","45.32","44.32","2.25M","-2.62%"
"Aug 13, 2019","45.83","44.91","46.93","44.56","3.12M","2.25%"
"Aug 12, 2019","44.82","44.37","45.05","44.37","2.54M","-0.13%"
