"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","37.80","37.98","38.40","37.30","1.78M","2.30%"
"May 15, 2020","36.95","37.00","37.75","35.58","4.97M","-2.43%"
"May 14, 2020","37.87","37.99","38.50","35.14","13.85M","-6.91%"
"May 13, 2020","40.68","40.95","41.85","40.00","3.37M","0.00%"
"May 12, 2020","40.68","41.90","43.13","40.68","2.59M","-2.80%"
"May 11, 2020","41.85","43.30","43.50","41.85","2.12M","-3.59%"
"May 08, 2020","43.41","44.99","45.02","43.41","2.18M","-1.52%"
"May 07, 2020","44.08","45.01","45.04","42.87","3.05M","-1.25%"
"May 06, 2020","44.64","44.15","45.34","42.61","2.91M","1.50%"
"May 05, 2020","43.98","43.38","44.78","42.84","2.90M","2.52%"
"May 04, 2020","42.90","42.80","44.05","41.90","2.75M","-4.13%"
"Apr 30, 2020","44.75","46.75","47.20","44.67","4.05M","-6.07%"
"Apr 29, 2020","47.64","47.00","48.13","45.81","2.72M","1.64%"
"Apr 28, 2020","46.87","45.26","46.87","44.66","1.81M","4.48%"
"Apr 27, 2020","44.86","44.63","45.62","43.24","3.50M","1.29%"
"Apr 24, 2020","44.29","44.00","44.72","40.42","4.23M","-2.44%"
"Apr 23, 2020","45.40","47.44","48.60","44.00","5.41M","-4.62%"
"Apr 22, 2020","47.60","45.80","47.79","45.20","3.34M","3.93%"
"Apr 20, 2020","45.80","42.51","46.32","42.26","3.07M","5.41%"
"Apr 17, 2020","43.45","43.06","44.15","42.62","2.88M","2.60%"
"Apr 16, 2020","42.35","43.51","44.79","42.35","3.41M","-2.44%"
"Apr 15, 2020","43.41","43.36","44.50","42.66","4.05M","-1.96%"
"Apr 14, 2020","44.28","41.51","45.28","41.36","3.57M","8.66%"
"Apr 13, 2020","40.75","39.26","41.58","38.59","3.86M","3.69%"
"Apr 09, 2020","39.30","41.50","41.82","39.30","3.45M","-3.56%"
"Apr 08, 2020","40.75","39.92","42.29","39.09","2.08M","2.59%"
"Apr 07, 2020","39.72","41.50","44.44","39.43","3.16M","2.98%"
"Apr 06, 2020","38.57","35.21","38.61","35.21","2.90M","12.42%"
"Apr 03, 2020","34.31","35.37","36.06","33.12","3.45M","-3.49%"
"Apr 02, 2020","35.55","33.94","36.06","33.56","6.47M","3.52%"
"Apr 01, 2020","34.34","32.80","34.56","31.98","7.62M","1.60%"
"Mar 31, 2020","33.80","35.68","35.96","33.67","3.09M","-5.85%"
"Mar 30, 2020","35.90","36.32","37.42","35.16","2.39M","-0.28%"
"Mar 27, 2020","36.00","36.00","37.60","35.63","4.17M","-6.47%"
"Mar 26, 2020","38.49","35.22","39.30","35.22","5.78M","7.04%"
"Mar 25, 2020","35.96","32.32","37.25","31.27","6.11M","10.27%"
"Mar 24, 2020","32.61","30.70","33.99","30.70","5.69M","11.98%"
"Mar 23, 2020","29.12","31.11","31.94","28.09","4.95M","-3.77%"
"Mar 20, 2020","30.26","29.15","32.71","29.15","7.38M","5.44%"
"Mar 19, 2020","28.70","25.00","29.93","23.33","13.41M","8.30%"
"Mar 18, 2020","26.50","28.00","28.63","23.08","7.65M","-13.34%"
"Mar 17, 2020","30.58","32.68","33.03","30.50","8.98M","-3.69%"
"Mar 16, 2020","31.75","32.78","32.97","30.37","9.22M","-17.55%"
"Mar 13, 2020","38.51","41.41","41.44","34.53","9.60M","4.11%"
"Mar 12, 2020","36.99","30.00","36.99","29.95","3.46M","-12.88%"
"Mar 11, 2020","42.46","43.80","44.74","36.52","5.27M","-6.97%"
"Mar 10, 2020","45.64","43.00","46.50","42.53","6.93M","8.64%"
"Mar 09, 2020","42.01","47.00","47.00","42.01","5.55M","-14.27%"
"Mar 06, 2020","49.00","48.20","49.33","46.99","7.99M","-2.57%"
"Mar 05, 2020","50.29","52.00","52.86","49.53","4.96M","-4.05%"
"Mar 04, 2020","52.41","53.16","53.52","51.86","4.00M","0.02%"
"Mar 03, 2020","52.40","52.50","54.30","51.30","4.23M","-1.30%"
"Mar 02, 2020","53.09","54.10","55.19","52.20","5.38M","-1.79%"
"Feb 28, 2020","54.06","53.38","54.23","52.05","7.31M","0.88%"
"Feb 27, 2020","53.59","53.01","55.11","51.36","7.08M","-3.56%"
"Feb 26, 2020","55.57","56.01","57.44","55.15","5.31M","-7.38%"
"Feb 21, 2020","60.00","60.95","61.00","58.00","4.80M","0.00%"
"Feb 20, 2020","60.00","62.20","62.64","60.00","2.61M","-3.95%"
"Feb 19, 2020","62.47","61.17","62.47","60.16","1.81M","2.51%"
"Feb 18, 2020","60.94","60.00","60.96","58.84","1.48M","1.31%"
"Feb 17, 2020","60.15","61.36","61.86","60.15","1.24M","-1.70%"
"Feb 14, 2020","61.19","61.19","61.63","60.67","1.51M","-0.71%"
"Feb 13, 2020","61.63","60.90","62.15","60.83","1.92M","-0.90%"
"Feb 12, 2020","62.19","61.10","62.19","60.10","3.29M","1.95%"
"Feb 11, 2020","61.00","59.50","61.57","58.64","5.09M","2.52%"
"Feb 10, 2020","59.50","60.95","60.95","57.28","4.06M","-2.23%"
"Feb 07, 2020","60.86","61.34","61.83","59.91","3.21M","-1.52%"
"Feb 06, 2020","61.80","62.56","63.06","61.51","4.48M","-0.79%"
"Feb 05, 2020","62.29","63.20","63.20","61.91","2.67M","-0.02%"
"Feb 04, 2020","62.30","63.01","63.19","61.52","2.30M","-0.27%"
"Feb 03, 2020","62.47","63.51","63.58","62.34","5.46M","-0.84%"
"Jan 31, 2020","63.00","62.05","63.67","61.84","3.57M","-0.52%"
"Jan 30, 2020","63.33","63.69","64.00","61.23","2.83M","-1.32%"
"Jan 29, 2020","64.18","64.83","65.02","63.37","1.83M","-0.45%"
"Jan 28, 2020","64.47","63.56","64.84","63.21","1.44M","2.33%"
"Jan 27, 2020","63.00","65.50","65.52","62.78","2.76M","-5.66%"
"Jan 24, 2020","66.78","67.42","67.42","65.88","1.54M","-0.55%"
"Jan 23, 2020","67.15","66.33","67.34","65.35","2.56M","0.24%"
"Jan 22, 2020","66.99","66.80","67.40","66.25","2.08M","1.19%"
"Jan 21, 2020","66.20","66.60","67.88","65.74","2.36M","-0.59%"
"Jan 20, 2020","66.59","65.31","67.28","65.31","1.51M","2.45%"
"Jan 17, 2020","65.00","64.40","65.00","63.82","1.34M","1.34%"
"Jan 16, 2020","64.14","64.00","64.19","62.98","1.65M","1.33%"
"Jan 15, 2020","63.30","64.00","64.65","63.30","2.19M","-1.69%"
"Jan 14, 2020","64.39","62.91","64.39","62.35","2.26M","2.43%"
"Jan 13, 2020","62.86","64.17","64.32","62.48","4.10M","-2.27%"
"Jan 10, 2020","64.32","64.99","65.18","63.76","3.91M","-0.92%"
"Jan 09, 2020","64.92","63.49","65.07","62.51","4.70M","2.51%"
"Jan 08, 2020","63.33","63.80","64.16","62.39","2.52M","-0.35%"
"Jan 07, 2020","63.55","64.35","64.35","62.68","3.21M","-1.34%"
"Jan 06, 2020","64.41","63.62","64.92","63.32","2.80M","-0.68%"
"Jan 03, 2020","64.85","61.00","64.85","60.81","12.37M","4.04%"
"Jan 02, 2020","62.33","60.06","63.71","59.07","3.85M","4.02%"
"Dec 30, 2019","59.92","58.98","60.94","58.49","3.32M","1.51%"
"Dec 27, 2019","59.03","58.16","59.03","57.75","2.54M","1.50%"
"Dec 26, 2019","58.16","57.38","58.35","56.79","1.94M","1.34%"
"Dec 23, 2019","57.39","56.83","57.59","56.34","2.15M","1.40%"
"Dec 20, 2019","56.60","56.50","56.96","56.02","2.29M","0.18%"
"Dec 19, 2019","56.50","55.21","57.00","54.34","2.88M","2.37%"
"Dec 18, 2019","55.19","54.22","55.51","53.36","2.40M","2.17%"
"Dec 17, 2019","54.02","54.37","54.67","53.74","2.16M","-0.06%"
"Dec 16, 2019","54.05","53.71","54.49","53.02","3.00M","1.16%"
"Dec 13, 2019","53.43","52.79","53.55","52.45","1.23M","1.42%"
"Dec 12, 2019","52.68","52.48","53.24","51.92","2.35M","0.36%"
"Dec 11, 2019","52.49","51.72","52.49","51.35","3.97M","1.82%"
"Dec 10, 2019","51.55","51.66","51.73","50.53","3.33M","0.02%"
"Dec 09, 2019","51.54","53.28","53.51","51.54","3.15M","-3.27%"
"Dec 06, 2019","53.28","52.49","53.54","52.29","2.27M","1.51%"
"Dec 05, 2019","52.49","53.53","53.53","51.93","3.21M","-1.37%"
"Dec 04, 2019","53.22","53.59","54.13","53.14","2.18M","-0.93%"
"Dec 03, 2019","53.72","53.70","54.14","53.07","1.97M","0.37%"
"Dec 02, 2019","53.52","53.30","54.13","52.73","3.56M","1.13%"
"Nov 29, 2019","52.92","53.29","53.57","52.10","2.11M","-0.36%"
"Nov 28, 2019","53.11","52.35","53.13","51.70","2.58M","1.14%"
"Nov 27, 2019","52.51","51.84","52.93","51.30","2.63M","0.96%"
"Nov 26, 2019","52.01","52.03","52.50","50.84","9.26M","-0.42%"
"Nov 25, 2019","52.23","51.44","52.57","51.29","4.84M","1.14%"
"Nov 22, 2019","51.64","51.60","51.64","50.74","1.72M","0.31%"
"Nov 21, 2019","51.48","51.35","51.48","49.71","3.89M","0.47%"
"Nov 19, 2019","51.24","50.69","51.58","50.59","2.28M","1.12%"
"Nov 18, 2019","50.67","51.74","52.44","50.26","2.79M","-1.11%"
"Nov 14, 2019","51.24","50.44","51.26","49.46","2.23M","1.99%"
"Nov 13, 2019","50.24","51.49","52.47","49.85","3.80M","-2.43%"
"Nov 12, 2019","51.49","51.39","51.97","50.34","3.06M","-0.46%"
"Nov 11, 2019","51.73","49.82","51.73","49.63","3.60M","2.88%"
"Nov 08, 2019","50.28","48.61","50.71","47.01","8.07M","1.88%"
"Nov 07, 2019","49.35","48.75","49.72","48.49","3.01M","1.54%"
"Nov 06, 2019","48.60","47.75","49.11","47.67","2.92M","1.31%"
"Nov 05, 2019","47.97","49.25","49.25","47.77","1.66M","-1.84%"
"Nov 04, 2019","48.87","49.07","49.35","48.14","1.83M","-0.37%"
"Nov 01, 2019","49.05","48.15","49.05","47.76","1.50M","2.10%"
"Oct 31, 2019","48.04","49.05","49.82","47.79","2.70M","-2.04%"
"Oct 30, 2019","49.04","48.83","49.23","48.39","2.02M","-0.49%"
"Oct 29, 2019","49.28","49.23","49.44","48.67","1.50M","-0.34%"
"Oct 28, 2019","49.45","49.81","50.39","49.08","2.62M","-1.55%"
"Oct 25, 2019","50.23","50.44","50.76","49.61","1.38M","-0.22%"
"Oct 24, 2019","50.34","50.69","50.86","49.81","1.81M","0.20%"
"Oct 23, 2019","50.24","50.84","50.84","49.90","2.73M","-1.18%"
"Oct 22, 2019","50.84","50.77","50.88","50.21","2.06M","-0.35%"
"Oct 21, 2019","51.02","50.34","51.02","49.70","1.69M","1.53%"
"Oct 18, 2019","50.25","48.61","50.56","48.21","6.60M","3.63%"
"Oct 17, 2019","48.49","47.75","48.71","47.61","3.06M","0.87%"
"Oct 16, 2019","48.07","47.90","48.07","46.96","1.91M","0.35%"
"Oct 15, 2019","47.90","48.35","48.56","47.55","2.89M","-1.54%"
"Oct 14, 2019","48.65","47.91","48.70","47.74","984.80K","1.67%"
"Oct 11, 2019","47.85","47.43","47.85","47.05","1.02M","1.21%"
"Oct 10, 2019","47.28","46.81","47.34","46.75","1.68M","0.25%"
"Oct 09, 2019","47.16","46.21","47.41","45.59","2.00M","1.95%"
"Oct 08, 2019","46.26","47.01","47.01","45.76","2.21M","-1.28%"
"Oct 07, 2019","46.86","46.60","47.57","46.45","1.80M","0.58%"
"Oct 04, 2019","46.59","45.91","46.93","45.73","2.45M","1.06%"
"Oct 03, 2019","46.10","46.17","46.28","45.43","1.89M","-0.15%"
"Oct 02, 2019","46.17","47.26","47.26","46.03","1.59M","-2.62%"
"Oct 01, 2019","47.41","47.52","47.61","46.80","1.90M","-0.13%"
"Sep 30, 2019","47.47","47.06","47.64","46.06","2.77M","1.09%"
"Sep 27, 2019","46.96","45.76","46.96","45.76","1.42M","2.38%"
"Sep 26, 2019","45.87","45.47","46.53","44.91","2.99M","1.08%"
"Sep 25, 2019","45.38","44.07","45.38","43.56","2.61M","3.02%"
"Sep 24, 2019","44.05","44.46","44.88","43.52","2.06M","-1.26%"
"Sep 23, 2019","44.61","45.37","45.38","44.00","2.01M","-1.96%"
"Sep 20, 2019","45.50","46.10","46.10","44.76","2.23M","-0.04%"
"Sep 19, 2019","45.52","45.69","46.13","44.94","5.06M","-0.50%"
"Sep 18, 2019","45.75","46.30","46.30","45.42","1.43M","-0.54%"
"Sep 17, 2019","46.00","45.33","46.05","44.80","3.34M","0.92%"
"Sep 16, 2019","45.58","45.70","45.75","44.53","2.02M","-0.26%"
"Sep 13, 2019","45.70","45.40","45.70","44.85","1.59M","0.64%"
"Sep 12, 2019","45.41","45.61","45.61","44.77","1.31M","-0.29%"
"Sep 11, 2019","45.54","45.21","45.74","44.31","2.76M","2.08%"
"Sep 10, 2019","44.61","44.22","44.61","43.00","3.57M","0.54%"
"Sep 09, 2019","44.37","46.08","46.08","43.58","3.66M","-2.68%"
"Sep 06, 2019","45.59","46.79","46.79","45.28","3.90M","-2.17%"
"Sep 05, 2019","46.60","46.51","46.81","45.80","3.03M","0.43%"
"Sep 04, 2019","46.40","46.11","46.87","45.49","3.39M","1.42%"
"Sep 03, 2019","45.75","45.61","46.26","45.60","63.18M","-4.21%"
"Sep 02, 2019","47.76","48.44","49.12","47.54","3.55M","-0.56%"
"Aug 30, 2019","48.03","47.85","48.03","45.83","3.73M","0.78%"
"Aug 29, 2019","47.66","49.35","49.49","47.36","3.49M","-2.46%"
"Aug 28, 2019","48.86","47.27","49.07","46.99","1.16M","2.03%"
"Aug 27, 2019","47.89","48.48","48.48","46.98","2.40M","-1.42%"
"Aug 26, 2019","48.58","48.78","48.78","47.65","2.36M","0.83%"
"Aug 23, 2019","48.18","51.31","51.36","47.66","6.14M","5.43%"
"Aug 22, 2019","45.70","46.10","47.30","44.89","2.23M","2.67%"
"Aug 21, 2019","44.51","45.33","45.41","43.64","1.45M","-0.04%"
"Aug 20, 2019","44.53","44.97","44.97","43.86","2.29M","0.36%"
"Aug 19, 2019","44.37","45.19","45.82","44.06","1.65M","-1.31%"
"Aug 16, 2019","44.96","43.92","44.96","43.78","1.68M","2.65%"
"Aug 15, 2019","43.80","44.61","44.95","43.13","1.34M","-1.17%"
"Aug 14, 2019","44.32","45.01","45.59","43.50","1.92M","-2.21%"
"Aug 13, 2019","45.32","45.52","46.55","44.90","1.60M","-1.26%"
"Aug 12, 2019","45.90","45.98","46.35","45.51","990.30K","-1.65%"
"Aug 09, 2019","46.67","46.86","47.28","46.15","1.08M","-0.93%"
"Aug 08, 2019","47.11","46.70","47.44","44.21","1.96M","2.41%"
"Aug 07, 2019","46.00","42.93","46.06","42.53","1.89M","7.75%"
"Aug 06, 2019","42.69","40.91","42.90","40.91","3.72M","4.35%"
"Aug 05, 2019","40.91","41.43","41.43","40.31","1.57M","-1.97%"
"Aug 02, 2019","41.73","41.38","41.98","41.07","1.19M","0.31%"
"Aug 01, 2019","41.60","41.48","42.62","41.44","994.60K","-0.14%"
"Jul 31, 2019","41.66","42.14","42.15","41.45","1.37M","-1.49%"
"Jul 30, 2019","42.29","41.87","42.65","41.71","1.32M","0.12%"
"Jul 29, 2019","42.24","41.42","42.27","41.32","600.20K","2.03%"
"Jul 26, 2019","41.40","41.69","42.01","41.29","692.50K","-0.84%"
"Jul 25, 2019","41.75","42.28","42.28","41.64","909.80K","-0.64%"
"Jul 24, 2019","42.02","41.35","42.04","41.35","531.70K","1.11%"
"Jul 23, 2019","41.56","42.18","42.27","41.35","1.08M","-1.12%"
"Jul 22, 2019","42.03","42.51","42.66","41.91","574.10K","-1.11%"
"Jul 19, 2019","42.50","43.13","43.19","42.15","1.10M","-1.16%"
"Jul 18, 2019","43.00","42.06","43.09","41.62","1.89M","3.14%"
"Jul 17, 2019","41.69","41.69","42.21","41.32","1.95M","0.97%"
"Jul 16, 2019","41.29","41.19","41.64","40.91","663.90K","0.15%"
"Jul 15, 2019","41.23","40.81","41.77","40.61","939.30K","0.61%"
"Jul 12, 2019","40.98","41.26","41.62","40.75","858.70K","-1.66%"
"Jul 11, 2019","41.67","42.27","42.27","41.15","1.35M","-0.76%"
"Jul 10, 2019","41.99","41.64","42.40","41.64","2.45M","0.60%"
"Jul 08, 2019","41.74","40.23","42.00","40.23","988.00K","2.76%"
"Jul 05, 2019","40.62","40.26","40.62","40.01","1.88M","0.25%"
"Jul 04, 2019","40.52","39.36","40.61","39.20","1.61M","4.00%"
"Jul 03, 2019","38.96","38.82","39.46","38.21","1.84M","0.36%"
"Jul 02, 2019","38.82","38.02","39.54","38.02","2.24M","4.21%"
"Jul 01, 2019","37.25","36.99","37.26","36.88","938.10K","0.13%"
"Jun 28, 2019","37.20","36.49","37.26","35.96","2.40M","3.05%"
"Jun 27, 2019","36.10","34.94","36.10","34.74","1.06M","3.35%"
"Jun 26, 2019","34.93","34.70","35.36","34.40","750.40K","0.95%"
"Jun 25, 2019","34.60","34.59","34.87","34.21","1.70M","-0.09%"
"Jun 24, 2019","34.63","34.10","34.67","34.07","738.30K","2.12%"
"Jun 21, 2019","33.91","33.66","34.49","33.66","1.10M","0.62%"
"Jun 19, 2019","33.70","33.21","34.05","32.66","1.10M","1.51%"
"Jun 18, 2019","33.20","33.09","33.20","32.51","779.50K","1.78%"
"Jun 17, 2019","32.62","32.74","32.87","32.14","876.90K","-0.58%"
"Jun 14, 2019","32.81","33.01","33.39","32.81","925.20K","-1.53%"
"Jun 13, 2019","33.32","33.53","33.82","32.99","1.33M","-0.86%"
"Jun 12, 2019","33.61","33.28","33.91","33.21","897.70K","1.82%"
"Jun 11, 2019","33.01","33.53","33.88","32.92","1.04M","-1.34%"
"Jun 10, 2019","33.46","33.95","34.32","33.46","490.20K","-1.44%"
"Jun 07, 2019","33.95","33.99","34.43","33.91","513.40K","0.77%"
"Jun 06, 2019","33.69","34.17","34.19","33.25","819.30K","-1.32%"
"Jun 05, 2019","34.14","33.81","34.14","33.56","819.20K","1.37%"
"Jun 04, 2019","33.68","34.69","34.69","33.25","1.36M","-2.46%"
"Jun 03, 2019","34.53","34.80","34.99","33.96","1.45M","-0.23%"
"May 31, 2019","34.61","33.85","34.61","33.52","1.49M","2.55%"
"May 30, 2019","33.75","33.26","33.82","32.86","833.00K","1.93%"
"May 29, 2019","33.11","33.40","33.40","32.45","1.30M","-1.31%"
"May 28, 2019","33.55","33.28","33.55","32.53","3.04M","1.54%"
"May 27, 2019","33.04","33.42","33.49","32.98","443.50K","-0.51%"
"May 24, 2019","33.21","33.51","33.94","32.91","519.60K","-0.69%"
"May 23, 2019","33.44","33.41","34.02","33.32","624.90K","-1.12%"
"May 22, 2019","33.82","33.71","33.98","33.35","1.15M","0.99%"
"May 21, 2019","33.49","32.85","34.03","32.85","1.46M","2.04%"
"May 20, 2019","32.82","32.32","33.16","32.32","680.90K","0.46%"
"May 17, 2019","32.67","31.57","32.67","31.03","977.60K","4.14%"
"May 16, 2019","31.37","31.79","31.81","30.96","903.00K","-1.32%"
"May 15, 2019","31.79","31.85","32.14","31.18","787.80K","-0.72%"
"May 14, 2019","32.02","31.77","32.65","31.77","1.15M","0.85%"
"May 13, 2019","31.75","32.22","32.46","31.28","1.02M","-1.46%"
"May 10, 2019","32.22","32.91","33.55","32.22","1.87M","-3.24%"
"May 09, 2019","33.30","32.21","33.30","31.50","1.90M","6.36%"
"May 08, 2019","31.31","30.96","31.59","30.89","1.09M","0.90%"
"May 07, 2019","31.03","30.21","31.03","29.73","1.47M","2.71%"
"May 06, 2019","30.21","29.14","30.26","29.09","1.80M","3.28%"
"May 03, 2019","29.25","30.56","30.62","29.22","2.22M","-3.59%"
"May 02, 2019","30.34","30.98","31.09","30.33","997.40K","-1.91%"
"Apr 30, 2019","30.93","30.90","31.43","30.50","696.30K","0.19%"
"Apr 29, 2019","30.87","31.88","32.10","30.87","682.40K","-2.68%"
"Apr 26, 2019","31.72","31.72","32.22","31.35","757.40K","0.00%"
"Apr 25, 2019","31.72","31.57","31.76","31.20","778.20K","0.44%"
"Apr 24, 2019","31.58","31.87","32.12","31.33","950.90K","-0.88%"
"Apr 23, 2019","31.86","30.46","32.41","30.46","1.15M","4.60%"
"Apr 22, 2019","30.46","30.98","31.07","30.46","303.30K","-1.07%"
"Apr 18, 2019","30.79","31.43","31.43","30.45","1.01M","-1.09%"
"Apr 17, 2019","31.13","32.07","32.20","31.09","1.19M","-2.63%"
"Apr 16, 2019","31.97","31.80","32.07","30.86","1.04M","0.66%"
"Apr 15, 2019","31.76","31.82","32.35","31.73","589.20K","-0.06%"
"Apr 12, 2019","31.78","31.42","31.86","30.96","749.60K","0.76%"
"Apr 11, 2019","31.54","31.13","31.97","30.93","1.27M","1.41%"
"Apr 10, 2019","31.10","31.38","31.62","30.63","1.24M","-1.27%"
"Apr 09, 2019","31.50","31.60","31.60","30.99","1.11M","-0.38%"
"Apr 08, 2019","31.62","31.04","32.07","31.04","2.86M","2.20%"
"Apr 05, 2019","30.94","30.19","31.21","29.85","1.44M","3.72%"
"Apr 04, 2019","29.83","30.04","30.60","29.83","1.14M","-1.19%"
"Apr 03, 2019","30.19","30.07","30.58","30.01","1.35M","-0.07%"
"Apr 02, 2019","30.21","30.63","30.80","29.29","1.28M","-0.26%"
"Apr 01, 2019","30.29","29.66","30.59","29.58","1.59M","2.54%"
"Mar 29, 2019","29.54","29.10","29.54","28.47","657.90K","3.47%"
"Mar 28, 2019","28.55","28.70","28.77","28.11","741.80K","0.14%"
"Mar 27, 2019","28.51","28.71","29.65","28.18","1.27M","-0.66%"
"Mar 26, 2019","28.70","28.94","28.95","28.52","676.60K","0.28%"
"Mar 25, 2019","28.62","28.55","28.98","28.29","794.80K","0.25%"
"Mar 22, 2019","28.55","28.83","29.52","28.28","1.16M","-1.14%"
"Mar 21, 2019","28.88","28.84","29.14","27.95","1.49M","-0.31%"
"Mar 20, 2019","28.97","29.94","30.38","28.75","1.33M","-3.98%"
"Mar 19, 2019","30.17","30.17","30.51","29.95","951.00K","0.00%"
