"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","2.8000","2.8500","2.9000","2.7500","1.75M","-0.71%"
"Oct 24, 2019","2.8200","2.8300","3.0000","2.7700","824.45K","0.00%"
"Oct 23, 2019","2.8200","2.7700","2.8500","2.7500","784.55K","1.08%"
"Oct 22, 2019","2.7900","2.9300","2.9400","2.7500","762.96K","-4.45%"
"Oct 21, 2019","2.9200","2.8500","2.9400","2.8050","373.97K","1.74%"
"Oct 18, 2019","2.8700","2.9900","3.0200","2.8300","665.19K","-3.69%"
"Oct 17, 2019","2.9800","3.0700","3.1400","2.9800","766.62K","-3.56%"
"Oct 16, 2019","3.0900","3.1000","3.1900","3.0300","463.78K","-0.64%"
"Oct 15, 2019","3.1100","3.1300","3.2100","3.0800","399.42K","-0.32%"
"Oct 14, 2019","3.1200","3.1800","3.1900","3.0800","298.55K","-2.19%"
"Oct 11, 2019","3.1900","3.3700","3.4600","3.1700","822.13K","-3.92%"
"Oct 10, 2019","3.3200","3.1700","3.3300","3.1300","1.12M","5.73%"
"Oct 09, 2019","3.1400","3.0900","3.1700","3.0000","492.43K","2.61%"
"Oct 08, 2019","3.0600","3.2400","3.2726","3.0500","568.56K","-6.71%"
"Oct 07, 2019","3.2800","3.2100","3.4700","3.1777","2.08M","1.23%"
"Oct 04, 2019","3.2400","3.0600","3.2500","3.0500","854.93K","4.85%"
"Oct 03, 2019","3.0900","3.2100","3.2100","3.0600","409.00K","-2.83%"
"Oct 02, 2019","3.1800","3.0800","3.2050","3.0100","678.42K","2.25%"
"Oct 01, 2019","3.1100","3.1800","3.2500","3.0800","735.25K","-3.12%"
"Sep 30, 2019","3.2100","3.2600","3.2600","3.0700","1.08M","0.00%"
"Sep 27, 2019","3.2100","2.9600","3.2200","2.9600","1.35M","7.72%"
"Sep 26, 2019","2.9800","2.9500","3.1600","2.8700","834.34K","1.71%"
"Sep 25, 2019","2.9300","2.8000","2.9500","2.7600","642.06K","3.90%"
"Sep 24, 2019","2.8200","2.9400","2.9400","2.8000","593.98K","-1.74%"
"Sep 23, 2019","2.8700","2.8800","2.9100","2.8100","627.16K","-1.37%"
"Sep 20, 2019","2.9100","3.0000","3.1300","2.9100","683.51K","-4.59%"
"Sep 19, 2019","3.0500","2.7800","3.1500","2.7700","1.53M","2.69%"
"Sep 18, 2019","2.9700","2.9700","3.0000","2.8100","1.13M","-0.67%"
"Sep 17, 2019","2.9900","2.9200","3.0300","2.8000","761.35K","2.05%"
"Sep 16, 2019","2.9300","2.9000","3.0600","2.9000","738.96K","0.34%"
"Sep 13, 2019","2.9200","3.1000","3.1600","2.9100","1.30M","-5.50%"
"Sep 12, 2019","3.0900","3.2600","3.2900","3.0600","1.06M","-5.21%"
"Sep 11, 2019","3.2600","3.1700","3.2600","3.0101","1.29M","2.84%"
"Sep 10, 2019","3.1700","3.1700","3.2700","3.1201","919.45K","-0.31%"
"Sep 09, 2019","3.1800","3.2500","3.3900","3.0800","1.26M","-0.93%"
"Sep 06, 2019","3.2100","3.0800","3.3700","3.0800","3.01M","2.88%"
"Sep 05, 2019","3.1200","2.7800","3.1400","2.7600","4.14M","14.71%"
"Sep 04, 2019","2.7200","2.3600","2.7900","2.2701","3.23M","18.78%"
"Sep 03, 2019","2.2900","2.7000","2.7800","2.2500","2.49M","-6.91%"
"Aug 30, 2019","2.4600","2.6900","2.8000","2.4200","2.89M","-8.55%"
"Aug 29, 2019","2.6900","2.8000","2.9500","2.5700","3.81M","-7.24%"
"Aug 28, 2019","2.9000","2.8700","3.1000","2.8000","2.18M","-1.36%"
"Aug 27, 2019","2.9400","3.1700","3.2500","2.9000","3.50M","-9.54%"
"Aug 26, 2019","3.2500","3.3700","3.4400","3.1300","1.18M","-2.40%"
"Aug 23, 2019","3.3300","3.5200","3.5500","3.2500","1.14M","-4.31%"
"Aug 22, 2019","3.4800","3.5100","3.6300","3.4700","1.17M","-0.57%"
"Aug 21, 2019","3.5000","3.4000","3.5300","3.3500","1.19M","4.79%"
"Aug 20, 2019","3.3400","3.4000","3.5500","3.3000","3.27M","0.91%"
"Aug 19, 2019","3.3100","3.8600","3.8600","3.2600","4.61M","-15.78%"
"Aug 16, 2019","3.9300","4.0100","4.4800","3.9100","4.90M","0.26%"
"Aug 15, 2019","3.9200","3.6400","4.0000","3.4700","4.39M","17.01%"
"Aug 14, 2019","3.3500","3.4500","3.6800","3.2700","5.71M","-4.29%"
"Aug 13, 2019","3.5000","3.3800","3.7000","3.2500","7.42M","10.76%"
"Aug 12, 2019","3.1600","4.1700","4.2000","2.7000","18.60M","-58.75%"
"Aug 09, 2019","7.6600","7.0200","7.7300","7.0200","2.80M","8.35%"
"Aug 08, 2019","7.0700","7.1000","7.3017","6.9500","1.21M","-0.28%"
"Aug 07, 2019","7.0900","7.0200","7.2800","6.9600","825.79K","-3.54%"
"Aug 06, 2019","7.3500","7.4000","7.5500","7.1300","1.21M","0.14%"
"Aug 05, 2019","7.3400","7.4000","7.5000","7.1100","1.15M","-2.26%"
"Aug 02, 2019","7.5100","7.2500","7.5700","7.1200","854.94K","3.02%"
"Aug 01, 2019","7.2900","7.7800","7.7900","7.2200","742.26K","-5.32%"
"Jul 31, 2019","7.7000","7.6500","7.8800","7.5600","1.55M","0.26%"
"Jul 30, 2019","7.6800","7.6800","7.8285","7.4900","855.08K","-1.03%"
"Jul 29, 2019","7.7600","7.7400","8.0000","7.4100","1.51M","0.52%"
"Jul 26, 2019","7.7200","7.0800","7.7400","7.0800","1.52M","9.19%"
"Jul 25, 2019","7.0700","7.1600","7.2700","6.9582","513.12K","-1.26%"
"Jul 24, 2019","7.1600","7.1200","7.2800","7.0200","506.94K","0.56%"
"Jul 23, 2019","7.1200","7.2300","7.2700","6.8900","1.89M","-0.84%"
"Jul 22, 2019","7.1800","7.5900","7.7100","7.1300","1.25M","-5.40%"
"Jul 19, 2019","7.5900","7.8100","7.8800","7.5200","1.00M","-2.82%"
"Jul 18, 2019","7.8100","8.0800","8.2000","7.6400","1.34M","-3.82%"
"Jul 17, 2019","8.1200","7.9700","8.3600","7.8600","1.38M","1.75%"
"Jul 16, 2019","7.9800","7.8800","8.2299","7.8800","798.14K","0.50%"
"Jul 15, 2019","7.9400","8.4000","8.4100","7.8500","1.34M","-4.91%"
"Jul 12, 2019","8.3500","8.4200","8.5200","8.3100","623.19K","0.00%"
"Jul 11, 2019","8.3500","8.6300","8.8000","8.3300","1.27M","-2.57%"
"Jul 10, 2019","8.5700","8.8300","9.0300","8.3900","1.16M","-2.61%"
"Jul 09, 2019","8.8000","8.3900","8.9200","8.3000","1.12M","4.27%"
"Jul 08, 2019","8.4400","8.3000","8.4900","8.1100","777.05K","1.20%"
"Jul 05, 2019","8.3400","8.2400","8.3890","8.0100","1.03M","2.21%"
"Jul 03, 2019","8.1600","8.1600","8.4200","8.0200","625.94K","-0.61%"
"Jul 02, 2019","8.2100","7.8100","8.2500","7.6746","1.03M","4.19%"
"Jul 01, 2019","7.8800","8.2100","8.2800","7.8200","1.66M","0.00%"
"Jun 28, 2019","7.8800","7.6000","7.8930","7.5100","1.48M","6.63%"
"Jun 27, 2019","7.3900","7.2000","7.4600","7.0800","1.22M","3.21%"
"Jun 26, 2019","7.1600","7.4500","7.5600","7.0700","996.94K","-3.11%"
"Jun 25, 2019","7.3900","7.4200","7.5400","7.3200","824.60K","-0.54%"
"Jun 24, 2019","7.4300","7.2500","7.4700","7.1700","811.13K","2.34%"
"Jun 21, 2019","7.2600","7.4200","7.4628","7.2100","705.82K","-2.42%"
"Jun 20, 2019","7.4400","7.1200","7.4400","7.1046","1.07M","6.13%"
"Jun 19, 2019","7.0100","7.4200","7.5900","6.9900","1.07M","-5.53%"
"Jun 18, 2019","7.4200","7.4100","7.6900","7.4000","1.09M","1.09%"
"Jun 17, 2019","7.3400","7.3100","7.5200","7.0200","1.10M","-1.34%"
"Jun 14, 2019","7.4400","7.6800","7.7450","7.3200","1.81M","-3.12%"
"Jun 13, 2019","7.6800","7.9000","7.9000","7.3500","2.30M","-2.78%"
"Jun 12, 2019","7.9000","7.4000","8.2700","7.3100","5.54M","5.47%"
"Jun 11, 2019","7.4900","6.4000","7.5000","6.3600","4.22M","17.95%"
"Jun 10, 2019","6.3500","6.1300","6.3500","6.0500","1.03M","4.27%"
"Jun 07, 2019","6.0900","6.2200","6.2600","6.0800","771.11K","-1.77%"
"Jun 06, 2019","6.2000","6.1800","6.2400","6.0200","1.05M","0.49%"
"Jun 05, 2019","6.1700","6.2500","6.3700","5.9800","1.83M","0.33%"
"Jun 04, 2019","6.1500","5.7700","6.1500","5.6200","1.41M","7.71%"
"Jun 03, 2019","5.7100","5.9500","5.9500","5.6400","777.10K","-2.23%"
"May 31, 2019","5.8400","5.9100","6.1900","5.7700","1.15M","-1.85%"
"May 30, 2019","5.9500","5.9200","6.2500","5.9200","2.01M","-0.34%"
"May 29, 2019","5.9700","5.8500","6.0100","5.5980","907.14K","1.19%"
"May 28, 2019","5.9000","5.9700","6.1000","5.8300","2.34M","0.00%"
"May 24, 2019","5.9000","5.8100","5.9400","5.7700","565.45K","2.61%"
"May 23, 2019","5.7500","5.8600","5.9700","5.6400","488.31K","-2.21%"
"May 22, 2019","5.8800","6.1000","6.4500","5.8200","1.25M","-3.61%"
"May 21, 2019","6.1000","5.5000","6.1100","5.5000","2.08M","12.34%"
"May 20, 2019","5.4300","5.2400","5.4500","5.1300","771.86K","2.65%"
"May 17, 2019","5.2900","5.5600","5.7400","5.2900","663.11K","-6.37%"
"May 16, 2019","5.6500","5.5200","5.7400","5.4800","888.68K","1.99%"
"May 15, 2019","5.5400","5.2500","5.5500","5.2500","822.75K","4.53%"
"May 14, 2019","5.3000","5.3300","5.4300","5.1600","759.08K","0.57%"
"May 13, 2019","5.2700","5.2400","5.3900","5.0650","738.29K","-3.13%"
"May 10, 2019","5.4400","5.5300","5.9000","5.3400","1.69M","-2.51%"
"May 09, 2019","5.5800","5.4000","5.6200","5.2000","2.04M","2.39%"
"May 08, 2019","5.4500","5.2900","5.5900","5.2300","1.60M","3.22%"
"May 07, 2019","5.2800","5.6700","5.6700","5.2700","1.62M","-8.17%"
"May 06, 2019","5.7500","5.4200","5.9000","5.4100","1.29M","0.17%"
"May 03, 2019","5.7400","5.4000","5.8300","5.3900","3.25M","7.49%"
"May 02, 2019","5.3400","5.2400","5.3800","5.1100","1.57M","1.14%"
"May 01, 2019","5.2800","5.0900","5.3000","4.9600","1.03M","3.94%"
"Apr 30, 2019","5.0800","5.0300","5.1800","4.9400","1.04M","1.60%"
"Apr 29, 2019","5.0000","5.0200","5.1700","4.8900","1.08M","0.60%"
"Apr 26, 2019","4.9700","5.3000","5.5500","4.9300","2.00M","-4.42%"
"Apr 25, 2019","5.2000","4.9700","5.2800","4.3000","6.28M","3.17%"
"Apr 24, 2019","5.0400","5.6700","5.7000","5.0300","2.77M","-11.89%"
"Apr 23, 2019","5.7200","5.6600","5.9000","5.5200","991.37K","3.06%"
"Apr 22, 2019","5.5500","5.7100","5.8327","5.5000","1.35M","-1.77%"
"Apr 18, 2019","5.6500","6.0900","6.2200","5.5202","1.18M","-7.68%"
"Apr 17, 2019","6.1200","6.1000","6.3500","5.8700","1.58M","1.16%"
"Apr 16, 2019","6.0500","6.1100","6.3392","6.0200","1.24M","-0.66%"
"Apr 15, 2019","6.0900","5.9900","6.2600","5.8800","1.84M","2.18%"
"Apr 12, 2019","5.9600","5.8900","6.0900","5.7962","1.95M","0.68%"
"Apr 11, 2019","5.9200","5.9200","5.9900","5.7000","1.56M","0.17%"
"Apr 10, 2019","5.9100","5.9700","6.1400","5.7900","1.75M","-1.01%"
"Apr 09, 2019","5.9700","6.3400","6.3899","5.7700","1.82M","-6.28%"
"Apr 08, 2019","6.3700","5.9500","6.4300","5.9500","1.28M","6.52%"
"Apr 05, 2019","5.9800","5.9400","6.2000","5.8400","1.18M","1.70%"
"Apr 04, 2019","5.8800","5.7800","6.0000","5.6600","873.78K","1.03%"
"Apr 03, 2019","5.8200","6.0400","6.1800","5.7500","716.56K","-3.32%"
"Apr 02, 2019","6.0200","6.1900","6.2500","5.9100","608.31K","-2.90%"
"Apr 01, 2019","6.2000","6.2600","6.4400","6.1000","2.21M","1.97%"
"Mar 29, 2019","6.0800","6.2100","6.3200","6.0700","1.09M","-1.30%"
"Mar 28, 2019","6.1600","6.0400","6.2100","5.9300","1.13M","1.82%"
"Mar 27, 2019","6.0500","6.0800","6.2700","5.7800","2.37M","-2.26%"
"Mar 26, 2019","6.1900","6.6600","6.8700","6.1800","1.62M","-7.61%"
"Mar 25, 2019","6.7000","6.5200","6.9750","6.5200","1.25M","2.76%"
"Mar 22, 2019","6.5200","7.0300","7.0849","6.4500","2.22M","-9.32%"
"Mar 21, 2019","7.1900","7.4400","7.5500","7.1300","1.14M","-3.36%"
"Mar 20, 2019","7.4400","7.6300","7.8300","7.2700","1.28M","-2.75%"
"Mar 19, 2019","7.6500","8.1000","8.4000","7.5700","1.54M","-4.37%"
"Mar 18, 2019","8.0000","7.6500","8.0600","7.6100","1.26M","4.44%"
"Mar 15, 2019","7.6600","7.3800","7.7500","7.3400","1.34M","5.36%"
"Mar 14, 2019","7.2700","7.4200","7.5300","7.2250","380.03K","-2.28%"
"Mar 13, 2019","7.4400","7.4900","7.6100","7.2800","860.21K","-0.40%"
"Mar 12, 2019","7.4700","7.5700","7.6600","7.3200","659.27K","-1.06%"
"Mar 11, 2019","7.5500","7.7500","8.0000","7.5000","1.07M","-0.26%"
"Mar 08, 2019","7.5700","7.4400","8.0500","7.4300","1.45M","3.56%"
"Mar 07, 2019","7.3100","7.5500","7.8500","7.2000","1.21M","-3.05%"
"Mar 06, 2019","7.5400","8.1300","8.1450","7.4900","1.46M","-7.94%"
"Mar 05, 2019","8.1900","8.1800","8.3100","8.0500","323.03K","0.86%"
"Mar 04, 2019","8.1200","8.2600","8.4416","7.9700","545.45K","-1.69%"
"Mar 01, 2019","8.2600","9.0000","9.1300","8.2100","1.48M","-7.40%"
"Feb 28, 2019","8.9200","9.2000","9.3300","8.6802","1.15M","-2.30%"
"Feb 27, 2019","9.1300","9.6000","9.7202","9.1100","715.67K","-4.80%"
"Feb 26, 2019","9.5900","9.5800","9.7000","9.3500","373.02K","-0.42%"
"Feb 25, 2019","9.6300","10.1600","10.3800","9.5200","762.81K","-4.08%"
"Feb 22, 2019","10.0400","9.5200","10.0600","9.4700","1.52M","6.81%"
"Feb 21, 2019","9.4000","9.5100","9.6100","9.2700","695.16K","-2.89%"
"Feb 20, 2019","9.6800","10.0300","10.3800","9.5300","1.08M","-2.91%"
"Feb 19, 2019","9.9700","10.5300","10.6600","9.9000","1.19M","-6.21%"
"Feb 15, 2019","10.6300","10.8700","10.8700","10.3600","754.66K","-1.76%"
"Feb 14, 2019","10.8200","10.4700","10.8400","10.4000","405.70K","2.27%"
"Feb 13, 2019","10.5800","11.0100","11.1499","10.5500","365.99K","-3.99%"
"Feb 12, 2019","11.0200","10.9700","11.2600","10.9500","641.54K","1.85%"
"Feb 11, 2019","10.8200","10.8000","10.9100","10.5400","208.20K","0.28%"
"Feb 08, 2019","10.7900","10.6500","10.8500","10.2573","649.67K","1.51%"
"Feb 07, 2019","10.6300","10.6200","10.7100","10.0400","817.14K","-1.21%"
"Feb 06, 2019","10.7600","11.1100","11.2500","10.7000","980.31K","-4.86%"
"Feb 05, 2019","11.3100","11.2900","11.6200","11.0500","986.02K","0.09%"
"Feb 04, 2019","11.3000","10.6500","11.4300","10.6500","1.32M","5.51%"
"Feb 01, 2019","10.7100","10.3700","10.7600","10.1000","580.61K","2.10%"
"Jan 31, 2019","10.4900","10.3900","10.6300","10.0800","937.71K","1.94%"
"Jan 30, 2019","10.2900","9.9800","10.2900","9.8400","871.64K","3.83%"
"Jan 29, 2019","9.9100","9.8800","10.0000","9.6200","653.45K","1.23%"
"Jan 28, 2019","9.7900","9.3200","9.8600","9.1406","729.99K","3.71%"
"Jan 25, 2019","9.4400","9.3800","9.5750","9.2900","636.52K","2.16%"
"Jan 24, 2019","9.2400","9.3400","9.5900","9.2000","1.16M","-1.39%"
"Jan 23, 2019","9.3700","9.2700","9.3900","9.1096","374.93K","2.29%"
"Jan 22, 2019","9.1600","9.4200","9.4200","8.9700","937.80K","-3.17%"
"Jan 18, 2019","9.4600","9.3000","9.5500","9.0100","794.47K","2.83%"
"Jan 17, 2019","9.2000","9.1800","9.2700","8.9600","567.49K","0.00%"
"Jan 16, 2019","9.2000","9.4000","9.6800","9.1500","689.93K","-1.92%"
"Jan 15, 2019","9.3800","9.3900","9.6500","9.2700","643.60K","-0.32%"
"Jan 14, 2019","9.4100","9.6200","9.6700","9.4000","282.96K","-2.49%"
"Jan 11, 2019","9.6500","9.4600","9.6800","9.3600","514.96K","1.79%"
"Jan 10, 2019","9.4800","9.2800","9.6800","9.1200","942.49K","1.94%"
"Jan 09, 2019","9.3000","8.9500","9.4000","8.9300","1.31M","4.26%"
"Jan 08, 2019","8.9200","8.7100","9.0600","8.6300","549.41K","0.45%"
"Jan 07, 2019","8.8800","8.8800","9.2900","8.7000","1.20M","-0.22%"
"Jan 04, 2019","8.9000","8.5000","9.0000","8.2800","663.79K","4.22%"
"Jan 03, 2019","8.5400","8.4900","8.5700","8.2200","310.97K","0.59%"
"Jan 02, 2019","8.4900","8.7300","8.7300","8.4101","318.15K","-2.19%"
"Dec 31, 2018","8.6800","8.3800","8.7200","8.2500","447.47K","3.95%"
"Dec 28, 2018","8.3500","8.0300","8.4700","7.8300","673.47K","4.77%"
