"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","9.3300","9.2300","9.5100","9.2300","54.10K","-0.74%"
"Nov 19, 2019","9.4000","9.4900","9.5300","9.3700","44.70K","-0.11%"
"Nov 18, 2019","9.4100","9.3900","9.7400","9.3900","71.60K","0.53%"
"Nov 14, 2019","9.3600","9.3900","9.4900","9.3300","59.40K","-0.64%"
"Nov 13, 2019","9.4200","9.4500","9.5200","9.4000","28.00K","-0.32%"
"Nov 12, 2019","9.4500","9.4900","9.5000","9.3300","28.10K","0.53%"
"Nov 11, 2019","9.4000","9.4500","9.4900","9.2900","50.00K","-0.53%"
"Nov 08, 2019","9.4500","9.5300","9.5800","9.3600","42.80K","-0.84%"
"Nov 07, 2019","9.5300","9.5600","9.6400","9.5300","25.30K","0.85%"
"Nov 06, 2019","9.4500","9.6300","9.7000","9.4500","46.40K","-1.56%"
"Nov 05, 2019","9.6000","9.6900","9.8000","9.5500","60.00K","0.00%"
"Nov 04, 2019","9.6000","9.5300","9.6900","9.5300","52.20K","0.84%"
"Nov 01, 2019","9.5200","9.6000","9.6900","9.5000","53.70K","-0.52%"
"Oct 31, 2019","9.5700","9.5000","9.5700","9.4000","28.50K","1.27%"
"Oct 30, 2019","9.4500","9.2600","9.4700","9.2500","35.60K","1.61%"
"Oct 29, 2019","9.3000","9.3000","9.3600","9.2600","35.90K","0.00%"
"Oct 28, 2019","9.3000","9.3500","9.3700","9.2300","23.20K","0.32%"
"Oct 25, 2019","9.2700","9.3400","9.3800","9.2200","24.00K","0.22%"
"Oct 24, 2019","9.2500","9.3600","9.3600","9.2400","32.00K","-1.18%"
"Oct 23, 2019","9.3600","9.3900","9.4300","9.2500","31.80K","-0.21%"
"Oct 22, 2019","9.3800","9.3300","9.3900","9.3200","25.40K","0.75%"
"Oct 21, 2019","9.3100","9.2700","9.3700","9.2500","26.20K","0.32%"
"Oct 18, 2019","9.2800","9.2800","9.3500","9.2400","12.30K","0.11%"
"Oct 17, 2019","9.2700","9.2300","9.3000","9.1200","18.90K","0.65%"
"Oct 16, 2019","9.2100","9.2500","9.2900","9.1000","36.90K","-0.11%"
"Oct 15, 2019","9.2200","9.2800","9.3600","9.2200","58.00K","-0.75%"
"Oct 14, 2019","9.2900","9.2800","9.4000","9.2600","24.60K","0.11%"
"Oct 11, 2019","9.2800","9.1900","9.3400","9.1100","15.90K","1.98%"
"Oct 10, 2019","9.1000","9.1500","9.1700","9.1000","41.60K","-0.44%"
"Oct 09, 2019","9.1400","9.1800","9.2700","9.1200","25.00K","-0.22%"
"Oct 08, 2019","9.1600","9.2900","9.2900","9.1000","36.40K","-1.51%"
"Oct 07, 2019","9.3000","9.4200","9.4200","9.1100","69.90K","-0.75%"
"Oct 04, 2019","9.3700","9.3400","9.4500","9.3200","22.80K","0.43%"
"Oct 03, 2019","9.3300","9.4100","9.4600","9.2000","29.40K","-0.74%"
"Oct 02, 2019","9.4000","9.4000","9.4100","9.2000","45.20K","0.21%"
"Oct 01, 2019","9.3800","9.4100","9.4100","9.3300","27.20K","0.00%"
"Sep 30, 2019","9.3800","9.3000","9.5000","9.2900","11.40K","0.11%"
"Sep 27, 2019","9.3700","9.3700","9.3700","9.2000","27.10K","0.00%"
"Sep 26, 2019","9.3700","9.3700","9.4400","9.3000","20.00K","0.00%"
"Sep 25, 2019","9.3700","9.3700","9.4900","9.3000","30.60K","0.00%"
"Sep 24, 2019","9.3700","9.4600","9.7000","9.3500","23.50K","-0.85%"
"Sep 23, 2019","9.4500","9.4700","9.5100","9.3000","22.40K","0.11%"
"Sep 20, 2019","9.4400","9.5500","9.6800","9.3500","41.50K","-1.05%"
"Sep 19, 2019","9.5400","9.5100","9.8000","9.5000","25.70K","0.42%"
"Sep 18, 2019","9.5000","9.4500","9.5000","9.3900","22.50K","0.53%"
"Sep 17, 2019","9.4500","9.4500","9.4500","9.3000","18.10K","0.00%"
"Sep 16, 2019","9.4500","9.4400","9.4800","9.2500","28.40K","0.21%"
"Sep 13, 2019","9.4300","9.5400","9.5400","9.3100","22.70K","-0.11%"
"Sep 12, 2019","9.4400","9.3500","9.5000","9.3500","16.40K","0.96%"
"Sep 11, 2019","9.3500","9.2000","9.3500","9.1200","14.50K","2.07%"
"Sep 10, 2019","9.1600","9.4400","9.4500","9.1000","27.60K","-1.93%"
"Sep 09, 2019","9.3400","9.4400","9.4400","9.2000","27.40K","-0.43%"
"Sep 06, 2019","9.3800","9.3400","9.3800","9.2200","27.90K","0.43%"
"Sep 05, 2019","9.3400","9.3500","9.4500","9.3000","21.20K","-0.11%"
"Sep 04, 2019","9.3500","9.2500","9.3500","9.1400","22.70K","2.52%"
"Sep 03, 2019","9.1200","9.2000","9.2400","9.0500","19.80K","-0.44%"
"Sep 02, 2019","9.1600","9.1000","9.2100","9.0100","33.80K","0.66%"
"Aug 30, 2019","9.1000","9.1000","9.1500","9.0500","14.90K","0.00%"
"Aug 29, 2019","9.1000","9.0000","9.1900","8.9600","9.50K","1.56%"
"Aug 28, 2019","8.9600","9.0300","9.0800","8.9300","23.00K","-0.67%"
"Aug 27, 2019","9.0200","8.9000","9.0500","8.9000","15.50K","-0.66%"
"Aug 26, 2019","9.0800","8.9800","9.0900","8.9000","19.60K","1.11%"
"Aug 23, 2019","8.9800","9.0300","9.0600","8.9300","19.10K","-0.33%"
