"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","43.100","42.270","43.500","41.720","4.70M","0.89%"
"Oct 24, 2019","42.720","40.860","43.180","40.400","9.32M","13.05%"
"Oct 23, 2019","37.790","37.700","37.830","36.120","3.94M","-0.71%"
"Oct 22, 2019","38.060","39.640","40.110","37.870","2.97M","-2.96%"
"Oct 21, 2019","39.220","39.090","39.290","38.130","2.59M","0.67%"
"Oct 18, 2019","38.960","39.150","39.200","38.320","1.84M","-0.81%"
"Oct 17, 2019","39.280","40.000","40.000","38.700","2.22M","-1.80%"
"Oct 16, 2019","40.000","38.500","40.000","38.330","2.62M","1.34%"
"Oct 15, 2019","39.470","38.460","39.480","38.370","2.54M","3.54%"
"Oct 14, 2019","38.120","38.000","38.680","37.925","1.55M","0.63%"
"Oct 11, 2019","37.880","38.000","38.370","37.608","1.99M","1.42%"
"Oct 10, 2019","37.350","37.000","38.145","36.872","1.94M","0.95%"
"Oct 09, 2019","37.000","36.870","37.310","36.580","1.20M","1.15%"
"Oct 08, 2019","36.580","37.090","37.350","36.340","1.77M","-3.00%"
"Oct 07, 2019","37.710","37.460","38.160","37.290","3.21M","0.03%"
"Oct 04, 2019","37.700","36.310","37.745","36.250","2.83M","3.60%"
"Oct 03, 2019","36.390","33.650","36.400","33.650","7.10M","7.95%"
"Oct 02, 2019","33.710","33.850","33.970","33.450","3.14M","-0.41%"
"Oct 01, 2019","33.850","34.500","34.610","33.490","1.92M","-1.14%"
"Sep 30, 2019","34.240","34.220","34.690","34.040","3.04M","1.39%"
"Sep 27, 2019","33.770","35.490","35.990","33.350","3.13M","-4.44%"
"Sep 26, 2019","35.340","35.030","35.370","34.780","1.12M","0.66%"
"Sep 25, 2019","35.110","35.000","35.250","34.750","1.62M","0.26%"
"Sep 24, 2019","35.020","36.320","36.360","34.530","3.05M","-2.78%"
"Sep 23, 2019","36.020","36.320","36.680","36.000","2.02M","-0.74%"
"Sep 20, 2019","36.290","36.260","36.500","35.880","2.19M","0.69%"
"Sep 19, 2019","36.040","35.980","36.290","35.650","2.10M","0.56%"
"Sep 18, 2019","35.840","35.990","35.990","35.334","1.90M","-0.42%"
"Sep 17, 2019","35.990","35.050","36.000","34.955","1.66M","2.83%"
"Sep 16, 2019","35.000","34.820","35.080","34.550","1.15M","-0.74%"
"Sep 13, 2019","35.260","35.100","35.380","34.800","1.36M","1.44%"
"Sep 12, 2019","34.760","35.050","35.450","34.670","1.57M","1.13%"
"Sep 11, 2019","34.370","34.400","34.400","33.720","2.69M","1.36%"
"Sep 10, 2019","33.910","34.680","35.100","33.725","3.34M","-4.64%"
"Sep 09, 2019","35.560","35.500","35.750","35.050","1.45M","-0.11%"
"Sep 06, 2019","35.600","36.090","36.100","35.230","1.42M","-0.28%"
"Sep 05, 2019","35.700","34.790","35.700","34.490","2.68M","3.39%"
"Sep 04, 2019","34.530","35.140","35.380","34.360","1.57M","-0.80%"
"Sep 03, 2019","34.810","33.850","35.275","33.590","2.31M","-2.30%"
"Aug 30, 2019","35.630","35.900","36.120","35.390","1.87M","-0.56%"
"Aug 29, 2019","35.830","35.970","36.310","35.570","1.83M","0.93%"
"Aug 28, 2019","35.500","34.880","35.660","34.820","1.67M","1.17%"
"Aug 27, 2019","35.090","34.440","35.245","34.200","5.10M","3.05%"
"Aug 26, 2019","34.050","33.960","34.430","33.700","2.94M","0.29%"
"Aug 23, 2019","33.950","34.030","34.870","33.595","2.16M","-0.82%"
"Aug 22, 2019","34.230","34.320","34.630","34.050","1.58M","0.06%"
"Aug 21, 2019","34.210","33.820","34.430","33.600","2.32M","2.06%"
"Aug 20, 2019","33.520","33.500","34.000","33.280","2.13M","0.12%"
"Aug 19, 2019","33.480","33.210","33.930","33.210","2.43M","1.82%"
"Aug 16, 2019","32.880","32.010","32.970","32.010","3.21M","3.27%"
"Aug 15, 2019","31.840","32.000","32.230","31.630","3.08M","0.22%"
"Aug 14, 2019","31.770","31.860","32.100","31.105","3.26M","-1.79%"
"Aug 13, 2019","32.350","32.020","33.000","32.001","2.24M","0.22%"
"Aug 12, 2019","32.280","31.910","32.780","31.910","2.55M","0.25%"
"Aug 09, 2019","32.200","32.200","32.390","31.670","1.76M","0.00%"
"Aug 08, 2019","32.200","32.120","32.440","31.950","3.10M","1.48%"
"Aug 07, 2019","31.730","31.220","32.050","30.990","4.66M","1.08%"
