"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","40.620","40.210","40.660","40.160","5.04M","0.57%"
"Oct 24, 2019","40.390","40.550","40.650","40.310","5.43M","-0.49%"
"Oct 23, 2019","40.590","40.530","40.650","40.220","3.75M","-1.70%"
"Oct 22, 2019","41.290","41.680","41.750","41.230","2.23M","-0.63%"
"Oct 21, 2019","41.550","41.410","41.550","41.170","2.24M","-0.24%"
"Oct 18, 2019","41.650","42.085","42.230","41.610","3.20M","-0.95%"
"Oct 17, 2019","42.050","42.135","42.200","41.910","2.39M","0.41%"
"Oct 16, 2019","41.880","42.160","42.160","41.720","3.33M","-0.49%"
"Oct 15, 2019","42.085","41.810","42.120","41.720","4.59M","1.43%"
"Oct 14, 2019","41.490","41.580","41.840","41.440","3.45M","-0.29%"
"Oct 11, 2019","41.610","41.550","42.000","41.460","5.42M","1.66%"
"Oct 10, 2019","40.930","40.850","41.240","40.640","4.82M","0.91%"
"Oct 09, 2019","40.560","40.650","40.870","40.400","3.09M","-0.25%"
"Oct 08, 2019","40.660","40.700","41.040","40.600","3.53M","-0.83%"
"Oct 07, 2019","41.000","41.210","41.300","40.920","1.73M","-1.01%"
"Oct 04, 2019","41.419","41.055","41.490","40.900","2.45M","-0.63%"
"Oct 03, 2019","41.680","41.390","41.760","41.040","2.66M","1.44%"
"Oct 02, 2019","41.090","40.930","41.180","40.670","3.32M","-0.93%"
"Oct 01, 2019","41.475","41.720","41.890","41.330","2.26M","-0.37%"
"Sep 30, 2019","41.630","42.000","42.030","41.620","3.44M","1.81%"
"Sep 27, 2019","40.890","41.970","42.330","40.570","5.90M","-2.62%"
"Sep 26, 2019","41.990","42.150","42.250","41.880","2.87M","-0.62%"
"Sep 25, 2019","42.250","41.930","42.320","41.750","2.76M","-0.05%"
"Sep 24, 2019","42.270","42.790","42.800","42.180","1.72M","-1.40%"
"Sep 23, 2019","42.870","42.580","42.990","42.560","2.33M","0.23%"
"Sep 20, 2019","42.770","43.010","43.170","42.590","2.85M","-0.90%"
"Sep 19, 2019","43.160","43.220","43.590","43.120","2.63M","-0.71%"
"Sep 18, 2019","43.470","43.830","43.860","43.160","4.01M","-1.52%"
"Sep 17, 2019","44.140","43.800","44.200","43.770","2.31M","0.39%"
"Sep 16, 2019","43.970","44.150","44.330","43.780","3.23M","-1.39%"
"Sep 13, 2019","44.590","44.550","44.680","44.430","2.82M","0.31%"
"Sep 12, 2019","44.450","44.690","44.930","44.350","2.72M","0.73%"
"Sep 11, 2019","44.130","44.180","44.470","44.020","3.58M","1.80%"
"Sep 10, 2019","43.350","43.480","43.670","43.240","3.98M","-0.94%"
"Sep 09, 2019","43.760","43.540","43.980","43.540","3.44M","-0.05%"
"Sep 06, 2019","43.780","43.830","43.960","43.720","3.87M","0.16%"
"Sep 05, 2019","43.710","43.840","44.000","43.610","3.18M","0.21%"
"Sep 04, 2019","43.620","43.500","43.750","43.220","4.29M","3.05%"
"Sep 03, 2019","42.330","41.780","42.470","41.750","4.43M","2.57%"
"Aug 30, 2019","41.270","41.300","41.390","41.060","2.22M","0.90%"
"Aug 29, 2019","40.900","41.225","41.390","40.880","3.90M","0.79%"
"Aug 28, 2019","40.580","40.530","40.780","40.360","4.91M","-1.60%"
"Aug 27, 2019","41.240","41.610","41.850","41.220","3.29M","-0.05%"
"Aug 26, 2019","41.260","41.620","41.750","41.200","2.71M","-0.24%"
"Aug 23, 2019","41.360","42.020","42.440","41.110","5.69M","-1.76%"
"Aug 22, 2019","42.100","42.300","42.420","41.880","2.85M","-0.94%"
"Aug 21, 2019","42.500","42.660","42.690","42.340","1.65M","0.66%"
"Aug 20, 2019","42.220","42.360","42.520","42.150","2.58M","-1.22%"
"Aug 19, 2019","42.740","43.330","43.350","42.520","4.41M","2.04%"
"Aug 16, 2019","41.885","41.570","42.010","41.350","4.20M","0.25%"
"Aug 15, 2019","41.780","41.800","41.950","41.440","3.96M","0.72%"
"Aug 14, 2019","41.480","41.760","41.760","41.220","10.01M","-4.34%"
"Aug 13, 2019","43.360","42.430","44.150","42.380","4.96M","1.38%"
"Aug 12, 2019","42.770","42.790","42.950","42.370","4.26M","-0.51%"
"Aug 09, 2019","42.990","43.130","43.440","42.670","3.37M","-1.94%"
"Aug 08, 2019","43.840","43.730","43.920","42.780","4.66M","1.01%"
"Aug 07, 2019","43.400","42.770","43.570","42.510","3.71M","1.43%"
"Aug 06, 2019","42.790","43.260","43.270","42.500","4.40M","1.09%"
"Aug 05, 2019","42.330","42.600","42.700","41.930","7.24M","-5.70%"
"Aug 02, 2019","44.890","44.935","45.320","44.750","4.81M","-1.73%"
"Aug 01, 2019","45.680","47.165","47.520","45.430","5.56M","-1.76%"
"Jul 31, 2019","46.500","47.020","47.040","45.840","1.86M","-1.42%"
"Jul 30, 2019","47.170","47.250","47.370","47.010","1.99M","-0.76%"
"Jul 29, 2019","47.530","47.620","47.750","47.250","2.50M","0.36%"
"Jul 26, 2019","47.360","47.380","47.610","47.245","2.32M","0.40%"
"Jul 25, 2019","47.170","47.470","47.480","46.810","2.12M","0.58%"
"Jul 24, 2019","46.900","46.650","46.990","46.620","1.86M","1.60%"
"Jul 23, 2019","46.161","45.960","46.330","45.750","2.61M","1.43%"
"Jul 22, 2019","45.510","45.850","45.920","45.480","2.81M","-0.48%"
"Jul 19, 2019","45.730","46.180","46.290","45.630","2.29M","0.40%"
"Jul 18, 2019","45.550","45.570","45.740","45.330","2.50M","-0.91%"
"Jul 17, 2019","45.970","46.450","46.450","45.920","2.53M","-0.28%"
"Jul 16, 2019","46.100","46.115","46.350","46.000","1.41M","0.00%"
"Jul 15, 2019","46.100","46.000","46.250","45.840","1.95M","1.45%"
"Jul 12, 2019","45.440","45.420","45.520","45.260","1.54M","0.20%"
"Jul 11, 2019","45.350","45.720","45.730","45.240","1.39M","-0.46%"
"Jul 10, 2019","45.560","45.700","46.162","45.400","3.28M","1.20%"
"Jul 09, 2019","45.020","44.520","45.090","44.510","2.15M","0.40%"
"Jul 08, 2019","44.840","45.010","45.050","44.610","2.34M","-1.77%"
"Jul 05, 2019","45.650","45.870","45.890","45.420","1.67M","-1.10%"
"Jul 03, 2019","46.160","45.840","46.170","45.835","607.27K","-0.11%"
"Jul 02, 2019","46.210","46.560","56.515","46.100","1.91M","-0.58%"
"Jul 01, 2019","46.480","46.630","47.380","46.210","3.33M","2.70%"
"Jun 28, 2019","45.260","45.130","45.380","44.960","1.61M","-0.22%"
"Jun 27, 2019","45.360","44.850","45.420","44.840","1.84M","0.91%"
"Jun 26, 2019","44.950","44.985","45.280","44.950","2.60M","2.30%"
"Jun 25, 2019","43.940","44.470","44.660","43.800","3.22M","-2.68%"
"Jun 24, 2019","45.150","45.600","45.600","45.110","2.73M","-0.62%"
"Jun 21, 2019","45.430","45.150","45.500","45.050","2.94M","-0.13%"
"Jun 20, 2019","45.490","45.550","45.720","45.100","2.25M","1.88%"
"Jun 19, 2019","44.650","44.200","44.690","43.860","3.23M","1.87%"
"Jun 18, 2019","43.830","42.850","44.050","42.740","5.13M","4.56%"
"Jun 17, 2019","41.920","42.180","42.350","41.860","2.56M","0.36%"
"Jun 14, 2019","41.770","42.000","42.140","41.630","2.61M","-1.46%"
"Jun 13, 2019","42.390","42.890","42.916","42.220","1.94M","-0.91%"
"Jun 12, 2019","42.780","43.090","43.090","42.600","2.34M","-2.55%"
"Jun 11, 2019","43.900","44.170","44.320","43.620","3.44M","1.06%"
"Jun 10, 2019","43.440","43.980","44.090","43.410","4.34M","1.47%"
"Jun 07, 2019","42.810","42.800","43.100","42.580","3.25M","1.66%"
"Jun 06, 2019","42.110","42.030","42.420","41.620","2.29M","0.72%"
"Jun 05, 2019","41.810","42.500","42.500","41.510","3.16M","-1.37%"
"Jun 04, 2019","42.390","42.150","42.690","41.790","5.92M","-0.91%"
"Jun 03, 2019","42.780","42.760","43.895","42.610","3.08M","2.44%"
"May 31, 2019","41.760","41.270","41.900","41.170","2.77M","0.41%"
"May 30, 2019","41.590","41.400","41.800","41.360","3.15M","0.34%"
"May 29, 2019","41.450","41.090","41.450","40.930","2.80M","0.81%"
"May 28, 2019","41.115","41.675","41.750","40.900","2.96M","0.62%"
"May 24, 2019","40.860","41.580","41.630","40.850","5.77M","-1.59%"
"May 23, 2019","41.520","41.540","41.680","41.030","5.49M","-3.35%"
"May 22, 2019","42.960","42.980","43.130","42.680","3.35M","-0.88%"
"May 21, 2019","43.340","43.550","43.580","42.760","4.02M","1.50%"
"May 20, 2019","42.700","43.040","43.300","42.570","4.54M","-4.64%"
"May 17, 2019","44.780","45.160","45.780","44.640","5.56M","-4.32%"
"May 16, 2019","46.800","46.670","47.220","46.580","3.52M","0.58%"
"May 15, 2019","46.530","46.510","46.770","45.750","8.51M","-1.15%"
"May 14, 2019","47.070","47.010","47.300","46.750","4.16M","0.78%"
"May 13, 2019","46.705","46.680","47.040","46.130","6.85M","-3.62%"
"May 10, 2019","48.460","48.198","48.770","47.500","3.78M","1.51%"
"May 09, 2019","47.740","47.360","48.120","46.720","5.36M","-2.69%"
"May 08, 2019","49.060","49.090","49.440","48.710","5.57M","3.37%"
"May 07, 2019","47.460","47.950","48.000","47.130","6.11M","-1.74%"
"May 06, 2019","48.300","47.430","48.340","47.260","5.45M","-2.93%"
"May 03, 2019","49.760","49.500","50.060","49.450","2.00M","1.10%"
"May 02, 2019","49.220","49.310","49.540","48.905","2.85M","0.24%"
"May 01, 2019","49.100","49.420","50.050","49.100","1.98M","-0.28%"
"Apr 30, 2019","49.240","49.660","49.660","49.100","1.29M","-0.93%"
"Apr 29, 2019","49.700","49.775","49.900","49.410","1.37M","0.71%"
"Apr 26, 2019","49.350","49.150","49.510","48.810","2.53M","1.44%"
"Apr 25, 2019","48.650","48.820","48.820","48.300","2.81M","-1.88%"
"Apr 24, 2019","49.580","50.030","50.050","49.490","2.03M","-1.24%"
"Apr 23, 2019","50.200","49.870","50.320","49.820","1.71M","0.82%"
"Apr 22, 2019","49.790","49.710","49.880","49.490","3.04M","-1.15%"
"Apr 18, 2019","50.370","50.290","50.520","49.970","2.29M","0.20%"
"Apr 17, 2019","50.270","50.460","50.580","50.110","2.25M","-0.06%"
"Apr 16, 2019","50.300","50.120","50.400","49.940","2.39M","2.03%"
"Apr 15, 2019","49.300","49.505","49.700","49.040","1.71M","-1.77%"
"Apr 12, 2019","50.190","50.600","50.700","50.060","4.05M","1.19%"
"Apr 11, 2019","49.600","49.810","49.900","49.460","2.31M","-1.59%"
"Apr 10, 2019","50.400","49.560","51.240","49.560","8.88M","3.62%"
"Apr 09, 2019","48.640","48.810","48.920","48.600","2.10M","0.06%"
"Apr 08, 2019","48.610","48.350","48.750","48.110","2.22M","-0.12%"
"Apr 05, 2019","48.670","48.380","48.740","48.200","2.41M","1.29%"
"Apr 04, 2019","48.050","47.948","48.200","47.710","4.00M","0.08%"
"Apr 03, 2019","48.010","48.000","48.320","47.800","3.93M","2.43%"
"Apr 02, 2019","46.870","46.910","47.100","46.840","2.22M","-0.64%"
"Apr 01, 2019","47.170","46.412","47.210","46.412","3.60M","2.59%"
"Mar 29, 2019","45.980","45.890","46.210","45.670","3.40M","2.02%"
"Mar 28, 2019","45.070","44.900","45.090","44.550","2.95M","0.20%"
"Mar 27, 2019","44.980","45.220","45.370","44.680","2.23M","0.36%"
"Mar 26, 2019","44.820","45.030","45.150","44.560","2.41M","-0.36%"
"Mar 25, 2019","44.980","44.900","45.420","44.760","2.68M","-0.62%"
"Mar 22, 2019","45.260","46.115","46.280","45.180","4.21M","-3.50%"
"Mar 21, 2019","46.900","45.330","47.000","45.260","4.90M","-0.21%"
"Mar 20, 2019","47.000","46.960","47.490","46.400","3.84M","-0.13%"
"Mar 19, 2019","47.060","47.110","47.190","46.850","2.84M","0.47%"
"Mar 18, 2019","46.840","46.950","46.980","46.690","2.67M","1.91%"
"Mar 15, 2019","45.960","45.730","46.150","45.710","2.94M","1.01%"
"Mar 14, 2019","45.500","45.650","45.680","45.150","1.53M","-0.26%"
"Mar 13, 2019","45.620","45.670","45.950","45.590","1.88M","-0.24%"
"Mar 12, 2019","45.730","45.540","45.750","45.160","3.43M","0.44%"
"Mar 11, 2019","45.530","45.182","45.610","45.050","4.01M","4.35%"
"Mar 08, 2019","43.630","43.480","43.800","43.250","5.19M","-1.84%"
"Mar 07, 2019","44.450","45.140","45.140","44.260","4.57M","-3.22%"
"Mar 06, 2019","45.930","46.450","46.460","45.850","2.34M","-1.37%"
"Mar 05, 2019","46.570","46.040","46.790","45.440","7.53M","6.32%"
"Mar 04, 2019","43.800","44.190","44.240","43.260","2.93M","2.72%"
"Mar 01, 2019","42.640","42.950","43.030","42.430","2.84M","-0.40%"
"Feb 28, 2019","42.810","42.910","43.230","42.780","3.27M","-1.81%"
"Feb 27, 2019","43.600","43.445","43.680","43.210","4.31M","-0.95%"
"Feb 26, 2019","44.020","43.730","44.150","43.650","2.56M","-0.32%"
"Feb 25, 2019","44.160","44.250","44.540","44.045","3.95M","-0.05%"
"Feb 22, 2019","44.180","44.000","44.250","43.600","2.68M","2.58%"
"Feb 21, 2019","43.070","43.620","43.730","42.840","3.52M","-0.81%"
"Feb 20, 2019","43.420","43.440","43.930","43.350","2.87M","0.42%"
"Feb 19, 2019","43.240","42.899","43.530","42.740","3.13M","0.87%"
"Feb 15, 2019","42.865","42.970","43.310","42.820","2.38M","-0.08%"
"Feb 14, 2019","42.900","43.090","43.250","42.710","5.02M","-2.19%"
"Feb 13, 2019","43.860","44.260","44.380","43.614","3.26M","-1.70%"
"Feb 12, 2019","44.620","44.790","44.950","44.460","2.95M","-0.16%"
"Feb 11, 2019","44.690","44.930","45.210","44.660","2.91M","1.04%"
"Feb 08, 2019","44.230","43.800","44.350","43.660","1.80M","0.75%"
"Feb 07, 2019","43.900","44.200","44.550","43.500","2.09M","-2.05%"
"Feb 06, 2019","44.820","45.820","45.850","44.640","3.80M","-1.49%"
"Feb 05, 2019","45.500","44.840","45.540","44.780","2.91M","2.22%"
"Feb 04, 2019","44.510","44.200","44.700","44.110","2.12M","0.56%"
"Feb 01, 2019","44.260","44.295","44.390","43.830","4.10M","-0.78%"
"Jan 31, 2019","44.610","44.370","44.780","44.250","4.07M","-0.09%"
"Jan 30, 2019","44.650","44.010","44.880","43.920","3.32M","2.20%"
"Jan 29, 2019","43.690","43.850","44.050","43.580","4.63M","0.48%"
"Jan 28, 2019","43.480","43.040","43.480","42.760","4.40M","-1.33%"
"Jan 25, 2019","44.065","43.805","44.100","43.710","6.07M","2.86%"
"Jan 24, 2019","42.840","42.414","43.000","42.360","2.71M","1.54%"
"Jan 23, 2019","42.190","42.600","42.900","41.950","2.76M","-0.05%"
"Jan 22, 2019","42.210","42.940","43.000","41.940","4.01M","-2.92%"
"Jan 18, 2019","43.480","43.510","44.020","43.110","5.78M","1.35%"
"Jan 17, 2019","42.900","42.200","43.310","42.160","3.57M","0.63%"
"Jan 16, 2019","42.630","42.005","42.950","41.990","5.52M","1.26%"
"Jan 15, 2019","42.100","41.900","42.220","41.780","3.12M","1.84%"
"Jan 14, 2019","41.340","41.150","41.820","40.930","2.91M","-1.83%"
"Jan 11, 2019","42.110","41.846","42.170","41.720","2.87M","-0.80%"
"Jan 10, 2019","42.450","42.150","42.570","41.800","3.34M","0.28%"
"Jan 09, 2019","42.330","41.775","42.750","41.770","6.43M","3.85%"
"Jan 08, 2019","40.760","40.895","41.000","40.400","3.24M","-0.34%"
"Jan 07, 2019","40.900","40.490","41.050","40.200","2.34M","0.69%"
"Jan 04, 2019","40.620","39.570","41.080","39.420","5.76M","5.81%"
"Jan 03, 2019","38.390","38.750","39.000","38.170","4.21M","-2.83%"
"Jan 02, 2019","39.510","38.870","39.780","38.830","3.55M","0.10%"
"Dec 31, 2018","39.470","40.000","40.000","39.270","3.49M","0.13%"
"Dec 28, 2018","39.420","39.920","40.100","39.210","3.77M","-1.05%"
"Dec 27, 2018","39.840","38.790","39.850","38.550","3.68M","-0.35%"
"Dec 26, 2018","39.980","39.190","39.980","38.300","4.51M","2.78%"
"Dec 24, 2018","38.900","38.870","39.380","38.800","2.33M","-1.62%"
"Dec 21, 2018","39.540","40.280","40.600","39.330","9.12M","3.40%"
"Dec 20, 2018","38.240","38.410","38.800","37.900","5.52M","0.91%"
"Dec 19, 2018","37.895","38.600","39.090","37.370","4.58M","-1.34%"
"Dec 18, 2018","38.410","38.740","38.880","38.180","3.06M","0.39%"
"Dec 17, 2018","38.260","39.290","39.300","38.230","5.13M","-3.02%"
"Dec 14, 2018","39.450","39.680","39.920","39.100","3.68M","-1.84%"
"Dec 13, 2018","40.190","40.410","40.540","39.850","3.94M","-0.77%"
"Dec 12, 2018","40.500","41.060","41.350","40.500","4.69M","1.17%"
"Dec 11, 2018","40.030","40.305","40.350","39.520","3.90M","2.25%"
"Dec 10, 2018","39.150","39.010","39.865","38.260","5.75M","-1.34%"
"Dec 07, 2018","39.680","40.120","40.630","38.500","8.13M","0.69%"
"Dec 06, 2018","39.410","38.700","39.450","38.130","5.50M","-2.93%"
"Dec 04, 2018","40.600","41.945","42.110","40.270","5.87M","-2.07%"
"Dec 03, 2018","41.460","42.410","42.450","41.350","6.93M","3.44%"
"Nov 30, 2018","40.080","40.140","40.140","39.000","3.80M","0.91%"
"Nov 29, 2018","39.720","39.800","40.120","39.210","5.16M","-3.17%"
"Nov 28, 2018","41.020","40.280","41.100","38.840","6.26M","5.61%"
"Nov 27, 2018","38.840","38.580","39.020","38.280","2.92M","1.41%"
"Nov 26, 2018","38.300","38.550","38.680","38.240","3.59M","3.43%"
"Nov 23, 2018","37.030","37.040","37.280","36.880","755.31K","-0.32%"
"Nov 21, 2018","37.150","37.700","37.700","36.810","3.18M","4.57%"
"Nov 20, 2018","35.528","34.870","36.050","34.300","4.42M","-2.61%"
"Nov 19, 2018","36.480","37.200","37.310","36.260","4.37M","-2.64%"
"Nov 16, 2018","37.470","37.070","37.730","36.950","2.99M","-0.43%"
"Nov 15, 2018","37.630","36.650","37.660","36.510","5.02M","2.81%"
"Nov 14, 2018","36.600","36.710","37.220","36.480","8.86M","4.27%"
"Nov 13, 2018","35.100","34.740","35.920","34.450","6.45M","4.06%"
"Nov 12, 2018","33.730","34.290","34.310","33.400","4.17M","-3.13%"
"Nov 09, 2018","34.820","35.280","35.290","34.260","8.81M","-4.60%"
"Nov 08, 2018","36.500","37.350","37.370","36.300","7.64M","-5.56%"
"Nov 07, 2018","38.650","38.210","38.680","37.990","5.91M","3.34%"
"Nov 06, 2018","37.400","37.100","37.870","37.010","4.40M","-1.11%"
"Nov 05, 2018","37.820","37.470","38.080","37.460","6.73M","-0.08%"
"Nov 02, 2018","37.850","38.695","38.735","37.180","8.91M","1.80%"
"Nov 01, 2018","37.180","35.720","37.230","35.250","11.02M","8.30%"
"Oct 31, 2018","34.330","34.105","34.560","33.830","6.91M","6.12%"
"Oct 30, 2018","32.350","31.780","32.400","31.550","5.62M","0.61%"
"Oct 29, 2018","32.153","33.240","33.250","31.730","10.69M","-2.92%"
"Oct 26, 2018","33.120","33.070","33.630","32.680","9.56M","-5.22%"
"Oct 25, 2018","34.943","34.310","34.980","34.150","4.98M","2.62%"
"Oct 24, 2018","34.050","35.300","35.320","34.050","6.87M","-5.68%"
"Oct 23, 2018","36.100","35.095","36.570","35.000","7.71M","-3.22%"
"Oct 22, 2018","37.300","37.240","37.480","36.800","3.55M","4.42%"
"Oct 19, 2018","35.720","36.190","36.350","35.510","3.55M","2.03%"
"Oct 18, 2018","35.010","35.700","35.760","34.800","6.34M","-3.98%"
"Oct 17, 2018","36.460","36.980","36.980","36.120","2.74M","-1.85%"
"Oct 16, 2018","37.146","36.245","37.270","36.082","4.22M","2.76%"
"Oct 15, 2018","36.150","36.279","36.630","35.870","4.89M","-4.54%"
"Oct 12, 2018","37.870","37.450","37.890","36.800","6.81M","8.05%"
"Oct 11, 2018","35.050","34.375","35.630","34.360","14.33M","-0.99%"
"Oct 10, 2018","35.400","36.290","36.290","35.210","11.51M","-4.45%"
"Oct 09, 2018","37.050","37.590","37.660","37.010","8.11M","-3.77%"
"Oct 08, 2018","38.500","38.000","38.590","37.760","4.55M","-1.10%"
"Oct 05, 2018","38.930","38.750","38.980","38.140","4.93M","0.80%"
"Oct 04, 2018","38.620","39.390","39.390","38.420","6.32M","-3.28%"
"Oct 03, 2018","39.930","40.530","40.583","39.816","3.93M","-0.75%"
"Oct 02, 2018","40.230","40.495","40.495","40.000","4.03M","-2.26%"
"Oct 01, 2018","41.160","41.140","41.360","40.910","2.82M","0.78%"
"Sep 28, 2018","40.840","40.995","41.140","40.630","4.07M","-1.69%"
"Sep 27, 2018","41.540","41.770","41.770","41.395","4.42M","-1.17%"
"Sep 26, 2018","42.030","42.200","42.630","42.000","4.26M","-0.34%"
"Sep 25, 2018","42.175","42.150","42.340","41.890","2.55M","0.92%"
"Sep 24, 2018","41.790","42.145","42.145","41.630","2.36M","-2.29%"
"Sep 21, 2018","42.770","43.100","43.220","42.660","5.84M","1.86%"
