"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","0.59","0.62","0.62","0.59","4.97M","-1.67%"
"May 15, 2020","0.60","0.58","0.62","0.58","7.02M","-1.64%"
"May 14, 2020","0.61","0.58","0.63","0.56","11.52M","0.00%"
"May 13, 2020","0.61","0.62","0.64","0.58","10.61M","-1.61%"
"May 12, 2020","0.62","0.66","0.67","0.62","6.41M","-4.62%"
"May 11, 2020","0.65","0.67","0.68","0.65","9.58M","-4.41%"
"May 08, 2020","0.68","0.70","0.70","0.67","6.10M","0.00%"
"May 07, 2020","0.68","0.75","0.75","0.68","19.56M","-6.85%"
"May 06, 2020","0.73","0.75","0.77","0.73","19.71M","-5.19%"
"May 05, 2020","0.77","0.78","0.79","0.76","10.84M","1.32%"
"May 04, 2020","0.76","0.76","0.78","0.74","10.62M","-2.56%"
"Apr 30, 2020","0.78","0.80","0.82","0.76","19.38M","-3.70%"
"Apr 29, 2020","0.81","0.83","0.84","0.79","14.22M","2.53%"
"Apr 28, 2020","0.79","0.77","0.82","0.75","15.82M","8.22%"
"Apr 27, 2020","0.73","0.75","0.76","0.72","8.87M","2.82%"
"Apr 24, 2020","0.71","0.79","0.80","0.69","24.11M","-12.35%"
"Apr 23, 2020","0.81","0.88","0.91","0.80","29.56M","-3.57%"
"Apr 22, 2020","0.84","0.78","0.88","0.78","27.88M","7.69%"
"Apr 20, 2020","0.78","0.73","0.80","0.72","10.04M","2.63%"
"Apr 17, 2020","0.76","0.79","0.80","0.75","9.33M","0.00%"
"Apr 16, 2020","0.76","0.79","0.82","0.75","16.59M","-1.30%"
"Apr 15, 2020","0.77","0.70","0.81","0.70","18.36M","4.05%"
"Apr 14, 2020","0.74","0.73","0.75","0.72","11.90M","4.23%"
"Apr 13, 2020","0.71","0.68","0.71","0.67","7.86M","4.41%"
"Apr 09, 2020","0.68","0.68","0.71","0.67","14.39M","1.49%"
"Apr 08, 2020","0.67","0.66","0.69","0.64","11.58M","1.52%"
"Apr 07, 2020","0.66","0.71","0.72","0.64","19.06M","0.00%"
