"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","119.05","118.05","120.11","117.03","815.19K","0.61%"
"Oct 28, 2019","118.33","116.50","118.73","114.30","2.22M","3.96%"
"Oct 25, 2019","113.82","112.99","116.00","112.99","1.75M","0.49%"
"Oct 24, 2019","113.26","109.49","113.86","109.00","2.43M","5.11%"
"Oct 23, 2019","107.75","109.00","114.17","107.00","3.47M","-2.13%"
"Oct 22, 2019","110.10","117.05","117.51","109.09","3.48M","-5.33%"
"Oct 21, 2019","116.30","117.05","118.58","115.04","2.57M","-0.48%"
"Oct 18, 2019","116.86","121.12","121.56","109.42","10.82M","-4.71%"
"Oct 17, 2019","122.64","125.52","126.08","121.31","3.30M","-1.32%"
"Oct 16, 2019","124.28","126.88","127.38","120.41","2.92M","-3.49%"
"Oct 15, 2019","128.78","128.00","130.26","128.00","1.55M","0.96%"
"Oct 14, 2019","127.55","127.03","129.06","126.20","1.02M","0.05%"
"Oct 11, 2019","127.48","127.63","129.86","127.21","715.27K","1.28%"
"Oct 10, 2019","125.87","127.00","128.91","125.00","1.25M","-0.69%"
"Oct 09, 2019","126.74","126.12","128.49","124.18","1.34M","2.21%"
"Oct 08, 2019","124.00","132.69","133.50","123.86","2.55M","-6.70%"
"Oct 07, 2019","132.91","131.01","133.69","130.77","1.37M","0.79%"
"Oct 04, 2019","131.87","129.83","132.17","129.21","1.92M","2.95%"
"Oct 03, 2019","128.09","123.12","128.53","121.62","1.72M","4.32%"
"Oct 02, 2019","122.78","123.16","124.40","120.84","1.26M","-1.20%"
"Oct 01, 2019","124.27","125.28","126.53","122.67","1.25M","-0.93%"
"Sep 30, 2019","125.44","122.66","126.25","121.46","1.05M","1.96%"
"Sep 27, 2019","123.03","128.26","128.45","121.59","1.75M","-4.02%"
"Sep 26, 2019","128.18","128.13","128.91","125.33","957.56K","-0.02%"
"Sep 25, 2019","128.20","130.00","130.06","122.50","1.83M","-1.07%"
"Sep 24, 2019","129.59","136.96","137.36","129.38","3.11M","-5.03%"
"Sep 23, 2019","136.46","136.70","138.20","135.77","1.11M","-0.30%"
"Sep 20, 2019","136.87","136.08","138.47","134.84","1.77M","1.44%"
"Sep 19, 2019","134.93","134.71","136.22","132.70","1.07M","0.51%"
"Sep 18, 2019","134.25","132.87","134.87","130.51","1.48M","0.52%"
"Sep 17, 2019","133.56","130.50","134.00","128.74","1.21M","2.43%"
"Sep 16, 2019","130.39","125.81","130.65","125.17","1.18M","2.52%"
"Sep 13, 2019","127.19","125.58","128.63","124.01","2.04M","1.34%"
"Sep 12, 2019","125.51","123.91","128.49","123.91","1.85M","2.17%"
"Sep 11, 2019","122.84","121.93","124.79","120.52","1.08M","0.48%"
"Sep 10, 2019","122.25","124.00","125.64","120.21","2.58M","-3.18%"
"Sep 09, 2019","126.27","132.31","134.04","119.65","3.46M","-4.49%"
"Sep 06, 2019","132.21","134.65","137.59","131.58","2.47M","-0.85%"
"Sep 05, 2019","133.34","130.77","133.46","126.15","2.34M","2.70%"
"Sep 04, 2019","129.83","133.36","133.42","129.64","1.74M","-1.56%"
"Sep 03, 2019","131.89","132.92","135.69","130.35","1.22M","-1.95%"
"Aug 30, 2019","134.51","138.43","139.18","130.84","1.75M","-2.56%"
"Aug 29, 2019","138.05","140.00","141.46","137.33","1.17M","-0.16%"
"Aug 28, 2019","138.27","141.75","141.75","136.65","1.49M","-3.05%"
"Aug 27, 2019","142.62","144.32","145.06","140.48","1.06M","-0.17%"
"Aug 26, 2019","142.86","141.79","143.00","140.50","556.87K","1.28%"
"Aug 23, 2019","141.05","141.81","146.70","140.69","938.72K","-1.67%"
"Aug 22, 2019","143.44","143.51","145.80","141.17","785.49K","-0.30%"
"Aug 21, 2019","143.87","142.20","145.00","141.66","817.80K","1.22%"
"Aug 20, 2019","142.14","140.70","143.00","140.08","536.80K","0.62%"
"Aug 19, 2019","141.27","143.00","143.39","138.54","1.35M","-0.91%"
"Aug 16, 2019","142.57","140.99","143.71","140.43","948.40K","2.20%"
"Aug 15, 2019","139.50","139.44","140.75","136.89","905.57K","0.01%"
"Aug 14, 2019","139.49","143.29","144.91","138.26","1.13M","-4.91%"
"Aug 13, 2019","146.70","142.76","147.00","142.50","903.78K","2.10%"
"Aug 12, 2019","143.68","144.56","145.28","141.69","692.56K","-1.58%"
"Aug 09, 2019","145.99","144.48","147.59","142.30","838.92K","0.60%"
"Aug 08, 2019","145.12","142.70","146.05","142.50","1.21M","2.27%"
"Aug 07, 2019","141.90","133.03","142.81","132.32","2.39M","4.75%"
"Aug 06, 2019","135.47","135.00","139.47","134.73","1.28M","1.71%"
"Aug 05, 2019","133.19","135.41","136.96","131.26","1.85M","-5.67%"
"Aug 02, 2019","141.20","142.98","143.07","138.76","1.46M","-1.89%"
"Aug 01, 2019","143.92","140.00","145.95","140.00","1.64M","2.71%"
"Jul 31, 2019","140.12","136.81","141.98","136.64","2.05M","2.28%"
"Jul 30, 2019","137.00","137.91","139.53","136.25","1.18M","-1.47%"
"Jul 29, 2019","139.05","144.00","144.64","134.11","2.90M","-4.79%"
"Jul 26, 2019","146.04","136.75","149.80","136.06","4.44M","8.57%"
"Jul 25, 2019","134.51","134.82","136.36","130.90","1.58M","-0.62%"
"Jul 24, 2019","135.35","134.06","136.91","133.81","1.18M","0.96%"
"Jul 23, 2019","134.06","136.72","136.74","130.78","1.40M","-0.90%"
"Jul 22, 2019","135.28","134.30","136.71","132.82","1.10M","0.83%"
"Jul 19, 2019","134.16","137.00","137.99","134.10","993.38K","-1.40%"
"Jul 18, 2019","136.06","136.15","136.92","134.83","855.99K","-0.27%"
"Jul 17, 2019","136.43","137.87","140.30","136.30","1.18M","-0.53%"
"Jul 16, 2019","137.16","140.00","140.00","135.63","933.02K","-1.68%"
