"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","16.69","15.94","16.79","15.94","3.40M","4.05%"
"Oct 24, 2019","16.04","17.32","17.60","15.82","4.78M","-5.03%"
"Oct 23, 2019","16.89","16.55","16.90","16.18","4.50M","2.49%"
"Oct 22, 2019","16.48","16.33","16.59","16.03","2.66M","0.49%"
"Oct 21, 2019","16.40","16.80","16.89","16.38","1.95M","-0.55%"
"Oct 18, 2019","16.49","16.56","16.79","16.42","2.60M","0.73%"
"Oct 17, 2019","16.37","16.48","16.94","16.35","1.97M","0.18%"
"Oct 16, 2019","16.34","16.10","16.44","16.05","2.46M","1.18%"
"Oct 15, 2019","16.15","16.26","16.52","15.98","2.83M","-2.24%"
"Oct 14, 2019","16.52","16.38","16.60","16.11","1.58M","-1.43%"
"Oct 11, 2019","16.76","16.41","16.95","16.31","5.88M","5.67%"
"Oct 10, 2019","15.86","15.10","15.97","15.10","4.10M","6.80%"
"Oct 09, 2019","14.85","14.90","14.99","14.51","2.57M","0.54%"
"Oct 08, 2019","14.77","15.09","15.09","14.73","2.14M","-3.15%"
"Oct 07, 2019","15.25","15.61","15.61","15.17","2.07M","-2.43%"
"Oct 04, 2019","15.63","15.47","15.78","15.47","2.45M","0.84%"
"Oct 03, 2019","15.50","14.91","15.72","14.89","5.23M","2.31%"
"Oct 02, 2019","15.15","15.24","15.36","14.97","3.36M","-1.75%"
"Oct 01, 2019","15.42","16.19","16.34","15.30","3.30M","-4.99%"
"Sep 30, 2019","16.23","16.24","16.45","16.19","2.14M","-0.86%"
"Sep 27, 2019","16.37","16.12","16.40","16.06","3.41M","1.87%"
"Sep 26, 2019","16.07","16.45","16.48","15.90","3.81M","-2.55%"
"Sep 25, 2019","16.49","16.23","16.63","16.14","3.37M","0.06%"
"Sep 24, 2019","16.48","16.81","16.92","16.41","2.77M","-3.46%"
"Sep 23, 2019","17.07","17.08","17.08","16.74","2.70M","-1.56%"
"Sep 20, 2019","17.34","17.64","17.76","17.34","3.50M","-2.31%"
"Sep 19, 2019","17.75","17.83","18.06","17.56","4.00M","-1.00%"
"Sep 18, 2019","17.93","18.64","18.69","17.69","3.17M","-4.32%"
"Sep 17, 2019","18.74","18.45","18.91","18.06","2.29M","-0.05%"
"Sep 16, 2019","18.75","19.25","19.40","18.70","2.33M","-1.83%"
"Sep 13, 2019","19.10","19.33","19.44","19.02","2.75M","0.74%"
"Sep 12, 2019","18.96","18.79","19.09","18.45","2.59M","0.96%"
"Sep 11, 2019","18.78","18.60","18.79","18.20","2.27M","2.18%"
"Sep 10, 2019","18.38","18.00","18.44","17.96","2.71M","2.85%"
"Sep 09, 2019","17.87","17.55","17.89","17.37","2.24M","2.06%"
"Sep 06, 2019","17.51","17.71","17.77","17.41","1.83M","-1.13%"
"Sep 05, 2019","17.71","17.57","17.90","17.57","1.67M","2.79%"
"Sep 04, 2019","17.23","17.23","17.34","16.99","3.73M","2.38%"
"Sep 03, 2019","16.83","16.88","16.91","16.66","1.46M","-1.17%"
"Aug 30, 2019","17.03","17.06","17.22","16.78","2.18M","1.13%"
"Aug 29, 2019","16.84","16.83","17.15","16.62","2.08M","1.45%"
"Aug 28, 2019","16.60","16.53","16.75","16.48","2.53M","0.36%"
"Aug 27, 2019","16.54","16.58","16.72","16.51","1.91M","-0.60%"
"Aug 26, 2019","16.64","16.37","16.78","16.33","2.22M","2.53%"
"Aug 23, 2019","16.23","16.28","16.82","16.18","2.35M","-0.73%"
"Aug 22, 2019","16.35","16.45","16.59","16.30","1.95M","-0.24%"
"Aug 21, 2019","16.39","16.50","16.62","16.36","2.08M","-0.67%"
"Aug 20, 2019","16.50","16.59","16.65","16.39","2.02M","-1.32%"
"Aug 19, 2019","16.72","16.75","16.90","16.67","2.04M","1.03%"
"Aug 16, 2019","16.55","16.55","16.74","16.43","2.65M","-0.42%"
"Aug 15, 2019","16.62","16.77","16.77","16.43","2.62M","-0.30%"
"Aug 14, 2019","16.67","17.02","17.04","16.61","2.38M","-4.47%"
"Aug 13, 2019","17.45","16.78","17.48","16.75","3.65M","3.38%"
"Aug 12, 2019","16.88","16.76","17.09","16.52","2.73M","0.24%"
"Aug 09, 2019","16.84","17.79","17.79","16.80","3.61M","-6.18%"
"Aug 08, 2019","17.95","17.84","18.10","17.62","2.98M","1.93%"
"Aug 07, 2019","17.61","17.37","17.73","17.11","3.34M","-0.45%"
"Aug 06, 2019","17.69","18.06","18.17","17.42","3.48M","-1.23%"
"Aug 05, 2019","17.91","18.11","18.17","17.68","2.74M","-3.50%"
"Aug 02, 2019","18.56","19.05","19.05","18.35","3.63M","-3.18%"
"Aug 01, 2019","19.17","20.06","20.10","19.07","4.12M","-6.44%"
"Jul 31, 2019","20.49","20.91","21.06","20.41","2.82M","-2.75%"
"Jul 30, 2019","21.07","21.18","21.23","20.52","2.92M","-0.80%"
"Jul 29, 2019","21.24","21.38","21.43","21.05","2.61M","-0.28%"
"Jul 26, 2019","21.30","21.56","21.57","21.15","2.97M","-1.43%"
"Jul 25, 2019","21.61","22.61","23.13","21.27","5.59M","-5.30%"
"Jul 24, 2019","22.82","22.39","22.94","22.35","3.96M","0.66%"
"Jul 23, 2019","22.67","22.23","22.70","22.22","2.59M","2.07%"
"Jul 22, 2019","22.21","22.05","22.34","22.05","2.34M","0.05%"
"Jul 19, 2019","22.20","22.19","22.66","21.93","2.96M","0.86%"
"Jul 18, 2019","22.01","22.04","22.28","21.79","1.95M","-0.99%"
"Jul 17, 2019","22.23","22.17","22.27","21.74","2.18M","0.91%"
"Jul 16, 2019","22.03","21.72","22.24","21.59","2.14M","1.10%"
"Jul 15, 2019","21.79","21.91","22.12","21.65","1.89M","0.51%"
"Jul 12, 2019","21.68","21.51","21.75","21.41","1.82M","0.56%"
"Jul 11, 2019","21.56","21.34","21.56","21.04","2.23M","0.28%"
"Jul 10, 2019","21.50","21.61","21.74","21.34","1.63M","0.61%"
"Jul 09, 2019","21.37","21.51","21.51","21.21","1.57M","-1.61%"
"Jul 08, 2019","21.72","22.00","22.04","21.70","1.82M","-1.63%"
"Jul 05, 2019","22.08","22.04","22.19","21.86","2.10M","-1.12%"
"Jul 03, 2019","22.33","22.94","23.09","22.25","2.27M","-2.66%"
"Jul 02, 2019","22.94","22.98","23.08","22.43","4.03M","-0.35%"
"Jul 01, 2019","23.02","23.20","23.30","22.86","1.85M","-0.17%"
"Jun 28, 2019","23.06","22.84","23.07","22.75","3.15M","1.05%"
"Jun 27, 2019","22.82","22.71","22.91","22.50","2.87M","1.15%"
"Jun 26, 2019","22.56","22.88","22.93","22.56","2.07M","-0.84%"
"Jun 25, 2019","22.75","22.87","23.06","22.68","2.65M","-0.35%"
"Jun 24, 2019","22.83","22.68","22.92","22.58","2.35M","1.11%"
"Jun 21, 2019","22.58","22.83","22.85","22.34","2.64M","-1.22%"
"Jun 20, 2019","22.86","23.07","23.24","22.75","2.84M","1.46%"
"Jun 19, 2019","22.53","22.66","22.78","22.35","2.66M","-1.10%"
"Jun 18, 2019","22.78","22.14","23.00","22.07","2.40M","4.16%"
"Jun 17, 2019","21.87","21.69","21.96","21.41","1.95M","0.74%"
"Jun 14, 2019","21.71","21.66","21.89","21.29","1.08M","-0.46%"
"Jun 13, 2019","21.81","22.27","22.29","21.73","2.06M","-1.04%"
"Jun 12, 2019","22.04","22.24","22.29","21.79","2.32M","-1.69%"
"Jun 11, 2019","22.42","22.07","22.62","22.02","3.09M","4.62%"
"Jun 10, 2019","21.43","21.45","21.61","21.39","915.57K","0.33%"
"Jun 07, 2019","21.36","21.31","21.54","21.13","1.54M","0.71%"
"Jun 06, 2019","21.21","21.30","21.40","21.02","1.34M","-0.19%"
"Jun 05, 2019","21.25","21.52","21.53","21.04","2.01M","-0.79%"
"Jun 04, 2019","21.42","21.01","21.45","20.87","2.68M","3.08%"
"Jun 03, 2019","20.78","20.41","20.79","20.16","2.90M","2.31%"
"May 31, 2019","20.31","19.59","20.46","19.46","3.94M","2.68%"
"May 30, 2019","19.78","20.09","20.09","19.70","1.74M","-1.25%"
"May 29, 2019","20.03","19.75","20.12","19.69","1.39M","-0.35%"
"May 28, 2019","20.10","20.16","20.36","19.97","2.44M","1.46%"
