"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","7.870","7.870","7.930","7.860","898.02K","-0.13%"
"Oct 25, 2019","7.880","7.880","7.910","7.860","929.82K","-0.38%"
"Oct 24, 2019","7.910","7.950","7.965","7.895","1.10M","-1.62%"
"Oct 23, 2019","8.040","8.000","8.060","7.990","1.42M","1.39%"
"Oct 22, 2019","7.930","7.900","7.970","7.890","1.63M","0.63%"
"Oct 21, 2019","7.880","7.930","7.940","7.835","1.40M","0.38%"
"Oct 18, 2019","7.850","7.800","7.860","7.800","960.89K","0.51%"
"Oct 17, 2019","7.810","7.880","7.895","7.785","1.05M","-0.13%"
"Oct 16, 2019","7.820","7.790","7.825","7.790","3.98M","0.64%"
"Oct 15, 2019","7.770","7.700","7.790","7.675","3.80M","0.91%"
"Oct 14, 2019","7.700","7.670","7.705","7.665","676.82K","-0.65%"
"Oct 11, 2019","7.750","7.720","7.780","7.710","1.55M","2.24%"
"Oct 10, 2019","7.580","7.550","7.600","7.525","1.36M","1.34%"
"Oct 09, 2019","7.480","7.450","7.490","7.440","1.38M","0.40%"
"Oct 08, 2019","7.450","7.430","7.480","7.390","2.43M","-1.06%"
"Oct 07, 2019","7.530","7.520","7.560","7.500","1.84M","0.67%"
"Oct 04, 2019","7.480","7.320","7.480","7.320","1.53M","0.54%"
"Oct 03, 2019","7.440","7.380","7.445","7.350","1.46M","0.54%"
"Oct 02, 2019","7.400","7.480","7.500","7.360","1.04M","-2.37%"
"Oct 01, 2019","7.580","7.590","7.590","7.525","1.80M","-0.26%"
"Sep 30, 2019","7.600","7.570","7.610","7.560","1.25M","0.00%"
"Sep 27, 2019","7.600","7.570","7.625","7.540","1.77M","0.53%"
"Sep 26, 2019","7.560","7.510","7.580","7.510","1.44M","0.67%"
"Sep 25, 2019","7.510","7.460","7.540","7.440","2.52M","0.27%"
"Sep 24, 2019","7.490","7.580","7.600","7.470","2.06M","-0.40%"
"Sep 23, 2019","7.520","7.470","7.540","7.470","1.77M","0.40%"
"Sep 20, 2019","7.490","7.510","7.565","7.490","3.31M","1.08%"
"Sep 19, 2019","7.410","7.430","7.440","7.385","943.62K","0.41%"
"Sep 18, 2019","7.380","7.340","7.430","7.340","1.40M","0.14%"
"Sep 17, 2019","7.370","7.310","7.370","7.300","1.97M","-0.67%"
"Sep 16, 2019","7.420","7.410","7.450","7.400","1.88M","0.00%"
"Sep 13, 2019","7.420","7.450","7.500","7.420","1.97M","0.13%"
"Sep 12, 2019","7.410","7.340","7.430","7.310","2.22M","1.09%"
"Sep 11, 2019","7.330","7.280","7.340","7.250","1.60M","0.00%"
"Sep 10, 2019","7.330","7.240","7.360","7.220","2.40M","0.14%"
"Sep 09, 2019","7.320","7.280","7.345","7.270","2.03M","1.95%"
"Sep 06, 2019","7.180","7.240","7.250","7.180","1.77M","1.13%"
"Sep 05, 2019","7.100","7.170","7.190","7.090","1.50M","0.57%"
"Sep 04, 2019","7.060","7.040","7.075","7.020","2.06M","1.73%"
"Sep 03, 2019","6.940","6.940","6.980","6.920","1.30M","0.58%"
"Aug 30, 2019","6.900","6.920","6.940","6.850","1.06M","0.44%"
"Aug 29, 2019","6.870","6.870","6.920","6.860","1.53M","0.59%"
"Aug 28, 2019","6.830","6.850","6.875","6.810","1.70M","1.64%"
"Aug 27, 2019","6.720","6.750","6.780","6.710","2.39M","1.05%"
"Aug 26, 2019","6.650","6.650","6.695","6.630","1.91M","2.31%"
"Aug 23, 2019","6.500","6.600","6.650","6.500","1.54M","-1.37%"
"Aug 22, 2019","6.590","6.660","6.680","6.580","1.27M","0.30%"
"Aug 21, 2019","6.570","6.570","6.600","6.550","1.71M","0.77%"
"Aug 20, 2019","6.520","6.590","6.610","6.520","2.17M","-2.25%"
"Aug 19, 2019","6.670","6.710","6.755","6.660","2.18M","0.91%"
"Aug 16, 2019","6.610","6.590","6.630","6.565","2.10M","1.23%"
"Aug 15, 2019","6.530","6.540","6.575","6.510","1.99M","-0.76%"
"Aug 14, 2019","6.580","6.700","6.700","6.575","2.65M","-5.46%"
"Aug 13, 2019","6.960","6.900","7.010","6.880","3.24M","0.14%"
"Aug 12, 2019","6.950","6.980","7.015","6.950","1.49M","-1.70%"
"Aug 09, 2019","7.070","7.080","7.115","7.050","2.44M","-1.94%"
"Aug 08, 2019","7.210","7.260","7.300","7.200","2.03M","-0.69%"
"Aug 07, 2019","7.260","7.210","7.300","7.190","1.76M","-0.82%"
"Aug 06, 2019","7.320","7.360","7.360","7.250","2.35M","-0.95%"
"Aug 05, 2019","7.390","7.450","7.460","7.330","2.69M","-1.34%"
"Aug 02, 2019","7.490","7.560","7.580","7.480","1.55M","0.13%"
"Aug 01, 2019","7.480","7.570","7.630","7.470","2.45M","-1.71%"
"Jul 31, 2019","7.610","7.690","7.740","7.570","1.58M","-1.81%"
"Jul 30, 2019","7.750","7.810","7.810","7.730","1.66M","-2.64%"
"Jul 29, 2019","7.960","7.950","7.975","7.930","940.88K","1.02%"
"Jul 26, 2019","7.880","7.840","7.900","7.820","1.27M","0.38%"
"Jul 25, 2019","7.850","7.930","7.940","7.830","1.32M","-3.09%"
"Jul 24, 2019","8.100","8.160","8.170","8.090","879.94K","-0.49%"
"Jul 23, 2019","8.140","8.150","8.180","8.130","950.08K","0.37%"
"Jul 22, 2019","8.110","8.130","8.140","8.080","980.63K","-0.61%"
"Jul 19, 2019","8.160","8.160","8.230","8.140","1.48M","-0.73%"
"Jul 18, 2019","8.220","8.230","8.250","8.170","1.54M","0.12%"
"Jul 17, 2019","8.210","8.260","8.280","8.200","1.13M","-1.08%"
"Jul 16, 2019","8.300","8.350","8.370","8.280","1.35M","-0.48%"
"Jul 15, 2019","8.340","8.350","8.365","8.300","795.13K","0.12%"
"Jul 12, 2019","8.330","8.370","8.380","8.320","863.50K","-0.83%"
"Jul 11, 2019","8.400","8.410","8.430","8.365","1.19M","0.36%"
"Jul 10, 2019","8.370","8.390","8.410","8.340","1.37M","0.12%"
"Jul 09, 2019","8.360","8.360","8.390","8.340","1.40M","-0.12%"
"Jul 08, 2019","8.370","8.350","8.370","8.325","1.45M","-0.36%"
"Jul 05, 2019","8.400","8.350","8.400","8.310","1.50M","1.33%"
"Jul 03, 2019","8.290","8.310","8.340","8.280","738.03K","-0.12%"
"Jul 02, 2019","8.300","8.240","8.325","8.240","1.37M","0.61%"
"Jul 01, 2019","8.250","8.290","8.290","8.240","1.58M","-0.48%"
"Jun 28, 2019","8.290","8.270","8.300","8.260","1.37M","0.36%"
