"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","8.03","8.09","8.20","7.95","12.20M","-1.59%"
"Oct 24, 2019","8.16","7.95","8.20","7.73","26.16M","2.90%"
"Oct 23, 2019","7.93","8.04","8.05","7.67","27.71M","-1.25%"
"Oct 22, 2019","8.03","8.33","8.33","7.84","27.06M","-1.47%"
"Oct 21, 2019","8.15","7.53","8.95","7.50","77.40M","8.67%"
"Oct 18, 2019","7.50","7.66","7.88","7.41","21.37M","-3.47%"
"Oct 17, 2019","7.77","7.17","7.77","7.13","46.43M","11.80%"
"Oct 16, 2019","6.95","7.20","7.58","6.86","48.55M","-0.29%"
"Oct 15, 2019","6.97","6.70","7.08","6.62","13.53M","3.57%"
"Oct 14, 2019","6.73","6.90","6.90","6.66","8.23M","-2.46%"
"Oct 11, 2019","6.90","6.72","6.99","6.70","12.51M","2.37%"
"Oct 10, 2019","6.74","6.60","6.84","6.59","12.11M","3.06%"
"Oct 09, 2019","6.54","6.60","6.65","6.44","10.61M","0.15%"
"Oct 08, 2019","6.53","6.96","6.97","6.53","19.60M","-6.45%"
"Oct 07, 2019","6.98","6.93","7.15","6.93","11.10M","0.14%"
"Oct 04, 2019","6.97","7.04","7.13","6.88","8.68M","-0.99%"
"Oct 03, 2019","7.04","6.96","7.04","6.69","15.70M","0.86%"
"Oct 02, 2019","6.98","6.73","7.03","6.60","16.33M","3.25%"
"Oct 01, 2019","6.76","6.97","7.37","6.69","18.14M","-1.74%"
"Sep 30, 2019","6.88","6.92","6.93","6.70","8.67M","-0.58%"
"Sep 27, 2019","6.92","6.64","7.10","6.55","17.33M","5.81%"
"Sep 26, 2019","6.54","6.97","7.01","6.50","21.02M","-6.03%"
"Sep 25, 2019","6.96","6.97","7.08","6.86","11.31M","-1.14%"
"Sep 24, 2019","7.04","7.16","7.17","6.94","14.07M","-2.09%"
"Sep 23, 2019","7.19","7.33","7.42","7.07","15.80M","-3.49%"
"Sep 20, 2019","7.45","7.57","7.70","7.38","17.96M","-1.06%"
"Sep 19, 2019","7.53","7.82","7.85","7.52","12.85M","-3.34%"
"Sep 18, 2019","7.79","7.98","8.00","7.75","9.78M","-1.64%"
"Sep 17, 2019","7.92","8.05","8.10","7.72","13.92M","-1.49%"
"Sep 16, 2019","8.04","7.85","8.17","7.83","16.49M","1.26%"
"Sep 13, 2019","7.94","8.25","8.45","7.85","19.47M","-2.93%"
"Sep 12, 2019","8.18","8.17","8.24","7.97","17.50M","-1.68%"
"Sep 11, 2019","8.32","8.11","8.49","7.96","33.06M","2.34%"
"Sep 10, 2019","8.13","7.40","8.23","7.37","45.18M","9.27%"
