"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","7.570","7.490","7.780","7.350","437.68K","-0.13%"
"Oct 24, 2019","7.580","7.680","7.710","7.330","472.60K","-1.43%"
"Oct 23, 2019","7.690","7.920","7.950","7.600","311.12K","-2.29%"
"Oct 22, 2019","7.870","7.940","8.040","7.730","727.38K","-2.11%"
"Oct 21, 2019","8.040","8.030","8.110","7.910","282.97K","-0.37%"
"Oct 18, 2019","8.070","8.120","8.120","7.900","258.75K","0.00%"
"Oct 17, 2019","8.070","8.150","8.260","7.970","212.20K","-0.98%"
"Oct 16, 2019","8.150","8.260","8.440","8.000","206.00K","-1.45%"
"Oct 15, 2019","8.270","8.300","8.330","8.060","172.50K","0.73%"
"Oct 14, 2019","8.210","8.370","8.370","8.060","195.06K","-1.79%"
"Oct 11, 2019","8.360","8.350","8.610","8.350","238.41K","0.72%"
"Oct 10, 2019","8.300","8.020","8.380","7.880","284.69K","4.01%"
"Oct 09, 2019","7.980","8.240","8.430","7.780","273.34K","-2.33%"
"Oct 08, 2019","8.170","8.620","8.640","8.170","178.20K","-6.09%"
"Oct 07, 2019","8.700","9.020","9.190","8.640","163.78K","-3.23%"
"Oct 04, 2019","8.990","8.560","9.000","8.510","270.98K","6.39%"
"Oct 03, 2019","8.450","8.560","8.750","8.410","188.56K","-1.52%"
"Oct 02, 2019","8.580","8.330","8.710","8.120","265.57K","2.63%"
"Oct 01, 2019","8.360","8.500","8.680","8.190","162.26K","-1.53%"
"Sep 30, 2019","8.490","8.480","8.510","8.190","285.56K","-0.82%"
"Sep 27, 2019","8.560","8.410","8.700","8.280","494.38K","2.39%"
"Sep 26, 2019","8.360","8.470","8.470","8.110","340.68K","-1.42%"
"Sep 25, 2019","8.480","8.230","8.490","8.050","215.52K","3.04%"
"Sep 24, 2019","8.230","8.390","8.530","8.200","318.77K","-2.37%"
"Sep 23, 2019","8.430","8.350","8.750","8.190","291.47K","0.12%"
"Sep 20, 2019","8.420","8.530","8.590","8.330","664.75K","-1.75%"
"Sep 19, 2019","8.570","8.230","8.600","8.090","359.20K","3.50%"
"Sep 18, 2019","8.280","8.070","8.280","8.020","266.46K","1.72%"
"Sep 17, 2019","8.140","8.350","8.350","7.940","218.25K","-1.93%"
"Sep 16, 2019","8.300","7.670","8.360","7.660","616.27K","7.37%"
"Sep 13, 2019","7.730","7.940","8.120","7.710","433.28K","-2.89%"
"Sep 12, 2019","7.960","8.120","8.180","7.930","228.62K","-2.33%"
"Sep 11, 2019","8.150","8.110","8.240","7.835","349.13K","0.99%"
"Sep 10, 2019","8.070","8.090","8.190","7.900","360.95K","0.00%"
"Sep 09, 2019","8.070","8.080","8.250","7.870","303.94K","-0.49%"
"Sep 06, 2019","8.110","8.310","8.650","8.070","476.99K","-2.52%"
"Sep 05, 2019","8.320","8.320","8.740","8.270","729.18K","1.22%"
"Sep 04, 2019","8.220","7.430","8.570","7.380","1.30M","11.08%"
"Sep 03, 2019","7.400","7.670","7.845","7.100","805.75K","-1.33%"
"Aug 30, 2019","7.500","7.830","8.010","7.430","719.46K","-3.72%"
"Aug 29, 2019","7.790","7.880","7.990","7.595","661.46K","-1.64%"
"Aug 28, 2019","7.920","7.980","8.080","7.725","975.78K","-0.50%"
"Aug 27, 2019","7.960","8.430","8.440","7.920","929.81K","-5.80%"
"Aug 26, 2019","8.450","8.840","8.845","8.410","254.06K","-3.10%"
"Aug 23, 2019","8.720","8.970","9.215","8.640","709.35K","-2.57%"
"Aug 22, 2019","8.950","9.160","9.300","8.920","300.51K","-2.93%"
"Aug 21, 2019","9.220","8.940","9.230","8.680","667.18K","3.60%"
"Aug 20, 2019","8.900","8.950","9.170","8.700","915.46K","1.37%"
"Aug 19, 2019","8.780","9.580","9.667","8.740","887.40K","-9.58%"
"Aug 16, 2019","9.710","9.600","10.310","9.460","968.84K","2.10%"
"Aug 15, 2019","9.510","9.210","9.861","8.890","1.31M","8.69%"
"Aug 14, 2019","8.750","8.790","9.450","8.390","1.50M","-1.91%"
"Aug 13, 2019","8.920","8.320","9.000","8.300","1.31M","8.78%"
"Aug 12, 2019","8.200","8.200","9.450","6.050","3.91M","-48.04%"
"Aug 09, 2019","15.780","14.930","15.900","14.770","710.18K","5.69%"
"Aug 08, 2019","14.930","14.980","15.320","14.920","396.10K","-0.13%"
"Aug 07, 2019","14.950","14.770","15.190","14.500","594.01K","0.27%"
"Aug 06, 2019","14.910","14.920","15.150","14.600","212.23K","1.36%"
"Aug 05, 2019","14.710","14.850","15.040","14.370","380.54K","-0.94%"
"Aug 02, 2019","14.850","15.210","15.210","14.660","289.20K","-1.98%"
"Aug 01, 2019","15.150","15.860","15.960","15.050","293.62K","-2.95%"
"Jul 31, 2019","15.610","16.000","16.000","15.150","506.75K","-2.01%"
"Jul 30, 2019","15.930","15.610","15.955","15.610","669.38K","2.25%"
"Jul 29, 2019","15.580","15.410","15.580","15.045","322.51K","1.63%"
"Jul 26, 2019","15.330","14.990","15.570","14.990","388.69K","2.06%"
"Jul 25, 2019","15.020","14.960","15.070","14.680","354.63K","0.07%"
"Jul 24, 2019","15.010","14.440","15.180","14.440","523.05K","3.88%"
"Jul 23, 2019","14.450","14.550","14.660","14.010","244.91K","0.07%"
"Jul 22, 2019","14.440","15.350","15.420","14.430","326.50K","-5.00%"
"Jul 19, 2019","15.200","15.220","15.410","15.100","195.94K","-0.39%"
"Jul 18, 2019","15.260","15.860","15.860","15.180","226.51K","-2.99%"
"Jul 17, 2019","15.730","15.800","15.980","15.660","314.91K","0.90%"
"Jul 16, 2019","15.590","15.500","16.024","15.350","548.59K","-0.26%"
"Jul 15, 2019","15.630","16.270","16.330","15.480","332.57K","-3.76%"
"Jul 12, 2019","16.240","16.390","16.690","16.230","418.18K","-0.98%"
"Jul 11, 2019","16.400","15.490","16.400","15.490","529.27K","6.42%"
"Jul 10, 2019","15.410","14.960","15.465","14.950","740.37K","3.08%"
"Jul 09, 2019","14.950","14.970","15.070","14.820","177.83K","0.20%"
"Jul 08, 2019","14.920","14.650","15.135","14.650","318.68K","1.29%"
"Jul 05, 2019","14.730","14.800","14.875","14.540","144.29K","0.00%"
"Jul 03, 2019","14.730","14.910","15.440","14.700","545.07K","-0.67%"
"Jul 02, 2019","14.830","14.680","14.860","14.480","270.82K","0.61%"
"Jul 01, 2019","14.740","14.570","14.820","14.480","466.80K","1.94%"
"Jun 28, 2019","14.460","14.310","14.520","14.090","199.88K","1.90%"
"Jun 27, 2019","14.190","14.340","14.530","14.120","539.32K","-0.91%"
"Jun 26, 2019","14.320","14.710","14.720","14.160","231.01K","-2.72%"
"Jun 25, 2019","14.720","14.650","14.935","14.650","250.22K","0.62%"
"Jun 24, 2019","14.630","14.720","14.835","14.395","357.75K","-0.48%"
"Jun 21, 2019","14.700","14.660","14.850","14.505","519.38K","0.68%"
"Jun 20, 2019","14.600","14.960","15.010","14.580","414.27K","-0.88%"
"Jun 19, 2019","14.730","14.840","15.060","14.610","366.42K","-0.94%"
"Jun 18, 2019","14.870","15.000","15.200","14.660","938.61K","0.47%"
"Jun 17, 2019","14.800","14.710","15.050","14.630","198.76K","0.07%"
"Jun 14, 2019","14.790","14.680","14.830","14.340","302.32K","0.27%"
"Jun 13, 2019","14.750","15.000","15.075","14.560","803.92K","-1.67%"
"Jun 12, 2019","15.000","14.350","15.785","14.350","1.47M","4.60%"
"Jun 11, 2019","14.340","13.500","14.340","13.390","897.16K","7.17%"
"Jun 10, 2019","13.380","13.140","13.580","12.950","407.45K","1.67%"
"Jun 07, 2019","13.160","13.320","13.530","13.080","253.22K","-0.45%"
"Jun 06, 2019","13.220","13.510","13.660","13.070","330.52K","-1.56%"
"Jun 05, 2019","13.430","13.410","13.900","13.270","641.88K","0.67%"
"Jun 04, 2019","13.340","13.240","13.370","12.560","789.13K","1.21%"
"Jun 03, 2019","13.180","13.130","13.280","12.840","473.75K","0.69%"
"May 31, 2019","13.090","13.170","13.205","12.915","529.07K","-0.61%"
"May 30, 2019","13.170","12.660","13.260","12.660","833.10K","4.36%"
"May 29, 2019","12.620","12.600","12.880","11.800","974.12K","-0.86%"
"May 28, 2019","12.730","12.840","13.100","12.500","10.44M","-0.39%"
"May 24, 2019","12.780","12.470","12.780","12.300","809.25K","3.48%"
"May 23, 2019","12.350","12.340","12.520","12.070","671.40K","-1.12%"
"May 22, 2019","12.490","12.010","12.550","12.000","976.82K","4.34%"
"May 21, 2019","11.970","11.690","12.340","11.660","788.35K","2.66%"
"May 20, 2019","11.660","11.560","11.930","10.940","600.73K","0.17%"
"May 17, 2019","11.640","11.470","11.980","11.425","514.05K","1.22%"
"May 16, 2019","11.500","11.490","11.720","11.340","460.59K","-0.09%"
"May 15, 2019","11.510","11.130","11.680","11.130","674.50K","1.86%"
"May 14, 2019","11.300","11.130","11.440","11.100","341.20K","1.07%"
"May 13, 2019","11.180","11.420","11.420","10.650","413.19K","-3.70%"
"May 10, 2019","11.610","11.580","11.980","11.390","491.38K","0.43%"
"May 09, 2019","11.560","11.700","11.995","11.440","526.81K","-1.95%"
"May 08, 2019","11.790","11.400","12.090","11.340","645.62K","4.52%"
"May 07, 2019","11.280","11.340","11.580","11.000","441.88K","-1.66%"
"May 06, 2019","11.470","10.670","11.590","10.610","452.78K","5.42%"
"May 03, 2019","10.880","10.640","11.210","10.640","691.89K","2.64%"
"May 02, 2019","10.600","10.300","10.750","10.300","359.44K","2.51%"
"May 01, 2019","10.340","10.170","10.730","10.170","429.16K","1.77%"
"Apr 30, 2019","10.160","9.820","10.210","9.820","532.15K","3.25%"
"Apr 29, 2019","9.840","9.980","10.140","9.670","671.05K","-0.91%"
"Apr 26, 2019","9.930","10.080","10.400","9.730","398.62K","-0.60%"
"Apr 25, 2019","9.990","10.210","10.440","8.810","2.15M","-2.82%"
"Apr 24, 2019","10.280","11.490","11.500","10.133","800.31K","-10.14%"
"Apr 23, 2019","11.440","10.960","11.560","10.960","812.00K","4.57%"
"Apr 22, 2019","10.940","10.900","11.155","10.695","527.51K","0.37%"
"Apr 18, 2019","10.900","11.090","11.370","10.880","402.14K","-8.63%"
"Apr 17, 2019","11.930","12.430","12.570","11.840","660.91K","-3.79%"
"Apr 16, 2019","12.400","12.620","12.870","12.320","245.00K","-1.59%"
"Apr 15, 2019","12.600","12.210","12.710","12.010","257.26K","3.96%"
"Apr 12, 2019","12.120","11.900","12.360","11.850","356.42K","2.11%"
"Apr 11, 2019","11.870","12.060","12.065","11.780","180.07K","-1.66%"
"Apr 10, 2019","12.070","11.800","12.190","11.800","188.29K","2.29%"
"Apr 09, 2019","11.800","12.460","12.540","11.730","239.62K","-5.83%"
"Apr 08, 2019","12.530","12.220","12.570","12.110","197.62K","2.96%"
"Apr 05, 2019","12.170","12.300","12.530","11.945","387.00K","-1.38%"
"Apr 04, 2019","12.340","12.400","12.480","12.140","249.19K","-0.88%"
"Apr 03, 2019","12.450","12.740","12.900","12.090","250.92K","-1.35%"
"Apr 02, 2019","12.620","13.300","13.410","12.370","309.31K","-5.11%"
"Apr 01, 2019","13.300","13.400","13.960","13.100","425.67K","1.06%"
"Mar 29, 2019","13.160","13.150","13.420","13.150","285.51K","1.31%"
"Mar 28, 2019","12.990","12.580","13.100","12.580","549.34K","3.84%"
"Mar 27, 2019","12.510","13.020","13.160","12.370","513.08K","-4.50%"
"Mar 26, 2019","13.100","13.590","13.860","12.900","379.72K","-2.96%"
"Mar 25, 2019","13.500","13.560","13.882","13.450","147.08K","0.30%"
"Mar 22, 2019","13.460","14.070","14.082","13.360","494.47K","-5.61%"
"Mar 21, 2019","14.260","14.510","14.570","13.970","212.32K","-1.86%"
"Mar 20, 2019","14.530","14.650","14.800","14.230","238.03K","-1.16%"
"Mar 19, 2019","14.700","15.180","15.270","14.520","245.68K","-2.00%"
"Mar 18, 2019","15.000","14.470","15.370","14.470","261.12K","3.81%"
"Mar 15, 2019","14.450","14.200","14.860","14.200","247.16K","2.05%"
"Mar 14, 2019","14.160","14.060","14.280","14.010","89.25K","0.43%"
"Mar 13, 2019","14.100","14.050","14.680","14.050","198.70K","0.07%"
"Mar 12, 2019","14.090","14.620","14.630","13.990","196.92K","-2.83%"
"Mar 11, 2019","14.500","14.010","14.690","14.010","230.29K","4.54%"
"Mar 08, 2019","13.870","13.250","14.100","13.200","348.15K","4.60%"
"Mar 07, 2019","13.260","13.540","13.560","13.100","225.45K","-2.00%"
"Mar 06, 2019","13.530","13.940","14.020","13.110","424.12K","-4.04%"
"Mar 05, 2019","14.100","14.160","14.270","13.980","235.51K","-0.07%"
"Mar 04, 2019","14.110","14.160","14.470","13.920","308.33K","-0.28%"
"Mar 01, 2019","14.150","14.540","14.800","13.990","144.46K","-2.62%"
"Feb 28, 2019","14.530","15.050","15.050","14.470","221.70K","-3.39%"
"Feb 27, 2019","15.040","15.390","15.625","14.950","168.86K","-2.27%"
"Feb 26, 2019","15.390","15.660","15.980","14.780","229.13K","-0.52%"
"Feb 25, 2019","15.470","15.330","15.590","15.150","191.41K","1.71%"
"Feb 22, 2019","15.210","14.510","15.340","14.510","382.83K","5.41%"
"Feb 21, 2019","14.430","14.640","14.690","14.270","150.73K","-1.37%"
"Feb 20, 2019","14.630","14.580","15.270","14.350","392.30K","-1.68%"
"Feb 19, 2019","14.880","15.590","15.590","14.570","306.47K","-4.98%"
"Feb 15, 2019","15.660","16.020","16.090","15.600","160.81K","-2.31%"
"Feb 14, 2019","16.030","15.990","16.250","15.680","59.29K","-0.31%"
"Feb 13, 2019","16.080","16.630","16.690","15.980","153.47K","-3.13%"
"Feb 12, 2019","16.600","16.560","16.950","16.510","202.17K","1.22%"
"Feb 11, 2019","16.400","16.020","16.550","15.880","314.33K","3.08%"
"Feb 08, 2019","15.910","15.610","15.980","15.330","104.94K","1.79%"
"Feb 07, 2019","15.630","16.210","16.210","15.420","171.29K","-3.70%"
"Feb 06, 2019","16.230","16.690","16.690","16.090","108.04K","-2.52%"
"Feb 05, 2019","16.650","16.660","17.000","16.540","231.75K","0.24%"
"Feb 04, 2019","16.610","16.520","16.790","16.490","211.31K","0.18%"
"Feb 01, 2019","16.580","16.850","16.960","16.460","226.63K","-1.49%"
"Jan 31, 2019","16.830","16.870","16.940","16.520","203.57K","0.90%"
"Jan 30, 2019","16.680","16.850","16.890","16.560","182.03K","0.48%"
"Jan 29, 2019","16.600","16.750","16.793","16.460","151.49K","0.12%"
"Jan 28, 2019","16.580","16.240","16.650","16.130","203.05K","0.79%"
"Jan 25, 2019","16.450","16.640","16.735","16.280","412.74K","0.55%"
"Jan 24, 2019","16.360","16.400","16.600","16.170","281.40K","0.06%"
"Jan 23, 2019","16.350","16.250","16.350","16.170","192.49K","1.87%"
"Jan 22, 2019","16.050","16.350","16.416","15.910","97.94K","-2.19%"
"Jan 18, 2019","16.410","16.540","16.620","16.220","249.54K","-0.06%"
"Jan 17, 2019","16.420","16.230","16.640","16.050","374.44K","1.17%"
"Jan 16, 2019","16.230","16.150","16.590","16.130","303.95K","0.62%"
"Jan 15, 2019","16.130","16.100","16.460","15.920","217.98K","1.00%"
"Jan 14, 2019","15.970","16.030","16.150","15.790","145.00K","0.25%"
"Jan 11, 2019","15.930","15.700","16.105","15.620","221.90K","1.34%"
"Jan 10, 2019","15.720","15.700","15.872","15.470","173.76K","0.00%"
"Jan 09, 2019","15.720","15.790","16.000","15.360","444.51K","1.48%"
"Jan 08, 2019","15.490","15.800","15.800","15.290","52.72K","-1.40%"
"Jan 07, 2019","15.710","15.670","15.900","15.370","151.09K","1.29%"
"Jan 04, 2019","15.510","14.510","15.870","14.390","208.38K","7.78%"
"Jan 03, 2019","14.390","14.560","14.670","14.140","59.59K","-1.24%"
"Jan 02, 2019","14.570","15.080","15.080","14.520","92.19K","-2.87%"
"Dec 31, 2018","15.000","14.160","15.050","14.030","92.15K","5.78%"
"Dec 28, 2018","14.180","13.950","14.780","13.950","133.09K","1.29%"
"Dec 27, 2018","14.000","13.430","14.100","13.400","87.79K","2.87%"
"Dec 26, 2018","13.610","13.250","13.850","13.230","241.42K","-0.58%"
"Dec 24, 2018","13.690","13.540","14.080","13.540","50.47K","-1.44%"
"Dec 21, 2018","13.890","13.960","14.210","13.750","128.00K","-0.57%"
"Dec 20, 2018","13.970","14.750","14.758","13.830","242.03K","-4.38%"
"Dec 19, 2018","14.610","15.190","15.400","14.610","105.19K","-3.88%"
