"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","5.66","5.67","5.67","5.63","17.06K","0.35%"
"Oct 28, 2019","5.64","5.64","5.66","5.59","384.35K","0.89%"
"Oct 25, 2019","5.59","5.60","5.61","5.56","316.22K","0.36%"
"Oct 24, 2019","5.57","5.62","5.63","5.52","360.08K","-0.18%"
"Oct 23, 2019","5.58","5.52","5.62","5.50","517.23K","4.49%"
"Oct 22, 2019","5.34","5.33","5.38","5.32","389.23K","0.75%"
"Oct 21, 2019","5.30","5.33","5.35","5.28","330.79K","-2.39%"
"Oct 18, 2019","5.43","5.43","5.45","5.38","629.16K","0.56%"
"Oct 17, 2019","5.40","5.04","5.48","5.00","1.88M","4.25%"
"Oct 16, 2019","5.18","5.18","5.21","5.13","563.61K","-0.58%"
"Oct 15, 2019","5.21","5.22","5.24","5.16","514.26K","0.97%"
"Oct 14, 2019","5.16","5.24","5.25","5.15","620.55K","-5.32%"
"Oct 11, 2019","5.45","5.44","5.50","5.32","964.05K","1.30%"
"Oct 10, 2019","5.38","5.35","5.41","5.31","451.60K","-3.58%"
"Oct 09, 2019","5.58","5.64","5.64","5.55","421.62K","-1.59%"
"Oct 08, 2019","5.67","5.69","5.69","5.62","325.26K","1.80%"
"Oct 07, 2019","5.57","5.75","5.75","5.57","417.63K","-4.13%"
"Oct 04, 2019","5.81","5.74","5.83","5.73","494.13K","1.57%"
"Oct 03, 2019","5.72","5.67","5.72","5.62","253.86K","0.00%"
"Oct 02, 2019","5.72","5.69","5.75","5.69","238.41K","1.42%"
"Oct 01, 2019","5.64","5.70","5.70","5.61","446.40K","-2.42%"
"Sep 30, 2019","5.78","5.89","5.89","5.77","277.41K","0.52%"
"Sep 27, 2019","5.75","5.78","5.80","5.71","287.72K","1.23%"
"Sep 26, 2019","5.68","5.76","5.77","5.67","340.59K","-3.89%"
"Sep 25, 2019","5.91","5.79","5.92","5.79","536.84K","3.68%"
"Sep 24, 2019","5.70","5.74","5.77","5.68","323.37K","0.35%"
"Sep 23, 2019","5.68","5.62","5.71","5.62","424.50K","3.09%"
"Sep 20, 2019","5.51","5.60","5.63","5.51","375.33K","-1.78%"
"Sep 19, 2019","5.61","5.62","5.65","5.58","312.68K","-1.58%"
"Sep 18, 2019","5.70","5.67","5.76","5.64","363.09K","-1.04%"
"Sep 17, 2019","5.76","5.70","5.79","5.69","239.59K","-1.03%"
"Sep 16, 2019","5.82","5.84","5.86","5.79","161.56K","-1.85%"
"Sep 13, 2019","5.93","5.98","6.00","5.91","212.16K","0.51%"
"Sep 12, 2019","5.90","5.85","5.91","5.81","192.80K","0.51%"
