"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","18.92","19.29","19.46","18.80","2.79M","1.18%"
"May 15, 2020","18.70","17.73","18.88","17.25","6.78M","5.41%"
"May 14, 2020","17.74","17.26","17.74","17.05","4.71M","0.80%"
"May 13, 2020","17.60","17.36","18.12","17.17","7.15M","1.97%"
"May 12, 2020","17.26","18.26","18.70","17.24","4.10M","-3.95%"
"May 11, 2020","17.97","18.41","18.59","17.75","5.34M","-2.86%"
"May 08, 2020","18.50","18.78","18.95","17.95","5.55M","1.59%"
"May 07, 2020","18.21","20.18","20.28","18.17","8.69M","-7.52%"
"May 06, 2020","19.69","20.23","20.28","19.32","4.74M","-2.86%"
"May 05, 2020","20.27","20.35","20.71","20.08","5.87M","1.35%"
"May 04, 2020","20.00","19.73","20.30","19.10","5.30M","1.44%"
"Apr 30, 2020","19.72","19.54","20.03","19.39","5.36M","0.60%"
"Apr 29, 2020","19.60","19.60","19.83","18.93","6.51M","1.45%"
"Apr 28, 2020","19.32","20.57","21.26","19.18","8.33M","-0.60%"
"Apr 27, 2020","19.44","18.26","19.66","17.96","5.22M","10.06%"
"Apr 24, 2020","17.66","18.96","19.46","17.13","8.12M","-9.40%"
"Apr 23, 2020","19.49","20.42","20.42","19.35","4.50M","-2.80%"
"Apr 22, 2020","20.06","19.63","20.53","19.62","7.51M","2.17%"
"Apr 20, 2020","19.63","19.15","19.69","19.05","5.08M","0.00%"
"Apr 17, 2020","19.63","19.66","20.17","19.10","9.64M","1.64%"
"Apr 16, 2020","19.32","18.83","19.81","18.52","8.60M","2.98%"
"Apr 15, 2020","18.76","17.99","19.10","17.78","7.78M","2.53%"
"Apr 14, 2020","18.30","18.82","19.57","18.28","7.85M","-1.15%"
"Apr 13, 2020","18.51","17.88","18.51","17.46","4.45M","3.53%"
"Apr 09, 2020","17.88","18.68","19.22","17.88","10.89M","-1.36%"
"Apr 08, 2020","18.12","16.96","18.38","16.70","6.54M","7.05%"
"Apr 07, 2020","16.93","16.62","18.11","16.30","10.42M","8.97%"
"Apr 06, 2020","15.54","15.30","16.23","15.09","4.06M","6.30%"
"Apr 03, 2020","14.61","15.09","15.27","14.23","9.35M","-3.64%"
"Apr 02, 2020","15.17","14.95","15.41","14.71","6.17M","1.85%"
"Apr 01, 2020","14.89","14.93","15.73","14.20","9.17M","-4.09%"
"Mar 31, 2020","15.53","15.40","15.81","15.17","9.30M","-0.55%"
"Mar 30, 2020","15.61","15.89","16.13","15.15","8.58M","3.12%"
"Mar 27, 2020","15.14","17.11","17.13","14.84","19.62M","-14.37%"
"Mar 26, 2020","17.68","18.35","18.82","16.97","11.64M","-3.34%"
"Mar 25, 2020","18.29","15.20","18.73","14.98","6.87M","19.78%"
"Mar 24, 2020","15.27","15.84","16.43","15.27","6.86M","5.02%"
"Mar 23, 2020","14.54","14.54","14.61","13.49","7.50M","0.00%"
"Mar 20, 2020","14.54","14.36","15.52","13.84","17.97M","3.86%"
"Mar 19, 2020","14.00","13.97","15.11","12.35","12.11M","-1.82%"
"Mar 18, 2020","14.26","15.36","15.70","13.36","12.87M","-15.32%"
"Mar 17, 2020","16.84","16.97","17.88","16.44","4.59M","2.25%"
"Mar 16, 2020","16.47","16.67","17.44","15.72","6.87M","-14.08%"
"Mar 13, 2020","19.17","19.96","19.96","17.26","8.12M","12.43%"
"Mar 12, 2020","17.05","16.83","17.99","16.70","5.26M","-12.65%"
"Mar 11, 2020","19.52","19.96","20.41","18.29","10.76M","-5.75%"
"Mar 10, 2020","20.71","19.96","21.10","19.91","6.80M","6.75%"
"Mar 09, 2020","19.40","19.12","20.71","19.12","10.04M","-10.19%"
"Mar 06, 2020","21.60","21.83","22.23","21.35","9.54M","-6.57%"
"Mar 05, 2020","23.12","24.26","24.45","22.38","4.45M","-6.05%"
"Mar 04, 2020","24.61","24.76","24.76","23.96","6.05M","0.94%"
"Mar 03, 2020","24.38","24.77","25.12","23.84","5.89M","-1.18%"
"Mar 02, 2020","24.67","23.61","24.84","23.39","9.92M","4.45%"
"Feb 28, 2020","23.62","24.39","24.41","23.28","11.95M","-3.55%"
"Feb 27, 2020","24.49","25.78","26.08","24.49","11.96M","-6.10%"
"Feb 26, 2020","26.08","26.61","26.61","25.78","8.55M","-5.58%"
"Feb 21, 2020","27.62","27.27","27.71","26.94","5.40M","0.99%"
