"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","52.760","52.480","52.955","52.400","1.10M","0.65%"
"Oct 24, 2019","52.420","53.070","53.080","52.320","834.42K","-0.85%"
"Oct 23, 2019","52.870","52.450","52.870","52.302","773.14K","0.95%"
"Oct 22, 2019","52.370","52.300","52.730","52.040","938.34K","0.69%"
"Oct 21, 2019","52.010","51.940","52.100","51.765","867.31K","1.05%"
"Oct 18, 2019","51.470","51.770","51.870","51.460","1.05M","-0.10%"
"Oct 17, 2019","51.520","51.610","51.670","51.220","1.30M","0.82%"
"Oct 16, 2019","51.100","51.080","51.460","51.075","1.20M","0.14%"
"Oct 15, 2019","51.030","50.990","51.500","50.930","1.58M","0.75%"
"Oct 14, 2019","50.650","50.350","50.780","50.260","1.79M","-0.67%"
"Oct 11, 2019","50.990","51.090","51.300","50.890","2.39M","2.31%"
"Oct 10, 2019","49.840","49.630","50.125","49.520","2.45M","1.53%"
"Oct 09, 2019","49.090","49.230","49.390","49.015","2.46M","1.13%"
"Oct 08, 2019","48.540","48.820","49.100","48.540","2.85M","-1.06%"
"Oct 07, 2019","49.060","49.400","49.785","48.990","4.26M","0.41%"
"Oct 04, 2019","48.860","49.500","49.580","48.765","6.33M","-1.15%"
"Oct 03, 2019","49.430","49.180","49.705","48.806","4.68M","-1.08%"
"Oct 02, 2019","49.970","50.520","50.600","49.755","3.99M","-2.97%"
"Oct 01, 2019","51.500","52.260","52.360","51.385","12.70M","-0.96%"
"Sep 30, 2019","52.000","51.960","52.285","51.870","4.66M","0.27%"
"Sep 27, 2019","51.860","51.690","52.160","51.610","4.43M","0.33%"
"Sep 26, 2019","51.690","51.080","51.880","50.930","3.38M","1.77%"
"Sep 25, 2019","50.790","50.800","51.007","50.485","2.78M","-2.21%"
"Sep 24, 2019","51.940","53.450","53.500","51.900","2.78M","-3.22%"
"Sep 23, 2019","53.670","53.360","54.050","53.270","1.79M","-0.32%"
"Sep 20, 2019","53.840","54.030","54.485","53.840","2.66M","1.85%"
"Sep 19, 2019","52.860","53.550","53.560","52.470","1.24M","0.06%"
"Sep 18, 2019","52.830","52.930","53.340","52.584","1.30M","0.02%"
"Sep 17, 2019","52.820","53.740","53.780","52.370","3.06M","0.34%"
"Sep 16, 2019","52.640","52.880","53.324","52.570","2.59M","1.52%"
"Sep 13, 2019","51.850","51.890","51.940","51.407","1.31M","0.29%"
"Sep 12, 2019","51.700","50.980","51.775","50.790","1.10M","0.51%"
"Sep 11, 2019","51.440","52.010","52.270","51.310","1.25M","-0.83%"
"Sep 10, 2019","51.870","52.140","52.445","51.710","1.87M","1.87%"
"Sep 09, 2019","50.920","50.940","51.280","50.860","1.64M","0.79%"
"Sep 06, 2019","50.520","50.350","50.660","50.170","1.13M","0.22%"
"Sep 05, 2019","50.410","50.800","51.030","50.400","1.61M","0.98%"
"Sep 04, 2019","49.920","49.840","50.080","49.750","1.08M","1.28%"
"Sep 03, 2019","49.290","48.810","49.387","48.740","3.13M","-1.26%"
"Aug 30, 2019","49.920","50.250","50.260","49.550","1.40M","0.79%"
"Aug 29, 2019","49.530","49.800","49.880","49.520","1.12M","0.88%"
"Aug 28, 2019","49.100","48.780","49.260","48.600","1.30M","0.76%"
"Aug 27, 2019","48.730","48.980","49.140","48.440","1.16M","0.43%"
"Aug 26, 2019","48.520","48.890","48.975","48.423","1.41M","0.83%"
"Aug 23, 2019","48.120","48.630","49.000","48.000","1.54M","-1.74%"
"Aug 22, 2019","48.970","49.370","49.410","48.802","866.84K","-0.31%"
"Aug 21, 2019","49.120","49.360","49.410","49.040","988.11K","1.13%"
"Aug 20, 2019","48.570","48.450","48.640","48.110","1.68M","-0.70%"
"Aug 19, 2019","48.910","48.880","49.080","48.730","1.88M","1.87%"
"Aug 16, 2019","48.010","47.770","48.225","47.700","1.52M","-0.08%"
"Aug 15, 2019","48.050","48.000","48.440","47.860","1.35M","-0.56%"
"Aug 14, 2019","48.320","48.510","48.790","48.320","4.21M","-2.25%"
"Aug 13, 2019","49.430","48.850","49.940","48.730","5.13M","1.65%"
"Aug 12, 2019","48.630","48.490","48.670","48.390","1.79M","-0.33%"
"Aug 09, 2019","48.790","48.950","49.030","48.580","1.03M","-1.07%"
"Aug 08, 2019","49.320","48.900","49.345","48.730","1.21M","1.15%"
"Aug 07, 2019","48.760","48.210","49.050","47.910","1.31M","-0.43%"
"Aug 06, 2019","48.970","49.230","49.340","48.610","2.44M","-0.35%"
"Aug 05, 2019","49.140","49.090","49.345","48.920","3.65M","-0.51%"
"Aug 02, 2019","49.390","50.360","50.470","49.180","4.05M","-3.02%"
"Aug 01, 2019","50.930","51.270","51.630","50.440","2.81M","-1.57%"
"Jul 31, 2019","51.740","52.600","52.630","51.560","3.66M","-2.65%"
"Jul 30, 2019","53.150","52.650","53.250","52.480","3.37M","-0.97%"
"Jul 29, 2019","53.670","53.940","53.940","53.575","1.45M","0.07%"
"Jul 26, 2019","53.630","53.860","53.870","53.390","818.69K","0.64%"
"Jul 25, 2019","53.290","53.890","53.940","53.210","876.08K","-0.87%"
"Jul 24, 2019","53.760","53.720","54.220","53.680","2.53M","-0.99%"
"Jul 23, 2019","54.300","54.620","54.760","54.290","1.03M","-0.20%"
"Jul 22, 2019","54.410","54.350","54.540","54.030","1.55M","-0.17%"
"Jul 19, 2019","54.500","54.070","54.540","53.840","1.49M","0.09%"
"Jul 18, 2019","54.450","54.050","54.460","53.830","2.53M","-0.33%"
"Jul 17, 2019","54.630","54.820","54.872","54.500","3.49M","-1.73%"
"Jul 16, 2019","55.590","55.800","56.250","55.400","2.20M","-1.75%"
"Jul 15, 2019","56.580","56.460","56.810","56.220","2.68M","0.23%"
"Jul 12, 2019","56.450","56.020","56.500","55.950","2.18M","0.04%"
"Jul 11, 2019","56.430","56.510","56.570","56.070","1.03M","0.23%"
"Jul 10, 2019","56.300","56.170","56.360","55.855","979.15K","1.48%"
"Jul 09, 2019","55.480","55.440","55.580","55.240","797.35K","-0.22%"
"Jul 08, 2019","55.600","55.570","55.786","55.460","783.24K","0.42%"
"Jul 05, 2019","55.370","55.460","55.580","55.070","575.30K","-0.25%"
"Jul 03, 2019","55.510","55.340","55.529","55.050","1.29M","-0.77%"
"Jul 02, 2019","55.940","56.430","56.470","55.850","769.33K","-0.16%"
