"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","24.47","24.47","24.47","24.47","-","1.28%"
"Nov 19, 2019","24.16","25.90","25.90","24.16","3.60K","-3.13%"
"Nov 18, 2019","24.94","25.75","25.95","24.71","0.90K","-2.96%"
"Nov 14, 2019","25.70","25.45","25.70","24.24","9.60K","1.58%"
"Nov 13, 2019","25.30","25.59","25.74","23.99","3.30K","-1.09%"
"Nov 12, 2019","25.58","25.81","25.99","25.58","2.80K","-0.85%"
"Nov 11, 2019","25.80","26.00","26.37","25.62","4.10K","0.31%"
"Nov 08, 2019","25.72","25.72","26.18","25.46","5.20K","-0.16%"
"Nov 07, 2019","25.76","26.00","26.39","25.39","8.40K","-0.92%"
"Nov 06, 2019","26.00","25.99","26.01","25.81","2.90K","-0.76%"
"Nov 05, 2019","26.20","26.19","26.20","25.36","1.90K","3.35%"
"Nov 04, 2019","25.35","25.52","25.98","25.27","1.90K","-1.90%"
"Nov 01, 2019","25.84","25.91","25.92","25.83","1.10K","0.66%"
"Oct 31, 2019","25.67","25.82","26.20","25.67","2.30K","0.00%"
"Oct 30, 2019","25.67","25.42","25.67","25.42","0.90K","1.38%"
"Oct 29, 2019","25.32","25.29","25.33","24.85","3.00K","-2.80%"
"Oct 28, 2019","26.05","25.80","26.05","25.80","0.60K","0.66%"
"Oct 25, 2019","25.88","25.95","26.38","25.88","3.50K","-1.03%"
"Oct 24, 2019","26.15","26.38","26.38","26.11","3.00K","-0.95%"
"Oct 23, 2019","26.40","26.32","26.40","26.32","2.00K","0.00%"
"Oct 22, 2019","26.40","26.40","26.40","26.40","0.50K","0.00%"
"Oct 21, 2019","26.40","25.95","26.40","25.90","12.40K","1.15%"
"Oct 18, 2019","26.10","26.21","26.30","25.98","2.90K","0.00%"
"Oct 17, 2019","26.10","26.32","26.40","26.00","2.60K","-0.53%"
"Oct 16, 2019","26.24","26.09","26.30","26.09","0.70K","0.57%"
"Oct 15, 2019","26.09","26.67","26.67","26.02","2.40K","-1.92%"
"Oct 14, 2019","26.60","26.83","26.83","26.48","1.70K","0.45%"
"Oct 11, 2019","26.48","26.79","26.79","26.02","1.30K","1.07%"
"Oct 10, 2019","26.20","26.35","26.35","26.20","2.40K","0.08%"
"Oct 09, 2019","26.18","26.43","26.43","26.18","0.70K","0.00%"
"Oct 08, 2019","26.18","26.39","26.39","26.15","1.70K","-1.95%"
"Oct 07, 2019","26.70","26.84","26.84","26.02","1.90K","-0.48%"
"Oct 04, 2019","26.83","27.09","27.24","26.83","2.20K","-0.59%"
"Oct 03, 2019","26.99","27.09","27.09","26.83","1.60K","0.33%"
"Oct 02, 2019","26.90","27.01","27.10","26.89","2.70K","-0.74%"
"Oct 01, 2019","27.10","27.49","27.49","27.05","2.00K","-1.31%"
"Sep 30, 2019","27.46","27.30","27.46","27.13","1.00K","0.88%"
"Sep 27, 2019","27.22","27.20","27.22","26.95","1.00K","-0.29%"
"Sep 26, 2019","27.30","27.40","27.40","27.06","1.10K","0.59%"
"Sep 25, 2019","27.14","27.21","27.21","27.03","2.50K","-1.88%"
"Sep 24, 2019","27.66","27.74","27.90","27.66","2.40K","0.22%"
"Sep 23, 2019","27.60","27.25","27.77","27.25","1.70K","1.40%"
"Sep 20, 2019","27.22","27.29","27.29","27.20","0.50K","0.04%"
"Sep 19, 2019","27.21","27.22","27.40","27.21","4.30K","-1.05%"
"Sep 18, 2019","27.50","27.24","27.70","27.24","1.60K","0.18%"
"Sep 17, 2019","27.45","27.45","27.61","27.44","0.50K","0.04%"
"Sep 16, 2019","27.44","27.60","27.75","27.44","1.80K","-1.12%"
"Sep 13, 2019","27.75","27.60","27.89","27.59","2.90K","0.36%"
"Sep 12, 2019","27.65","27.78","27.78","27.33","3.40K","2.37%"
"Sep 11, 2019","27.01","27.51","27.51","27.01","1.60K","-0.55%"
"Sep 10, 2019","27.16","27.35","27.42","27.16","3.00K","-1.20%"
"Sep 09, 2019","27.49","27.22","27.79","27.20","3.10K","0.99%"
"Sep 06, 2019","27.22","27.11","27.56","27.11","1.40K","0.22%"
"Sep 05, 2019","27.16","27.10","27.30","27.10","2.10K","0.59%"
"Sep 04, 2019","27.00","26.85","27.09","26.66","2.10K","0.56%"
"Sep 03, 2019","26.85","26.62","26.97","26.50","1.20K","1.90%"
"Sep 02, 2019","26.35","26.32","26.45","26.06","0.80K","0.08%"
"Aug 30, 2019","26.33","26.01","26.35","25.99","1.80K","1.27%"
"Aug 29, 2019","26.00","26.31","26.31","26.00","1.80K","0.19%"
"Aug 28, 2019","25.95","26.07","26.09","25.95","0.40K","-0.54%"
"Aug 27, 2019","26.09","26.00","26.10","25.95","2.00K","0.35%"
"Aug 26, 2019","26.00","26.01","26.30","26.00","2.10K","-1.89%"
"Aug 23, 2019","26.50","26.90","26.90","26.30","7.30K","-1.49%"
"Aug 22, 2019","26.90","26.85","26.91","26.85","1.30K","0.75%"
"Aug 21, 2019","26.70","26.39","26.70","26.39","2.10K","0.98%"
"Aug 20, 2019","26.44","26.59","27.00","26.44","6.80K","-2.04%"
"Aug 19, 2019","26.99","27.00","27.00","26.79","4.40K","1.66%"
"Aug 16, 2019","26.55","26.80","26.80","26.55","0.90K","0.04%"
